qseqid	sseqid	A_gene	B_gene	A_start	B_start	A_end	B_end
sp|Q8FDE1|ALX_ECOL6	sp|P42601|ALX_ECOLI	alx	alx		3237235.0		3238201.0
sp|P0ABI5|CORA_ECOL6	sp|P0ABI4|CORA_ECOLI	corA	corA		3634304.0		3635255.0
sp|Q8FF19|ACPS_ECOL6	sp|P24224|ACPS_ECOLI	acpS	acpS	504763.0	2699273.0	505144.0	2699654.0
sp|Q8FK65|ALLA_ECOL6	sp|P77731|ALLA_ECOLI	allA	allA		531674.0		532157.0
sp|Q8FFM3|ARNB_ECOL6	sp|P77690|ARNB_ECOLI	arnB	arnB		2370597.0		2371737.0
sp|Q8FH32|AROH_ECOL6	sp|P00887|AROH_ECOLI	aroH	aroH		1790148.0		1791195.0
sp|Q8FBC8|CDH_ECOL6	sp|P06282|CDH_ECOLI	cdh	cdh		3525995.0		3526751.0
sp|P63286|CLPB_ECOL6	sp|P63284|CLPB_ECOLI	clpB	clpB		2730255.0		2732829.0
sp|P68700|ATPL_ECOL6	sp|P68699|ATPL_ECOLI	atpE	atpE		3715491.0		3715731.0
sp|P0AB34|BSSS_ECOL6	sp|P0AB33|BSSS_ECOLI	bssS	bssS	4063361.0	1122277.0	4063616.0	1122532.0
sp|P59333|CAIT_ECOL6	sp|P31553|CAIT_ECOLI	caiT	caiT		40416.0		41931.0
sp|Q8FFE8|FCTA_ECOL6	sp|P69902|FCTA_ECOLI	frc	frc		2497449.0		2498700.0
sp|P0A9S6|GLDA_ECOL6	sp|P0A9S5|GLDA_ECOLI	gldA	gldA	568067.0	3497645.0	569171.0	3498749.0
sp|Q8FCR7|GLGB_ECOL6	sp|P07762|GLGB_ECOLI	glgB	glgB		4066912.0		4069099.0
sp|P0AC56|GLNK_ECOL6	sp|P0AC55|GLNK_ECOLI	glnK	glnK		471821.0		472160.0
sp|P0AC60|GLRX2_ECOL6	sp|P0AC59|GLRX2_ECOLI	grxB	grxB		1124983.0		1125631.0
sp|P0ADC4|LOLC_ECOL6	sp|P0ADC3|LOLC_ECOLI	lolC	lolC		1177003.0		1178203.0
sp|P0AD84|LPPY_ECOL6	sp|P0AD83|LPPY_ECOLI	pyrL	pyrL		4477078.0		4477213.0
sp|P0ADV2|LPTA_ECOL6	sp|P0ADV1|LPTA_ECOLI	lptA	lptA		3343234.0		3343792.0
sp|P65434|MRAZ_ECOL6	sp|P22186|MRAZ_ECOLI	mraZ	mraZ		89633.0		90092.0
sp|P59286|MPGP_ECOL6	sp|P76329|MPGP_ECOLI	yedP	yedP				
sp|Q8FJZ1|NADD_ECOL6	sp|P0A752|NADD_ECOLI	nadD	nadD		670352.0		670994.0
sp|P0AF29|NARL_ECOL6	sp|P0AF28|NARL_ECOLI	narL	narL		1276755.0		1277406.0
sp|Q8FCM9|NIKE_ECOL6	sp|P33594|NIKE_ECOLI	nikE	nikE		4021832.0		4022639.0
sp|Q8FD51|AAEB_ECOL6	sp|P46481|AAEB_ECOLI	aaeB	aaeB		3386075.0		3388043.0
sp|Q8FBP1|HEM3_ECOL6	sp|P06983|HEM3_ECOLI	hemC	hemC		3645914.0		3646856.0
sp|P0ACD5|ISCU_ECOL6	sp|P0ACD4|ISCU_ECOLI	iscU	iscU		2658558.0		2658945.0
sp|Q8FCY0|KEFB_ECOL6	sp|P45522|KEFB_ECOLI	kefB	kefB		4159808.0		4161614.0
sp|Q8FGV4|LEUE_ECOL6	sp|P76249|LEUE_ECOLI	leuE	leuE		1881834.0		1882473.0
sp|P0A723|LPXA_ECOL6	sp|P0A722|LPXA_ECOLI	lpxA	lpxA		202559.0		203348.0
sp|A0A0H2VA68|LTND_ECOL6	sp|Q46888|LTND_ECOLI	ltnD	ltnD				
sp|Q8FG02|MDTD_ECOL6	sp|P36554|MDTD_ECOLI	mdtD	mdtD		3696068.0		3697496.0
sp|P0A938|BAME_ECOL6	sp|P0A937|BAME_ECOLI	bamE	bamE		2752260.0		2752602.0
sp|P69914|CSRA_ECOL6	sp|P69913|CSRA_ECOLI	csrA	csrA		2817616.0		2817802.0
sp|Q8FJ35|EFEO_ECOL6	sp|P0AB24|EFEO_ECOLI	efeO	efeO		1082664.0		1083792.0
sp|Q8FFV5|DUSC_ECOL6	sp|P33371|DUSC_ECOLI	dusC	dusC		2232771.0		2233719.0
sp|Q8FHF4|HIPA_ECOL6	sp|P23874|HIPA_ECOLI	hipA	hipA		1592567.0		1593890.0
sp|P0AFX1|HPF_ECOL6	sp|P0AFX0|HPF_ECOLI	hpf	hpf		3346027.0		3346315.0
sp|Q8FJ81|MATP_ECOL6	sp|P0A8N0|MATP_ECOLI	matP	matP		1018906.0		1019359.0
sp|Q8CVL1|MDTE_ECOL6	sp|P37636|MDTE_ECOLI	mdtE	mdtE		3980025.0		3981183.0
sp|Q8FB38|MALF_ECOL6	sp|P02916|MALF_ECOLI	malF	malF		4247120.0		4248665.0
sp|Q8FHC7|MAND_ECOL6	sp|P38104|RSPA_ECOLI	rspA	rspA		1655640.0		1656855.0
sp|P0AEZ8|MLTD_ECOL6	sp|P0AEZ7|MLTD_ECOLI	mltD	mltD		232596.0		233955.0
sp|Q8CVI1|NRFA_ECOL6	sp|P0ABK9|NRFA_ECOLI	nrfA	nrfA		4291353.0		4292790.0
sp|P0AFC4|NUOA_ECOL6	sp|P0AFC3|NUOA_ECOLI	nuoA	nuoA		2409298.0		2409742.0
sp|Q8FFJ7|NUOCD_ECOL6	sp|P33599|NUOCD_ECOLI	nuoC	nuoC		2406724.0		2408527.0
sp|P0AE09|AHPC_ECOL6	sp|P0AE08|AHPC_ECOLI	ahpC	ahpC		638167.0		638731.0
sp|P0A992|ALF1_ECOL6	sp|P0A991|ALF1_ECOLI	fbaB	fbaB		2180845.0		2181898.0
sp|P69504|APT_ECOL6	sp|P69503|APT_ECOLI	apt	apt		490635.0		491187.0
sp|Q8FLA4|CAIB_ECOL6	sp|P31572|CAIB_ECOLI	caiB	caiB		37897.0		39115.0
sp|P0A6S8|GPDA_ECOL6	sp|P0A6S7|GPDA_ECOLI	gpsA	gpsA		3856753.0		3857773.0
sp|P0AEU1|HISJ_ECOL6	sp|P0AEU0|HISJ_ECOLI	hisJ	hisJ		2431451.0		2432234.0
sp|P0AAM8|HYBG_ECOL6	sp|P0AAM7|HYBG_ECOLI	hybG	hybG		3138371.0		3138620.0
sp|P0A708|IF3_ECOL6	sp|P0A707|IF3_ECOLI	infC	infC		1801809.0		1802352.0
sp|P0A7C3|LEXA_ECOL6	sp|P0A7C2|LEXA_ECOLI	lexA	lexA		4260704.0		4261313.0
sp|P60957|LGT_ECOL6	sp|P60955|LGT_ECOLI	lgt	lgt		2963817.0		2964693.0
sp|Q8FH68|MDTK_ECOL6	sp|P37340|MDTK_ECOLI	mdtK	mdtK		1745170.0		1746544.0
sp|Q8FFK3|NUON_ECOL6	sp|P0AFF0|NUON_ECOLI	nuoN	nuoN		2394717.0		2396175.0
sp|Q8FEI8|CYSI_ECOL6	sp|P17846|CYSI_ECOLI	cysI	cysI		2887042.0		2888755.0
sp|Q8FKB9|DXS_ECOL6	sp|P77488|DXS_ECOLI	dxs	dxs		437538.0		439401.0
sp|P60758|HIS1_ECOL6	sp|P60757|HIS1_ECOLI	hisG	hisG		2092328.0		2093228.0
sp|P0ABS9|HOLE_ECOL6	sp|P0ABS8|HOLE_ECOLI	holE	holE		1926821.0		1927052.0
sp|Q8FDM1|HYBF_ECOL6	sp|P0A703|HYBF_ECOLI	hybF	hybF				
sp|P0A7B9|HSLV_ECOL6	sp|P0A7B8|HSLV_ECOLI	hslV	hslV		3514393.0		3514924.0
sp|Q8FJV3|KDPA_ECOL6	sp|P03959|KDPA_ECOLI	kdpA	kdpA		727480.0		729154.0
sp|P0A713|KDGT_ECOL6	sp|P0A712|KDGT_ECOLI	kdgT	kdgT		3534007.0		3534991.0
sp|Q8FCB1|LLDD_ECOL6	sp|P33232|LLDD_ECOLI	lldD	lldD	969547.0	3859397.0	970738.0	3860588.0
sp|Q8FFV6|MDTQ_ECOL6	sp|P33369|MDTQ_ECOLI	mdtQ	mdtQ		2230656.0		2232092.0
sp|Q8FBM1|METE_ECOL6	sp|P25665|METE_ECOLI	metE	metE		3621366.0		3623628.0
sp|P65470|MURC_ECOL6	sp|P17952|MURC_ECOLI	murC	murC		100764.0		102240.0
sp|P59404|NORV_ECOL6	sp|Q46877|NORV_ECOLI	norV	norV		2831131.0		2832571.0
sp|Q8FD47|NTPPA_ECOL6	sp|P25536|NTPPA_ECOLI	yhdE	yhdE		3397639.0		3398233.0
sp|Q8FK30|GCS2_ECOL6	sp|P77213|GCS2_ECOLI	ybdK	ybdK				
sp|Q8FKZ1|GMHBB_ECOL6	sp|P63228|GMHBB_ECOLI	gmhB	gmhB		222832.0		223408.0
sp|P0AC93|GNSA_ECOL6	sp|P0AC92|GNSA_ECOLI	gnsA	gnsA				
sp|Q8FHF3|HIPB_ECOL6	sp|P23873|HIPB_ECOLI	hipB	hipB		1593889.0		1594156.0
sp|P0A6Y2|IHFB_ECOL6	sp|P0A6Y1|IHFB_ECOLI	ihfB	ihfB		964249.0		964534.0
sp|Q8FJV4|KDPB_ECOL6	sp|P03960|KDPB_ECOLI	kdpB	kdpB		725409.0		727458.0
sp|Q8FL79|LEUD_ECOL6	sp|P30126|LEUD_ECOLI	leuD	leuD		78847.0		79453.0
sp|Q8CWE6|LPTD_ECOL6	sp|P31554|LPTD_ECOLI	lptD	lptD		54754.0		57109.0
sp|Q8FAX2|MDTO_ECOL6	sp|P32715|MDTO_ECOLI	mdtO	mdtO		4304505.0		4306557.0
sp|Q8FFH0|MNMC_ECOL6	sp|P77182|MNMC_ECOLI	mnmC	mnmC		2447209.0		2449216.0
sp|Q8FEA9|MUTH_ECOL6	sp|P06722|MUTH_ECOLI	mutH	mutH		2968317.0		2969007.0
sp|Q8FD59|NANT1_ECOL6	sp|P41036|NANT_ECOLI	nanT1	nanT		3370938.0		3372429.0
sp|P0A8D1|NRDR_ECOL6	sp|P0A8D0|NRDR_ECOLI	nrdR	nrdR		432225.0		432675.0
sp|Q8FFK0|NUOH_ECOL6	sp|P0AFD4|NUOH_ECOLI	nuoH	nuoH		2401134.0		2402112.0
sp|Q8FL30|PANB_ECOL6	sp|P31057|PANB_ECOLI	panB	panB		148806.0		149601.0
sp|Q8CW71|EFEB_ECOL6	sp|P31545|EFEB_ECOLI	efeB	efeB		1083797.0		1085069.0
sp|Q8CVW3|ECOT_ECOL6	sp|P23827|ECOT_ECOLI	eco	eco		2307238.0		2307727.0
sp|Q8FBA9|KATG_ECOL6	sp|P13029|KATG_ECOLI	katG	katG		3500665.0		3502846.0
sp|Q8FD73|KDSD_ECOL6	sp|P45395|KDSD_ECOLI	kdsD	kdsD		3341120.0		3342107.0
sp|P62523|LPID_ECOL6	sp|P62522|LPID_ECOLI	ilvL	ilvL		3686260.0		3686359.0
sp|Q8FEP8|LUXS_ECOL6	sp|P45578|LUXS_ECOLI	luxS	luxS		2812873.0		2813389.0
sp|Q8FA49|LPLA_ECOL6	sp|P32099|LPLA_ECOLI	lplA	lplA		4627780.0		4628797.0
sp|Q8FHH1|MAO1_ECOL6	sp|P26616|MAO1_ECOLI	maeA	maeA		1555685.0		1557383.0
sp|Q8FAG4|MSRA_ECOL6	sp|P0A744|MSRA_ECOLI	msrA	msrA		4446217.0		4446856.0
sp|P0AFH3|OPPB_ECOL6	sp|P0AFH2|OPPB_ECOLI	oppB	oppB	3790417.0	1304612.0	3791338.0	1305533.0
sp|P64454|ORTT_ECOL6	sp|P64453|ORTT_ECOLI	ortT	ortT		1519102.0		1519276.0
sp|P0A6I4|COAA_ECOL6	sp|P0A6I3|COAA_ECOLI	coaA	coaA		3461654.0		3462605.0
sp|P0ABY5|FLAW_ECOL6	sp|P0ABY4|FLAW_ECOLI	fldB	fldB		3038510.0		3039032.0
sp|P0AC08|FLIQ_ECOL6	sp|P0AC07|FLIQ_ECOLI	fliQ	fliQ		2024752.0		2025022.0
sp|Q8FGL1|FLIE_ECOL6	sp|P0A8T5|FLIE_ECOLI	fliE	fliE		2014836.0		2015151.0
sp|P0AC17|FOLB_ECOL6	sp|P0AC16|FOLB_ECOLI	folB	folB	1539615.0	3202876.0	1539984.0	3203245.0
sp|P0AC31|FTSX_ECOL6	sp|P0AC30|FTSX_ECOLI	ftsX	ftsX		4038328.0		4039387.0
sp|P64243|GLGS_ECOL6	sp|P26649|GLGS_ECOLI	glgS	glgS		3190394.0		3190595.0
sp|Q8FE65|GCST_ECOL6	sp|P27248|GCST_ECOLI	gcvT	gcvT		3048228.0		3049323.0
sp|Q8FCF1|GHRB_ECOL6	sp|P37666|GHRB_ECOLI	ghrB	ghrB		3922130.0		3923105.0
sp|P0AEQ4|GLNH_ECOL6	sp|P0AEQ3|GLNH_ECOLI	glnH	glnH		847679.0		848426.0
sp|Q8FCA0|HLDD_ECOL6	sp|P67910|HLDD_ECOLI	hldD	hldD				
sp|P63184|KUP_ECOL6	sp|P63183|KUP_ECOLI	kup	kup		3703496.0		3705365.0
sp|Q8FF25|MLTF_ECOL6	sp|P0AGC5|MLTF_ECOLI	mltF	mltF		2694456.0		2696013.0
sp|P0AF21|NAGC_ECOL6	sp|P0AF20|NAGC_ECOLI	nagC	nagC		700795.0		702016.0
