ATCC_names,DH_names,BW_names,MG_names
DR76_RS02360,ECDH10B_RS02610,BW25113_RS02540,b0486
DR76_RS02360,ECDH10B_RS02610,BW25113_RS02545,b0486
DR76_RS02360,ECDH10B_RS02610,BW25113_RS02545,b0487
DR76_RS02450,ECDH10B_RS02715,BW25113_RS02610,b0503
DR76_RS02450,ECDH10B_RS02715,BW25113_RS02615,b0503
DR76_RS02475,ECDH10B_RS02745,BW25113_RS02645,b0512
DR76_RS02475,ECDH10B_RS02745,BW25113_RS02650,b0512
DR76_RS02480,ECDH10B_RS02745,BW25113_RS02650,b0512
DR76_RS03640,ECDH10B_RS03925,BW25113_RS03915,b0750
DR76_RS03735,ECDH10B_RS04010,BW25113_RS04005,b0769
DR76_RS03735,ECDH10B_RS04010,BW25113_RS04010,b0769
DR76_RS04080,ECDH10B_RS04380,BW25113_RS04335,b0832
DR76_RS04300,ECDH10B_RS04570,BW25113_RS04550,b0873
DR76_RS04980,ECDH10B_RS05220,BW25113_RS05215,b0998
DR76_RS04990,ECDH10B_RS05230,BW25113_RS05235,b1001
DR76_RS05420,ECDH10B_RS05710,BW25113_RS05735,b1097
DR76_RS05450,ECDH10B_RS05750,BW25113_RS05760,b1102
DR76_RS05480,ECDH10B_RS05785,BW25113_RS05790,b1108
DR76_RS05675,ECDH10B_RS06055,BW25113_RS23075,b1163
DR76_RS05690,ECDH10B_RS06075,BW25113_RS06095,b1168
DR76_RS05690,ECDH10B_RS06075,BW25113_RS23645,b1168
DR76_RS05915,ECDH10B_RS06325,BW25113_RS06325,b1210
DR76_RS06145,ECDH10B_RS06510,BW25113_RS06520,b1244
DR76_RS06260,ECDH10B_RS06580,BW25113_RS06585,b1256
DR76_RS06260,ECDH10B_RS06580,BW25113_RS06585,b1257
DR76_RS06265,ECDH10B_RS06580,BW25113_RS06585,b1257
DR76_RS06425,ECDH10B_RS06710,BW25113_RS06745,b1285
DR76_RS07245,ECDH10B_RS07600,BW25113_RS07560,b1434
DR76_RS07280,ECDH10B_RS07660,BW25113_RS07615,b1443
DR76_RS07290,ECDH10B_RS24065,BW25113_RS07625,b1446
DR76_RS07295,ECDH10B_RS24065,BW25113_RS07625,b1447
DR76_RS07300,ECDH10B_RS24065,BW25113_RS07625,b1448
DR76_RS07575,ECDH10B_RS25965,BW25113_RS07870,b1496
DR76_RS07580,ECDH10B_RS25965,BW25113_RS07870,b1496
DR76_RS07705,ECDH10B_RS08075,BW25113_RS07975,b1515
DR76_RS07980,ECDH10B_RS08315,BW25113_RS08315,b1586
DR76_RS08100,ECDH10B_RS08405,BW25113_RS08435,b1608
DR76_RS08140,ECDH10B_RS08425,BW25113_RS08465,b1614
DR76_RS08150,ECDH10B_RS08435,BW25113_RS08480,b1616
DR76_RS08295,ECDH10B_RS08580,BW25113_RS08620,b1641
DR76_RS26560,ECDH10B_RS08925,BW25113_RS08865,b1691
DR76_RS08615,ECDH10B_RS08925,BW25113_RS08865,b1691
DR76_RS08710,ECDH10B_RS08990,BW25113_RS08965,b1706
DR76_RS09015,ECDH10B_RS09285,BW25113_RS09260,b1764
DR76_RS09015,ECDH10B_RS09290,BW25113_RS09260,b1764
DR76_RS09100,ECDH10B_RS09390,BW25113_RS09370,b1784
DR76_RS09150,ECDH10B_RS09450,BW25113_RS09445,b1800
DR76_RS09335,ECDH10B_RS09690,BW25113_RS09710,b1846
DR76_RS09335,ECDH10B_RS09695,BW25113_RS09710,b1846
DR76_RS09620,ECDH10B_RS10010,BW25113_RS10035,b1908
DR76_RS09620,ECDH10B_RS10020,BW25113_RS10050,b1913
DR76_RS09685,ECDH10B_RS10110,BW25113_RS10140,b1929
DR76_RS10925,ECDH10B_RS11345,BW25113_RS11290,b2157
DR76_RS10980,ECDH10B_RS11435,BW25113_RS11360,b2170
DR76_RS11075,ECDH10B_RS26050,BW25113_RS11455,b2188
DR76_RS11095,ECDH10B_RS11550,BW25113_RS11485,b2193
DR76_RS11095,ECDH10B_RS11550,BW25113_RS11490,b2193
DR76_RS11540,ECDH10B_RS11955,BW25113_RS11870,b2265
DR76_RS11570,ECDH10B_RS12015,BW25113_RS11910,b2275
DR76_RS11590,ECDH10B_RS12015,BW25113_RS11925,b2277
DR76_RS11605,ECDH10B_RS12040,BW25113_RS11940,b2280
DR76_RS11625,ECDH10B_RS12060,BW25113_RS24140,b2284
DR76_RS11630,ECDH10B_RS12065,BW25113_RS11960,b2284
DR76_RS11670,ECDH10B_RS12090,BW25113_RS12000,b2291
DR76_RS11720,ECDH10B_RS12130,BW25113_RS12045,b2298
DR76_RS11720,ECDH10B_RS12130,BW25113_RS12055,b2299
DR76_RS12010,ECDH10B_RS12395,BW25113_RS12365,b2365
DR76_RS12015,ECDH10B_RS12395,BW25113_RS12365,b2365
DR76_RS12290,ECDH10B_RS12665,BW25113_RS12645,b2416
DR76_RS28370,ECDH10B_RS13300,BW25113_RS13205,b2524
DR76_RS13005,ECDH10B_RS13355,BW25113_RS13265,b2536
DR76_RS13025,ECDH10B_RS13365,BW25113_RS13280,b2540
DR76_RS13030,ECDH10B_RS13365,BW25113_RS13280,b2540
DR76_RS13120,ECDH10B_RS13430,BW25113_RS13330,b2553
DR76_RS13120,ECDH10B_RS13445,BW25113_RS13330,b2554
DR76_RS13150,ECDH10B_RS13475,BW25113_RS13385,b2557
DR76_RS13860,ECDH10B_RS14185,BW25113_RS14190,b2720
DR76_RS13860,ECDH10B_RS14185,BW25113_RS14195,b2720
DR76_RS14040,ECDH10B_RS14435,BW25113_RS14415,b2764
DR76_RS14040,ECDH10B_RS14435,BW25113_RS14420,b2764
DR76_RS14095,ECDH10B_RS14470,BW25113_RS14455,b2775
DR76_RS25920,ECDH10B_RS14610,BW25113_RS14545,b2789
DR76_RS14765,ECDH10B_RS15260,BW25113_RS15195,b2918
DR76_RS15210,ECDH10B_RS15635,BW25113_RS15595,b2995
DR76_RS15275,ECDH10B_RS15680,BW25113_RS15645,b3006
DR76_RS15280,ECDH10B_RS15680,BW25113_RS15645,b3006
DR76_RS27160,ECDH10B_RS15685,BW25113_RS15660,b3010
DR76_RS17060,ECDH10B_RS17370,BW25113_RS17445,b3359
DR76_RS17065,ECDH10B_RS17370,BW25113_RS17445,b3359
DR76_RS17685,ECDH10B_RS18100,BW25113_RS18010,b3472
DR76_RS17695,ECDH10B_RS18110,BW25113_RS18015,b3474
DR76_RS17995,ECDH10B_RS18385,BW25113_RS18300,b3526
DR76_RS18190,ECDH10B_RS18580,BW25113_RS18475,b3554
DR76_RS18200,ECDH10B_RS18595,BW25113_RS18490,b3557
DR76_RS18200,ECDH10B_RS18595,BW25113_RS18495,b3557
DR76_RS18520,ECDH10B_RS18850,BW25113_RS18765,b3606
DR76_RS18805,ECDH10B_RS19125,BW25113_RS19045,b3661
DR76_RS19030,ECDH10B_RS19315,BW25113_RS19270,b3700
DR76_RS19045,ECDH10B_RS19315,BW25113_RS19280,b3701
DR76_RS19125,ECDH10B_RS19375,BW25113_RS19340,b3713
DR76_RS19125,ECDH10B_RS19375,BW25113_RS19340,b3714
DR76_RS19155,ECDH10B_RS19415,BW25113_RS19375,b3721
DR76_RS20295,ECDH10B_RS20240,BW25113_RS20160,b3879
DR76_RS20345,ECDH10B_RS20280,BW25113_RS20210,b3888
DR76_RS20430,ECDH10B_RS20335,BW25113_RS20265,b3897
DR76_RS17525,ECDH10B_RS17920,BW25113_RS17820,b4476
DR76_RS20050,ECDH10B_RS20020,BW25113_RS19955,b4483
DR76_RS09270,ECDH10B_RS09585,BW25113_RS09595,b4536
DR76_RS06425,ECDH10B_RS06710,BW25113_RS06745,b4596
DR76_RS00095,ECDH10B_RS00110,BW25113_RS00110,b0023
DR76_RS00095,ECDH10B_RS00115,BW25113_RS00115,b0024
DR76_RS00120,ECDH10B_RS00145,BW25113_RS00145,b0030
DR76_RS00130,ECDH10B_RS00165,BW25113_RS00165,b0032
DR76_RS00155,ECDH10B_RS00195,BW25113_RS00195,b0037
DR76_RS00175,ECDH10B_RS00200,BW25113_RS00200,b0038
DR76_RS00185,ECDH10B_RS00215,BW25113_RS00215,b0041
DR76_RS00185,ECDH10B_RS00220,BW25113_RS00220,b0042
DR76_RS00275,ECDH10B_RS00300,BW25113_RS00300,b0059
DR76_RS00310,ECDH10B_RS00325,BW25113_RS00310,b0061
DR76_RS00320,ECDH10B_RS00335,BW25113_RS00330,b0063
DR76_RS01005,ECDH10B_RS00980,BW25113_RS00940,b0186
DR76_RS01420,ECDH10B_RS01525,BW25113_RS01495,b0287
DR76_RS01520,ECDH10B_RS01670,BW25113_RS01630,b0313
DR76_RS01520,ECDH10B_RS01670,BW25113_RS01630,b0314
DR76_RS01675,ECDH10B_RS01825,BW25113_RS01750,b0337
DR76_RS02045,ECDH10B_RS02200,BW25113_RS02170,b0413
DR76_RS02045,ECDH10B_RS02200,BW25113_RS02170,b0414
DR76_RS02165,ECDH10B_RS02355,BW25113_RS02340,b0448
DR76_RS03625,ECDH10B_RS03905,BW25113_RS03895,b0740
DR76_RS03840,ECDH10B_RS04100,BW25113_RS04125,b0790
DR76_RS03850,ECDH10B_RS04110,BW25113_RS04135,b0792
DR76_RS04100,ECDH10B_RS04405,BW25113_RS04350,b0834
DR76_RS04390,ECDH10B_RS04655,BW25113_RS04625,b0890
DR76_RS04505,ECDH10B_RS04775,BW25113_RS04710,b0904
DR76_RS04520,ECDH10B_RS04795,BW25113_RS04720,b0906
DR76_RS04640,ECDH10B_RS04925,BW25113_RS04835,b0929
DR76_RS04960,ECDH10B_RS05180,BW25113_RS05175,b0992
DR76_RS05160,ECDH10B_RS05440,BW25113_RS05445,b1040
DR76_RS05195,ECDH10B_RS05480,BW25113_RS05490,b1048
DR76_RS05525,ECDH10B_RS05855,BW25113_RS05830,b1116
DR76_RS05535,ECDH10B_RS05870,BW25113_RS05855,b1120
DR76_RS05545,ECDH10B_RS05890,BW25113_RS05870,b1123
DR76_RS06030,ECDH10B_RS06440,BW25113_RS06435,b1226
DR76_RS06105,ECDH10B_RS06490,BW25113_RS06490,b1242
DR76_RS06425,ECDH10B_RS06715,BW25113_RS06745,b1285
DR76_RS06545,ECDH10B_RS06900,BW25113_RS06880,b1306
DR76_RS06545,ECDH10B_RS06910,BW25113_RS06885,b1309
DR76_RS06885,ECDH10B_RS07230,BW25113_RS07245,b1377
DR76_RS06885,ECDH10B_RS07240,BW25113_RS07250,b1378
DR76_RS06895,ECDH10B_RS07240,BW25113_RS07250,b1378
DR76_RS08315,ECDH10B_RS08655,BW25113_RS08660,b1652
DR76_RS08645,ECDH10B_RS08945,BW25113_RS08900,b1696
DR76_RS08660,ECDH10B_RS08960,BW25113_RS08920,b1701
DR76_RS08870,ECDH10B_RS09150,BW25113_RS09110,b1734
DR76_RS09300,ECDH10B_RS09615,BW25113_RS09610,b1830
DR76_RS09425,ECDH10B_RS09810,BW25113_RS09820,b1867
DR76_RS09515,ECDH10B_RS09895,BW25113_RS09895,b1883
DR76_RS09515,ECDH10B_RS09900,BW25113_RS09895,b1883
DR76_RS09515,ECDH10B_RS09905,BW25113_RS09895,b1883
DR76_RS09605,ECDH10B_RS09995,BW25113_RS10010,b4537
DR76_RS09625,ECDH10B_RS10035,BW25113_RS10055,b1913
DR76_RS09625,ECDH10B_RS10035,BW25113_RS10060,b1913
DR76_RS09740,ECDH10B_RS10200,BW25113_RS10220,b1945
DR76_RS10445,ECDH10B_RS10870,BW25113_RS10830,b2069
DR76_RS10495,ECDH10B_RS10905,BW25113_RS10840,b2074
DR76_RS10500,ECDH10B_RS10910,BW25113_RS10840,b2074
DR76_RS11150,ECDH10B_RS11600,BW25113_RS11555,b2209
DR76_RS12520,ECDH10B_RS12875,BW25113_RS12865,b2463
DR76_RS13080,ECDH10B_RS13390,BW25113_RS13305,b2549
DR76_RS13085,ECDH10B_RS13405,BW25113_RS13320,b2549
DR76_RS13190,ECDH10B_RS13510,BW25113_RS13420,b2565
DR76_RS13190,ECDH10B_RS13510,BW25113_RS13425,b2566
DR76_RS13240,ECDH10B_RS13550,BW25113_RS13480,b2574
DR76_RS13600,ECDH10B_RS13890,BW25113_RS13885,b2660
DR76_RS13935,ECDH10B_RS24540,BW25113_RS14295,b2740
DR76_RS14270,ECDH10B_RS14625,BW25113_RS14565,b2795
DR76_RS14605,ECDH10B_RS14970,BW25113_RS14925,b2865
DR76_RS14620,ECDH10B_RS15020,BW25113_RS14965,b2873
DR76_RS14620,ECDH10B_RS15040,BW25113_RS14980,b2876
DR76_RS14630,ECDH10B_RS15065,BW25113_RS14985,b2878
DR76_RS14665,ECDH10B_RS15105,BW25113_RS15040,b2887
DR76_RS14710,ECDH10B_RS15150,BW25113_RS15085,b2892
DR76_RS14760,ECDH10B_RS15195,BW25113_RS23135,b2904
DR76_RS14760,ECDH10B_RS15195,BW25113_RS15135,b2904
DR76_RS14760,ECDH10B_RS15210,BW25113_RS15160,b2909
DR76_RS15650,ECDH10B_RS16025,BW25113_RS15990,b3075
DR76_RS15695,ECDH10B_RS16070,BW25113_RS16035,b3080
DR76_RS15720,ECDH10B_RS16075,BW25113_RS16045,b3081
DR76_RS15760,ECDH10B_RS16105,BW25113_RS16065,b3088
DR76_RS15760,ECDH10B_RS16110,BW25113_RS16065,b3088
DR76_RS15975,ECDH10B_RS16325,BW25113_RS16270,b3130
DR76_RS16925,ECDH10B_RS17255,BW25113_RS17310,b3334
DR76_RS16945,ECDH10B_RS17270,BW25113_RS17340,b3338
DR76_RS17230,ECDH10B_RS17500,BW25113_RS17585,b3387
DR76_RS17625,ECDH10B_RS18040,BW25113_RS17955,b3460
DR76_RS18830,ECDH10B_RS19155,BW25113_RS19070,b3665
DR76_RS18830,ECDH10B_RS19155,BW25113_RS19070,b3666
DR76_RS18895,ECDH10B_RS19210,BW25113_RS19155,b3679
DR76_RS18895,ECDH10B_RS19210,BW25113_RS19160,b3679
DR76_RS19005,ECDH10B_RS19295,BW25113_RS19260,b3699
DR76_RS19005,ECDH10B_RS19295,BW25113_RS19265,b3699
DR76_RS19200,ECDH10B_RS19450,BW25113_RS19390,b3726
DR76_RS19585,ECDH10B_RS19690,BW25113_RS19620,b3772
DR76_RS19605,ECDH10B_RS19720,BW25113_RS19655,b3779
DR76_RS19965,ECDH10B_RS19925,BW25113_RS19870,b3821
DR76_RS22385,ECDH10B_RS22230,BW25113_RS23025,b4263
DR76_RS26550,ECDH10B_RS08895,BW25113_RS08840,b1687
DR76_RS28145,ECDH10B_RS00255,BW25113_RS00255,b0049
DR76_RS28670,ECDH10B_RS20785,BW25113_RS20700,b3987
