Locus_tag,gbk_locus_tag,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand,norm_exp
b0076,BW25113_RS00380,80855,81799,81327,,BW25113_0076,0,13.6862789996814
b0077,BW25113_RS00385,82117,83841,82979,,BW25113_0077,0,50.3721496765635
b0078,BW25113_RS00390,83844,84335,84089,,BW25113_0078,0,14.1787620488315
b0080,BW25113_RS00400,84515,85519,85017,,BW25113_0080,0,21.0095077568499
b0081,BW25113_RS00405,86121,86579,86350,,BW25113_0081,0,171.538143814549
b0082,BW25113_RS00410,86581,87522,87051,,BW25113_0082,0,154.938210056663
b0083,BW25113_RS00415,87519,87884,87701,,BW25113_0083,0,249.984044645725
b0084,BW25113_RS00420,87900,89666,88783,,BW25113_0084,0,41.7213611838549
b0085,BW25113_RS00425,89653,91140,90396,,BW25113_0085,0,75.9857678568934
b0086,BW25113_RS00430,91137,92495,91816,,BW25113_0086,0,80.4849856465246
b0087,BW25113_RS00435,92489,93571,93030,,BW25113_0087,0,14.2741387834034
b0088,BW25113_RS00440,93574,94890,94232,,BW25113_0088,0,22.4448583212943
b0089,BW25113_RS00445,94890,96134,95512,,BW25113_0089,0,15.3370986762859
b0090,BW25113_RS00450,96131,97198,96664,,BW25113_0090,0,43.8712987684928
b0091,BW25113_RS00455,97252,98727,97989,,BW25113_0091,0,44.3128101011237
b0092,BW25113_RS00460,98720,99640,99180,ddl,BW25113_0092,0,168.97252769484
b0093,BW25113_RS00465,99642,100472,100057,,BW25113_0093,0,38.0391684869037
b0094,BW25113_RS00470,100469,101731,101100,,BW25113_0094,0,26.5944767860787
b0095,BW25113_RS00475,101792,102943,102367,,BW25113_0095,0,370.92498827274
b0096,BW25113_RS00480,103044,103961,103502,,BW25113_0096,0,520.697327422573
b0097,BW25113_RS00485,104192,104704,104448,,BW25113_0097,0,616.336986993653
b0098,BW25113_RS00490,104766,107471,106118,,BW25113_0098,0,63.2006422755864
b0099,BW25113_RS00495,107531,107920,107725,,BW25113_0099,0,18.958288123673
b0101,BW25113_RS00505,108136,108333,108234,,BW25113_0101,1,37.9778498710852
b0102,BW25113_RS00510,108343,109086,108714,,BW25113_0102,1,50.7702626558701
b0103,BW25113_RS00515,109086,109706,109396,,BW25113_0103,1,110.197966097509
b0104,BW25113_RS00520,109931,110974,110452,,BW25113_0104,0,74.9511336436385
b0106,BW25113_RS00525,111009,112211,111610,,BW25113_0106,1,2.1632112949815
b0107,BW25113_RS00530,112201,113586,112893,,BW25113_0107,1,14.8094921567865
b0108,BW25113_RS00535,113596,114036,113816,,BW25113_0108,1,0.525484417810559
b0109,BW25113_RS00545,114239,115132,114685,,BW25113_0109,1,77.2243494053183
b0110,BW25113_RS00550,115220,115771,115495,,BW25113_0110,0,104.955112976664
b0111,BW25113_RS00555,115768,116622,116195,,BW25113_0111,0,9.95035286830546
b0112,BW25113_RS00560,116665,118038,117351,,BW25113_0112,1,55.3130985810584
b0113,BW25113_RS00565,118579,119343,118961,,BW25113_0113,0,600.409573258354
b0114,BW25113_RS00570,119504,122167,120835,,BW25113_0114,0,492.241463702258
b0115,BW25113_RS00575,122182,124074,123128,aceF,BW25113_0115,0,151.435883760652
b0116,BW25113_RS00580,124399,125823,125111,,BW25113_0116,0,233.09165818967
b0117,BW25113_RS00585,125894,127747,126820,,BW25113_0117,1,10.1271757271256
b0118,BW25113_RS00590,128102,130699,129400,,BW25113_0118,0,159.611858734029
b0119,BW25113_RS00595,130875,131237,131056,,BW25113_0119,0,90.2050526467947
b0120,BW25113_RS00600,131275,132069,131672,,BW25113_0120,1,458.846255877393
b0121,BW25113_RS00605,132085,132951,132518,,BW25113_0121,1,631.949745636181
b0122,BW25113_RS00610,133057,133404,133230,,BW25113_0122,1,95.3968892629937
b0123,BW25113_RS00615,133570,135120,134345,,BW25113_0123,0,11.9803441959796
b0124,BW25113_RS00620,135322,137712,136517,,BW25113_0124,1,71.9158794177667
b0125,BW25113_RS00625,137918,138454,138186,,BW25113_0125,0,46.2073333394327
b0126,BW25113_RS00630,138495,139157,138826,,BW25113_0126,1,3437.03419050396
b0127,BW25113_RS00635,139266,140192,139729,,BW25113_0127,0,80.103855115512
b0128,BW25113_RS00640,140189,140959,140574,,BW25113_0128,0,8.27033255084039
b0129,BW25113_RS00645,141064,141504,141284,,BW25113_0129,0,4.36727167245584
b0130,BW25113_RS00650,141568,142797,142182,,BW25113_0130,0,15.3820199052312
b0131,BW25113_RS00655,142801,143181,142991,,BW25113_0131,1,834.719903632721
b0132,BW25113_RS00660,143455,144357,143906,,BW25113_0132,0,2.80728794797306
b0133,BW25113_RS00665,144431,145282,144856,,BW25113_0133,1,61.1009543318889
b0134,BW25113_RS00670,145294,146088,145691,,BW25113_0134,1,443.383313307303
b0135,BW25113_RS00675,146202,147440,146821,,BW25113_0135,1,4.27492775230511
b0136,BW25113_RS00680,147490,148086,147788,,BW25113_0136,1,3.70207506128079
b0137,BW25113_RS00685,148113,148718,148415,,BW25113_0137,1,1.09181791811396
b0138,BW25113_RS00690,148730,149299,149014,,BW25113_0138,1,1.05096883562112
b0139,BW25113_RS00695,149316,151913,150614,,BW25113_0139,1,0.586758041549823
b0140,BW25113_RS00700,151948,152688,152318,,BW25113_0140,1,0.0473682732137578
b0141,BW25113_RS00705,152786,153370,153078,,BW25113_0141,1,0.0119910572613514
b0142,BW25113_RS00710,153740,154219,153979,,BW25113_0142,1,9.54041768557574
b0143,BW25113_RS00715,154216,155634,154925,,BW25113_0143,1,135.077721695214
b0144,BW25113_RS00720,155673,156599,156136,,BW25113_0144,1,10.641589986086
b0145,BW25113_RS00725,156636,157091,156863,,BW25113_0145,1,118.124344146229
b0146,BW25113_RS00730,157269,157973,157621,,BW25113_0146,1,39.1419390081978
b0147,BW25113_RS00735,157988,158518,158253,,BW25113_0147,1,70.0528238987757
b0148,BW25113_RS00740,158592,161021,159806,,BW25113_0148,0,5.23298416527179
b0149,BW25113_RS00750,161217,163751,162484,,BW25113_0149,0,51.9912283948391
b0150,BW25113_RS00755,163971,166214,165092,,BW25113_0150,0,392.853738515768
b0151,BW25113_RS00760,166265,167062,166663,,BW25113_0151,0,11.1811875628469
b0152,BW25113_RS00765,167062,167952,167507,,BW25113_0152,0,19.9402903277351
b0153,BW25113_RS00770,167949,169931,168940,,BW25113_0153,0,3.5366203392266
b0154,BW25113_RS00775,170089,171369,170729,,BW25113_0154,1,100.60330106472
b0155,BW25113_RS00780,171594,173015,172304,,BW25113_0155,0,28.3817122163666
b0156,BW25113_RS00785,173097,173441,173269,,BW25113_0156,0,33.7431664586057
b0157,BW25113_RS00790,173488,174111,173799,,BW25113_0157,1,1.70835488330654
b0158,BW25113_RS00795,174149,174949,174549,,BW25113_0158,1,12.7300467104878
b0159,BW25113_RS00800,174942,175640,175291,,BW25113_0159,1,146.524690826703
b0160,BW25113_RS00805,175724,177241,176482,,BW25113_0160,0,12.9668880765566
b0161,BW25113_RS00810,177371,178795,178083,,BW25113_0161,0,39.4261486474803
b0162,BW25113_RS00815,178950,180107,179528,,BW25113_0162,0,0.643905100844953
b0163,BW25113_RS00820,180196,180582,180389,,BW25113_0163,1,111.781445627467
b0164,BW25113_RS00825,180744,181556,181150,,BW25113_0164,1,5.88245130214825
b0166,BW25113_RS00830,181610,182434,182022,,BW25113_0166,1,205.371418466571
b0167,BW25113_RS00835,182465,185137,183801,,BW25113_0167,1,155.253680517018
b0168,BW25113_RS00840,185199,185993,185596,,BW25113_0168,1,1078.95871797634
b0169,BW25113_RS00845,186361,187086,186723,,BW25113_0169,0,324.695073468564
b0170,BW25113_RS00850,187344,188195,187769,,BW25113_0170,0,99.4054588363262
b0171,BW25113_RS00855,188342,189067,188704,,BW25113_0171,0,20.2718682402314
b0172,BW25113_RS00860,189359,189916,189637,,BW25113_0172,0,45.7397459152245
b0173,BW25113_RS00865,190008,191204,190606,,BW25113_0173,0,43.1158264766774
b0174,BW25113_RS00870,191390,192151,191770,,BW25113_0174,0,23.8647599338684
b0175,BW25113_RS00875,192164,193021,192592,,BW25113_0175,0,16.1908469932406
b0176,BW25113_RS00880,193033,194385,193709,,BW25113_0176,0,28.9559735136928
b0177,BW25113_RS00885,194415,196847,195631,,BW25113_0177,0,202.924527883138
b0178,BW25113_RS00890,196969,197454,197211,,BW25113_0178,0,389.281867300589
b0179,BW25113_RS00895,197458,198483,197970,lpxD,BW25113_0179,0,282.898017807577
b0180,BW25113_RS00900,198588,199043,198815,,BW25113_0180,0,61.4400789598567
b0181,BW25113_RS00905,199047,199835,199441,,BW25113_0181,0,44.5787354625623
b0182,BW25113_RS00910,199835,200983,200409,,BW25113_0182,0,18.7901515332273
b0183,BW25113_RS00915,200980,201576,201278,,BW25113_0183,0,29.1858526188633
b0184,BW25113_RS00920,201613,205095,203354,,BW25113_0184,0,17.609033250876
b0185,BW25113_RS00925,205108,206067,205587,,BW25113_0185,0,87.6853069185704
b0186,BW25113_RS00930,206166,208307,207236,,BW25113_0186,0,57.8348178096007
b0187,BW25113_RS00935,208364,208753,208558,,BW25113_0187,0,221.408805757165
b0188,BW25113_RS00940,208818,210116,209467,,BW25113_0188,0,7.69253145266566
b0189,BW25113_RS00945,210165,210419,210292,,BW25113_0189,1,85.5074218710206
b0190,BW25113_RS00955,210778,211323,211050,,BW25113_0190,0,15.9075043230417
b0191,BW25113_RS00960,211320,211742,211531,,BW25113_0191,0,30.6823416454766
b0192,BW25113_RS00965,211756,212466,212111,,BW25113_0192,0,39.8430093972006
b0193,BW25113_RS00970,212666,213490,213078,,BW25113_0193,1,5.82117767840899
b0194,BW25113_RS00975,213544,215262,214403,,BW25113_0194,1,47.1226741180645
b0195,BW25113_RS00980,215374,216081,215727,,BW25113_0195,1,6.99469376150864
b0196,BW25113_RS00985,216078,216482,216280,,BW25113_0196,1,145.843393372807
b0197,BW25113_RS00990,216600,217415,217007,metQ,BW25113_0197,1,142.792690973452
b0198,BW25113_RS00995,217455,218108,217781,,BW25113_0198,1,130.38675461438
b0199,BW25113_RS01000,218101,219132,218616,,BW25113_0199,1,16.8823286482735
b0200,BW25113_RS01005,219320,219895,219607,,BW25113_0200,0,28.9682619769421
b0207,BW25113_RS01040,225654,226457,226055,,BW25113_0207,0,13.382204940221
b0208,BW25113_RS01045,226454,227368,226911,,BW25113_0208,1,28.158567919849
b0209,BW25113_RS01050,227609,228409,228009,,BW25113_0209,0,131.137649612479
b0210,BW25113_RS01055,228413,229036,228724,,BW25113_0210,0,44.3205569550072
b0211,BW25113_RS01060,229084,230442,229763,,BW25113_0211,1,56.6426672623938
b0212,BW25113_RS01065,230514,231269,230891,,BW25113_0212,1,29.3753257117183
b0213,BW25113_RS01070,231303,232025,231664,,BW25113_0213,0,10.2684135776832
b0214,BW25113_RS01075,232022,232489,232255,,BW25113_0214,1,39.077703834163
b0215,BW25113_RS01080,232554,233285,232919,,BW25113_0215,0,169.148149350382
b0217,BW25113_RS01090,233822,234607,234214,,BW25113_0217,0,2.14930594445599
b0219,BW25113_RS01110,235906,236676,236291,,BW25113_0219,1,17.6407622192822
b0220,BW25113_RS01115,236830,237303,237066,,BW25113_0220,0,39.9664503769793
b0221,BW25113_RS01120,237346,239790,238568,fadE,BW25113_0221,1,61.6375606282329
b0222,BW25113_RS01125,240030,240608,240319,,BW25113_0222,0,73.9660154033359
b0223,BW25113_RS01130,240814,241581,241197,,BW25113_0223,0,269.351482282436
b0224,BW25113_RS01135,241552,242292,241922,,BW25113_0224,1,140.820506741176
b0225,BW25113_RS01140,242448,242726,242587,,BW25113_0225,1,368.165885127334
b0226,BW25113_RS01145,242729,242989,242859,,BW25113_0226,1,852.23655572984
b0227,BW25113_RS01150,243199,243948,243573,,BW25113_0227,0,2.13791084302629
b0228,BW25113_RS01155,244124,244621,244372,,BW25113_0228,0,13.7225501493813
b0231,BW25113_RS01170,247385,248440,247912,,BW25113_0231,0,15.3469676318584
b0232,BW25113_RS01175,248492,248785,248638,,BW25113_0232,0,34.2586098639184
b0233,BW25113_RS01180,248788,249186,248987,,BW25113_0233,0,24.7817050379257
b0234,BW25113_RS01185,249196,249648,249422,,BW25113_0234,0,10.550537438704
b0237,BW25113_RS01200,250746,252203,251474,,BW25113_0237,1,119.635567158137
b0238,BW25113_RS01205,252464,252922,252693,,BW25113_0238,0,63.2828000909777
b0239,BW25113_RS01210,253014,254258,253636,frsA,BW25113_0239,0,55.3578518307178
b0241,BW25113_RS01220,254756,255811,255283,,BW25113_0241,1,1.19307365526239
b0242,BW25113_RS01225,256099,257202,256650,,BW25113_0242,0,78.0984864959054
b0243,BW25113_RS01230,257214,258467,257840,,BW25113_0243,0,165.008473497582
b0245,BW25113_RS01240,259039,259380,259209,,BW25113_0245,1,0.995248866478254
b0246,BW25113_RS01245,259401,259718,259559,,BW25113_0246,1,0.585439704117316
b0247,BW25113_RS01250,259967,260443,260205,,BW25113_0247,1,1.074652972228
b0248,BW25113_RS01255,260459,260917,260688,,BW25113_0248,1,0.0479642290454056
b0249,BW25113_RS01260,261015,261254,261134,,BW25113_0249,1,1.57645325343168
b0250,BW25113_RS01265,261331,261798,261564,,BW25113_0250,1,535.550319913945
b0251,BW25113_RS24905,261821,262678,262249,,,1,26.883642709168
b0252,BW25113_RS01280,262895,263716,263305,,BW25113_0252,1,0.0236841366068789
b0253,BW25113_RS01285,263808,264671,264239,,BW25113_0253,1,11.6790778748667
b0254,BW25113_RS01290,265000,265893,265446,,BW25113_0254,1,6.4242336967611
b0256,BW25113_RS01300,266314,267465,266889,,BW25113_0256,0,8.9332351027795
b0259,BW25113_RS01325,269812,270828,270320,,BW25113_0259,1,98.3677088368066
b0260,BW25113_RS01330,271036,272439,271737,,BW25113_0260,0,2.66827117154564
b0261,BW25113_RS01335,272426,273358,272892,,BW25113_0261,0,11.0831370030671
b0262,BW25113_RS01340,273467,274513,273990,fbpC,BW25113_0262,1,3.26082602221551
b0264,BW25113_RS01350,274889,275586,275237,,BW25113_0264,1,1.5968777946781
b0267,BW25113_RS01370,276540,277694,277117,,BW25113_0267,1,0.215839030704325
b0268,BW25113_RS01375,277989,278897,278443,,BW25113_0268,0,2.65110622565967
b0269,BW25113_RS01380,278912,280879,279895,,BW25113_0269,0,2.14990190028764
b0270,BW25113_RS01385,281106,282488,281797,,BW25113_0270,0,4.25183957152987
b0271,BW25113_RS01390,282500,284110,283305,,BW25113_0271,0,2.22035835427663
b0272,BW25113_RS01395,284115,284873,284494,,BW25113_0272,1,14.2600256244532
b0273,BW25113_RS01400,285012,286016,285514,,BW25113_0273,1,14.1787620488315
b0274,BW25113_RS01405,286360,287057,286708,,BW25113_0274,1,2.51598215076707
b0277,BW25113_RS01415,288033,288659,288346,,BW25113_0277,1,1.13490623645058
b0278,BW25113_RS01420,288931,289629,289280,,BW25113_0278,1,0.059955286306757
b0279,BW25113_RS01425,289656,290510,290083,,BW25113_0279,1,0.0719463435681084
b0280,BW25113_RS01435,290850,291290,291070,,BW25113_0280,1,149.786743212616
b0281,BW25113_RS01440,291407,292807,292107,,BW25113_0281,1,58.3343240315684
b0283,BW25113_RS01455,293481,294437,293959,,BW25113_0283,1,5.87625705400696
b0284,BW25113_RS01460,294447,296645,295546,,BW25113_0284,1,15.4788692617332
b0285,BW25113_RS01465,296642,297598,297120,,BW25113_0285,1,18.9884914510007
b0286,BW25113_RS01470,297595,298284,297939,,BW25113_0286,1,13.2081628550846
b0287,BW25113_RS01475,298702,299316,299009,,BW25113_0287,0,73.1142804192358
b0288,BW25113_RS01480,299564,299893,299728,,BW25113_0288,1,3.38498079820683
b0289,BW25113_RS01485,300206,300916,300561,,BW25113_0289,1,4.28557350747016
b0290,BW25113_RS01490,300885,302528,301706,,BW25113_0290,1,12.7137487336855
b0291,BW25113_RS01495,302518,305043,303780,,BW25113_0291,1,2.74996933653132
b0292,BW25113_RS01500,305069,305737,305403,,BW25113_0292,1,1.06295989288247
b0293,BW25113_RS01505,305795,306382,306088,,BW25113_0293,1,6.83129743153726
b0294,BW25113_RS01510,306457,307047,306752,,BW25113_0294,1,0.0473682732137578
b0295,BW25113_RS01515,307823,308050,307936,,BW25113_0295,0,0.525484417810559
b0296,BW25113_RS01525,308225,308488,308356,,BW25113_0296,1,2.64784663029922
b0298,BW25113_RS01545,311002,312164,311583,,BW25113_0299,0,9.45871952059005
b0301,BW25113_RS01555,313437,314030,313733,,BW25113_0301,1,0.0236841366068789
b0303,BW25113_RS01560,314042,314278,314160,,BW25113_0303,1,1.05096883562112
b0304,BW25113_RS01565,314387,315712,315049,,BW25113_0304,1,9.67455855129438
b0305,BW25113_RS01570,315938,316792,316365,,BW25113_0305,0,1.18287046549598
b0306,BW25113_RS01575,317319,318038,317678,,BW25113_0306,0,2.62742208905279
b0307,BW25113_RS01580,318049,319476,318762,,BW25113_0307,0,1.67857595966378
b0308,BW25113_RS01585,319469,320164,319816,,BW25113_0308,0,0.597430761378667
b0310,BW25113_RS01595,320407,321075,320741,,BW25113_0310,1,0.0719463435681084
b0311,BW25113_RS01600,321288,322958,322123,,BW25113_0311,1,16.887447713506
b0312,BW25113_RS01605,322972,324444,323708,,BW25113_0312,1,103.234767036097
b0313,BW25113_RS01610,324458,325045,324751,,BW25113_0313,1,98.8150526629077
b0314,BW25113_RS01615,325174,327207,326190,,BW25113_0314,0,18.0085750252003
b0315,BW25113_RS01625,328082,329170,328626,,BW25113_0315,0,2.14930594445599
b0316,BW25113_RS01630,329212,330144,329678,,BW25113_0316,1,22.1422918916116
b0317,BW25113_RS01635,330236,330733,330484,,BW25113_0317,1,0.0479642290454056
b0318,BW25113_RS01640,330991,331596,331293,,BW25113_0318,0,2.10193767124223
b0319,BW25113_RS01645,331636,332499,332067,,BW25113_0319,0,0.596536827631195
b0320,BW25113_RS01650,332489,334036,333262,,BW25113_0320,0,1.074652972228
b0321,BW25113_RS01655,334036,335454,334745,,BW25113_0321,0,0.572852691024317
b0323,BW25113_RS01665,335876,336826,336351,,BW25113_0323,0,0.54590895905698
b0324,BW25113_RS01670,336836,338218,337527,,BW25113_0324,0,12.194061124995
b0325,BW25113_RS01675,338595,339644,339119,,BW25113_0325,0,75.8757262398523
b0326,BW25113_RS01680,339887,340702,340294,,BW25113_0326,0,2.44405357962678
b0327,BW25113_RS01685,341115,341360,341237,,BW25113_0327,0,4.72935976029503
b0328,BW25113_RS01690,341377,342048,341712,,BW25113_0328,1,0.561457589594613
b0329,BW25113_RS01695,342195,342470,342332,,BW25113_0329,0,5446.66641514769
b0330,BW25113_RS01700,342568,344154,343361,,BW25113_0330,1,5.80996321929301
b0331,BW25113_RS01705,344393,345283,344838,,BW25113_0331,0,0.525484417810559
b0333,BW25113_RS01710,345723,346892,346307,,BW25113_0333,0,0.0479642290454056
b0334,BW25113_RS01715,346926,348377,347651,,BW25113_0334,0,0.572852691024317
b0335,BW25113_RS01720,348417,350303,349360,,BW25113_0335,0,0.0473682732137578
b0336,BW25113_RS01725,350633,351892,351262,,BW25113_0336,0,9.62659432224897
b0337,BW25113_RS01730,351882,353165,352523,,BW25113_0337,0,86.1986952450793
b0338,BW25113_RS01735,353502,354401,353951,,BW25113_0338,1,8.69369426241884
b0339,BW25113_RS01740,354510,355169,354839,,BW25113_0339,0,5.27852831471247
b0340,BW25113_RS01745,355200,355670,355435,,BW25113_0340,0,3.17333104810977
b0341,BW25113_RS01750,355676,356857,356266,cynX,BW25113_0341,0,0.627607124042666
b0342,BW25113_RS01755,356960,357571,357265,,BW25113_0342,1,2.65110622565967
b0343,BW25113_RS01760,357637,358890,358263,lacY,BW25113_0343,1,0.833378193699985
b0344,BW25113_RS01765,358942,>360144,359543,lacZ,,1,0.686839961599488
b0345,BW25113_RS01775,360661,361743,361202,lacI,BW25113_0345,1,37.6172874404391
b0346,BW25113_RS01780,361820,362767,362293,,BW25113_0346,1,7.21501126390051
b0347,BW25113_RS01785,362844,364508,363676,mhpA,BW25113_0347,0,1.09181791811396
b0348,BW25113_RS01790,364510,365454,364982,mhpB,BW25113_0348,0,0.525484417810559
b0349,BW25113_RS01795,365472,>366034,365753,,,0,6.3058130137267
b0349,BW25113_RS01805,367202,367561,367381,,,0,6.3058130137267
b0350,BW25113_RS01810,367571,368380,367975,,BW25113_0350,0,12.188264315875
b0351,BW25113_RS01815,368377,369327,368852,,BW25113_0351,0,31.2282506045336
b0352,BW25113_RS01820,369324,370337,369830,,BW25113_0352,0,39.6360012895025
b0353,BW25113_RS01825,370915,372126,371520,,BW25113_0353,0,1.71855807307295
b0354,BW25113_RS01830,372228,372767,372497,,BW25113_0354,0,10.5576525852566
b0355,BW25113_RS01835,372991,373824,373407,,BW25113_0355,1,9.45428610813083
b0356,BW25113_RS01840,373918,375027,374472,,BW25113_0356,1,61.2217115022283
b0357,BW25113_RS01845,375062,375337,375199,,BW25113_0357,1,28.9975714376715
b0358,BW25113_RS01850,375525,376298,375911,,BW25113_0358,1,13.8259911930459
b0360,BW25113_RS01870,376762,378035,377398,,BW25113_0361,0,77.2462094181521
b0363,BW25113_RS01875,378195,379391,378793,,BW25113_0363,1,3.17659064347023
b0364,BW25113_RS01880,379515,380072,379793,,BW25113_0364,1,0
b0365,BW25113_RS01885,380688,381650,381169,,BW25113_0365,0,0.0119910572613514
b0366,BW25113_RS01890,381663,382430,382046,tauB,BW25113_0366,0,2.12591978576494
b0367,BW25113_RS01895,382427,383254,382840,,BW25113_0367,0,1.62382152664543
b0368,BW25113_RS01900,383251,384102,383676,,BW25113_0368,0,10.0454775621399
b0369,BW25113_RS01905,384209,385183,384696,,BW25113_0369,1,229.804565384873
b0372,BW25113_RS01920,387195,388357,387776,,BW25113_0372,1,5.25484417810559
b0375,BW25113_RS01935,389962,390585,390273,,BW25113_0375,0,0.0473682732137578
b0376,BW25113_RS01940,390586,391743,391164,,BW25113_0376,1,13.2570210178775
b0377,BW25113_RS01950,392095,393315,392705,,BW25113_0377,0,28.6399618215199
b0378,BW25113_RS01955,393328,394422,393875,,BW25113_0378,0,12.7555187145896
