Locus_tag,gene_id,GSE60522_1,GSE60522_2,GSE60522_3,GSE114917_LP1,GSE114917_LP2,GSE114917_LP3,GSE114917_LP4,GSE54199_RNA,GSE54199_DNA,GSE40313_1,GSE40313_2,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand
b0059,rapA,1321,972,1114,432,431,369,1026,227737.5,284806.5,102,195,60358,63264,61811,rapA,,1
b0060,polB,117,104,98,204,188,137,180,60521.5,235588,106,147,63429,65780,64604,polB,,1
b0061,araD,0,1,4,18,21,12,7,10315.5,68441.5,9,8,65855,66550,66202,araD,,1
b0062,araA,12,3,19,69,71,52,36,20103.5,140058.5,26,24,66835,68337,67586,araA,,1
b0063,araB,5,6,16,42,24,30,14,23013.5,176170.5,15,13,68348,70048,69198,araB,,1
b0064,araC,51,39,60,163,182,133,75,94648,109023.5,51,62,70387,71265,70826,araC,,0
b0065,yabI,68,58,54,105,81,39,79,88782.5,78103.5,43,58,71351,72115,71733,yabI,,0
b0066,thiQ,162,126,112,14,20,16,25,39727.5,68654,7,14,72229,72927,72578,thiQ,,1
b0067,thiP,397,372,438,24,18,15,35,44065.5,163261,13,13,72911,74521,73716,thiP,,1
b0068,thiB,1486,1351,1307,110,79,61,149,29951.5,108382.5,22,18,74497,75480,74988,thiB,,1
b0069,sgrR,142,102,108,132,123,76,109,28571,175708,36,51,75644,77299,76471,sgrR,,1
b0070,setA,99,78,59,70,53,45,63,111927.5,192730.5,31,44,77621,78799,78210,setA,,0
b0071,leuD,3981,2465,3984,19,30,12,16,18751.5,83870.5,10,20,78848,79453,79150,leuD,,1
b0072,leuC,10247,7001,9842,30,30,29,26,24992,149218.5,13,25,79464,80864,80164,leuC,,1
b0073,leuB,9342,6738,8915,33,28,22,23,18374,111694.5,12,22,80867,81958,81412,leuB,,1
b0074,leuA,6011,4075,6007,27,34,16,26,34572.5,168463,16,19,81958,83529,82743,leuA,,1
b0075,leuL,12,6,14,0,1,1,0,1164,14052,2,2,83622,83708,83665,leuL,,1
b0076,leuO,11,8,17,21,22,24,19,16012,153862,42,42,84368,85312,84840,leuO,,0
b0077,ilvI,2708,2147,2611,57,45,35,40,37916.5,199735.5,29,44,85630,87354,86492,ilvI,,0
b0078,ilvH,933,872,827,12,9,7,8,20102.5,57727,5,12,87357,87848,87602,ilvH,,0
b0080,cra,449,453,514,2183,2068,1829,1183,156722,99116.5,487,629,88028,89032,88530,cra,,0
b0081,mraZ,875,824,834,494,404,303,350,208884.5,54170,178,236,89634,90092,89863,mraZ,,0
b0082,rsmH,877,653,938,593,522,409,473,162243,93254,201,271,90094,91035,90564,rsmH,,0
b0083,ftsL,179,133,191,122,124,91,122,78997,43139.5,67,67,91032,91397,91214,ftsL,,0
b0084,ftsI,377,321,316,392,326,306,368,203914.5,193696,1097,1516,91413,93179,92296,ftsI,,0
b0085,murE,873,811,869,710,719,538,657,212598.5,126970,234,335,93166,94653,93909,murE,,0
b0086,murF,1320,1118,1358,466,496,407,438,183231,133114.5,196,253,94650,96008,95329,murF,,0
b0087,mraY,670,652,711,339,384,280,338,136955,103001,120,220,96002,97084,96543,mraY,,0
b0088,murD,1064,946,912,616,598,503,554,105817,133205.5,266,408,97087,98403,97745,murD,,0
b0089,ftsW,399,312,358,320,275,220,316,184549,137474,268,366,98403,99647,99025,ftsW,,0
b0090,murG,267,221,241,676,682,578,511,91146.5,103971,187,328,99644,100711,100177,murG,,0
b0091,murC,733,581,587,1101,1071,856,1013,133528.5,144254,284,431,100765,102240,101502,murC,,0
b0092,ddlB,2107,1560,1634,713,720,553,571,368278.5,116541.5,227,349,102233,103153,102693,ddlB,,0
b0093,ftsQ,1065,853,997,499,459,379,396,319729.5,86199,315,486,103155,103985,103570,ftsQ,,0
b0094,ftsA,3191,2839,3019,685,614,468,581,324911,134217,453,720,103982,105244,104613,ftsA,,0
b0095,ftsZ,7180,5813,6672,3097,3306,2571,2582,409394,120120.5,1053,1447,105305,106456,105880,ftsZ,,0
b0096,lpxC,4818,3764,4152,5826,5499,4333,6209,339591,99880.5,1669,2156,106557,107474,107015,lpxC,,0
b0097,secM,222,174,195,531,423,357,447,233883,54694,145,243,107705,108217,107961,secM,,0
b0098,secA,4216,3516,3767,2345,2692,1913,3278,748330,340108,744,1150,108279,110984,109631,secA,,0
b0099,mutT,79,70,80,42,30,32,58,39784,50678,8,14,111044,111433,111238,mutT,,0
b0101,yacG,74,57,86,49,35,39,55,38186,27098,7,21,111649,111846,111747,yacG,,1
b0102,zapD,300,284,249,203,174,139,253,73089.5,86864,66,103,111856,112599,112227,zapD,,1
b0103,coaE,260,206,260,140,124,87,109,46228,69794.5,65,103,112599,113219,112909,coaE,,1
b0104,guaC,1865,1674,2018,439,395,282,501,132307,139345.5,72,101,113444,114487,113965,guaC,,0
b0106,hofC,18,11,10,9,12,10,22,26983,149194,15,20,114522,115724,115123,hofC,,1
b0107,hofB,10,5,5,32,31,35,26,18176,149591.5,36,49,115714,117099,116406,hofB,,1
b0108,ppdD,0,0,3,3,3,2,1,11111.5,47112,6,5,117109,117549,117329,ppdD,,1
b0109,nadC,288,263,249,317,299,272,260,50058.5,101415.5,93,140,117752,118645,118198,nadC,,1
b0110,ampD,27,27,45,320,357,288,234,33469,61338.5,65,119,118733,119284,119008,ampD,,0
b0111,ampE,130,68,74,570,616,449,352,49844.5,98329.5,63,106,119281,120135,119708,ampE,,0
b0112,aroP,1714,1447,1526,123,103,96,121,42310,157165,68,120,120178,121551,120864,aroP,,1
b0113,pdhR,1277,1362,1017,785,636,502,1832,504049.5,77421,66,76,122092,122856,122474,pdhR,,0
b0114,aceE,21728,20685,15138,13287,13745,10990,25961,2359448.5,328078,681,1194,123017,125680,124348,aceE,,0
b0115,aceF,2191,2031,1414,9699,9851,7846,16427,1543668.5,227821,455,708,125695,127587,126641,aceF,,0
b0116,lpd,10842,10475,8630,7666,8195,6288,11848,778266,161662.5,1275,2197,127912,129336,128624,lpd,,0
b0117,yacH,11,2,3,25,27,22,21,36416.5,187374.5,13,23,129407,131260,130333,yacH,,1
b0118,acnB,22221,22726,17690,9442,10598,8147,10712,442180,249469.5,1768,2874,131615,134212,132913,acnB,,0
b0119,yacL,239,276,279,234,273,282,148,40632,43514,127,208,134388,134750,134569,yacL,,0
b0120,speD,1560,1456,1054,490,516,359,849,200385.5,119735.5,76,153,134788,135582,135185,speD,,1
b0121,speE,1258,1257,917,540,516,410,884,150867.5,120292,103,183,135598,136464,136031,speE,,1
b0122,yacC,132,85,108,127,66,67,84,35543,54961,43,57,136570,136917,136743,yacC,,1
b0123,cueO,549,385,310,429,437,318,324,42114.5,148506.5,48,81,137083,138633,137858,cueO,,0
b0124,gcd,1865,1349,2075,186,157,133,596,77598.5,238976,67,86,138835,141225,140030,gcd,,1
b0125,hpt,459,458,413,561,575,430,721,77741.5,65042,84,90,141431,141967,141699,hpt,,0
b0126,can,1579,1498,1512,457,446,334,685,292545,82292,124,159,142008,142670,142339,can,,1
b0127,yadG,578,532,556,254,247,189,269,72104,143483.5,53,81,142779,143705,143242,yadG,,0
b0128,yadH,394,274,335,193,229,187,187,58200,96851.5,42,75,143702,144472,144087,yadH,,0
b0129,yadI,55,27,66,151,159,118,43,18905.5,62404.5,34,43,144577,145017,144797,yadI,,0
b0130,yadE,3,12,18,111,64,58,97,52940.5,150516,70,91,145081,146310,145695,yadE,,0
b0131,panD,344,321,338,370,285,269,310,76139.5,44112,118,135,146314,146694,146504,panD,,1
b0132,yadD,43,22,43,21,17,18,11,37197,117149,39,50,146968,147870,147419,yadD,,0
b0133,panC,2283,1800,2130,1116,1146,942,965,143032,90755.5,163,241,147944,148795,148369,panC,,1
b0134,panB,486,493,415,1082,1072,902,843,103288.5,77103.5,142,206,148807,149601,149204,panB,,1
b0135,yadC,9,8,10,4,2,7,9,34908,172135.5,7,11,149715,150953,150334,yadC,,1
b0136,yadK,3,0,1,1,1,1,1,9070,89107.5,3,2,151003,151599,151301,yadK,,1
b0137,yadL,36,30,37,7,1,0,1,14375.5,85537,2,0,151626,152231,151928,yadL,,1
b0138,yadM,13,4,13,2,1,1,3,7792,81157,1,3,152243,152812,152527,yadM,,1
b0139,htrE,3,9,7,2,3,1,4,38155.5,398448,4,2,152829,155426,154127,htrE,,1
b0140,yadV,0,0,0,2,1,1,2,8473,107847.5,2,1,155461,156201,155831,yadV,,1
b0141,yadN,0,2,0,0,0,0,2,7714,79481.5,0,2,156299,156883,156591,yadN,,1
b0142,folK,28,20,32,40,30,29,33,17423.5,47002,6,28,157253,157732,157492,folK,,1
b0143,pcnB,1701,1297,1391,980,772,600,1568,205127.5,121707,172,299,157729,159126,158427,pcnB,,1
b0144,gluQ,72,59,70,84,69,47,74,60018.5,87726.5,35,47,159186,160112,159649,gluQ,,1
b0145,dksA,1540,1052,1630,2030,2018,1595,1602,387981.5,55509.5,562,698,160149,160604,160376,dksA,,1
b0146,sfsA,304,214,438,550,432,425,295,125341,94302.5,280,549,160782,161486,161134,sfsA,,1
b0147,ligT,177,136,162,69,44,41,42,21489,51066.5,15,27,161501,162031,161766,ligT,,1
b0148,hrpB,440,331,402,345,326,263,338,118911.5,232704.5,116,174,162105,164534,163319,hrpB,,0
b0149,mrcB,1015,856,927,478,495,414,605,217851,250828,108,173,164730,167264,165997,mrcB,,0
b0150,fhuA,3635,3056,3366,147,163,133,276,140953.5,298232.5,72,110,167484,169727,168605,fhuA,,0
b0151,fhuC,256,205,255,46,34,31,53,29662.5,82074,23,23,169778,170575,170176,fhuC,,0
b0152,fhuD,169,162,162,23,16,17,27,20026.5,93657.5,11,9,170575,171465,171020,fhuD,,0
b0153,fhuB,213,234,234,40,49,38,77,87067.5,193446,18,32,171462,173444,172453,fhuB,,0
b0154,hemL,601,504,660,1077,974,857,1005,125019,120825.5,230,297,173602,174882,174242,hemL,,1
b0155,clcA,319,231,339,372,301,224,231,100535.5,138592.5,173,248,175107,176528,175817,clcA,,0
b0156,erpA,881,912,786,178,148,107,253,46734,45801.5,221,251,176610,176954,176782,erpA,,0
b0157,yadS,85,47,56,37,36,19,57,41964.5,66774.5,21,33,177001,177624,177312,yadS,,1
b0158,btuF,55,54,50,95,70,61,103,37853,83061.5,34,50,177662,178462,178062,btuF,,1
b0159,mtn,1319,1415,1343,809,830,695,700,74149,71369.5,183,215,178455,179153,178804,mtn,,1
b0160,dgt,504,347,531,246,276,192,183,49698.5,197363,42,80,179237,180754,179995,dgt,,0
b0161,degP,1672,1079,1187,541,662,465,627,163733,146916,79,124,180884,182308,181596,degP,,0
b0162,cdaR,49,57,68,241,259,208,126,42662.5,128715,64,62,182463,183620,183041,cdaR,,0
b0163,yaeH,51,30,80,1230,1508,1232,686,51709.5,71395.5,186,252,183709,184095,183902,yaeH,,1
b0164,yaeI,18,23,18,78,72,60,46,20213.5,89845.5,14,16,184257,185069,184663,yaeI,,1
b0166,dapD,988,1100,905,1822,1931,1455,1286,163111.5,81421,167,272,185123,185947,185535,dapD,,1
b0167,glnD,886,636,887,253,221,216,264,82282,250400.5,97,155,185978,188650,187314,glnD,,1
b0168,map,1102,1304,1096,844,866,665,1111,158226.5,91684.5,223,237,188712,189506,189109,map,,1
b0169,rpsB,20801,19303,14194,11551,11355,8815,17468,2310804.5,93759,1093,1748,189874,190599,190236,rpsB,,0
b0170,tsf,13821,14287,10923,6777,6954,5110,8532,927436,131364.5,547,798,190857,191708,191282,tsf,,0
b0171,pyrH,2379,1734,1721,567,547,395,1018,294333,75228.5,104,216,191855,192580,192217,pyrH,,0
b0172,frr,6800,8313,5923,2508,2532,1998,3005,296735.5,57329.5,349,536,192872,193429,193150,frr,,0
b0173,dxr,387,307,300,203,215,179,301,80279,126361,171,212,193521,194717,194119,dxr,,0
b0174,ispU,488,453,387,713,530,417,792,228717.5,101774,255,401,194903,195664,195283,ispU,,0
b0175,cdsA,393,309,350,542,498,363,675,269740,106303,163,246,195677,196534,196105,cdsA,,0
b0176,rseP,1943,1623,1751,872,831,617,1088,791378.5,161653,302,507,196546,197898,197222,rseP,,0
b0177,bamA,6154,5118,5242,2983,3268,2402,3789,731839,296950.5,882,1424,197928,200360,199144,bamA,,0
b0178,skp,1021,1030,958,2406,2599,2006,2372,524292.5,62268.5,275,428,200482,200967,200724,skp,,0
b0179,lpxD,2204,1980,2021,2049,1951,1478,2370,277450,98617.5,410,598,200971,201996,201483,lpxD,,0
b0180,fabZ,2266,1806,1866,717,686,448,980,337814,60014,107,269,202101,202556,202328,fabZ,,0
b0181,lpxA,1440,1246,1300,1373,1313,953,1664,130250.5,70838,239,341,202560,203348,202954,lpxA,,0
b0182,lpxB,660,465,534,569,479,389,665,157879.5,116762.5,135,212,203348,204496,203922,lpxB,,0
b0183,rnhB,465,344,322,232,173,135,235,76471,54905.5,40,64,204493,205089,204791,rnhB,,0
b0184,dnaE,2253,2109,1964,962,806,609,1314,345837,350307.5,208,356,205126,208608,206867,dnaE,,0
b0185,accA,2249,2162,1995,1198,1070,794,1760,107835.5,92112.5,206,353,208621,209580,209100,accA,,0
b0186,ldcC,172,104,200,270,344,230,261,60173,266903.5,113,246,209679,211820,210749,ldcC,,0
b0187,yaeR,96,104,124,68,80,64,51,15253.5,48275.5,16,44,211877,212266,212071,yaeR,,0
b0188,tilS,585,475,464,129,133,111,171,54291,115223,51,62,212331,213629,212980,tilS,,0
b0189,rof,54,19,35,165,178,164,116,27736,30083,45,74,213678,213932,213805,rof,,1
b0190,yaeQ,115,178,134,205,228,182,187,24687.5,54754.5,45,77,214291,214836,214563,yaeQ,,0
b0191,arfB,71,51,44,88,76,72,97,38016.5,39250.5,27,57,214833,215255,215044,arfB,,0
b0192,nlpE,67,80,67,241,215,160,175,70400.5,83730.5,63,110,215269,215979,215624,nlpE,,0
b0193,yaeF,7,8,0,32,24,10,18,30620,115593,15,20,216179,217003,216591,yaeF,,1
b0194,proS,5654,5405,4903,1738,1728,1384,2522,336439.5,152622.5,404,574,217057,218775,217916,proS,,1
b0195,tsaA,114,89,101,126,83,75,165,44087,64101,36,53,218887,219594,219240,tsaA,,1
b0196,rcsF,442,381,399,237,165,134,195,18783,39277,67,87,219591,219995,219793,rcsF,,1
b0197,metQ,33859,25996,33288,345,394,303,285,69015,110217,162,220,220113,220928,220520,metQ,,1
b0198,metI,3245,2373,3179,68,77,55,97,43057.5,67346,48,81,220968,221621,221294,metI,,1
b0199,metN,4328,3421,3927,80,52,42,122,35411,87549,47,75,221614,222645,222129,metN,,1
b0200,gmhB,166,157,168,473,401,322,361,43394,60180,122,189,222833,223408,223120,gmhB,,0
b0207,dkgB,123,91,140,42,39,36,37,35841,102785.5,14,19,229167,229970,229568,dkgB,,0
b0208,yafC,167,80,134,107,91,87,65,39092.5,113488.5,35,68,229967,230881,230424,yafC,,1
b0209,yafD,548,399,478,328,304,256,157,25701.5,73370.5,240,297,231122,231922,231522,yafD,,0
b0210,yafE,9,17,8,50,35,29,41,18554.5,70086.5,114,85,231926,232549,232237,yafE,,0
b0211,mltD,508,436,384,1933,1305,1116,2305,294508.5,136010.5,790,981,232597,233955,233276,mltD,,1
b0212,gloB,61,42,57,148,188,137,136,39005.5,95036.5,27,58,234027,234782,234404,gloB,,1
b0213,yafS,55,58,76,161,127,110,98,35371.5,91097,59,95,234816,235538,235177,yafS,,0
b0214,rnhA,99,122,105,138,100,76,149,26709.5,49985,40,50,235535,236002,235768,rnhA,,1
b0215,dnaQ,791,484,668,267,229,174,295,80763,107187.5,85,100,236067,236798,236432,dnaQ,,0
b0217,yafT,11,10,12,21,12,7,31,50211.5,113530,0,2,237335,238120,237727,yafT,,0
b0219,yafV,66,55,58,132,160,111,67,22221.5,73390.5,75,100,239419,240189,239804,yafV,,1
b0220,ivy,357,350,332,119,155,122,79,133507.5,62674,108,189,240343,240816,240579,ivy,,0
b0221,fadE,731,581,820,74,106,61,116,38163,215958,80,150,240859,243303,242081,fadE,,1
b0222,gmhA,262,188,225,766,837,635,714,63357.5,55177,84,133,243543,244121,243832,gmhA,,0
b0223,yafJ,269,211,323,249,236,160,218,62907.5,69258,58,98,244327,245094,244710,yafJ,,0
b0224,yafK,283,192,408,387,231,198,385,228802.5,106281.5,199,279,245065,245805,245435,yafK,,1
b0225,yafQ,645,438,459,93,49,40,97,37860.5,40573.5,47,96,245961,246239,246100,yafQ,,1
b0226,dinJ,72,54,55,97,81,82,66,44081,29362.5,79,98,246242,246502,246372,dinJ,,1
b0227,yafL,4,3,3,8,8,2,5,12175,70268,11,9,246712,247461,247086,yafL,,0
b0228,rayT,7,7,9,125,159,100,76,18117,68318,11,11,247637,248134,247885,rayT,,0
b0231,dinB,148,122,149,73,55,57,55,33479,98467.5,60,81,250898,251953,251425,dinB,,0
b0232,yafN,10,15,22,13,15,7,13,20692.5,40452.5,7,10,252005,252298,252151,yafN,,0
b0233,yafO,59,29,53,7,2,5,5,23378.5,60126,2,5,252301,252699,252500,yafO,,0
b0234,yafP,14,10,11,8,7,7,4,15472.5,66318.5,0,7,252709,253161,252935,yafP,,0
b0237,pepD,1908,1511,1755,4469,4811,3845,3514,228156.5,167405,473,817,254259,255716,254987,pepD,,1
b0238,gpt,406,344,313,448,264,237,635,109965,12002.5,41,63,255977,256435,256206,gpt,,0
b0340,cynS,20,22,13,8,3,10,8,5317.5,34073,1,4,359489,359959,359724,cynS,,0
b0341,cynX,20,12,9,14,12,8,8,20915.5,74692,2,7,359992,361146,360569,cynX,,0
b0342,lacA,7,5,1,8,6,1,4,8666.5,68918,3,6,361249,361860,361554,lacA,,1
b0343,lacY,20,8,13,8,12,4,14,35918.5,116218.5,8,10,361926,363179,362552,lacY,,1
b0344,lacZ,26,30,33,111,129,89,77,31184.5,194228,30,49,363231,366305,364768,lacZ,,1
b0345,lacI,128,140,133,140,131,91,139,16424.5,65831,31,60,366428,367510,366969,lacI,,1
b0346,mhpR,214,206,280,59,96,44,99,12657,52234.5,28,34,367587,368420,368003,mhpR,,1
b0347,mhpA,7,11,13,4,2,2,2,16267,96138,2,4,368611,370275,369443,mhpA,,0
b0348,mhpB,10,9,17,0,2,1,0,10886.5,61315,0,2,370277,371221,370749,mhpB,,0
b0349,mhpC,15,24,25,2,2,1,2,290834.5,119886.5,2,2,371239,372105,371672,mhpC,,0
b0350,mhpD,25,18,29,3,3,0,5,526880,84506.5,1,1,372115,372924,372519,mhpD,,0
b0351,mhpF,14,5,7,9,5,5,2,321175.5,86112.5,4,8,372921,373871,373396,mhpF,,0
b0352,mhpE,55,39,63,4,10,12,5,288710,91533,11,3,373868,374881,374374,mhpE,,0
b0353,mhpT,13,15,15,22,15,9,13,154688.5,106470.5,9,14,375459,376670,376064,mhpT,,0
b0354,yaiL,161,138,126,193,212,143,201,93246,61978,50,70,376772,377311,377041,yaiL,,0
b0355,frmB,1736,1942,1075,124,131,91,141,59313,90487,16,34,377535,378368,377951,frmB,,1
b0356,frmA,3388,3918,2149,362,391,320,402,33114.5,100155,45,55,378462,379571,379016,frmA,,1
b0357,frmR,1789,2048,1077,72,80,69,64,18919.5,23644,16,21,379606,379881,379743,frmR,,1
b0358,yaiO,12,8,5,8,7,8,0,15194,91041,3,13,380069,380842,380455,yaiO,,1
b0363,yaiP,11,11,13,1,4,1,1,35876,134904,5,9,382739,383935,383337,yaiP,,1
b0364,yaiS,0,0,0,1,0,1,0,7323.5,85417,1,1,384059,384616,384337,yaiS,,1
b0365,tauA,77,58,45,0,1,3,0,16911.5,86782,0,2,385232,386194,385713,tauA,,0
b0366,tauB,68,70,53,0,4,1,1,14126,70007,3,2,386207,386974,386590,tauB,,0
b0367,tauC,11,16,14,2,1,0,2,21061.5,72608,0,1,386971,387798,387384,tauC,,0
b0368,tauD,2,7,8,9,7,8,11,15502,76371.5,9,10,387795,388646,388220,tauD,,0
b0369,hemB,968,945,896,746,729,588,772,64402,97107,141,198,388753,389727,389240,hemB,,1
b0375,yaiV,3,0,0,9,4,3,2,14244,94692.5,3,3,394506,395129,394817,yaiV,,0
b0376,ampH,88,85,105,182,140,128,112,57951,115284,58,73,395130,396287,395708,ampH,,1
b0377,sbmA,76,72,72,94,58,49,86,69224.5,133524.5,38,75,396639,397859,397249,sbmA,,0
b0378,yaiW,120,127,153,99,79,67,77,39663.5,105799.5,48,82,397872,398966,398419,yaiW,,0
b0379,yaiY,2,0,0,3,2,5,3,11431.5,35243.5,8,9,399025,399333,399179,yaiY,,1
b0380,yaiZ,77,46,65,39,37,38,26,18400,29501.5,64,93,399593,399805,399699,yaiZ,,0
b0381,ddlA,141,125,153,647,625,446,553,91027,123298.5,153,234,399829,400923,400376,ddlA,,1
b0382,iraP,261,178,319,152,157,122,84,10392.5,35234.5,75,78,401386,401646,401516,iraP,,0
b0383,phoA,125,98,155,109,83,73,94,27667.5,132962,66,68,401747,403162,402454,phoA,,0
b0384,psiF,38,33,84,35,32,21,18,13400.5,46097,32,47,403281,403601,403441,psiF,,0
b0385,yaiC,4,3,13,10,6,6,9,23791.5,112494,8,12,403703,404818,404260,yaiC,,0
b0386,proC,150,127,188,352,322,252,332,38259,77155.5,97,132,404835,405644,405239,proC,,1
b0387,yaiI,69,45,58,350,244,198,262,37194.5,41344,76,88,405764,406222,405993,yaiI,,0
b0388,aroL,298,308,232,249,185,166,231,73017,62968,145,232,406405,406929,406667,aroL,,0
b0389,yaiA,121,98,116,64,48,42,42,36730.5,30073.5,78,84,406979,407170,407074,yaiA,,0
b0390,aroM,52,42,51,64,45,41,77,52966,101795.5,27,36,407428,408105,407766,aroM,,0
b0391,yaiE,35,35,42,438,424,423,257,26964,31829.5,90,97,408177,408461,408319,yaiE,,0
b0393,rdgC,833,766,646,222,227,193,385,75252.5,111408.5,45,63,409108,410019,409563,rdgC,,1
b0394,mak,132,142,154,173,212,146,119,28659,87738,69,89,410144,411052,410598,mak,,0
b0396,araJ,72,54,71,52,32,21,34,36036,127601.5,19,37,411297,412481,411889,araJ,,1
b0397,sbcC,262,152,185,141,168,131,220,106586,319684,91,141,412607,415753,414180,sbcC,,1
b0398,sbcD,157,157,172,144,118,78,144,37522.5,121880.5,42,61,415750,416952,416351,sbcD,,1
b0399,phoB,284,162,251,50,50,32,39,22060,79265,20,40,417142,417831,417486,phoB,,0
