Locus_tag,gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand,norm_exp
b0397,sbcC,412607,415753,414180,sbcC,,1,86.7030533957997
b0398,sbcD,415750,416952,416351,sbcD,,1,46.4924513846772
b0399,phoB,417142,417831,417486,phoB,,0,41.7797216689475
b0400,phoR,417889,419184,418536,phoR,,0,25.4769264491768
b0401,brnQ,419591,420910,420250,brnQ,,0,150.751839998516
b0402,proY,420986,422359,421672,proY,,0,63.814534540461
b0403,malZ,422518,424332,423425,malZ,,0,40.3415016142816
b0404,acpH,424337,424918,424627,acpH,,1,21.1199953764371
b0405,queA,425011,426081,425546,queA,,0,120.790724644069
b0406,tgt,426137,427264,426700,tgt,,0,199.483275310393
b0407,yajC,427287,427619,427453,yajC,,0,268.911560487551
b0408,secD,427647,429494,428570,secD,,0,483.961636880278
b0409,secF,429505,430476,429990,secF,,0,210.435867108024
b0410,yajD,430605,430952,430778,yajD,,0,50.8417156250421
b0411,tsx,431129,432013,431571,tsx,,1,696.490321423403
b0412,yajI,432312,432851,432581,yajI,,1,12.4611456508092
b0413,nrdR,433002,433451,433226,nrdR,,0,96.1387103439057
b0414,ribD,433455,434558,434006,ribD,,0,159.109869402271
b0415,ribE,434647,435117,434882,ribE,,0,224.992812690601
b0416,nusB,435137,435556,435346,nusB,,0,200.145713965048
b0417,thiL,435634,436611,436122,thiL,,0,128.248130332668
b0418,pgpA,436589,437107,436848,pgpA,,0,115.732667982606
b0419,yajO,437161,438135,437648,yajO,,1,260.891367966169
b0420,dxs,438315,440177,439246,dxs,,1,275.274031970732
b0421,ispA,440202,441101,440651,ispA,,1,203.142401208413
b0422,xseB,441101,441343,441222,xseB,,1,101.83848825499
b0423,thiI,441549,442997,442273,thiI,,0,170.012797828966
b0424,yajL,443051,443641,443346,yajL,,1,78.8990493261062
b0425,panE,443604,444515,444059,panE,,1,99.5618254321448
b0426,yajQ,444683,445174,444928,yajQ,,0,228.695809609866
b0427,yajR,445302,446666,445984,yajR,,1,38.3606473754615
b0428,cyoE,446815,447705,447260,cyoE,,1,312.469696096818
b0429,cyoD,447717,448046,447881,cyoD,,1,121.663084709437
b0430,cyoC,448046,448660,448353,cyoC,,1,327.149204478735
b0431,cyoB,448650,450641,449645,cyoB,,1,914.158052758236
b0432,cyoA,450663,451610,451136,cyoA,,1,621.168761541845
b0433,ampG,452070,453545,452807,ampG,,1,80.846847142726
b0434,yajG,453589,454167,453878,yajG,,1,154.40848464388
b0435,bolA,454472,454789,454630,bolA,,0,145.078773374666
b0436,tig,455133,456431,455782,tig,,0,1370.4968523213
b0437,clpP,456677,457300,456988,clpP,,0,536.483065000035
b0438,clpX,457426,458700,458063,clpX,,0,801.947079458767
b0439,lon,458888,461242,460065,lon,,0,634.322132265117
b0440,hupB,461451,461723,461587,hupB,,0,575.624953286015
b0441,ppiD,461915,463786,462850,ppiD,,0,602.633978838609
b0442,ybaV,463937,464308,464122,ybaV,,0,31.8523460670106
b0443,fadM,464402,464800,464601,fadM,,0,20.2473441970342
b0444,queC,464852,465547,465199,queC,,1,70.8831186747165
b0445,ybaE,465612,467312,466462,ybaE,,1,50.570508784707
b0446,cof,467412,468230,467821,cof,,0,55.6209730220482
b0447,ybaO,468383,468841,468612,ybaO,,0,17.3000003998596
b0448,mdlA,468871,470643,469757,mdlA,,0,55.4235078264094
b0449,mdlB,470636,472417,471526,mdlB,,0,45.8116997549995
b0450,glnK,472598,472936,472767,glnK,,0,8.59866041667148
b0451,amtB,472966,474252,473609,amtB,,0,42.6587261856423
b0452,tesB,474301,475161,474731,tesB,,1,60.4709328916973
b0453,ybaY,475379,475951,475665,ybaY,,0,78.8354690006856
b0454,ybaZ,475982,476371,476176,ybaZ,,1,31.1635995488486
b0456,ybaA,476672,477025,476848,ybaA,,0,7.68607181930558
b0457,ylaB,477067,478617,477842,ylaB,,1,62.8825967042714
b0458,ylaC,478781,479251,479016,ylaC,,1,98.8283279880242
b0459,maa,479367,479918,479642,maa,,1,41.0553946929938
b0460,hha,480090,480308,480199,hha,,1,59.7769941440902
b0461,tomB,480334,480708,480521,tomB,,1,89.0599022222926
b0462,acrB,481254,484403,482828,acrB,,1,619.257936861328
b0463,acrA,484426,485619,485022,acrA,,1,277.580739270908
b0464,acrR,485761,486408,486084,acrR,,0,43.7360024752968
b0465,mscK,486536,489898,488217,mscK,,0,169.603322739388
b0466,ybaM,490110,490271,490190,ybaM,,1,9.15817303414244
b0467,priC,490285,490812,490548,priC,,1,38.3178284266203
b0468,ybaN,490882,491259,491070,ybaN,,0,18.2899045355951
b0469,apt,491412,491963,491687,apt,,0,103.25367899355
b0470,dnaX,492092,494023,493057,dnaX,,0,306.42571718694
b0471,ybaB,494076,494405,494240,ybaB,,0,172.014594844883
b0472,recR,494405,495010,494707,recR,,0,139.865325182795
b0473,htpG,495120,496994,496057,htpG,,0,440.434875697404
b0474,adk,497175,497819,497497,adk,,0,312.071167402174
b0475,hemH,498055,499017,498536,hemH,,0,78.6469476436867
b0476,aes,499014,499973,499493,aes,,1,31.3093547375813
b0477,gsk,500125,501429,500777,gsk,,0,124.709872611143
b0478,ybaL,501562,503238,502400,ybaL,,1,229.67975744598
b0479,fsr,503476,504696,504086,fsr,,1,45.1750512504276
b0480,ushA,504914,506566,505740,ushA,,0,284.80568739251
b0481,ybaK,506603,507082,506842,ybaK,,1,34.6620646117122
b0482,ybaP,507286,508080,507683,ybaP,,1,39.0758367816855
b0483,ybaQ,508218,508559,508388,ybaQ,,0,32.2361698035124
b0484,copA,508875,511379,510127,copA,,1,391.348049694917
b0485,glsA,511641,512573,512107,glsA,,0,65.3810633879178
b0486,ybaT,512576,513868,513222,ybaT,,0,86.440097990509
b0487,cueR,513993,514400,514196,cueR,,0,42.9928040185551
b0488,ybbJ,514401,514859,514630,ybbJ,,1,59.6857518063404
b0489,qmcA,514856,515773,515314,qmcA,,1,131.288965237354
b0492,ybbN,517425,518279,517852,ybbN,,1,154.353149201037
b0493,ybbO,518340,519149,518744,ybbO,,1,60.1908572981712
b0494,tesA,519139,519765,519452,tesA,,1,79.3432800636203
b0495,ybbA,519733,520419,520076,ybbA,,0,50.6504053379969
b0496,ybbP,520416,522830,521623,ybbP,,0,69.0790362937202
b0497,rhsD,523261,527541,525401,rhsD,,0,31.2808856532853
b0498,ybbC,527581,527949,527765,ybbC,,0,5.14965618732208
b0504,allS,531295,532221,531758,allS,,1,9.54164906205453
b0505,allA,532451,532933,532692,allA,,0,15.3542762767416
b0506,allR,533011,533826,533418,allR,,0,162.040158792078
b0507,gcl,533916,535697,534806,gcl,,0,11.8343574920582
b0508,hyi,535710,536486,536098,hyi,,0,5.48718408858142
b0509,glxR,536586,537464,537025,glxR,,0,10.2099445755531
b0511,ybbW,537633,539087,538360,ybbW,,0,3.6636097968787
b0512,allB,539147,540508,539827,allB,,0,90.9420225669963
b0513,ybbY,540565,541866,541215,ybbY,,0,5.08687037477397
b0514,glxK,541888,543033,542460,glxK,,0,5.25200237124227
b0516,allC,544057,545292,544674,allC,,1,16.1817002993187
b0517,allD,545314,546363,545838,allD,,1,7.58190870160254
b0518,fdrA,546680,548347,547513,fdrA,,0,0.5886629372252
b0520,ylbF,549627,550442,550034,ylbF,,0,1.67243966962343
b0521,ybcF,550439,551332,550885,ybcF,,0,5.02647994627412
b0522,purK,551527,552594,552060,purK,,1,98.0941323281097
b0523,purE,552591,553100,552845,purE,,1,46.9190815205039
b0524,lpxH,553218,553940,553579,lpxH,,1,70.3990753177029
b0525,ppiB,553943,554437,554190,ppiB,,1,539.589114549831
b0526,cysS,554611,555996,555303,cysS,,0,213.370856165114
b0527,ybcI,556032,556553,556292,ybcI,,1,6.0776471419897
b0528,ybcJ,556661,556873,556767,ybcJ,,1,21.4214521199432
b0529,folD,556875,557741,557308,folD,,1,213.150607661273
b0530,sfmA,558212,558754,558483,sfmA,,0,0.304668268922267
b0531,sfmC,558974,559666,559320,sfmC,,0,0.60657544943086
b0532,sfmD,559697,562300,560998,sfmD,,0,5.48017599196215
b0533,sfmH,562336,563319,562827,sfmH,,0,0.737349809227923
b0534,sfmF,563330,563845,563587,sfmF,,0,1.1531372194117
b0537,intD,564815,565978,565396,intD,,1,71.3543594704445
b0543,emrE,568315,568647,568481,emrE,,0,14.7688785676552
b0544,ybcK,568902,570428,569665,ybcK,,0,4.02805993536516
b0545,ybcL,570893,571444,571168,ybcL,,0,10.675047607617
b0546,ybcM,571454,572251,571852,ybcM,,0,25.4359754308909
b0547,ybcN,572466,572921,572693,ybcN,,0,2.24550304097668
b0548,ninE,572921,573091,573006,ninE,,0,0
b0549,ybcO,573084,573374,573229,ybcO,,0,0.584826181898329
b0550,rusA,573371,573733,573552,rusA,,0,0.064871642373534
b0551,quuD,573956,574339,574147,quuD,,0,0.657302230257732
b0554,essD,577398,577613,577505,essD,,0,2.26294237604674
b0555,rrrD,577613,578110,577861,rrrD,,0,7.21573605203193
b0556,rzpD,578107,578568,578337,rzpD,,0,2.9793235787119
b0557,borD,578600,578893,578746,borD,,1,21.769039862461
b0558,ybcV,579184,579594,579389,ybcV,,1,1.11921363664956
b0559,ybcW,579880,580086,579983,ybcW,,0,5.64389626769249
b0560,nohD,580834,581379,581106,nohD,,0,1.42555432727855
b0564,appY,583681,584430,584055,appY,,0,17.1051870253314
b0565,ompT,584680,585633,585156,ompT,,1,1201.13479299215
b0566,envY,586147,586908,586527,envY,,1,4.96452046322171
b0567,ybcH,587091,587981,587536,ybcH,,1,13.1497288079004
b0568,nfrA,587982,590954,589468,nfrA,,1,67.0560215647025
b0569,nfrB,590941,593178,592059,nfrB,,1,32.0651207770707
b0570,cusS,593328,594770,594049,cusS,,1,22.7917389522868
b0571,cusR,594760,595443,595101,cusR,,1,36.5150199241634
b0572,cusC,595600,596973,596286,cusC,,0,5.61376339910128
b0573,cusF,597131,597463,597297,cusF,,0,1.60828802110019
b0574,cusB,597479,598702,598090,cusB,,0,4.4752195987414
b0575,cusA,598714,601857,600285,cusA,,0,15.7096218337811
b0576,pheP,601959,603335,602647,pheP,,0,53.8205588904586
b0577,ybdG,603416,604663,604039,ybdG,,1,68.0226994450432
b0578,nfsB,604771,605424,605097,nfsB,,1,97.0960705126251
b0579,ybdF,605518,605886,605702,ybdF,,1,21.0290500339463
b0580,ybdJ,605951,606199,606075,ybdJ,,1,9.25017806184406
b0581,ybdK,606265,607383,606824,ybdK,,1,90.4836384342543
b0583,entD,609459,610079,609769,entD,,1,14.4493789374039
b0584,fepA,610254,612494,611374,fepA,,1,134.821129138288
b0585,fes,612737,613939,613338,fes,,0,26.0099049208412
b0586,entF,614157,618038,616097,entF,,0,150.907282660298
b0587,fepE,618254,619387,618820,fepE,,0,0.658746633973073
b0588,fepC,619384,620199,619791,fepC,,1,16.4738323126379
b0589,fepG,620196,621188,620692,fepG,,1,14.4430586309856
b0590,fepD,621185,622189,621687,fepD,,1,13.1955276197427
b0591,entS,622300,623550,622925,entS,,0,31.2606688642074
b0592,fepB,623554,624510,624032,fepB,,1,18.7610153512497
