Locus_tag,GSE73673_6,GSE73673_7,GSE73673_8,gene_id,GSE85914,gbk_locus_tag,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand
b0133,173,111,110,panC,112,BW25113_RS00665,144431,145282,144856,,BW25113_0133,1
b0134,121,68,65,panB,841,BW25113_RS00670,145294,146088,145691,,BW25113_0134,1
b0135,7,3,1,yadC,8,BW25113_RS00675,146202,147440,146821,,BW25113_0135,1
b0136,2,1,0,yadK,7,BW25113_RS00680,147490,148086,147788,,BW25113_0136,1
b0137,4,1,2,yadL,2,BW25113_RS00685,148113,148718,148415,,BW25113_0137,1
b0138,2,0,0,yadM,2,BW25113_RS00690,148730,149299,149014,,BW25113_0138,1
b0139,13,2,3,htrE,1,BW25113_RS00695,149316,151913,150614,,BW25113_0139,1
b0140,1,2,3,yadV,0,BW25113_RS00700,151948,152688,152318,,BW25113_0140,1
b0141,1,2,0,yadN,0,BW25113_RS00705,152786,153370,153078,,BW25113_0141,1
b0142,11,2,4,folK,18,BW25113_RS00710,153740,154219,153979,,BW25113_0142,1
b0143,90,58,45,pcnB,255,BW25113_RS00715,154216,155634,154925,,BW25113_0143,1
b0144,11,2,11,gluQ,20,BW25113_RS00720,155673,156599,156136,,BW25113_0144,1
b0145,436,108,149,dksA,219,BW25113_RS00725,156636,157091,156863,,BW25113_0145,1
b0146,104,33,34,sfsA,73,BW25113_RS00730,157269,157973,157621,,BW25113_0146,1
b0147,9,8,8,ligT,133,BW25113_RS00735,157988,158518,158253,,BW25113_0147,1
b0148,42,22,22,hrpB,9,BW25113_RS00740,158592,161021,159806,,BW25113_0148,0
b0149,85,57,43,mrcB,97,BW25113_RS00750,161217,163751,162484,,BW25113_0149,0
b0150,682,324,324,fhuA,733,BW25113_RS00755,163971,166214,165092,,BW25113_0150,0
b0151,56,29,28,fhuC,20,BW25113_RS00760,166265,167062,166663,,BW25113_0151,0
b0152,45,21,11,fhuD,37,BW25113_RS00765,167062,167952,167507,,BW25113_0152,0
b0153,32,15,25,fhuB,6,BW25113_RS00770,167949,169931,168940,,BW25113_0153,0
b0154,131,47,63,hemL,189,BW25113_RS00775,170089,171369,170729,,BW25113_0154,1
b0155,47,22,26,clcA,53,BW25113_RS00780,171594,173015,172304,,BW25113_0155,0
b0156,97,50,51,erpA,62,BW25113_RS00785,173097,173441,173269,,BW25113_0156,0
b0157,11,9,4,yadS,3,BW25113_RS00790,173488,174111,173799,,BW25113_0157,1
b0158,13,5,5,btuF,24,BW25113_RS00795,174149,174949,174549,,BW25113_0158,1
b0159,123,65,73,mtn,276,BW25113_RS00800,174942,175640,175291,,BW25113_0159,1
b0160,33,15,9,dgt,24,BW25113_RS00805,175724,177241,176482,,BW25113_0160,0
b0161,73,45,53,degP,73,BW25113_RS00810,177371,178795,178083,,BW25113_0161,0
b0162,13,5,5,cdaR,1,BW25113_RS00815,178950,180107,179528,,BW25113_0162,0
b0163,130,54,70,yaeH,210,BW25113_RS00820,180196,180582,180389,,BW25113_0163,1
b0164,11,1,5,yaeI,11,BW25113_RS00825,180744,181556,181150,,BW25113_0164,1
b0166,345,229,227,dapD,382,BW25113_RS00830,181610,182434,182022,,BW25113_0166,1
b0167,90,56,63,glnD,293,BW25113_RS00835,182465,185137,183801,,BW25113_0167,1
b0168,130,79,84,map,2050,BW25113_RS00840,185199,185993,185596,,BW25113_0168,1
b0169,1170,678,692,rpsB,591,BW25113_RS00845,186361,187086,186723,,BW25113_0169,0
b0170,537,270,247,tsf,177,BW25113_RS00850,187344,188195,187769,,BW25113_0170,0
b0171,78,35,29,pyrH,37,BW25113_RS00855,188342,189067,188704,,BW25113_0171,0
b0172,221,130,118,frr,82,BW25113_RS00860,189359,189916,189637,,BW25113_0172,0
b0173,46,20,28,dxr,81,BW25113_RS00865,190008,191204,190606,,BW25113_0173,0
b0174,62,36,26,ispU,44,BW25113_RS00870,191390,192151,191770,,BW25113_0174,0
b0175,44,18,15,cdsA,30,BW25113_RS00875,192164,193021,192592,,BW25113_0175,0
b0176,136,93,66,rseP,52,BW25113_RS00880,193033,194385,193709,,BW25113_0176,0
b0177,577,304,324,bamA,373,BW25113_RS00885,194415,196847,195631,,BW25113_0177,0
b0178,290,151,182,skp,734,BW25113_RS00890,196969,197454,197211,,BW25113_0178,0
b0179,395,184,215,lpxD,530,BW25113_RS00895,197458,198483,197970,lpxD,BW25113_0179,0
b0180,128,70,65,fabZ,114,BW25113_RS00900,198588,199043,198815,,BW25113_0180,0
b0181,168,70,101,lpxA,81,BW25113_RS00905,199047,199835,199441,,BW25113_0181,0
b0182,77,39,53,lpxB,34,BW25113_RS00910,199835,200983,200409,,BW25113_0182,0
b0183,24,12,10,rnhB,55,BW25113_RS00915,200980,201576,201278,,BW25113_0183,0
b0184,110,66,54,dnaE,31,BW25113_RS00920,201613,205095,203354,,BW25113_0184,0
b0185,87,36,48,accA,165,BW25113_RS00925,205108,206067,205587,,BW25113_0185,0
b0186,103,44,53,ldcC,108,BW25113_RS00930,206166,208307,207236,,BW25113_0186,0
b0187,15,8,6,yaeR,421,BW25113_RS00935,208364,208753,208558,,BW25113_0187,0
b0188,28,15,14,tilS,14,BW25113_RS00940,208818,210116,209467,,BW25113_0188,0
b0189,35,16,16,rof,162,BW25113_RS00945,210165,210419,210292,,BW25113_0189,1
b0190,14,4,7,yaeQ,30,BW25113_RS00955,210778,211323,211050,,BW25113_0190,0
b0191,21,2,10,arfB,58,BW25113_RS00960,211320,211742,211531,,BW25113_0191,0
b0192,36,19,13,nlpE,75,BW25113_RS00965,211756,212466,212111,,BW25113_0192,0
b0193,17,0,2,yaeF,11,BW25113_RS00970,212666,213490,213078,,BW25113_0193,1
b0194,225,127,146,proS,84,BW25113_RS00975,213544,215262,214403,,BW25113_0194,1
b0195,11,7,8,tsaA,13,BW25113_RS00980,215374,216081,215727,,BW25113_0195,1
b0196,32,12,8,rcsF,277,BW25113_RS00985,216078,216482,216280,,BW25113_0196,1
b0197,446,216,250,metQ,262,BW25113_RS00990,216600,217415,217007,metQ,BW25113_0197,1
b0198,51,25,27,metI,247,BW25113_RS00995,217455,218108,217781,,BW25113_0198,1
b0199,48,29,29,metN,31,BW25113_RS01000,218101,219132,218616,,BW25113_0199,1
b0200,60,25,28,gmhB,54,BW25113_RS01005,219320,219895,219607,,BW25113_0200,0
b0207,24,10,12,dkgB,25,BW25113_RS01040,225654,226457,226055,,BW25113_0207,0
b0208,27,13,13,yafC,53,BW25113_RS01045,226454,227368,226911,,BW25113_0208,1
b0209,112,60,49,yafD,247,BW25113_RS01050,227609,228409,228009,,BW25113_0209,0
b0210,15,2,12,yafE,84,BW25113_RS01055,228413,229036,228724,,BW25113_0210,0
b0211,272,114,149,mltD,102,BW25113_RS01060,229084,230442,229763,,BW25113_0211,1
b0212,44,20,19,gloB,55,BW25113_RS01065,230514,231269,230891,,BW25113_0212,1
b0213,26,12,13,yafS,19,BW25113_RS01070,231303,232025,231664,,BW25113_0213,0
b0214,16,5,13,rnhA,74,BW25113_RS01075,232022,232489,232255,,BW25113_0214,1
b0215,39,16,27,dnaQ,321,BW25113_RS01080,232554,233285,232919,,BW25113_0215,0
b0217,4,2,1,yafT,4,BW25113_RS01090,233822,234607,234214,,BW25113_0217,0
b0219,25,15,10,yafV,33,BW25113_RS01110,235906,236676,236291,,BW25113_0219,1
b0220,165,90,106,ivy,72,BW25113_RS01115,236830,237303,237066,,BW25113_0220,0
b0221,13,8,6,fadE,117,BW25113_RS01120,237346,239790,238568,fadE,BW25113_0221,1
b0222,93,39,45,gmhA,139,BW25113_RS01125,240030,240608,240319,,BW25113_0222,0
b0223,80,35,37,yafJ,511,BW25113_RS01130,240814,241581,241197,,BW25113_0223,0
b0224,98,42,51,yafK,266,BW25113_RS01135,241552,242292,241922,,BW25113_0224,1
b0225,35,13,16,yafQ,700,BW25113_RS01140,242448,242726,242587,,BW25113_0225,1
b0226,36,18,19,dinJ,1621,BW25113_RS01145,242729,242989,242859,,BW25113_0226,1
b0227,3,0,2,yafL,4,BW25113_RS01150,243199,243948,243573,,BW25113_0227,0
b0228,5,4,2,rayT,26,BW25113_RS01155,244124,244621,244372,,BW25113_0228,0
b0231,9,5,1,dinB,29,BW25113_RS01170,247385,248440,247912,,BW25113_0231,0
b0232,9,2,5,yafN,65,BW25113_RS01175,248492,248785,248638,,BW25113_0232,0
b0233,7,4,1,yafO,47,BW25113_RS01180,248788,249186,248987,,BW25113_0233,0
b0234,3,2,2,yafP,20,BW25113_RS01185,249196,249648,249422,,BW25113_0234,0
b0237,336,167,203,pepD,220,BW25113_RS01200,250746,252203,251474,,BW25113_0237,1
b0238,14,11,11,gpt,120,BW25113_RS01205,252464,252922,252693,,BW25113_0238,0
b0239,59,43,21,frsA,104,BW25113_RS01210,253014,254258,253636,frsA,BW25113_0239,0
b0241,12,6,4,phoE,2,BW25113_RS01220,254756,255811,255283,,BW25113_0241,1
b0242,42,13,16,proB,148,BW25113_RS01225,256099,257202,256650,,BW25113_0242,0
b0243,132,69,72,proA,311,BW25113_RS01230,257214,258467,257840,,BW25113_0243,0
b0245,45,13,23,ykfI,1,BW25113_RS01240,259039,259380,259209,,BW25113_0245,1
b0246,5,5,1,yafW,1,BW25113_RS01245,259401,259718,259559,,BW25113_0246,1
b0247,6,1,1,ykfG,2,BW25113_RS01250,259967,260443,260205,,BW25113_0247,1
b0248,4,1,3,yafX,0,BW25113_RS01255,260459,260917,260688,,BW25113_0248,1
b0249,0,0,0,ykfF,3,BW25113_RS01260,261015,261254,261134,,BW25113_0249,1
b0250,6,6,4,ykfB,1019,BW25113_RS01265,261331,261798,261564,,BW25113_0250,1
b0251,7,3,6,yafY,51,BW25113_RS24905,261821,262678,262249,,,1
b0252,10,1,0,yafZ,0,BW25113_RS01280,262895,263716,263305,,BW25113_0252,1
b0253,7,5,7,ykfA,22,BW25113_RS01285,263808,264671,264239,,BW25113_0253,1
b0254,6,5,9,perR,12,BW25113_RS01290,265000,265893,265446,,BW25113_0254,1
b0256,0,0,0,insI1,17,BW25113_RS01300,266314,267465,266889,,BW25113_0256,0
b0259,11,4,5,insH1,187,BW25113_RS01325,269812,270828,270320,,BW25113_0259,1
b0260,3,2,2,mmuP,5,BW25113_RS01330,271036,272439,271737,,BW25113_0260,0
b0261,4,5,2,mmuM,21,BW25113_RS01335,272426,273358,272892,,BW25113_0261,0
b0262,9,9,5,afuC,6,BW25113_RS01340,273467,274513,273990,fbpC,BW25113_0262,1
b0264,2,0,1,insB1,3,BW25113_RS01350,274889,275586,275237,,BW25113_0264,1
b0267,18,15,10,yagA,0,BW25113_RS01370,276540,277694,277117,,BW25113_0267,1
b0268,2,1,1,yagE,5,BW25113_RS01375,277989,278897,278443,,BW25113_0268,0
b0269,4,4,1,yagF,4,BW25113_RS01380,278912,280879,279895,,BW25113_0269,0
b0270,4,3,0,yagG,8,BW25113_RS01385,281106,282488,281797,,BW25113_0270,0
b0271,19,5,4,yagH,4,BW25113_RS01390,282500,284110,283305,,BW25113_0271,0
b0272,6,4,3,yagI,27,BW25113_RS01395,284115,284873,284494,,BW25113_0272,1
b0273,68,46,51,argF,25,BW25113_RS01400,285012,286016,285514,,BW25113_0273,1
b0274,45,49,46,insB1,3,BW25113_RS01405,286360,287057,286708,,BW25113_0274,1
b0277,7,4,1,yagK,2,BW25113_RS01415,288033,288659,288346,,BW25113_0277,1
b0278,5,1,3,yagL,0,BW25113_RS01420,288931,289629,289280,,BW25113_0278,1
b0279,6,4,0,yagM,0,BW25113_RS01425,289656,290510,290083,,BW25113_0279,1
b0280,2,1,0,yagN,285,BW25113_RS01435,290850,291290,291070,,BW25113_0280,1
b0281,44,28,26,intF,110,BW25113_RS01440,291407,292807,292107,,BW25113_0281,1
b0283,8,8,2,paoD,11,BW25113_RS01455,293481,294437,293959,,BW25113_0283,1
b0284,20,5,15,paoC,29,BW25113_RS01460,294447,296645,295546,,BW25113_0284,1
b0285,8,3,0,paoB,36,BW25113_RS01465,296642,297598,297120,,BW25113_0285,1
b0286,9,3,3,paoA,25,BW25113_RS01470,297595,298284,297939,,BW25113_0286,1
b0287,6,5,3,yagU,139,BW25113_RS01475,298702,299316,299009,,BW25113_0287,0
b0288,107,65,60,ykgJ,4,BW25113_RS01480,299564,299893,299728,,BW25113_0288,1
b0289,13,2,4,ecpE,8,BW25113_RS01485,300206,300916,300561,,BW25113_0289,1
b0290,16,3,5,ecpD,24,BW25113_RS01490,300885,302528,301706,,BW25113_0290,1
b0291,18,5,6,ecpC,5,BW25113_RS01495,302518,305043,303780,,BW25113_0291,1
b0292,1,0,1,ecpB,2,BW25113_RS01500,305069,305737,305403,,BW25113_0292,1
b0293,1,0,0,ecpA,13,BW25113_RS01505,305795,306382,306088,,BW25113_0293,1
b0294,7,2,2,ecpR,0,BW25113_RS01510,306457,307047,306752,,BW25113_0294,1
b0295,0,0,0,ykgL,1,BW25113_RS01515,307823,308050,307936,,BW25113_0295,0
b0296,0,2,1,ykgM,5,BW25113_RS01525,308225,308488,308356,,BW25113_0296,1
b0298,0,0,0,insE1,18,BW25113_RS01545,311002,312164,311583,,BW25113_0299,0
b0301,3,1,1,rclC,0,BW25113_RS01555,313437,314030,313733,,BW25113_0301,1
b0303,1,0,0,rclB,2,BW25113_RS01560,314042,314278,314160,,BW25113_0303,1
b0304,18,7,11,rclA,18,BW25113_RS01565,314387,315712,315049,,BW25113_0304,1
b0305,11,6,5,rclR,2,BW25113_RS01570,315938,316792,316365,,BW25113_0305,0
b0306,0,1,0,ykgE,5,BW25113_RS01575,317319,318038,317678,,BW25113_0306,0
b0307,9,4,5,ykgF,3,BW25113_RS01580,318049,319476,318762,,BW25113_0307,0
b0308,6,4,3,ykgG,1,BW25113_RS01585,319469,320164,319816,,BW25113_0308,0
b0310,6,4,1,ykgH,0,BW25113_RS01595,320407,321075,320741,,BW25113_0310,1
b0311,6,2,7,betA,32,BW25113_RS01600,321288,322958,322123,,BW25113_0311,1
b0312,20,11,3,betB,196,BW25113_RS01605,322972,324444,323708,,BW25113_0312,1
b0313,2,2,1,betI,188,BW25113_RS01610,324458,325045,324751,,BW25113_0313,1
b0314,12,6,5,betT,34,BW25113_RS01615,325174,327207,326190,,BW25113_0314,0
b0315,6,2,2,yahA,4,BW25113_RS01625,328082,329170,328626,,BW25113_0315,0
b0316,6,4,1,yahB,42,BW25113_RS01630,329212,330144,329678,,BW25113_0316,1
b0317,4,1,3,yahC,0,BW25113_RS01635,330236,330733,330484,,BW25113_0317,1
b0318,3,0,0,yahD,4,BW25113_RS01640,330991,331596,331293,,BW25113_0318,0
b0319,7,3,2,yahE,1,BW25113_RS01645,331636,332499,332067,,BW25113_0319,0
b0320,4,1,1,yahF,2,BW25113_RS01650,332489,334036,333262,,BW25113_0320,0
b0321,4,2,1,yahG,1,BW25113_RS01655,334036,335454,334745,,BW25113_0321,0
b0323,3,0,1,yahI,1,BW25113_RS01665,335876,336826,336351,,BW25113_0323,0
b0324,9,6,2,yahJ,23,BW25113_RS01670,336836,338218,337527,,BW25113_0324,0
b0325,61,29,41,yahK,143,BW25113_RS01675,338595,339644,339119,,BW25113_0325,0
b0326,160,96,89,yahL,1,BW25113_RS01680,339887,340702,340294,,BW25113_0326,0
b0327,0,0,0,yahM,9,BW25113_RS01685,341115,341360,341237,,BW25113_0327,0
b0328,3,2,0,yahN,1,BW25113_RS01690,341377,342048,341712,,BW25113_0328,1
b0329,1,1,1,yahO,10365,BW25113_RS01695,342195,342470,342332,,BW25113_0329,0
b0330,196,90,83,prpR,7,BW25113_RS01700,342568,344154,343361,,BW25113_0330,1
b0331,3,0,0,prpB,1,BW25113_RS01705,344393,345283,344838,,BW25113_0331,0
b0333,4,3,1,prpC,0,BW25113_RS01710,345723,346892,346307,,BW25113_0333,0
b0334,5,2,1,prpD,1,BW25113_RS01715,346926,348377,347651,,BW25113_0334,0
b0335,8,2,1,prpE,0,BW25113_RS01720,348417,350303,349360,,BW25113_0335,0
b0336,14,12,5,codB,18,BW25113_RS01725,350633,351892,351262,,BW25113_0336,0
b0337,41,23,33,codA,163,BW25113_RS01730,351882,353165,352523,,BW25113_0337,0
b0338,18,13,14,cynR,16,BW25113_RS01735,353502,354401,353951,,BW25113_0338,1
b0339,6,1,1,cynT,10,BW25113_RS01740,354510,355169,354839,,BW25113_0339,0
