locus_tag,gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_locus_tag,gbk_strand,norm_exp
ECDH10B_0156,rseP,170650,172002,171326,rseP,ECDH10B_RS00785,0,324.634035645457
ECDH10B_0157,ecfK,172032,174464,173248,bamA,ECDH10B_RS00790,0,1673.3405320462
ECDH10B_0158,skp,174586,175071,174828,skp,ECDH10B_RS00795,0,578.079385657394
ECDH10B_0159,lpxD,175075,176100,175587,lpxD,ECDH10B_RS00800,0,651.398493749733
ECDH10B_0160,fabZ,176205,176660,176432,fabZ,ECDH10B_RS00805,0,222.036345447055
ECDH10B_0161,lpxA,176664,177452,177058,lpxA,ECDH10B_RS00810,0,334.547563024209
ECDH10B_0162,lpxB,177452,178600,178026,lpxB,ECDH10B_RS00815,0,117.369794610976
ECDH10B_0163,rnhB,178597,179193,178895,rnhB,ECDH10B_RS00820,0,52.7508975458262
ECDH10B_0164,dnaE,179230,182712,180971,dnaE,ECDH10B_RS00825,0,408.800102027676
ECDH10B_0165,accA,182725,183684,183204,accA,ECDH10B_RS00830,0,767.792798025272
ECDH10B_0166,ldcC,183783,185924,184853,ldcC,ECDH10B_RS00835,0,65.8753843514633
ECDH10B_0167,yaeR,185981,186370,186175,,ECDH10B_RS00840,0,15.4390219846371
ECDH10B_0168,tilS,186435,187733,187084,tilS,ECDH10B_RS00845,0,74.5478626277901
ECDH10B_0169,rof,187782,188042,187912,rof,ECDH10B_RS00850,1,23.2225087334003
ECDH10B_0170,yaeP,188029,188229,188129,,ECDH10B_RS00855,1,4.33428550087539
ECDH10B_0171,yaeQ,188395,188940,188667,,ECDH10B_RS00860,0,32.2165500456394
ECDH10B_0172,yaeJ,188937,189359,189148,arfB,ECDH10B_RS00865,0,12.0333395242848
ECDH10B_0173,nlpE,189373,190083,189728,nlpE,ECDH10B_RS00870,0,63.2751812893495
ECDH10B_0174,yaeF,190283,191107,190695,,ECDH10B_RS00875,1,9.41788919269676
ECDH10B_0175,proS,191161,192879,192020,proS,ECDH10B_RS00880,1,1514.49236428947
ECDH10B_0176,yaeB,192991,193698,193344,tsaA,ECDH10B_RS00885,1,53.0222387554943
ECDH10B_0177,rcsF,193695,194099,193897,rcsF,ECDH10B_RS00890,1,83.0432790754271
ECDH10B_0178,metQ,194217,195032,194624,metQ,ECDH10B_RS00895,1,402.545139480461
ECDH10B_0179,metI,195072,195725,195398,metI,ECDH10B_RS00900,1,73.3758080668301
ECDH10B_0180,metN,195718,196749,196233,metN,ECDH10B_RS00905,1,173.680531565586
ECDH10B_0181,gmhB,196937,197512,197224,gmhB,ECDH10B_RS00910,0,162.564455086926
ECDH10B_0182,rrsH,197875,199428,198651,,ECDH10B_RS00915,0,92.6149773637722
ECDH10B_0183,ileV,199485,199561,199523,,ECDH10B_RS00920,0,4.73265762740422
ECDH10B_0184,alaV,199604,199679,199641,,ECDH10B_RS00925,0,0.283063033396367
ECDH10B_0185,rrlH,199854,202783,201318,,ECDH10B_RS00930,0,634.42900444335
ECDH10B_0186,rrfH,202862,202977,202919,rrf,ECDH10B_RS00935,0,0
ECDH10B_0187,aspU,203032,203108,203070,,ECDH10B_RS00940,0,0.13576606204156
ECDH10B_0188,dkgB,203271,204074,203672,dkgB,ECDH10B_RS00945,0,32.963263386868
ECDH10B_0189,yafC,204071,204985,204528,,ECDH10B_RS00950,1,28.9427263727526
ECDH10B_0190,yafD,205226,206026,205626,,ECDH10B_RS00955,0,125.717723172843
ECDH10B_0191,yafE,206030,206653,206341,,ECDH10B_RS00960,0,10.4809558704027
ECDH10B_0192,mltD,206701,208059,207380,mltD,ECDH10B_RS00965,1,182.399515307996
ECDH10B_0193,gloB,208131,208886,208508,gloB,ECDH10B_RS00970,1,34.4336282506987
ECDH10B_0194,yafS,208920,209642,209281,,ECDH10B_RS00975,0,39.7591901236832
ECDH10B_0195,rnhA,209639,210106,209872,rnhA,ECDH10B_RS00980,1,52.8544848152303
ECDH10B_0196,dnaQ,210171,210902,210536,dnaQ,ECDH10B_RS00985,0,115.097284880237
ECDH10B_0197,aspV,211035,211111,211073,,ECDH10B_RS00990,0,3.56581276587901
ECDH10B_0198,yafT,211439,212224,211831,,ECDH10B_RS00995,0,10.3913134456142
ECDH10B_0199,yafU,212850,>213206,213028,,ECDH10B_RS01005,1,0.758244250541829
ECDH10B_0200,yafF,213204,213482,213343,,ECDH10B_RS25840,0,1.10919031495898
ECDH10B_0201,yafV,213523,214293,213908,yafV,ECDH10B_RS01015,1,60.5431194397702
ECDH10B_0202,ivy,214447,214920,214683,ivy,ECDH10B_RS01020,0,48.1858029442708
ECDH10B_0203,fadE,214963,217407,216185,,ECDH10B_RS01025,1,51.2342181303275
ECDH10B_0204,gmhA,217647,218225,217936,lpcA,ECDH10B_RS01030,0,334.226156926665
ECDH10B_0205,yafJ,218431,219198,218814,,ECDH10B_RS01035,0,123.753022547816
ECDH10B_0206,yafK,219169,219909,219539,,ECDH10B_RS01040,1,170.988844886626
ECDH10B_0207,yafQ,220065,220343,220204,yafQ,ECDH10B_RS01045,1,12.6109965003908
ECDH10B_0208,dinJ,220346,220606,220476,dinJ,ECDH10B_RS01050,1,21.8239341751665
ECDH10B_0209,yafL,220816,221565,221190,,ECDH10B_RS01055,0,3.0791006394203
ECDH10B_0210,yafM,221741,222238,221989,rayT,ECDH10B_RS01060,0,15.4390219846371
ECDH10B_0211,lfhA,222462,224201,223331,flhA,ECDH10B_RS01065,1,2.62567881604263
ECDH10B_0212,lafU,224146,224931,224538,lafU,ECDH10B_RS01070,0,2.98815578977303
ECDH10B_0213,dinB,225002,226057,225529,dinB,ECDH10B_RS01075,0,22.5924069101629
ECDH10B_0214,yafN,226109,226402,226255,yafN,ECDH10B_RS01080,0,1.0182454653117
ECDH10B_0215,yafO,226405,226803,226604,yafO,ECDH10B_RS01085,0,1.48319819800262
ECDH10B_0216,yafP,226813,227265,227039,,ECDH10B_RS01090,0,1.74319941277249
ECDH10B_0217,ykfJ,227571,227837,227704,,ECDH10B_RS01095,0,0.350946064417148
ECDH10B_0218,prfH,227770,228306,228038,,ECDH10B_RS01100,0,0.486712126458708
ECDH10B_0219,pepD,228363,229820,229091,pepD,ECDH10B_RS01105,1,1261.85855601914
ECDH10B_0220,gpt,230081,230539,230310,gpt,ECDH10B_RS01110,0,174.690614628962
ECDH10B_0221,frsA,230631,231875,231253,frsA,ECDH10B_RS01115,0,176.779168577887
ECDH10B_0222,crl,231933,232334,232133,,ECDH10B_RS01120,0,246.640115386695
ECDH10B_0223,phoE,232373,233428,232900,phoE,ECDH10B_RS01125,1,2.16202850821042
ECDH10B_0224,proB,233716,234819,234267,proB,ECDH10B_RS01130,0,138.590214227277
ECDH10B_0225,proA,234831,236084,235457,proA,ECDH10B_RS01135,0,179.288044961523
ECDH10B_0226,thrW,236199,236274,236236,,ECDH10B_RS01140,0,6.0096018826271
ECDH10B_0227,ykfI,236656,236997,236826,ykfI,ECDH10B_RS01145,1,0.0678830310207802
ECDH10B_0228,yafW,237018,237335,237176,yafW,ECDH10B_RS01150,1,0
ECDH10B_0229,ykfH,237354,237575,237464,,ECDH10B_RS23500,1,0
ECDH10B_0230,ykfG,237584,238060,237822,,ECDH10B_RS01155,1,0
ECDH10B_0231,yafX,238076,238534,238305,,ECDH10B_RS01160,1,0.0678830310207802
ECDH10B_0232,ykfF,238632,238871,238751,,ECDH10B_RS01165,1,0.486712126458708
ECDH10B_0233,ykfB,238948,239415,239181,,ECDH10B_RS01170,1,15.8911413831561
ECDH10B_0234,yafY,239438,239881,239659,,ECDH10B_RS25845,1,1.32437031733456
ECDH10B_0235,ykfL,239881,240108,239994,,ECDH10B_RS25850,1,0
ECDH10B_0236,ykfK,240104,240295,240199,,ECDH10B_RS25855,1,0
ECDH10B_0237,yafZ,240512,241333,240922,,ECDH10B_RS01185,1,1.39225334835534
ECDH10B_0238,ykfA,241425,242288,241856,,ECDH10B_RS01190,1,13.3923025695591
ECDH10B_0239,perR,242617,243510,243063,,ECDH10B_RS01195,1,2.99968669908628
ECDH10B_0240,insN-1,243606,>243863,243734,,ECDH10B_RS01200,0,2.50144366331432
ECDH10B_0241,insI-1,243931,245082,244506,,ECDH10B_RS01205,0,6.42973340292373
ECDH10B_0243,insO-1,245092,>245517,245304,,ECDH10B_RS01210,0,13.4153643881856
ECDH10B_0244,ykfC,246190,>247281,246735,,ECDH10B_RS01225,0,24.2357354136923
ECDH10B_0245,insH-1,247429,248445,247937,,ECDH10B_RS01230,1,9.00036252211753
ECDH10B_0246,mmuP,248653,250056,249354,mmuP,ECDH10B_RS01235,0,11.7169861878074
ECDH10B_0247,mmuM,250043,250975,250509,mmuM,ECDH10B_RS01240,0,76.4138038540172
ECDH10B_0248,fbpC,251084,252130,251607,,ECDH10B_RS01245,1,7.67468977992426
ECDH10B_0249,afuB,252142,>252489,252315,,ECDH10B_RS01250,1,0.849189100189103
ECDH10B_0250,insB-2,252506,253203,252854,,ECDH10B_RS01255,1,0.0678830310207802
ECDH10B_0252,ykgN,253352,253690,253521,,ECDH10B_RS01265,1,21.3705123517889
ECDH10B_0253,yagB,253713,254063,253888,,ECDH10B_RS01270,1,9.06694312827961
ECDH10B_0254,yagA,254157,255311,254734,,ECDH10B_RS01275,1,9.27189464620065
ECDH10B_0255,yagE,255606,256514,256060,yagE,ECDH10B_RS01280,0,1469.71360124064
ECDH10B_0256,yagF,256529,258496,257512,yagF,ECDH10B_RS01285,0,2761.63662738098
ECDH10B_0257,yagG,258723,260105,259414,,ECDH10B_RS01290,0,65.1056091916082
ECDH10B_0258,yagH,260117,261727,260922,,ECDH10B_RS01295,0,120.38584008998
ECDH10B_0261,argF,264075,265079,264577,argF,ECDH10B_RS01320,1,24.2396426882684
ECDH10B_0262,insB-3,265423,266120,265771,,ECDH10B_RS01325,1,0.634009097813515
ECDH10B_0264,yagJ,266274,267005,266639,,ECDH10B_RS01330,0,35.7950052312753
ECDH10B_0265,yagK,267096,267722,267409,,ECDH10B_RS01335,1,4.13063640781305
ECDH10B_0266,yagL,267994,268692,268343,,ECDH10B_RS01340,1,6.0109043074858
ECDH10B_0267,yagM,268719,269573,269146,,ECDH10B_RS01345,1,2.29779457025198
ECDH10B_0268,yagN,269913,270353,270133,,ECDH10B_RS01355,1,47.1099029323929
ECDH10B_0269,intF,270470,271870,271170,,ECDH10B_RS01360,1,29.8687245635584
ECDH10B_0270,yagP,272155,272565,272360,,ECDH10B_RS01370,1,0.96189334360417
ECDH10B_0271,yagQ,272544,273500,273022,paoD,ECDH10B_RS01375,1,2.18509032683691
ECDH10B_0272,yagR,273510,275708,274609,,ECDH10B_RS01380,1,8.02563584434141
ECDH10B_0273,yagS,275705,276661,276183,,ECDH10B_RS01385,1,1.30130849870807
ECDH10B_0274,yagT,276658,277347,277002,paoA,ECDH10B_RS01390,1,2.08261456787639
ECDH10B_0275,yagU,277765,278379,278072,,ECDH10B_RS01395,0,20.2254268840315
ECDH10B_0276,ykgJ,278627,278956,278791,,ECDH10B_RS01400,1,2.27473275162549
ECDH10B_0277,yagV,279269,279979,279624,,ECDH10B_RS01405,1,4.48158247223019
ECDH10B_0278,yagW,279948,281591,280769,ecpD,ECDH10B_RS01410,1,10.0954170780459
ECDH10B_0279,yagX,281581,284106,282843,,ECDH10B_RS01415,1,7.05351401628269
ECDH10B_0280,matC,284132,284800,284466,,ECDH10B_RS01420,1,1.05283819325144
ECDH10B_0281,matB,284858,285445,285151,ecpA,ECDH10B_RS01425,1,11.2968546675108
ECDH10B_0282,matA,285520,286062,285791,ecpR,ECDH10B_RS01430,1,0.984955162230663
ECDH10B_0283,ykgL,286886,287113,286999,,ECDH10B_RS01435,0,2.19531881129146
ECDH10B_0284,rpmJ,287148,287288,287218,rpmJ,ECDH10B_RS01440,1,0.0678830310207802
ECDH10B_0285,rpmE2,287288,287551,287419,,ECDH10B_RS01445,1,2.12743578027068
ECDH10B_0286,eaeH,289131,290018,289574,,ECDH10B_RS01455,0,0.498243035771955
ECDH10B_0287,insE-1,290065,290364,290214,,ECDH10B_RS26185,0,0
ECDH10B_0288,insF-1,290361,291227,290794,,ECDH10B_RS01465,0,0.554595157479488
ECDH10B_0289,ykgA,291257,291910,291583,,ECDH10B_RS01470,1,9.6202358609004
ECDH10B_0290,ykgB,292500,293093,292796,rclC,ECDH10B_RS01475,1,1.10919031495898
ECDH10B_0291,ykgI,293105,293341,293223,,ECDH10B_RS01480,1,0.215180002375587
ECDH10B_0292,ykgC,293450,294775,294112,,ECDH10B_RS01485,1,3.440275188292
ECDH10B_0293,ykgD,295001,295855,295428,,ECDH10B_RS01490,0,3.11239094250134
ECDH10B_0294,ykgE,296382,297101,296741,,ECDH10B_RS01495,0,71.0201680355969
ECDH10B_0295,ykgF,297112,298539,297825,,ECDH10B_RS01500,0,110.359417553398
ECDH10B_0296,ykgG,298532,299227,298879,,ECDH10B_RS01505,0,28.8132815205895
ECDH10B_0297,ykgH,299470,300138,299804,,ECDH10B_RS01515,1,1.63049516935742
ECDH10B_0298,betA,300351,302021,301186,betA,ECDH10B_RS01520,1,57.4335242614013
ECDH10B_0299,betB,302035,303507,302771,betB,ECDH10B_RS01525,1,56.8789291039218
ECDH10B_0300,betI,303521,304108,303814,betI,ECDH10B_RS01530,1,22.0097311490372
ECDH10B_0301,betT,304237,306270,305253,betT,ECDH10B_RS01535,0,40.0565798305252
ECDH10B_0302,yahA,307145,308233,307689,,ECDH10B_RS01545,0,7.57221402096374
