gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,gbk_strand,GSE94978_1,GSE94978_2
DR76_RS01270,266972,267250,267111,,DR76_244,1,829,1053
DR76_RS01275,267284,267832,267558,,DR76_245,1,1185,1170
DR76_RS01280,267832,268641,268236,,DR76_246,1,875,703
DR76_RS01285,268641,269465,269053,,DR76_247,1,1407,1339
DR76_RS01290,269469,270554,270011,,DR76_248,1,2790,2942
DR76_RS01295,270589,271521,271055,,DR76_249,1,2586,2555
DR76_RS01300,271687,272238,271962,,DR76_250,0,2492,2301
DR76_RS01305,272263,272511,272387,,,0,474,530
DR76_RS01310,272558,273415,272986,,DR76_251,1,470,461
DR76_RS01315,273417,273944,273680,,DR76_252,1,54,63
DR76_RS01320,273941,274420,274180,,DR76_253,1,36,41
DR76_RS01325,274417,274920,274668,,DR76_254,1,49,39
DR76_RS01330,274937,275689,275313,,DR76_255,1,91,133
DR76_RS01335,275709,278357,277033,,DR76_256,1,247,270
DR76_RS01340,278438,279004,278721,,DR76_257,1,72,97
DR76_RS01345,279571,280056,279813,,DR76_258,1,3880,5040
DR76_RS01350,280259,282403,281331,,DR76_259,1,8195,7888
DR76_RS01355,282403,283713,283058,,DR76_260,1,6142,4189
DR76_RS01360,283893,284177,284035,,DR76_261,1,11246,9555
DR76_RS01365,284549,285889,285219,,DR76_262,0,3236,4700
DR76_RS01370,285951,286706,286328,,DR76_263,1,4173,4293
DR76_RS01375,287000,287932,287466,,DR76_264,0,196,148
DR76_RS01380,288008,288082,288045,,DR76_265,0,129,59
DR76_RS01385,288520,289050,288785,,DR76_266,1,258,144
DR76_RS01390,289098,297047,293072,,DR76_267,1,3284,3650
DR76_RS01395,297072,297692,297382,,DR76_268,1,29,12
DR76_RS01400,298010,298639,298324,,DR76_269,1,135,187
DR76_RS01405,299387,299956,299671,,DR76_270,0,85,199
DR76_RS01410,300351,301298,300824,,DR76_271,1,195,210
DR76_RS01415,301516,302853,302184,,DR76_272,0,532,266
DR76_RS01420,302871,304199,303535,,DR76_273,0,1503,784
DR76_RS01425,304307,305845,305076,emrB,DR76_274,1,148,101
DR76_RS01430,305845,307008,306426,,DR76_275,1,75,92
DR76_RS01435,307424,308038,307731,,DR76_276,0,9109,7676
DR76_RS01440,308043,311636,309839,,DR76_277,0,6957,8956
DR76_RS01445,311692,312837,312264,,DR76_278,1,45,48
DR76_RS01450,312911,313855,313383,,DR76_279,1,16,36
DR76_RS01455,313925,315619,314772,,DR76_280,1,74,82
DR76_RS01460,315673,316923,316298,,DR76_281,1,71,74
DR76_RS01465,317435,318067,317751,,DR76_282,1,59,72
DR76_RS01470,318362,318637,318499,,DR76_283,0,13,5
DR76_RS01480,318714,318956,318835,,DR76_284,1,671,483
DR76_RS01485,319309,320229,319769,,DR76_285,0,15549,8638
DR76_RS01490,320721,321959,321340,,DR76_286,1,6667,1629
DR76_RS01495,322336,324033,323184,,DR76_287,0,2832,2328
DR76_RS01500,324048,324785,324416,,DR76_288,0,1268,1080
DR76_RS01505,324798,325655,325226,,DR76_289,0,796,716
DR76_RS01510,325658,328153,326905,,DR76_290,1,300,330
DR76_RS01515,328178,329215,328696,,DR76_291,1,56,94
DR76_RS01520,329215,330300,329757,,DR76_292,1,72,94
DR76_RS01525,330316,331563,330939,,DR76_293,1,36,51
DR76_RS01530,331585,331911,331748,,DR76_294,1,10,7
DR76_RS01535,332130,333095,332612,,DR76_295,1,3438,4775
DR76_RS01540,333299,334555,333927,,DR76_296,0,649,719
DR76_RS01545,334670,334996,334833,,DR76_297,0,5418,2146
DR76_RS01555,335137,336375,335756,,DR76_298,1,1886,1232
DR76_RS01560,336711,337913,337312,,DR76_299,0,2833,5811
DR76_RS01565,337962,340151,339056,,DR76_300,1,2373,2011
DR76_RS01570,340358,340433,340395,,DR76_301,1,34,27
DR76_RS01575,340473,340548,340510,,DR76_302,1,45,59
DR76_RS01580,340784,341128,340956,,DR76_303,0,4588,4077
DR76_RS01585,341130,341522,341326,,DR76_304,0,5308,4153
DR76_RS01590,341573,342988,342280,,DR76_305,1,8265,13146
DR76_RS01595,343247,343322,343284,,DR76_306,0,247,340
DR76_RS01600,343366,343441,343403,,DR76_307,0,348,441
DR76_RS01605,343488,343563,343525,,DR76_308,0,10,14
DR76_RS01610,343568,343643,343605,,DR76_309,0,14,24
DR76_RS01615,343754,344638,344196,,DR76_310,1,489,348
DR76_RS01620,344679,344837,344758,,,1,15,5
DR76_RS01625,344890,346146,345518,,DR76_311,1,159,139
DR76_RS01630,346207,347040,346623,,DR76_312,1,59,97
DR76_RS01635,347288,348052,347670,,DR76_313,0,86,95
DR76_RS01640,348091,349017,348554,,DR76_314,1,426,518
DR76_RS01645,349107,350105,349606,,DR76_316,0,1799,1273
DR76_RS01650,350102,350320,350211,,DR76_315,1,101,125
DR76_RS01655,350322,352337,351329,ligA,DR76_317,1,3421,4284
DR76_RS01660,352408,353406,352907,,DR76_318,1,10458,10695
DR76_RS01665,353636,354397,354016,,DR76_319,0,2351,1817
DR76_RS01670,354582,355553,355067,,DR76_320,0,11569,34251
DR76_RS01675,355937,356194,356065,,DR76_321,0,6062,12830
DR76_RS01680,356239,357966,357102,,DR76_322,0,29238,53053
DR76_RS01685,358007,358516,358261,,DR76_323,0,13182,24389
DR76_RS01690,358559,359410,358984,pdxK,DR76_324,1,1761,4610
DR76_RS01695,359515,359883,359699,,DR76_325,0,357,214
DR76_RS01700,359886,360797,360341,,DR76_326,1,3369,2755
DR76_RS01705,360932,362029,361480,,DR76_327,1,6907,7145
DR76_RS01710,362019,362894,362456,,DR76_328,1,2982,2671
DR76_RS01715,362894,363727,363310,,DR76_329,1,1856,2754
DR76_RS01720,363727,364743,364235,,DR76_330,1,4992,13280
DR76_RS01725,364901,365692,365296,,DR76_331,1,11420,11513
DR76_RS01730,365972,366868,366420,,DR76_332,0,1070,1500
DR76_RS01735,366872,368296,367584,,DR76_333,0,1188,1732
DR76_RS01740,368474,369373,368923,,DR76_334,1,7406,24118
DR76_RS01745,369469,370044,369756,,DR76_335,1,1014,1113
DR76_RS01750,370105,370554,370329,,DR76_336,1,204,222
DR76_RS01755,370541,370966,370753,,DR76_337,1,441,516
DR76_RS01760,371180,372049,371614,,DR76_338,0,2748,1523
DR76_RS01765,372053,372952,372502,,DR76_339,0,1310,932
DR76_RS01770,372958,374010,373484,,DR76_340,1,270,321
DR76_RS01775,374056,374556,374306,,DR76_341,1,104,224
DR76_RS01780,374569,375228,374898,,DR76_342,1,118,206
DR76_RS01785,375238,376125,375681,,DR76_343,1,116,245
DR76_RS01790,376146,377507,376826,,DR76_344,1,188,511
DR76_RS01795,377519,378922,378220,eutA,DR76_345,1,101,224
DR76_RS01800,378919,380145,379532,,DR76_346,1,145,218
DR76_RS01805,380362,381549,380955,,DR76_347,1,55,109
DR76_RS01810,381539,382375,381957,,DR76_348,1,30,119
DR76_RS01815,382386,383789,383087,,DR76_349,1,75,143
DR76_RS01820,383801,384088,383944,,DR76_350,1,20,48
DR76_RS01825,384195,384488,384341,,DR76_351,1,226,373
DR76_RS01830,384527,385543,385035,,DR76_352,1,198,260
DR76_RS01835,385540,386343,385941,,DR76_353,1,154,168
DR76_RS01840,386340,387041,386690,,DR76_354,1,210,200
DR76_RS01845,387016,387495,387255,,DR76_355,1,69,85
DR76_RS01850,387508,387843,387675,,DR76_356,1,26,34
DR76_RS01855,388136,390415,389275,,DR76_357,1,6395,9579
DR76_RS01860,390704,391654,391179,,DR76_358,0,397,555
DR76_RS01865,391674,393677,392675,,DR76_359,0,695,704
DR76_RS01870,393780,394823,394301,,DR76_360,1,5080,3044
DR76_RS01875,394949,395524,395236,,DR76_361,1,1455,1852
DR76_RS01880,395592,397571,396581,,DR76_362,1,1278,2738
DR76_RS01885,397777,399477,398627,,DR76_363,0,3360,2135
DR76_RS01890,399641,402754,401197,,DR76_364,0,1942,1457
DR76_RS01900,403293,403649,403471,,DR76_365,0,2256,2147
DR76_RS01905,403653,404780,404216,,DR76_366,0,4812,4499
DR76_RS01910,404808,405008,404908,,DR76_367,0,951,730
DR76_RS01915,405089,405787,405438,,DR76_368,1,1092,1449
DR76_RS01920,405861,407876,406868,,DR76_369,1,2195,2064
DR76_RS01925,407891,408754,408322,,DR76_370,1,1999,2127
DR76_RS01930,408922,409635,409278,,DR76_371,1,2315,7326
DR76_RS01940,409848,410882,410365,,DR76_372,1,13614,23943
DR76_RS01945,410899,411777,411338,,DR76_374,1,19696,28754
DR76_RS01950,411923,412495,412209,,DR76_375,0,2123,2924
DR76_RS01955,412495,412965,412730,,DR76_376,0,3958,5683
DR76_RS01960,413064,414125,413594,,DR76_377,1,1455,1375
DR76_RS01965,414338,415801,415069,,DR76_378,0,4029,4481
DR76_RS01970,415822,416181,416001,,DR76_379,0,1625,2581
DR76_RS01975,416319,417065,416692,,DR76_380,1,4755,3433
DR76_RS01980,417115,418404,417759,,DR76_381,1,495,458
DR76_RS01985,418490,419116,418803,,DR76_382,1,3110,3032
DR76_RS01990,419441,420478,419959,,DR76_383,0,3062,7110
DR76_RS01995,420478,421116,420797,,DR76_384,0,1373,2938
DR76_RS02000,421288,423354,422321,,DR76_385,0,11368,9900
DR76_RS02005,423359,424900,424129,,DR76_386,0,5558,6695
DR76_RS02010,424939,427182,426060,,DR76_387,1,597,547
DR76_RS02015,427364,427516,427440,,DR76_388,1,2,0
DR76_RS02020,427534,427725,427629,,DR76_389,0,1745,799
DR76_RS02025,428036,428554,428295,,DR76_390,0,194,96
DR76_RS02030,428570,429109,428839,,DR76_391,0,232,155
DR76_RS02035,429203,430780,429991,,DR76_392,1,13188,21289
DR76_RS02040,430849,432315,431582,,DR76_393,1,7013,8240
DR76_RS02045,432477,433853,433165,,DR76_394,0,6048,2736
DR76_RS02050,433922,441973,437947,,DR76_395,1,3723,3177
DR76_RS02055,442094,443071,442582,,DR76_396,1,665,750
DR76_RS02060,443126,445333,444229,,DR76_397,1,271,193
DR76_RS02065,445512,445727,445619,,DR76_398,1,62,81
DR76_RS02070,445790,447262,446526,,DR76_399,1,4067,5745
DR76_RS02075,447380,448558,447969,,DR76_400,1,10506,17070
DR76_RS02080,448569,449189,448879,,DR76_401,1,4666,5787
DR76_RS02085,449207,450481,449844,,DR76_402,1,13159,15342
DR76_RS02090,450592,451710,451151,,DR76_403,1,11147,8617
DR76_RS02095,451737,452744,452240,,DR76_404,1,12734,10323
DR76_RS02100,453029,454183,453606,,DR76_405,1,4372,3019
DR76_RS02105,454333,454764,454548,,DR76_406,1,1273,987
DR76_RS02110,454913,457225,456069,,DR76_407,1,1794,1953
DR76_RS02115,457226,462187,459706,,DR76_408,1,14959,14701
DR76_RS02120,462394,463239,462816,,DR76_409,0,15960,18192
DR76_RS02125,463736,464512,464124,,DR76_410,1,1371,3636
DR76_RS02130,464655,465938,465296,,DR76_411,1,4442,11055
DR76_RS02135,465997,466197,466097,,DR76_412,1,1027,1610
DR76_RS02140,466209,466544,466376,,DR76_413,1,1887,2974
DR76_RS02145,466546,468396,467471,,DR76_414,1,5792,5958
DR76_RS02150,468413,468928,468670,hscB,DR76_415,1,1723,1344
DR76_RS02155,469024,469347,469185,,DR76_416,1,5519,5881
DR76_RS02160,469364,469750,469557,,DR76_417,1,5873,6037
DR76_RS02165,469778,470992,470385,,DR76_418,1,18145,16685
DR76_RS02170,471104,471592,471348,,DR76_419,1,6173,3608
DR76_RS02175,471863,472603,472233,,DR76_420,1,8129,6896
DR76_RS02180,472722,473525,473123,,DR76_421,0,840,1063
DR76_RS02185,473670,474524,474097,,DR76_422,0,114,101
DR76_RS02190,474715,475995,475355,,DR76_424,0,1701,2038
DR76_RS02195,475987,477126,476556,,DR76_423,1,955,772
DR76_RS02200,477495,477917,477706,,DR76_425,0,61,79
DR76_RS02205,478077,478949,478513,,DR76_426,1,68,201
DR76_RS02210,478961,480022,479491,,DR76_427,1,93,217
DR76_RS02215,480088,481086,480587,,DR76_428,1,53,80
DR76_RS02220,481111,482622,481866,,DR76_429,1,145,157
DR76_RS02225,482645,483628,483136,,DR76_430,1,73,107
DR76_RS02230,483725,487006,485365,,DR76_431,1,307,443
DR76_RS02235,487124,488317,487720,,DR76_432,0,696,408
DR76_RS02240,488381,489634,489007,,DR76_433,1,16994,60185
DR76_RS02245,489963,491153,490558,,DR76_434,0,970,7511
