Locus_tag,gene_id,GSE98890_1,GSE98890_2,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_locus_tag,gbk_strand
ECDH10B_0123,pcnB,853,2115,131833,133251,132542,pcnB,ECDH10B_RS00620,1
ECDH10B_0124,yadB,50,108,133290,134216,133753,gluQRS,ECDH10B_RS00625,1
ECDH10B_0125,dksA,1580,4634,134253,134708,134480,,ECDH10B_RS00630,1
ECDH10B_0126,sfsA,317,1296,134886,135590,135238,sfsA,ECDH10B_RS00635,1
ECDH10B_0127,ligT,58,122,135605,136135,135870,thpR,ECDH10B_RS00640,1
ECDH10B_0128,hrpB,394,1117,136209,138638,137423,,ECDH10B_RS00645,0
ECDH10B_0129,mrcB,939,2359,138834,141368,140101,mrcB,ECDH10B_RS00655,0
ECDH10B_0130,fhuA,2119,2880,141588,143831,142709,fhuA,ECDH10B_RS00660,0
ECDH10B_0131,fhuC,25,100,143882,144679,144280,fhuC,ECDH10B_RS00665,0
ECDH10B_0132,fhuD,14,27,144679,145569,145124,fhuD,ECDH10B_RS00670,0
ECDH10B_0133,fhuB,60,114,145566,147548,146557,fhuB,ECDH10B_RS00675,0
ECDH10B_0134,hemL,1049,4064,147706,148986,148346,hemL,ECDH10B_RS00680,1
ECDH10B_0135,clcA,139,376,149211,150632,149921,clcA,ECDH10B_RS00685,0
ECDH10B_0136,yadR,386,947,150714,151058,150886,erpA,ECDH10B_RS00690,0
ECDH10B_0137,yadS,71,155,151105,151728,151416,,ECDH10B_RS00695,1
ECDH10B_0138,btuF,65,115,151766,152566,152166,btuF,ECDH10B_RS00700,1
ECDH10B_0139,pfs,854,2301,152559,153257,152908,mtnN,ECDH10B_RS00705,1
ECDH10B_0140,dgt,180,752,153341,154858,154099,dgt,ECDH10B_RS00710,0
ECDH10B_0141,degP,1004,3215,154988,156412,155700,degP,ECDH10B_RS00715,0
ECDH10B_0142,cdaR,216,576,156567,157724,157145,,ECDH10B_RS00720,0
ECDH10B_0143,yaeH,286,2179,157813,158199,158006,,ECDH10B_RS00725,1
ECDH10B_0144,yaeI,19,61,158361,159173,158767,yaeI,ECDH10B_RS00730,1
ECDH10B_0145,dapD,1106,3804,159227,160051,159639,dapD,ECDH10B_RS00735,1
ECDH10B_0146,glnD,314,1410,160082,162754,161418,glnD,ECDH10B_RS00740,1
ECDH10B_0147,map,1332,4251,162816,163610,163213,map,ECDH10B_RS00745,1
ECDH10B_0149,rpsB,11626,34723,163978,164703,164340,rpsB,ECDH10B_RS00750,0
ECDH10B_0150,tsf,9550,23591,164961,165812,165386,tsf,ECDH10B_RS00755,0
ECDH10B_0151,pyrH,994,1938,165959,166684,166321,pyrH,ECDH10B_RS00760,0
ECDH10B_0152,frr,1967,7818,166976,167533,167254,frr,ECDH10B_RS00765,0
ECDH10B_0153,dxr,357,666,167625,168821,168223,ispC,ECDH10B_RS00770,0
ECDH10B_0154,ispU,607,1229,169010,169768,169389,ispU,ECDH10B_RS00775,0
ECDH10B_0155,cdsA,336,764,169781,170638,170209,cdsA,ECDH10B_RS00780,0
ECDH10B_0156,rseP,914,1885,170650,172002,171326,rseP,ECDH10B_RS00785,0
ECDH10B_0157,ecfK,4123,11581,172032,174464,173248,bamA,ECDH10B_RS00790,0
ECDH10B_0158,skp,1506,3742,174586,175071,174828,skp,ECDH10B_RS00795,0
ECDH10B_0159,lpxD,1948,3421,175075,176100,175587,lpxD,ECDH10B_RS00800,0
ECDH10B_0160,fabZ,688,1090,176205,176660,176432,fabZ,ECDH10B_RS00805,0
ECDH10B_0161,lpxA,926,1993,176664,177452,177058,lpxA,ECDH10B_RS00810,0
ECDH10B_0162,lpxB,365,572,177452,178600,178026,lpxB,ECDH10B_RS00815,0
ECDH10B_0163,rnhB,183,197,178597,179193,178895,rnhB,ECDH10B_RS00820,0
ECDH10B_0164,dnaE,1290,1933,179230,182712,180971,dnaE,ECDH10B_RS00825,0
ECDH10B_0165,accA,2093,4676,182725,183684,183204,accA,ECDH10B_RS00830,0
ECDH10B_0166,ldcC,185,384,183783,185924,184853,ldcC,ECDH10B_RS00835,0
ECDH10B_0167,yaeR,32,126,185981,186370,186175,,ECDH10B_RS00840,0
ECDH10B_0168,tilS,213,423,186435,187733,187084,tilS,ECDH10B_RS00845,0
ECDH10B_0169,rof,30,247,187782,188042,187912,rof,ECDH10B_RS00850,1
ECDH10B_0170,yaeP,5,48,188029,188229,188129,,ECDH10B_RS00855,1
ECDH10B_0171,yaeQ,80,221,188395,188940,188667,,ECDH10B_RS00860,0
ECDH10B_0172,yaeJ,31,79,188937,189359,189148,arfB,ECDH10B_RS00865,0
ECDH10B_0173,nlpE,142,482,189373,190083,189728,nlpE,ECDH10B_RS00870,0
ECDH10B_0174,yaeF,22,69,190283,191107,190695,,ECDH10B_RS00875,1
ECDH10B_0175,proS,3958,9764,191161,192879,192020,proS,ECDH10B_RS00880,1
ECDH10B_0176,yaeB,130,369,192991,193698,193344,tsaA,ECDH10B_RS00885,1
ECDH10B_0177,rcsF,155,732,193695,194099,193897,rcsF,ECDH10B_RS00890,1
ECDH10B_0178,metQ,724,3635,194217,195032,194624,metQ,ECDH10B_RS00895,1
ECDH10B_0179,metI,182,504,195072,195725,195398,metI,ECDH10B_RS00900,1
ECDH10B_0180,metN,321,1541,195718,196749,196233,metN,ECDH10B_RS00905,1
ECDH10B_0181,gmhB,346,1298,196937,197512,197224,gmhB,ECDH10B_RS00910,0
ECDH10B_0182,rrsH,208,705,197875,199428,198651,,ECDH10B_RS00915,0
ECDH10B_0183,ileV,16,19,199485,199561,199523,,ECDH10B_RS00920,0
ECDH10B_0184,alaV,1,1,199604,199679,199641,,ECDH10B_RS00925,0
ECDH10B_0185,rrlH,1589,4309,199854,202783,201318,,ECDH10B_RS00930,0
ECDH10B_0186,rrfH,0,0,202862,202977,202919,rrf,ECDH10B_RS00935,0
ECDH10B_0187,aspU,0,2,203032,203108,203070,,ECDH10B_RS00940,0
ECDH10B_0188,dkgB,80,232,203271,204074,203672,dkgB,ECDH10B_RS00945,0
ECDH10B_0189,yafC,61,233,204071,204985,204528,,ECDH10B_RS00950,1
ECDH10B_0190,yafD,253,1050,205226,206026,205626,,ECDH10B_RS00955,0
ECDH10B_0191,yafE,20,91,206030,206653,206341,,ECDH10B_RS00960,0
ECDH10B_0192,mltD,459,1232,206701,208059,207380,mltD,ECDH10B_RS00965,1
ECDH10B_0193,gloB,78,260,208131,208886,208508,gloB,ECDH10B_RS00970,1
ECDH10B_0194,yafS,63,386,208920,209642,209281,,ECDH10B_RS00975,0
ECDH10B_0195,rnhA,139,338,209639,210106,209872,rnhA,ECDH10B_RS00980,1
ECDH10B_0196,dnaQ,268,846,210171,210902,210536,dnaQ,ECDH10B_RS00985,0
ECDH10B_0197,aspV,9,24,211035,211111,211073,,ECDH10B_RS00990,0
ECDH10B_0198,yafT,24,77,211439,212224,211831,,ECDH10B_RS00995,0
ECDH10B_0199,yafU,1,8,212850,>213206,213028,,ECDH10B_RS01005,1
ECDH10B_0200,yafF,2,10,213204,213482,213343,,ECDH10B_RS25840,0
ECDH10B_0201,yafV,117,521,213523,214293,213908,yafV,ECDH10B_RS01015,1
ECDH10B_0202,ivy,105,377,214447,214920,214683,ivy,ECDH10B_RS01020,0
ECDH10B_0203,fadE,128,349,214963,217407,216185,,ECDH10B_RS01025,1
ECDH10B_0204,gmhA,592,3047,217647,218225,217936,lpcA,ECDH10B_RS01030,0
ECDH10B_0205,yafJ,271,964,218431,219198,218814,,ECDH10B_RS01035,0
ECDH10B_0206,yafK,482,991,219169,219909,219539,,ECDH10B_RS01040,1
ECDH10B_0207,yafQ,34,78,220065,220343,220204,yafQ,ECDH10B_RS01045,1
ECDH10B_0208,dinJ,50,163,220346,220606,220476,dinJ,ECDH10B_RS01050,1
ECDH10B_0209,yafL,8,20,220816,221565,221190,,ECDH10B_RS01055,0
ECDH10B_0210,yafM,32,126,221741,222238,221989,rayT,ECDH10B_RS01060,0
ECDH10B_0211,lfhA,4,26,222462,224201,223331,flhA,ECDH10B_RS01065,1
ECDH10B_0212,lafU,6,25,224146,224931,224538,lafU,ECDH10B_RS01070,0
ECDH10B_0213,dinB,46,187,225002,226057,225529,dinB,ECDH10B_RS01075,0
ECDH10B_0214,yafN,0,15,226109,226402,226255,yafN,ECDH10B_RS01080,0
ECDH10B_0215,yafO,5,6,226405,226803,226604,yafO,ECDH10B_RS01085,0
ECDH10B_0216,yafP,4,13,226813,227265,227039,,ECDH10B_RS01090,0
ECDH10B_0217,ykfJ,1,2,227571,227837,227704,,ECDH10B_RS01095,0
ECDH10B_0218,prfH,1,4,227770,228306,228038,,ECDH10B_RS01100,0
ECDH10B_0219,pepD,2518,10607,228363,229820,229091,pepD,ECDH10B_RS01105,1
ECDH10B_0220,gpt,544,849,230081,230539,230310,gpt,ECDH10B_RS01110,0
ECDH10B_0221,frsA,419,1276,230631,231875,231253,frsA,ECDH10B_RS01115,0
ECDH10B_0222,crl,514,2004,231933,232334,232133,,ECDH10B_RS01120,0
ECDH10B_0223,phoE,5,16,232373,233428,232900,phoE,ECDH10B_RS01125,1
ECDH10B_0224,proB,345,948,233716,234819,234267,proB,ECDH10B_RS01130,0
ECDH10B_0225,proA,354,1519,234831,236084,235457,proA,ECDH10B_RS01135,0
ECDH10B_0226,thrW,9,60,236199,236274,236236,,ECDH10B_RS01140,0
ECDH10B_0227,ykfI,0,1,236656,236997,236826,ykfI,ECDH10B_RS01145,1
ECDH10B_0228,yafW,0,0,237018,237335,237176,yafW,ECDH10B_RS01150,1
ECDH10B_0229,ykfH,0,0,237354,237575,237464,,ECDH10B_RS23500,1
ECDH10B_0230,ykfG,0,0,237584,238060,237822,,ECDH10B_RS01155,1
ECDH10B_0231,yafX,0,1,238076,238534,238305,,ECDH10B_RS01160,1
ECDH10B_0232,ykfF,1,4,238632,238871,238751,,ECDH10B_RS01165,1
ECDH10B_0233,ykfB,30,139,238948,239415,239181,,ECDH10B_RS01170,1
ECDH10B_0234,yafY,3,10,239438,239881,239659,,ECDH10B_RS25845,1
ECDH10B_0235,ykfL,0,0,239881,240108,239994,,ECDH10B_RS25850,1
ECDH10B_0236,ykfK,0,0,240104,240295,240199,,ECDH10B_RS25855,1
ECDH10B_0237,yafZ,3,11,240512,241333,240922,,ECDH10B_RS01185,1
ECDH10B_0238,ykfA,37,80,241425,242288,241856,,ECDH10B_RS01190,1
ECDH10B_0239,perR,7,22,242617,243510,243063,,ECDH10B_RS01195,1
ECDH10B_0240,insN-1,5,21,243606,>243863,243734,,ECDH10B_RS01200,0
ECDH10B_0241,insI-1,16,44,243931,245082,244506,,ECDH10B_RS01205,0
ECDH10B_0243,insO-1,39,74,245092,>245517,245304,,ECDH10B_RS01210,0
ECDH10B_0244,ykfC,59,170,246190,>247281,246735,,ECDH10B_RS01225,0
ECDH10B_0245,insH-1,27,47,247429,248445,247937,,ECDH10B_RS01230,1
ECDH10B_0246,mmuP,33,68,248653,250056,249354,mmuP,ECDH10B_RS01235,0
ECDH10B_0247,mmuM,157,628,250043,250975,250509,mmuM,ECDH10B_RS01240,0
ECDH10B_0248,fbpC,18,56,251084,252130,251607,,ECDH10B_RS01245,1
ECDH10B_0249,afuB,3,3,252142,>252489,252315,,ECDH10B_RS01250,1
ECDH10B_0250,insB-2,0,1,252506,253203,252854,,ECDH10B_RS01255,1
ECDH10B_0252,ykgN,46,169,253352,253690,253521,,ECDH10B_RS01265,1
ECDH10B_0253,yagB,21,67,253713,254063,253888,,ECDH10B_RS01270,1
ECDH10B_0254,yagA,27,51,254157,255311,254734,,ECDH10B_RS01275,1
ECDH10B_0255,yagE,2453,13875,255606,256514,256060,yagE,ECDH10B_RS01280,0
ECDH10B_0256,yagF,6030,21568,256529,258496,257512,yagF,ECDH10B_RS01285,0
ECDH10B_0257,yagG,183,379,258723,260105,259414,,ECDH10B_RS01290,0
ECDH10B_0258,yagH,291,851,260117,261727,260922,,ECDH10B_RS01295,0
ECDH10B_0261,argF,77,113,264075,265079,264577,argF,ECDH10B_RS01320,1
ECDH10B_0262,insB-3,2,3,265423,266120,265771,,ECDH10B_RS01325,1
ECDH10B_0264,yagJ,43,391,266274,267005,266639,,ECDH10B_RS01330,0
ECDH10B_0265,yagK,5,45,267096,267722,267409,,ECDH10B_RS01335,1
ECDH10B_0266,yagL,15,41,267994,268692,268343,,ECDH10B_RS01340,1
ECDH10B_0267,yagM,5,18,268719,269573,269146,,ECDH10B_RS01345,1
ECDH10B_0268,yagN,100,377,269913,270353,270133,,ECDH10B_RS01355,1
ECDH10B_0269,intF,53,272,270470,271870,271170,,ECDH10B_RS01360,1
ECDH10B_0270,yagP,1,11,272155,272565,272360,,ECDH10B_RS01370,1
ECDH10B_0271,yagQ,7,10,272544,273500,273022,paoD,ECDH10B_RS01375,1
ECDH10B_0272,yagR,19,58,273510,275708,274609,,ECDH10B_RS01380,1
ECDH10B_0273,yagS,1,16,275705,276661,276183,,ECDH10B_RS01385,1
ECDH10B_0274,yagT,4,18,276658,277347,277002,paoA,ECDH10B_RS01390,1
ECDH10B_0275,yagU,35,187,277765,278379,278072,,ECDH10B_RS01395,0
ECDH10B_0276,ykgJ,3,24,278627,278956,278791,,ECDH10B_RS01400,1
ECDH10B_0277,yagV,6,47,279269,279979,279624,,ECDH10B_RS01405,1
ECDH10B_0278,yagW,16,98,279948,281591,280769,ecpD,ECDH10B_RS01410,1
ECDH10B_0279,yagX,23,31,281581,284106,282843,,ECDH10B_RS01415,1
ECDH10B_0280,matC,3,6,284132,284800,284466,,ECDH10B_RS01420,1
ECDH10B_0281,matB,26,84,284858,285445,285151,ecpA,ECDH10B_RS01425,1
ECDH10B_0282,matA,3,5,285520,286062,285791,ecpR,ECDH10B_RS01430,1
ECDH10B_0283,ykgL,2,26,286886,287113,286999,,ECDH10B_RS01435,0
ECDH10B_0284,rpmJ,0,1,287148,287288,287218,rpmJ,ECDH10B_RS01440,1
ECDH10B_0285,rpmE2,2,25,287288,287551,287419,,ECDH10B_RS01445,1
ECDH10B_0286,eaeH,2,1,289131,290018,289574,,ECDH10B_RS01455,0
ECDH10B_0287,insE-1,0,0,290065,290364,290214,,ECDH10B_RS26185,0
ECDH10B_0288,insF-1,1,5,290361,291227,290794,,ECDH10B_RS01465,0
ECDH10B_0289,ykgA,16,91,291257,291910,291583,,ECDH10B_RS01470,1
ECDH10B_0290,ykgB,2,10,292500,293093,292796,rclC,ECDH10B_RS01475,1
ECDH10B_0291,ykgI,1,0,293105,293341,293223,,ECDH10B_RS01480,1
ECDH10B_0292,ykgC,4,38,293450,294775,294112,,ECDH10B_RS01485,1
ECDH10B_0293,ykgD,5,30,295001,295855,295428,,ECDH10B_RS01490,0
ECDH10B_0294,ykgE,119,669,296382,297101,296741,,ECDH10B_RS01495,0
ECDH10B_0295,ykgF,228,903,297112,298539,297825,,ECDH10B_RS01500,0
ECDH10B_0296,ykgG,38,304,298532,299227,298879,,ECDH10B_RS01505,0
ECDH10B_0297,ykgH,6,5,299470,300138,299804,,ECDH10B_RS01515,1
ECDH10B_0298,betA,177,285,300351,302021,301186,betA,ECDH10B_RS01520,1
ECDH10B_0299,betB,176,280,302035,303507,302771,betB,ECDH10B_RS01525,1
ECDH10B_0300,betI,72,96,303521,304108,303814,betI,ECDH10B_RS01530,1
ECDH10B_0301,betT,130,178,304237,306270,305253,betT,ECDH10B_RS01535,0
ECDH10B_0302,yahA,15,64,307145,308233,307689,,ECDH10B_RS01545,0
ECDH10B_0303,yahB,45,119,308275,309207,308741,,ECDH10B_RS01550,1
ECDH10B_0304,yahC,1,5,309299,309796,309547,,ECDH10B_RS01555,1
ECDH10B_0305,yahD,6,25,310054,310659,310356,,ECDH10B_RS01560,0
ECDH10B_0306,yahE,0,8,310699,311562,311130,,ECDH10B_RS01565,0
ECDH10B_0307,yahF,3,10,311552,313099,312325,fdrA,ECDH10B_RS01570,0
ECDH10B_0309,yaiL,109,384,315327,315866,315596,,ECDH10B_RS01585,0
ECDH10B_0310,frmB,946,3195,316090,316923,316506,,ECDH10B_RS01590,1
ECDH10B_0311,frmA,2884,9601,317017,318126,317571,,ECDH10B_RS01595,1
ECDH10B_0312,frmR,569,1330,318161,318436,318298,frmR,ECDH10B_RS01600,1
ECDH10B_0313,yaiO,12,37,318624,319397,319010,yaiO,ECDH10B_RS01605,1
ECDH10B_0317,insD-1,6,5,319861,321134,320497,,ECDH10B_RS01625,0
ECDH10B_0319,yaiP,7,10,321294,322490,321892,,ECDH10B_RS01630,1
ECDH10B_0320,yaiS,3,5,322614,323171,322892,,ECDH10B_RS01635,1
ECDH10B_0321,tauA,5,4,323787,324749,324268,tauA,ECDH10B_RS01640,0
ECDH10B_0322,tauB,0,5,324762,325529,325145,tauB,ECDH10B_RS01645,0
ECDH10B_0323,tauC,1,6,325526,326353,325939,tauC,ECDH10B_RS01650,0
ECDH10B_0324,tauD,4,37,326350,327201,326775,tauD,ECDH10B_RS01655,0
ECDH10B_0325,hemB,680,2534,327308,328282,327795,hemB,ECDH10B_RS01660,1
ECDH10B_0329,insF-2,22,65,330294,331160,330727,,ECDH10B_RS01675,1
ECDH10B_0330,insE-2,14,54,331157,331456,331306,,ECDH10B_RS26190,1
