gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_old_locus_tag,norm_exp
DR76_RS00375,81757,82695,82226,,DR76_71,32.0275287126782
DR76_RS00380,82695,83825,83260,,DR76_72,56.7179964761578
DR76_RS00385,84192,85373,84782,,DR76_74,20.3831795595053
DR76_RS00390,85370,85624,85497,,DR76_73,16.3519382363124
DR76_RS00395,85779,86351,86065,,DR76_75,65.9633198735359
DR76_RS00400,86574,88040,87307,,DR76_76,450.974049939145
DR76_RS00405,88158,89144,88651,,DR76_77,30.7025467209523
DR76_RS00410,89183,89896,89539,,DR76_78,15.7580517271161
DR76_RS00415,90308,90874,90591,,DR76_79,393.073286804605
DR76_RS00420,91055,92611,91833,,DR76_80,109.865371177682
DR76_RS00425,92693,94507,93600,,DR76_81,71.6718297853472
DR76_RS00430,94508,95602,95055,,DR76_82,30.5742933363975
DR76_RS00435,95602,96627,96114,,DR76_83,41.1860518062591
DR76_RS00440,96629,98218,97423,,DR76_84,101.375742415644
DR76_RS00445,98222,98566,98394,,DR76_85,239.973938233054
DR76_RS00450,98900,100090,99495,,DR76_86,87.3470184106468
DR76_RS00455,100118,100813,100465,,DR76_87,132.800663453334
DR76_RS00460,100963,102723,101843,,DR76_88,66.6252942121972
DR76_RS00465,102848,103132,102990,,DR76_89,194.176139355629
DR76_RS00470,103271,104278,103774,,DR76_90,164.175278660019
DR76_RS00475,104460,104687,104573,,DR76_91,50.9722290437626
DR76_RS00480,104707,106467,105587,,DR76_92,177.644247392629
DR76_RS00485,106542,106618,106580,,DR76_93,12.9252540646066
DR76_RS00490,106836,108077,107456,,DR76_94,10.5663681871234
DR76_RS00495,108176,108406,108291,,,90.3780804231098
DR76_RS00500,108573,108779,108676,,DR76_95,4.87996260768537
DR76_RS00515,109858,110088,109973,,DR76_98,1.14653283077143
DR76_RS00520,110078,110319,110198,,,0.4232280381627
DR76_RS00525,110292,110513,110402,,,0.214948444462411
DR76_RS00530,110515,110748,110631,,DR76_101,0.13790743157648
DR76_RS00535,110754,111053,110903,,DR76_102,0.0946340534168835
DR76_RS00540,111050,112804,111927,,DR76_103,3.79797985010707
DR76_RS00545,113092,113370,113231,,DR76_104,1.39325877912049
DR76_RS00550,113367,113789,113578,,DR76_105,1.59302769480736
DR76_RS00560,114205,114411,114308,,DR76_106,2.14649924836458
DR76_RS00565,114411,115466,114938,,DR76_107,16.6690363467852
DR76_RS00570,115478,115813,115645,,DR76_108,5.13094389504114
DR76_RS00575,115826,116239,116032,,DR76_109,9.68741461881885
DR76_RS00580,116287,116445,116366,,,0.448908375791343
DR76_RS00585,116445,116987,116716,,DR76_110,6.26272057795276
DR76_RS00590,117244,117525,117384,,DR76_111,4.66444247871884
DR76_RS00615,119175,119432,119303,,,0.357111215045599
DR76_RS00620,119464,120111,119787,,DR76_115,34.6857928863643
DR76_RS00625,120146,121198,120672,,DR76_116,65.4672631017951
DR76_RS00630,121195,121752,121473,,DR76_117,32.7635779924576
DR76_RS00635,121749,123692,122720,,DR76_118,95.7760940803043
DR76_RS00640,123689,124168,123928,,DR76_119,28.0702164323727
DR76_RS00645,124165,124374,124269,,DR76_120,5.66015355730528
DR76_RS00650,124371,125108,124739,,DR76_121,45.2615185133326
DR76_RS00655,125150,125812,125481,,DR76_122,30.9101063265601
DR76_RS00660,125809,126432,126120,,DR76_123,40.5138110817309
DR76_RS00665,126445,127047,126746,,DR76_124,56.5484813741326
DR76_RS00670,127057,127506,127281,napB,DR76_125,18.1201548184873
DR76_RS00675,127503,128366,127934,,DR76_126,19.8996137274573
DR76_RS00680,128353,129048,128700,,DR76_127,26.2629172214965
DR76_RS00685,129055,131541,130298,,DR76_128,199.80188419344
DR76_RS00690,131538,131801,131669,,DR76_129,6.36700867839129
DR76_RS00695,131791,132285,132038,,DR76_130,32.387223272917
DR76_RS00700,132385,132558,132471,,DR76_131,0.321925133983694
DR76_RS00705,132693,133181,132937,,DR76_132,324.212002045805
DR76_RS00710,133331,134977,134154,,DR76_133,62.4923050740601
DR76_RS00715,135195,136838,136016,,DR76_134,15.3823524061198
DR76_RS00720,136914,137564,137239,,DR76_135,4.74021334885759
DR76_RS00725,137564,138628,138096,,DR76_136,19.6492471843045
DR76_RS00730,138702,139757,139229,,DR76_137,16.774467816232
DR76_RS00735,139869,140996,140432,,DR76_138,7194.28158919481
DR76_RS00745,141735,144407,143071,,DR76_139,493.6716751633
DR76_RS00750,144424,145074,144749,,DR76_140,535.040089397287
DR76_RS00755,145160,148009,146584,,DR76_141,270.603488792349
DR76_RS00760,148176,150002,149089,,DR76_142,89.3475444601866
DR76_RS00765,149999,151384,150691,,DR76_143,107.546603648661
DR76_RS00770,151580,152242,151911,,DR76_144,5.94888274106675
DR76_RS00775,152242,152892,152567,,DR76_145,1.31012059997656
DR76_RS00780,152889,154211,153550,,DR76_146,4.10203686623248
DR76_RS00785,154242,155426,154834,,DR76_147,5.55332517137238
DR76_RS00790,155500,156276,155888,,DR76_148,4.62174078506336
DR76_RS00795,156281,157930,157105,,DR76_149,7.72976009637231
DR76_RS00800,157931,162550,160240,,DR76_150,17.2477648570554
DR76_RS00805,162469,163092,162780,,DR76_151,1.60778384266718
DR76_RS00810,163089,164777,163933,,DR76_152,12.4423029767616
DR76_RS00815,164926,167553,166239,,DR76_153,946.607132561288
DR76_RS00820,167700,168422,168061,,DR76_154,60.5914936489258
DR76_RS00825,168562,172320,170441,,DR76_155,36.2419409764469
DR76_RS00835,173003,175288,174145,,DR76_156,977.385507407484
DR76_RS00840,175478,176608,176043,,DR76_157,537.771041098666
DR76_RS00845,176608,176862,176735,,DR76_158,52.3619715964606
DR76_RS00850,176916,177566,177241,,DR76_159,36.9330448842533
DR76_RS00855,177769,178845,178307,,DR76_160,49.8641210377905
DR76_RS00860,178850,180208,179529,,DR76_161,24.6724944017319
DR76_RS00865,180481,182109,181295,,DR76_162,7.42358617566828
DR76_RS00870,182099,183358,182728,,DR76_163,3.9597257920609
DR76_RS00875,183355,184545,183950,,DR76_164,6.09856112424351
DR76_RS00880,184738,185664,185201,,DR76_165,8.92608685247707
DR76_RS00885,185705,186508,186106,,DR76_166,4.38579072289474
DR76_RS00890,186526,187815,187170,,DR76_167,3.38908457888846
DR76_RS00895,187872,189077,188474,,DR76_168,26.2800031670717
DR76_RS00900,189092,189874,189483,,DR76_169,5.63320307692945
DR76_RS00905,190094,191296,190695,,DR76_170,261.927868916198
DR76_RS00910,191396,191938,191667,,DR76_171,9.47020096618941
DR76_RS00915,192217,192642,192429,,DR76_172,93.8538576565481
DR76_RS00920,192681,193283,192982,,DR76_173,52.315524064112
DR76_RS00925,193591,194730,194160,,DR76_174,318.004031595793
DR76_RS00930,194734,195702,195218,,DR76_175,139.490929592646
DR76_RS00935,195702,197684,196693,,DR76_176,325.717102786941
DR76_RS00940,197681,198571,198126,,DR76_177,72.0873915019702
DR76_RS00945,198571,200223,199397,,DR76_178,74.7232140817651
DR76_RS00950,200220,200555,200387,,DR76_179,10.3131001617512
DR76_RS00955,200555,200941,200748,,DR76_181,12.3062373724364
DR76_RS00960,200935,201201,201068,,DR76_180,19.1444261870724
DR76_RS00965,201311,202666,201988,,DR76_182,57.8693132707412
DR76_RS00970,202663,203625,203144,,DR76_183,88.7815986860706
DR76_RS00975,203625,204482,204053,,DR76_184,127.335954072445
DR76_RS00980,204497,205255,204876,,DR76_185,15.8405966919065
DR76_RS00985,205252,206922,206087,,DR76_186,106.752819044681
DR76_RS00990,207011,208306,207658,,DR76_187,80.3832217408397
DR76_RS00995,208385,208690,208537,,DR76_188,24.8379024683389
DR76_RS01000,208745,209206,208975,,DR76_189,25.9065475243929
DR76_RS01005,209271,210188,209729,,DR76_190,53.100118656327
DR76_RS01010,210309,212051,211180,,DR76_191,12.3900955396728
DR76_RS01015,212199,213161,212680,,DR76_192,0.775088848781746
DR76_RS01020,213264,213767,213515,,DR76_193,36.7794484235877
DR76_RS01025,213834,215291,214562,,DR76_194,160.553437297642
DR76_RS01030,215298,216827,216062,,DR76_195,184.129022960498
DR76_RS01035,216991,218832,217911,,DR76_196,265.848043233586
DR76_RS01040,218829,219131,218980,,DR76_197,18.1698219700817
DR76_RS01045,219128,219682,219405,,DR76_198,72.6757525294125
DR76_RS01050,219694,220236,219965,,DR76_199,71.7257283407411
DR76_RS01055,220251,221228,220739,,DR76_200,114.131584216757
DR76_RS01060,221225,223951,222588,,DR76_201,422.904110871087
DR76_RS01065,224004,225341,224672,,DR76_202,365.276275549627
DR76_RS01070,225338,225838,225588,,DR76_203,168.775446142872
DR76_RS01075,225841,227631,226736,,DR76_204,736.056701900211
DR76_RS01080,227737,228399,228068,,DR76_205,374.255909382203
DR76_RS01085,228415,228858,228636,,DR76_206,274.920347329305
DR76_RS01090,229488,230426,229957,,DR76_208,88.4576451722638
DR76_RS01095,231346,232563,231954,,DR76_209,240.849712836454
DR76_RS01100,232647,233246,232946,,DR76_210,87.8792969832105
DR76_RS01105,233305,235137,234221,,DR76_211,305.608456039423
DR76_RS01110,235224,235874,235549,,DR76_212,201.277922360337
DR76_RS01115,235885,236379,236132,,DR76_213,228.853818604331
DR76_RS01120,236461,236916,236688,,DR76_214,155.175583307038
DR76_RS01130,237254,238456,237855,,DR76_215,1639.25460816469
DR76_RS01135,238531,240675,239603,,DR76_216,2179.11290850342
DR76_RS01140,240865,242385,241625,,DR76_217,20.3449867523344
DR76_RS01145,242418,242960,242689,,DR76_218,126.457237332484
DR76_RS01150,243018,243572,243295,,DR76_219,103.997083924907
DR76_RS01155,243625,244269,243947,,DR76_220,97.9388325124126
DR76_RS01160,244405,245052,244728,,DR76_221,2.33392552794705
DR76_RS01165,245109,245471,245290,,DR76_222,56.4939034849873
DR76_RS01170,245492,246385,245938,,DR76_223,140.401873557974
DR76_RS01175,246544,247317,246930,,DR76_224,31.1003910286632
DR76_RS01180,247325,248041,247683,,DR76_225,15.8716972673996
DR76_RS01185,248038,248724,248381,,DR76_226,24.1738136304567
DR76_RS01190,248814,249596,249205,,DR76_227,95.70170100216
DR76_RS01195,249817,250599,250208,,,18.9341779923819
DR76_RS01200,250865,251434,251149,,DR76_230,37.5312297921551
DR76_RS01205,251529,253046,252287,,DR76_231,163.167815754324
DR76_RS01210,253083,253571,253327,,DR76_232,101.923920505076
DR76_RS01215,254103,254765,254434,,DR76_233,143.000582110058
DR76_RS01220,254755,256023,255389,,DR76_234,132.202964110538
DR76_RS01225,256093,257007,256550,,DR76_235,424.008391729684
DR76_RS01230,257163,257822,257492,,DR76_236,36.2926031934611
DR76_RS01235,257905,258717,258311,,DR76_237,32.9184015361714
DR76_RS01240,258717,259730,259223,,DR76_238,128.714270151134
DR76_RS01245,259796,260932,260364,,DR76_239,222.364931190328
DR76_RS01250,261031,262026,261528,flk,DR76_241,60.5719535372541
DR76_RS01255,262023,263201,262612,,DR76_240,31.8174072917266
DR76_RS01260,263466,264686,264076,,DR76_242,1595.07592145775
DR76_RS01265,264845,266851,265848,,DR76_243,131.360296932605
DR76_RS01270,266972,267250,267111,,DR76_244,39.8144715732385
DR76_RS01275,267284,267832,267558,,DR76_245,51.0150575111571
DR76_RS01280,267832,268641,268236,,DR76_246,34.8382029183228
DR76_RS01285,268641,269465,269053,,DR76_247,59.6893163144469
DR76_RS01290,269469,270554,270011,,DR76_248,123.406867225978
DR76_RS01295,270589,271521,271055,,DR76_249,111.359571664256
DR76_RS01300,271687,272238,271962,,DR76_250,104.476987632302
DR76_RS01305,272263,272511,272387,,,21.4967915173819
DR76_RS01310,272558,273415,272986,,DR76_251,20.1801503702316
DR76_RS01315,273417,273944,273680,,DR76_252,2.49509978539676
DR76_RS01320,273941,274420,274180,,DR76_253,1.64580681640022
DR76_RS01325,274417,274920,274668,,DR76_254,1.94446512451068
DR76_RS01330,274937,275689,275313,,DR76_255,4.67678511482324
DR76_RS01335,275709,278357,277033,,DR76_256,11.0931643376321
DR76_RS01340,278438,279004,278721,,DR76_257,3.55550924076472
DR76_RS01345,279571,280056,279813,,DR76_258,188.308634275137
DR76_RS01350,280259,282403,281331,,DR76_259,349.224270574887
DR76_RS01355,282403,283713,283058,,DR76_260,231.425880499289
DR76_RS01360,283893,284177,284035,,DR76_261,456.902579244977
DR76_RS01365,284549,285889,285219,,DR76_262,165.788863061767
DR76_RS01370,285951,286706,286328,,DR76_263,182.690971923709
DR76_RS01375,287000,287932,287466,,DR76_264,7.63711617379512
DR76_RS01380,288008,288082,288045,,DR76_265,4.35075294542123
DR76_RS01385,288520,289050,288785,,DR76_266,9.15892494464722
DR76_RS01390,289098,297047,293072,,DR76_267,148.548826710442
DR76_RS01395,297072,297692,297382,,DR76_268,0.955846277602096
DR76_RS01400,298010,298639,298324,,DR76_269,6.75674415915499
DR76_RS01405,299387,299956,299671,,DR76_270,5.68384376409423
DR76_RS01410,300351,301298,300824,,DR76_271,8.70220434908552
DR76_RS01415,301516,302853,302184,,DR76_272,18.3416883996718
DR76_RS01420,302871,304199,303535,,DR76_273,52.3904912321182
DR76_RS01425,304307,305845,305076,emrB,DR76_274,5.57758706266546
DR76_RS01430,305845,307008,306426,,DR76_275,3.54458505099589
DR76_RS01435,307424,308038,307731,,DR76_276,368.966374574906
DR76_RS01440,308043,311636,309839,,DR76_277,336.221379877684
DR76_RS01445,311692,312837,312264,,DR76_278,2.00008113877468
DR76_RS01450,312911,313855,313383,,DR76_279,1.04423486117258
DR76_RS01455,313925,315619,314772,,DR76_280,3.34297430805773
DR76_RS01460,315673,316923,316298,,DR76_281,3.12518897092418
DR76_RS01465,317435,318067,317751,,DR76_282,2.78183883831855
DR76_RS01470,318362,318637,318499,,DR76_283,0.42180959182713
DR76_RS01480,318714,318956,318835,,DR76_284,25.7289451252699
DR76_RS01485,319309,320229,319769,,DR76_285,551.272253894148
DR76_RS01490,320721,321959,321340,,DR76_286,199.869873995089
DR76_RS01495,322336,324033,323184,,DR76_287,113.683314520376
DR76_RS01500,324048,324785,324416,,DR76_288,51.5631518865488
DR76_RS01505,324798,325655,325226,,DR76_289,33.0381657725623
DR76_RS01510,325658,328153,326905,,DR76_290,13.5098046638074
DR76_RS01515,328178,329215,328696,,DR76_291,3.09184471711357
DR76_RS01520,329215,330300,329757,,DR76_292,3.50273011917187
DR76_RS01525,330316,331563,330939,,DR76_293,1.82173722170974
DR76_RS01530,331585,331911,331748,,DR76_294,0.379954660003104
DR76_RS01535,332130,333095,332612,,DR76_295,172.295769302575
DR76_RS01540,333299,334555,333927,,DR76_296,29.3159352627445
DR76_RS01545,334670,334996,334833,,DR76_297,176.890734251415
DR76_RS01555,335137,336375,335756,,DR76_298,70.1077427017554
DR76_RS01560,336711,337913,337312,,DR76_299,174.985555027312
DR76_RS01565,337962,340151,339056,,DR76_300,96.3190457005167
DR76_RS01570,340358,340433,340395,,DR76_301,1.3481435737096
DR76_RS01575,340473,340548,340510,,DR76_302,2.19360458461516
DR76_RS01580,340784,341128,340956,,DR76_303,189.54821528491
DR76_RS01585,341130,341522,341326,,DR76_304,209.375129457886
DR76_RS01590,341573,342988,342280,,DR76_305,443.52610132064
DR76_RS01595,343247,343322,343284,,DR76_306,12.3246771747988
DR76_RS01600,343366,343441,343403,,DR76_307,16.695288368918
DR76_RS01605,343488,343563,343525,,DR76_308,0.50310594371977
DR76_RS01610,343568,343643,343605,,DR76_309,0.781757699543868
DR76_RS01615,343754,344638,344196,,DR76_310,18.6800632051782
DR76_RS01620,344679,344837,344758,,,0.473170267084418
DR76_RS01625,344890,346146,345518,,DR76_311,6.52860631675673
DR76_RS01630,346207,347040,346623,,DR76_312,3.22166485159236
DR76_RS01635,347288,348052,347670,,DR76_313,3.87984788650383
DR76_RS01640,348091,349017,348554,,DR76_314,20.0530188248355
DR76_RS01645,349107,350105,349606,,DR76_316,68.5948679898324
DR76_RS01650,350102,350320,350211,,DR76_315,4.79284416686206
DR76_RS01655,350322,352337,351329,ligA,DR76_317,163.22102066219
DR76_RS01660,352408,353406,352907,,DR76_318,456.722539398891
DR76_RS01665,353636,354397,354016,,DR76_319,92.3410284096818
DR76_RS01670,354582,355553,355067,,DR76_320,899.675057251428
DR76_RS01675,355937,356194,356065,,DR76_321,381.392916716957
DR76_RS01680,356239,357966,357102,,DR76_322,1684.2052908749
DR76_RS01685,358007,358516,358261,,DR76_323,767.594876130178
DR76_RS01690,358559,359410,358984,pdxK,DR76_324,126.326991411732
DR76_RS01695,359515,359883,359699,,DR76_325,12.9327912070496
DR76_RS01700,359886,360797,360341,,DR76_326,134.985884133674
DR76_RS01705,360932,362029,361480,,DR76_327,303.076366594697
DR76_RS01710,362019,362894,362456,,DR76_328,123.569778066789
DR76_RS01715,362894,363727,363310,,DR76_329,96.1139402610055
DR76_RS01720,363727,364743,364235,,DR76_330,361.831823693237
DR76_RS01725,364901,365692,365296,,DR76_331,495.818131351966
DR76_RS01730,365972,366868,366420,,DR76_332,53.8675220590773
DR76_RS01735,366872,368296,367584,,DR76_333,60.9793873024382
DR76_RS01740,368474,369373,368923,,DR76_334,614.497532003244
DR76_RS01745,369469,370044,369756,,DR76_335,45.6209164663947
DR76_RS01750,370105,370554,370329,,DR76_336,9.14444387411474
DR76_RS01755,370541,370966,370753,,DR76_337,20.4030378082033
DR76_RS01760,371180,372049,371614,,DR76_338,97.3637685321534
DR76_RS01765,372053,372952,372502,,DR76_339,50.0379560683709
DR76_RS01770,372958,374010,373484,,DR76_340,12.5810571701695
DR76_RS01775,374056,374556,374306,,DR76_341,6.61159619231227
DR76_RS01780,374569,375228,374898,,DR76_342,6.65444618955614
DR76_RS01785,375238,376125,375681,,DR76_343,7.28921409500599
DR76_RS01790,376146,377507,376826,,DR76_344,13.8179471855017
DR76_RS01795,377519,378922,378220,eutA,DR76_345,6.53455517942634
DR76_RS01800,378919,380145,379532,,DR76_346,7.55893179190095
DR76_RS01805,380362,381549,380955,,DR76_347,3.33005998744921
DR76_RS01810,381539,382375,381957,,DR76_348,2.86398195204264
DR76_RS01815,382386,383789,383087,,DR76_349,4.44183011807446
DR76_RS01820,383801,384088,383944,,DR76_350,1.35807269805859
DR76_RS01825,384195,384488,384341,,DR76_351,12.3659604221187
DR76_RS01830,384527,385543,385035,,DR76_352,9.65889738851907
DR76_RS01835,385540,386343,385941,,DR76_353,6.91040280401113
DR76_RS01840,386340,387041,386690,,DR76_354,8.91147900820565
DR76_RS01845,387016,387495,387255,,DR76_355,3.26735174150737
DR76_RS01850,387508,387843,387675,,DR76_356,1.26585215639712
DR76_RS01855,388136,390415,389275,,DR76_357,332.749494381169
DR76_RS01860,390704,391654,391179,,DR76_358,19.9592315332501
DR76_RS01865,391674,393677,392675,,DR76_359,30.2333351856978
DR76_RS01870,393780,394823,394301,,DR76_360,184.009330529729
DR76_RS01875,394949,395524,395236,,DR76_361,69.9472023130003
DR76_RS01880,395592,397571,396581,,DR76_362,80.9892164631542
DR76_RS01885,397777,399477,398627,,DR76_363,123.847075965826
DR76_RS01890,399641,402754,401197,,DR76_364,75.5042757284237
DR76_RS01900,403293,403649,403471,,DR76_365,95.7070997101749
DR76_RS01905,403653,404780,404216,,DR76_366,202.724874017788
DR76_RS01910,404808,405008,404908,,DR76_367,37.2649206724354
DR76_RS01915,405089,405787,405438,,DR76_368,53.5352444198289
DR76_RS01920,405861,407876,406868,,DR76_369,92.6803767507586
DR76_RS01925,407891,408754,408322,,DR76_370,88.7553921289944
DR76_RS01930,408922,409635,409278,,DR76_371,188.336596540067
DR76_RS01940,409848,410882,410365,,DR76_372,770.842285908947
DR76_RS01945,410899,411777,411338,,DR76_374,1011.67021736077
DR76_RS01950,411923,412495,412209,,DR76_375,105.961407298115
DR76_RS01955,412495,412965,412730,,DR76_376,201.624025671574
DR76_RS01960,413064,414125,413594,,DR76_377,61.5553219797361
DR76_RS01965,414338,415801,415069,,DR76_378,182.300494925003
DR76_RS01970,415822,416181,416001,,DR76_379,87.138186256934
DR76_RS01975,416319,417065,416692,,DR76_380,182.50691356696
DR76_RS01980,417115,418404,417759,,DR76_381,20.7693796893548
DR76_RS01985,418490,419116,418803,,DR76_382,133.207948914929
DR76_RS01990,419441,420478,419959,,DR76_383,203.719711993978
DR76_RS01995,420478,421116,420797,,DR76_384,86.9474566440658
DR76_RS02000,421288,423354,422321,,DR76_385,466.10517941885
DR76_RS02005,423359,424900,424129,,DR76_386,260.516722894728
DR76_RS02010,424939,427182,426060,,DR76_387,24.9545547347312
DR76_RS02015,427364,427516,427440,,DR76_388,0.0513606752572875
DR76_RS02020,427534,427725,427629,,DR76_389,58.8690285462142
DR76_RS02025,428036,428554,428295,,DR76_390,6.67091739092831
DR76_RS02030,428570,429109,428839,,DR76_391,8.68475961214296
DR76_RS02035,429203,430780,429991,,DR76_392,713.210532509998
DR76_RS02040,430849,432315,431582,,DR76_393,325.062861764726
DR76_RS02045,432477,433853,433165,,DR76_394,203.449240870723
DR76_RS02050,433922,441973,437947,,DR76_395,151.500986758276
DR76_RS02055,442094,443071,442582,,DR76_396,30.2722049212623
DR76_RS02060,443126,445333,444229,,DR76_397,10.3548283198363
DR76_RS02065,445512,445727,445619,,DR76_398,3.01721721598305
DR76_RS02070,445790,447262,446526,,DR76_399,205.513950986015
DR76_RS02075,447380,448558,447969,,DR76_400,570.110828989887
DR76_RS02080,448569,449189,448879,,DR76_401,221.635380927873
DR76_RS02085,449207,450481,449844,,DR76_402,607.839990681194
DR76_RS02090,450592,451710,451151,,DR76_403,437.857953801708
DR76_RS02095,451737,452744,452240,,DR76_404,508.62637676417
DR76_RS02100,453029,454183,453606,,DR76_405,165.387825475375
DR76_RS02105,454333,454764,454548,,DR76_406,50.0554008053134
DR76_RS02110,454913,457225,456069,,DR76_407,80.4297338627368
DR76_RS02115,457226,462187,459706,,DR76_408,642.787459432412
DR76_RS02120,462394,463239,462816,,DR76_409,729.910781892239
DR76_RS02125,463736,464512,464124,,DR76_410,99.1760382594133
DR76_RS02130,464655,465938,465296,,DR76_411,308.563122816114
DR76_RS02135,465997,466197,466097,,DR76_412,54.6985019994504
DR76_RS02140,466209,466544,466376,,DR76_413,100.780499644303
DR76_RS02145,466546,468396,467471,,DR76_414,253.559851028518
DR76_RS02150,468413,468928,468670,hscB,DR76_415,67.8922682077531
DR76_RS02155,469024,469347,469185,,DR76_416,245.194454735015
DR76_RS02160,469364,469750,469557,,DR76_417,257.029808578384
DR76_RS02165,469778,470992,470385,,DR76_418,759.50960753068
DR76_RS02170,471104,471592,471348,,DR76_419,222.000414417294
DR76_RS02175,471863,472603,472233,,DR76_420,330.077072084692
DR76_RS02180,472722,473525,473123,,DR76_421,40.2728856924631
DR76_RS02185,473670,474524,474097,,DR76_422,4.70445558329157
DR76_RS02190,474715,475995,475355,,DR76_424,79.5368709084038
DR76_RS02195,475987,477126,476556,,DR76_423,38.10654972525
DR76_RS02200,477495,477917,477706,,DR76_425,2.9563507972925
DR76_RS02205,478077,478949,478513,,DR76_426,5.28246410546919
