"","locus_tag","gene","lengthnt","start","end","strand","product","Nakamura","Lawrence","hns","conservation"
"65","b0075","leuL","87","83622","83708","-","leu operon leader","","","1","15"
"66","b0076","leuO","1122","84191","85312","+","probable transcriptional","1","","1","18"
"67","","","","","","","activator for leuABCD","","","",""
"68","","","","","","","operon","","","",""
"69","b0077","ilvI","1815","85540","87354","+","acetolactate synthase","","","1","21"
"70","b0106","hofC","1203","114522","115724","-","putative integral","1","","","20"
"71","","","","","","","membrane protein","","","",""
"72","","","","","","","involved in biogenesis","","","",""
"73","","","","","","","of fimbriae, protein","","","",""
"74","","","","","","","transport DNA uptake","","","",""
"75","b0107","hofB","1386","115714","117099","-","putative integral","1","","","17"
"76","","","","","","","membrane protein","","","",""
"77","","","","","","","involved in biogenesis","","","",""
"78","","","","","","","of fimbriae, protein","","","",""
"79","","","","","","","transport DNA uptake","","","",""
"80","b0108","ppdD","441","117109","117549","-","prelipin peptidase","","","","20"
"81","","","","","","","dependent protein","","","",""
"82","b0109","nadC","894","117752","118645","-","quinolinate","","","","21"
"83","","","","","","","phosphoribosyltransfera","","","",""
"84","","","","","","","se","","","",""
"85","b0110","ampD","552","118733","119284","+","regulates ampC","","","","20"
"86","b0111","ampE","855","119281","120135","+","regulates ampC","","","","21"
"87","b0112","aroP","1374","120178","121551","-","aromatic amino acid","","","","21"
"88","","","","","","","transport protein","","","",""
"89","b0113","pdhR","765","122092","122856","+","transcriptional regulator","","","","21"
"90","","","","","","","for pyruvate","","","",""
"91","","","","","","","dehydrogenase","","","",""
"92","b0114","aceE","2664","123017","125680","+","pyruvate","","","","21"
"93","","","","","","","dehydrogenase","","","",""
"94","","","","","","","(decarboxylase","","","",""
"95","b0115","aceF","1893","125695","127587","+","pyruvate","","","","20"
"96","","","","","","","dehydrogenase","","","",""
"97","","","","","","","(dihydrolipoyltransacetyl","","","",""
"98","b0116","lpdA","1425","127912","129336","+","lipoamide","","","","21"
"99","","","","","","","dehydrogenase","","","",""
"100","","","","","","","(NADH); component of","","","",""
"101","","","","","","","2-oxodehydrogenase","","","",""
"102","","","","","","","and pyruvate","","","",""
"103","","","","","","","complexes; L-protein of","","","",""
"104","b0117","yacH","1854","129407","131260","-","putative membrane","1","","","13"
"105","","","","","","","protein","","","",""
"106","b0118","acnB","2598","131615","134212","+","aconitate hydrase B","","","","21"
"107","b0119","yacL","411","134340","134750","+","orf, hypothetical protein","","","","21"
"108","b0120","speD","795","134788","135582","-","S-adenosylmethionine","","","","21"
"109","","","","","","","decarboxylase","","","",""
"110","b0121","speE","867","135598","136464","-","spermidine synthase =","","","","21"
"111","","","","","","","putrescine","","","",""
"112","","","","","","","aminopropyltransferase","","","",""
"113","b0122","yacC","471","136570","137040","-","orf, hypothetical protein","1","","","21"
"114","b0123","cueO","1551","137083","138633","+","Probable periplasmic","","","","20"
"115","","","","","","","copper oxidase","","","",""
"116","b0124","gcd","2391","138835","141225","-","glucose dehydrogenase","","","","14"
"117","b0125","hpt","549","141419","141967","+","hypoxanthine","","","","21"
"118","","","","","","","phosphoribosyltransfera","","","",""
"119","","","","","","","se","","","",""
"120","b0126","yadF","663","142008","142670","-","putative carbonic","","","","21"
"121","","","","","","","anhdrase","","","",""
"122","b0127","yadG","927","142779","143705","+","putative ATP-binding","","","","21"
"123","","","","","","","component of a","","","",""
"124","","","","","","","transport system","","","",""
"125","b0128","yadH","771","143702","144472","+","orf, hypothetical protein","","","","21"
"126","b0129","yadI","441","144577","145017","+","putative PTS enzyme II","","","","20"
"127","","","","","","","B component","","","",""
"128","b0130","yadE","1230","145081","146310","+","conserved hypothetical","","","","17"
"129","","","","","","","protein","","","",""
"130","b0131","panD","381","146314","146694","-","aspartate 1-","","","","21"
"131","","","","","","","decarboxylase","","","",""
"132","b0132","yadD","903","146968","147870","+","orf, hypothetical protein","1","","","21"
"133","b0133","panC","852","147944","148795","-","pantothenate","","","","21"
"134","b0134","panB","795","148807","149601","-","3-methyl-2-","","","","21"
"135","","","","","","","oxobutanoate","","","",""
"136","b0135","yadC","1239","149715","150953","-","putative fimbrial-like","1","1","1","9"
"137","","","","","","","protein","","","",""
"138","b0136","yadK","597","151003","151599","-","putative fimbrial protein","1","1","1","10"
"139","b0137","yadL","606","151626","152231","-","putative fimbrial protein","1","1","1","9"
"140","b0138","yadM","612","152243","152854","-","putative fimbrial-like","1","1","1","8"
"141","","","","","","","protein","","","",""
"142","b0139","htrE","2598","152829","155426","-","probable outer","1","1","1","9"
"143","","","","","","","membrane porin protein","","","",""
"144","","","","","","","involved in fimbrial","","","",""
"145","b0140","ecpD","741","155461","156201","-","probable pilin","1","1","1","14"
"146","","","","","","","chaperone similar to","","","",""
"147","b0141","yadN","585","156299","156883","-","putative fimbrial-like","1","1","1","10"
"148","","","","","","","protein","","","",""
"149","b0142","folK","480","157253","157732","-","7,8-dihydro-6-","","","","21"
"150","","","","","","","hydroxymethylpterin-","","","",""
"151","","","","","","","pyrophosphokinase","","","",""
"152","b0143","pcnB","1365","157729","159093","-","poly(A) polymerase I","","","","21"
"153","b0144","yadB","927","159186","160112","-","putative tRNA","","","","21"
"154","b0145","dksA","456","160149","160604","-","dnaK suppressor","","","","21"
"155","b0146","sfsA","705","160782","161486","-","probable regulator for","1","","","21"
"156","","","","","","","maltose metabolism","","","",""
"157","b0147","ligT","540","161501","162040","-","2'-5' RNA ligase","","","","20"
"158","b0148","hrpB","2475","162060","164534","+","helicase, ATP-","","","","20"
"159","b0149","mrcB","2535","164730","167264","+","peptidoglycan","","","","21"
"160","","","","","","","synthetase; penicillin-","","","",""
"161","","","","","","","binding protein 1B","","","",""
"162","b0150","fhuA","2244","167484","169727","+","outer membrane protein","","","","20"
"163","","","","","","","receptor for","","","",""
"164","","","","","","","ferrichrome, colicin M,","","","",""
"165","","","","","","","and phages T1, T5, and","","","",""
"166","b0151","fhuC","798","169778","170575","+","ATP-binding","","","","20"
"167","","","","","","","component of","","","",""
"168","","","","","","","hydroxymate-","","","",""
"169","b0152","fhuD","891","170575","171465","+","hydroxamate-","","","","20"
"170","","","","","","","dependent iron uptake,","","","",""
"171","","","","","","","cytoplasmic membrane","","","",""
"172","b0153","fhuB","1983","171462","173444","+","hydroxamate-","","","","20"
"173","","","","","","","dependent iron uptake,","","","",""
"174","","","","","","","cytoplasmic membrane","","","",""
"175","b0154","hemL","1281","173602","174882","-","glutamate-1-","","","","21"
"176","","","","","","","semialdehyde","","","",""
"177","","","","","","","aminotransferase","","","",""
"178","","","","","","","(aminomutase)","","","",""
"179","b0155","yadQ","1422","175107","176528","+","putative channel","","","","19"
"180","","","","","","","transporter","","","",""
"181","b0156","yadR","345","176610","176954","+","orf, hypothetical protein","","","","21"
"182","b0157","yadS","624","177001","177624","-","orf, hypothetical protein","","","","19"
"183","b0158","yadT","801","177662","178462","-","orf, hypothetical protein","","","","21"
"184","b0159","pfs","699","178455","179153","-","orf, hypothetical protein","","","","21"
"185","b0160","dgt","1518","179237","180754","+","deoxyguanosine","","","1","19"
"186","","","","","","","triphosphate","","","",""
"187","","","","","","","triphosphohydrolase","","","",""
"188","b0161","degP","1425","180884","182308","+","periplasmic serine","","","","20"
"189","","","","","","","protease Do; heat","","","",""
"190","","","","","","","shock protein HtrA","","","",""
"191","b0162","cdaR","1176","182445","183620","+","regulator of D-","","","","18"
"192","","","","","","","galactarate, D-glucarate","","","",""
"193","","","","","","","and D-glycerate","","","",""
"194","b0163","yaeH","387","183709","184095","-","putative structural","","","","21"
"195","b0164","yaeI","744","184257","185000","-","orf, hypothetical protein","","","","5"
"196","b0165","-","132","184987","185118","-","orf, hypothetical protein","","","","1"
"197","b0166","dapD","825","185123","185947","-","2,3,4,5-","","","","21"
"198","","","","","","","tetrahydropyridine-2-","","","",""
"199","","","","","","","carboxylate N-","","","",""
"200","b0167","glnD","2673","185978","188650","-","protein PII;","","","","21"
"201","","","","","","","uridylyltransferase acts","","","",""
"202","","","","","","","on regulator of glnA","","","",""
"203","b0168","map","795","188712","189506","-","methionine","","","","21"
"204","","","","","","","aminopeptidase","","","",""
"205","b0169","rpsB","726","189874","190599","+","30S ribosomal subunit","","","","21"
"206","","","","","","","protein S2","","","",""
"207","b0170","tsf","852","190857","191708","+","protein chain elongation","","","","21"
"208","","","","","","","factor EF-Ts","","","",""
"209","b0171","pyrH","726","191855","192580","+","uridylate kinase","","","","21"
"210","b0172","frr","558","192872","193429","+","ribosome releasing","","","","21"
"211","rrnH_23S rrnH_23S","","2904","225759","228662","+","rrnH_23S","","","",""
"212","rrnH_5S rrnH_5S","","120","228756","228875","+","rrnH_5S","","","",""
"213","tRNA-Asp1tRNA-Asp","","77","228928","229004","+","tRNA-Asp","","","",""
"214","b0207 dkgB","","804","229167","229970","+","2,5-diketo-D-gluconate","","","","20"
"215","","","","","","","reductase B","","","",""
"216","b0208 yafC","","915","229967","230881","-","putative transcriptional","1","","","21"
"217","","","","","","","regulator LYSR-type","","","",""
"218","b0209 yafD","","801","231122","231922","+","orf, hypothetical protein","","","","21"
"219","b0210 yafE","","624","231926","232549","+","putative biotin synthesis","1","","","20"
"220","","","","","","","protein","","","",""
"221","b0211 mltD","","1359","232597","233955","-","membrane-bound lytic","","","","21"
"222","","","","","","","murein transglycosylase","","","",""
"223","","","","","","","D","","","",""
"224","b0212 gloB","","756","234027","234782","-","probable","1","1","","21"
"225","","","","","","","hydroxyacylglutathione","","","",""
"226","","","","","","","hydrolase","","","",""
"227","b0213 yafS","","741","234798","235538","+","orf, hypothetical protein","1","","","21"
"228","b0214 rnhA","","468","235535","236002","-","RNase HI, degrades","","","","21"
"229","","","","","","","RNA of DNA-RNA","","","",""
"230","","","","","","","hybrids, participates in","","","",""
"231","","","","","","","DNA replication","","","",""
"232","b0215 dnaQ","","732","236067","236798","+","DNA polymerase III,","","","","21"
"233","","","","","","","epsilon subunit","","","",""
"234","tRNA-Asp2tRNA-Asp","","77","236931","237007","+","tRNA-Asp","","","1",""
"235","b0217 yafT","","786","237335","238120","+","putative","1","1","1","4"
"236","b0218 yafU","","339","238746","239084","-","orf, hypothetical protein","1","1","1","9"
"237","b0219 yafV","","771","239419","240189","-","putative amidase-type","","","","17"
"238","","","","","","","enzyme","","","",""
"239","b0220 ykfE","","474","240343","240816","+","orf, hypothetical protein","","","","14"
"240","b0221 fadE","","2481","240859","243339","-","medium-long-chain fatty","","","","19"
"241","","","","","","","acyl-CoA","","","",""
"242","b0222 lpcA","","579","243543","244121","+","phosphoheptose","","","","21"
"243","","","","","","","isomerase","","","",""
"244","b0223 yafJ","","768","244327","245094","+","putative","","","","21"
"245","b0224 yafK","","741","245065","245805","-","orf, hypothetical protein","","","1","21"
"246","b0225 yafQ","","279","245961","246239","-","orf, hypothetical protein","1","1","1","8"
"247","b0226 dinJ","","261","246242","246502","-","damage-inducible","","1","1","12"
"248","","","","","","","protein J","","","",""
"249","b0227 yafL","","750","246712","247461","+","putative lipoprotein","1","","1","8"
"250","b0228 yafM","","498","247637","248134","+","orf, hypothetical protein","1","","","11"
"251","b0229 fhiA","","1740","248358","250097","-","flagellar biosynthesis","","1","","9"
"252","b0230 mbhA","","786","250042","250827","+","putative motility protein","","","","12"
"253","b0231 dinB","","1056","250898","251953","+","DNA polymerase IV","","","","20"
"254","b0232 yafN","","294","252005","252298","+","orf, hypothetical protein","1","1","1","11"
"255","b0233 yafO","","399","252301","252699","+","orf, hypothetical protein","1","1","1","7"
"256","b0234 yafP","","453","252709","253161","+","orf, hypothetical protein","1","1","1","13"
"257","b0235 ykfJ","","267","253467","253733","+","orf, hypothetical protein","1","","1","13"
"258","b0236 prfH","","501","253702","254202","+","probable peptide chain","","","","16"
"259","","","","","","","release factor","","","",""
"260","b0237 pepD","","1458","254259","255716","-","aminoacyl-histidine","","","","21"
"261","","","","","","","dipeptidase (peptidase","","","",""
"262","b0238 gpt","","459","255977","256435","+","guanine-hypoxanthine","","","","21"
"263","","","","","","","phosphoribosyltransfera","","","",""
"264","","","","","","","se","","","",""
"265","b0239 yafA","","1245","256527","257771","+","orf, hypothetical protein","","","","21"
"266","b0240 crl","","402","257829","258230","+","transcriptional regulator","","","1","20"
"267","","","","","","","of cryptic csgA gene for","","","",""
"268","","","","","","","curli surface fibers","","","",""
"269","b0241 phoE","","1056","258269","259324","-","outer membrane pore","","","1","21"
"270","","","","","","","protein E (E,Ic,NmpAB)","","","",""
"271","b0242 proB","","1104","259612","260715","+","gamma-glutamate","","","","21"
"272","b0243 proA","","1254","260727","261980","+","gamma-","","","","21"
"273","","","","","","","glutamylphosphate","","","",""
"274","","","","","","","reductase","","","",""
"275","tRNA-Thr1 tRNA-Thr","","76","262095","262170","+","tRNA-Thr","","","",""
"276","b0245 ykfI","","342","262552","262893","-","orf, hypothetical protein","","","","11"
"277","b0246 yafW","","318","262914","263231","-","orf, hypothetical protein","1","1","","11"
"278","b0247 ykfG","","477","263480","263956","-","putative DNA repair","","","","11"
"279","","","","","","","protein","","","",""
"280","b0248 yafX","","459","263972","264430","-","orf, hypothetical protein","","","","11"
"281","b0249 ykfF","","240","264528","264767","-","orf, hypothetical protein","1","","","8"
"282","b0250 ykfB","","468","264844","265311","-","orf, hypothetical protein","","","","3"
"283","b0251","yafY","858","265334","266191","-","hypothetical","1","","","2"
"284","","","","","","","transcriptional regulator","","","",""
"285","b0252","yafZ","837","266408","267244","-","orf, hypothetical protein","","","","8"
"286","b0253","ykfA","867","267321","268187","-","putative GTP-binding","1","1","","9"
"287","","","","","","","protein","","","",""
"288","b0254","perR","894","268513","269406","-","peroxide resistance","1","1","","2"
"289","","","","","","","protein","","","",""
"290","b0255","yi91a","405","269466","269870","+","transposase insN for","1","1","","13"
"291","","","","","","","insertion sequence","","","",""
"292","","","","","","","element IS911A","","","",""
"293","b0256","tra8_1","1152","269827","270978","+","IS30 transposase","1","","","7"
"294","b0257","-","426","271054","271479","+","putative transposase","1","","","14"
"295","b0258","ykfC","1131","272086","273216","+","orf, hypothetical protein","1","","","12"
"296","b0259","trs5_1","1017","273325","274341","-","IS5 transposase","1","1","","2"
"297","b0260","mmuP","1428","274525","275952","+","S-methylmethionine","","","","3"
"298","","","","","","","permease","","","",""
"299","b0261","mmuM","933","275939","276871","+","S-","","","","3"
"300","","","","","","","methylmethionine:homo","","","",""
"301","","","","","","","cysteine","","","",""
"302","b0262","afuC","1059","276980","278038","-","putative ATP-binding","","1","","6"
"303","","","","","","","component of a","","","",""
"304","","","","","","","transport system","","","",""
"305","b0263","afuB","363","278038","278400","-","putative transport","","1","","9"
"306","","","","","","","system permease","","","",""
"307","b0264","insB_2","504","278402","278905","-","IS1 protein InsB","1","1","","15"
"308","b0265","insA_2","276","278824","279099","-","IS1 protein InsA","1","1","","15"
"309","b0266","yagB","378","279609","279986","-","orf, hypothetical protein","","","","11"
"310","b0267","yagA","1155","280053","281207","-","orf, hypothetical protein","","1","","18"
"311","b0268","yagE","930","281481","282410","+","putative lyase/synthase","","1","","4"
"312","b0269","yagF","1968","282425","284392","+","putative dehydratase","","1","","2"
"313","b0270","yagG","1383","284619","286001","+","putative permease","","1","1","20"
"314","b0271","yagH","1611","286013","287623","+","putative beta-","","1","","8"
"315","b0272","yagI","759","287628","288386","-","putative regulator","","1","","2"
"316","b0273","argF","1005","288525","289529","-","ornithine","","1","","21"
"317","","","","","","","carbamoyltransferase","","","",""
"318","","","","","","","2, chain F","","","",""
"319","b0274","insB_3","504","289873","290376","-","IS1 protein InsB","1","1","","15"
"320","b0275","insA_3","276","290295","290570","-","IS1 protein InsA","1","1","","15"
"321","b0276","yagJ","732","290724","291455","+","orf, hypothetical protein","1","","","2"
"322","b0277","yagK","627","291546","292172","-","orf, hypothetical protein","1","","1","4"
"323","b0278","yagL","699","292444","293142","-","DNA-binding protein","1","1","1","2"
"324","b0279","yagM","855","293169","294023","-","orf, hypothetical protein","1","","1","4"
"325","b0280","yagN","441","294363","294803","-","orf, hypothetical protein","1","","1","2"
"326","b0281","intF","1401","294920","296320","-","putative phage","1","","1","3"
"327","b0282","yagP","411","296605","297015","-","putative transcriptional","1","","","4"
"328","","","","","","","regulator LYSR-type","","","",""
"329","b0283","yagQ","957","296994","297950","-","orf, hypothetical protein","1","","","4"
"330","b0284","yagR","2199","297960","300158","-","orf, hypothetical protein","","1","","4"
"331","b0285","yagS","957","300155","301111","-","orf, hypothetical protein","","","","4"
"332","b0286","yagT","690","301108","301797","-","putative xanthine","","","","4"
"333","","","","","","","dehydrogenase","","","",""
"334","b0287","yagU","615","302215","302829","+","orf, hypothetical protein","1","","1","11"
"335","b0288","ykgJ","330","303077","303406","-","putative ferredoxin","1","","1","9"
"336","b0289","yagV","756","303719","304474","-","orf, hypothetical protein","1","","","5"
"337","b0290","yagW","1644","304398","306041","-","putative receptor","","","","5"
"338","b0291","yagX","2526","306031","308556","-","putative enzyme","","","","15"
"339","b0292","yagY","669","308582","309250","-","orf, hypothetical protein","","","","6"
"340","b0293","yagZ","588","309308","309895","-","orf, hypothetical protein","","","1","6"
"341","b0294","ykgK","591","309970","310560","-","putative regulator","1","","1","6"
"342","b0295","ykgL","228","311336","311563","+","orf, hypothetical protein","1","","1","4"
"343","b0296","ykgM","264","311738","312001","-","putative ribosomal","","","1","17"
"344","b0297","eaeH","888","313581","314468","+","attaching and effacing","1","1","1","5"
"345","","","","","","","protein, pathogenesis","","","",""
"346","","","","","","","factor","","","",""
"347","b0298","-","309","314506","314814","+","transposase insE for","","","1","9"
"348","","","","","","","insertion sequence IS3","","","",""
"349","b0299","tra5_5","867","314811","315677","+","transposase insF for","1","","1","15"
"350","","","","","","","insertion sequence IS3","","","",""
"351","b0300","ykgA","720","315674","316393","-","putative ARAC-type","1","1","1","10"
"352","","","","","","","regulatory protein","","","",""
"353","b0301","ykgB","603","316950","317552","-","orf, hypothetical protein","","1","1","11"
"354","b0303","ykgI","252","317555","317806","-","orf, hypothetical protein","1","1","1","11"
"355","b0304","ykgC","1353","317900","319252","-","putative oxidoreductase","1","1","1","11"
"356","b0305","ykgD","855","319451","320305","+","putative ARAC-type","1","","1","11"
"357","","","","","","","regulatory protein","","","",""
"358","b0306","ykgE","720","320832","321551","+","putative dehydrogenase","","","1","9"
"359","","","","","","","subunit","","","",""
"360","b0307","ykgF","1428","321562","322989","+","orf, hypothetical protein","","","1","9"
"361","b0308","ykgG","849","322829","323677","+","putative transporter","1","","1","9"
"362","b0309","-","213","323632","323844","-","orf, hypothetical protein","","","1","4"
"363","b0310","ykgH","669","323920","324588","-","orf, hypothetical protein","1","1","1","12"
"364","b0311","betA","1671","324801","326471","-","choline dehydrogenase,","","","","9"
"365","","","","","","","a flavoprotein","","","",""
"366","b0312","betB","1473","326485","327957","-","NAD+-dependent","","","","13"
"367","","","","","","","betaine aldehyde","","","",""
"368","b0313","betI","588","327971","328558","-","probably transcriptional","","","","9"
"369","","","","","","","repressor of bet genes","","","",""
"370","b0314","betT","2034","328687","330720","+","high-affinity choline","","","","9"
"371","","","","","","","transport","","","",""
"372","b0315","yahA","1089","331595","332683","+","orf, hypothetical protein","1","","1","5"
"373","b0316","yahB","933","332725","333657","-","putative transcriptional","","","1","5"
"374","","","","","","","regulator LYSR-type","","","",""
"375","b0317","yahC","498","333749","334246","-","orf, hypothetical protein","1","","1","5"
"376","b0318","yahD","606","334504","335109","+","putative transcription","1","1","1","5"
"377","","","","","","","factor","","","",""
"378","b0319","yahE","864","335149","336012","+","orf, hypothetical protein","1","1","1","6"
"379","b0320","yahF","1548","336002","337549","+","putative oxidoreductase","","1","","6"
"380","","","","","","","subunit","","","",""
"381","b0321","yahG","1419","337549","338967","+","orf, hypothetical protein","","1","","11"
"382","b0323","yahI","951","339389","340339","+","putative kinase","","","","6"
"383","b0324","yahJ","1383","340349","341731","+","putative deaminase","","","","6"
"384","b0325","yahK","1050","342108","343157","+","putative oxidoreductase","","","","7"
"385","b0326","yahL","816","343400","344215","+","orf, hypothetical protein","1","1","1","5"
"386","b0327","yahM","276","344598","344873","+","orf, hypothetical protein","1","1","1","5"
"387","b0328","yahN","672","344890","345561","-","putative cytochrome","1","1","1","17"
"388","","","","","","","subunit of","","","",""
"389","b0329","yahO","276","345708","345983","+","orf, hypothetical protein","","1","1","10"
"390","b0330","prpR","1587","346081","347667","-","regulator for prp operon","","","1","11"
"391","b0331","prpB","891","347906","348796","+","putative","","","","12"
"392","","","","","","","phosphonomutase 2","","","",""
"393","b0333","prpC","1170","349236","350405","+","putative citrate","","","","11"
"394","","","","","","","synthase; propionate","","","",""
"395","b0334","prpD","1452","350439","351890","+","orf, hypothetical protein","","","","11"
"396","b0335","prpE","1887","351930","353816","+","putative propionyl-CoA","","","","11"
"397","","","","","","","synthetase","","","",""
"398","b0336","codB","1260","354146","355405","+","cytosine","","","","11"
"399","","","","","","","permease/transport","","","",""
"400","b0337","codA","1284","355395","356678","+","cytosine deaminase","","","","14"
"401","b0338","cynR","900","357015","357914","-","cyn operon positive","1","","","5"
"402","","","","","","","regulator","","","",""
"403","b0339","cynT","660","358023","358682","+","carbonic anhydrase","","","","5"
"404","b0340","cynS","471","358713","359183","+","cyanate","","","","5"
"405","","","","","","","aminohydrolase,","","","",""
"406","b0341","cynX","1155","359216","360370","+","cyanate transport","","","","17"
"407","b0342","lacA","612","360473","361084","-","thiogalactoside","1","1","1","14"
"408","","","","","","","acetyltransferase","","","",""
"409","b0343","lacY","1254","361150","362403","-","galactoside permease","","1","1","9"
"410","","","","","","","(lactose permease, M","","","",""
"411","","","","","","","protein) (MFS family)","","","",""
"412","b0344","lacZ","3075","362455","365529","-","beta-D-galactosidase","","1","","12"
"413","b0345","lacI","1083","365652","366734","-","transcriptional","","1","","11"
"414","","","","","","","repressor of the lac","","","",""
"415","b0346","mhpR","948","366811","367758","-","transcriptional regulator","","","","4"
"416","","","","","","","for mhp operon","","","",""
"417","b0347","mhpA","1665","367835","369499","+","3-(3-","","","","11"
"418","","","","","","","hydroxyphenyl)propiona","","","",""
"419","","","","","","","te hydroxylase","","","",""
"420","b0348","mhpB","945","369501","370445","+","2,3-","","","","6"
"421","","","","","","","dihydroxyphenylpropion","","","",""
"422","","","","","","","ate 1,2-dioxygenase","","","",""
"423","b0349","mhpC","930","370400","371329","+","2-hydroxy-6-ketonona-","","","","8"
"424","","","","","","","2,4-dienedioic acid","","","",""
"425","b0350","mhpD","816","371333","372148","+","2-keto-4-pentenoate","","","","18"
"426","","","","","","","hydratase","","","",""
"427","b0351","mhpF","951","372145","373095","+","acetaldehyde","","","","6"
"428","b0352","mhpE","1014","373092","374105","+","4-hydroxy-2-","","","","7"
"429","","","","","","","ketovalerate aldolase","","","",""
"430","b0353","mhpT","1257","374638","375894","+","putative transport","","","","11"
"431","b0354","yaiL","657","375879","376535","+","nucleoprotein/polynucle","1","","","16"
"432","","","","","","","otide-associated","","","",""
"433","b0355","frmB","834","376759","377592","-","putative S-","","","","7"
"434","","","","","","","formylglutathione","","","",""
"435","","","","","","","hydrolase","","","",""
"436","b0356","frmA","1110","377686","378795","-","alcohol dehydrogenase","","","","14"
"437","","","","","","","class III; formaldehyde","","","",""
"438","","","","","","","dehydrogenase,","","","",""
"439","","","","","","","glutathione-dependent","","","",""
"440","b0357","frmR","297","378830","379126","-","repressor of frmRAB","1","","","8"
"441","b0358","yaiO","774","379293","380066","-","orf, hypothetical protein","","","1","4"
"442","b0359","-","444","380068","380511","-","putative transferase","1","1","1","4"
"443","b0360","yi21_1","411","380530","380940","+","IS2 hypothetical protein","1","1","1","8"
"444","b0361","yi22_1","906","380898","381803","+","IS2 hypothetical protein","1","1","1","18"
"445","b0362","-","387","381728","382114","-","orf, hypothetical protein","1","1","1","3"
"446","b0363","yaiP","1197","381963","383159","-","polysaccharide","1","","1","3"
"447","","","","","","","metabolism","","","",""
"448","b0364","yaiS","411","383283","383693","-","orf, hypothetical protein","1","1","1","4"
