Gene name,Coordinates,,Orientation,Description
fixA,42367,43173,+,Related to carnitine metabolism; amino acid similarity to Rhizobium fix gene N-fixation genes
fixB,43188,44129,+,Related to carnitine metabolism; amino acid similarity to Rhizobium fix gene N-fixation genes
fixC,44180,45466,+,Related to carnitine metabolism; amino acid similarity to Rhizobium fix gene N-fixation genes
fixX,45463,45750,+,Related to carnitine metabolism; amino acid similarity to Rhizobium fix gene N-fixation genes
yaaU,45807,47138,+,Function unknown
yabF,47246,47776,+,Function unknown
kefC,47769,49631,+,NEM-activatable K+/H+ antiporter
folA,49823,50302,+,Trimethoprim resistance; dihydrofolate reductase
apaH,50380,51222,-,Diadenosine tetraphosphatase; stress response; complex operon
apaG,51229,51606,-,"Expressed as part of complex ksgA operon, function unknown"
ksgA,51609,52430,-,"S-Adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase"
pdxA,52427,53416,-,Isoniazid resistance; pyridoxine biosynthesis
surA,53416,54702,-,Affects stationary-phase survival
imp,54755,57109,-,"Permeability of outer membrane to large maltodextrins; antibiotic and detergent sensitivity, stress induced"
djlA,57364,58179,+,Proposed to dock and interact with variety of membrane proteins; mutants rapidly accumulate suppressors
yabP,58474,59124,+,Function unknown
yabQ,59121,59279,+,Function unknown
rluA,59687,60346,-,Dual specificity pseudouridine synthase for 23S rRNA and tRNAphe modification
hepA,60358,63264,-,"Sequence similarity to helicases, downstream of polB, not under lexA control"
polB,63429,65780,-,DNA polymerase II
araD,65855,66550,-,L-Ribulosephosphate 4-epimerase
araA,66835,68337,-,L-Arabinose isomerase
araB,68348,70048,-,Ribulokinase
araC,70387,71265,+,Regulatory gene: activator and repressor
yabI,71351,72115,+,Function unknown
thiQ,72229,72927,-,Homolog to Salmonella thiamine and thiamine pyrophosphate ABC transporter
thiP,72911,74521,-,Homolog to Salmonella thiamine and thiamine pyrophosphate ABC transporter
tbpA,74497,75480,-,Periplasmic thiamin binding protein
yabN,75644,77299,-,Function unknown
yabM,77621,78799,+,Function unknown
leuD,78848,79453,-,Alpha-Isopropylmalate isomerase subunit
leuC,79464,80864,-,Alpha-Isopropylmalate isomerase subunit
leuB,80867,81961,-,Beta-Isopropylmalate dehydrogenase
leuA,81958,83529,-,Alpha-Isopropylmalate synthase
leuL,83622,83708,-,leu operon leader peptide
leuO,84368,85312,+,"Affects expression of small regulatory Dsr-RNA, translational regulation of rpoS, relieves bgl silencing"
ilvI,85630,87354,+,Acetohydroxy acid synthase III (AHAS-III); acetolactate synthase III (ALS-III); valine sensitive; large subunit
ilvH,87357,87848,+,Acetohydroxy acid synthase III (AHAS-III); acetolactate synthase III (ALS-III); valine sensitive; small subunit
fruR,88028,89032,+,"Regulatory gene for fru operon, other catabolite-regulated genes"
yabB,89634,90092,+,Function unknown
yabC,90094,91035,+,Function unknown
ftsL,91032,91397,+,Cell division and growth; essential gene; cytoplasmic membrane protein
ftsI,91413,93179,+,Peptidoglycan synthetase; penicillin-binding protein 3
murE,93166,94653,+,meso-Diaminopimelate adding enzyme
murF,94650,96008,+,D-alanyl:D-alanine adding enzyme
mraY,96002,97084,+,UDP-N-acetylmuramoyl-pentapeptide:undecaprenyl-PO4 phosphatase
murD,97087,98403,+,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
ftsW,98403,99647,+,Cytoplasmic membrane required for PBP 2 expression; homology to rodA
murG,99644,100711,+,UDP-NAc-glucosamine: NAc-muramyl-(pentapeptide) pyrophosphoryl-undecaprenol NAc-glucosamine transferase
murC,100765,102240,+,L-Alanine adding enzyme
ddlB,102233,103153,+,D-Alanine:D-alanine ligase
ftsQ,103155,103985,+,Cell division and growth of wall at septum
ftsA,103982,105244,+,"Cell division, septation"
ftsZ,105305,106456,+,Cell division and growth; initiation of septation; GTP binding protein
lpxC,106557,107474,+,Cell envelope and cell separation; essential gene
srrA,107705,108217,+,Translation and secretion od SrrA regulate downstream secA gene expression
secA,108279,110984,+,Translocation ATPase for protein export
mutT,111044,111433,+,AT to GC transversions
yacG,111649,111846,-,Function unknown
yacF,111856,112599,-,Function unknown
yacE,112599,113219,-,Function unknown
guaC,113444,114487,+,GMP reductase
hofC,114522,115724,-,"Homologous to PilC of P. aeruginosa; function not established, insertion mutation gives no phenotype"
hofB,115714,117099,-,"Homologous to PilB of Pseudomonas aeruginosa; function not established, insertion mutation gives no phenotype"
ppdD,117109,117549,-,Function unknown
nadC,117752,118645,-,Quinolinate phosphoribosyl transferase
ampD,118733,119284,+,ampC regulation
ampE,119281,120135,+,Ampicillin resistance; membrane protein
aroP,120178,121551,-,General aromatic amino acid transport; TyrR regulon
pdhR,122092,122856,+,Pyruvate-dehydrogenase repressor
aceE,123017,125680,+,Pyruvate dehydrogenase (decarboxylase component) E1p; acetate requirement
aceF,125695,127587,+,Pyruvate dehydrogenase (dihydrolipoyltransacetylase component) E2p; acetate requirement
lpd,127912,129336,+,Lipoamide dehydrogenase (NADH)
yacH,129407,131260,-,Function unknown
acnB,131615,134212,+,Aconitase B
yacL,134388,134750,+,Function unknown
speD,134788,135582,-,S-Adenosylmethionine decarboxylase
speE,135598,136464,-,Spermidine synthase
yacC,136570,136917,-,Function unknown
yacK,137083,138633,+,Function unknown
gcd,138835,141225,-,Glucose dehydrogenase (pyrroloquinoline-quinone); inner membrane
hpt,141419,141967,+,Hypoxanthine-guanine phosphoribosyltransferase
yadF,142008,142670,-,Function unknown
yadG,142779,143705,+,Function unknown
yadH,143702,144472,+,Function unknown
yadI,144577,145017,+,Function unknown
yadE,145081,146310,+,Function unknown
panD,146314,146694,-,Aspartate 1-decarboxylase
yadD,146968,147870,+,Function unknown
panC,147944,148795,-,Pantothenate synthetase
panB,148807,149601,-,Ketopantoate hydroxymethyltransferase
yadC,149715,150953,-,Function unknown
yadK,151003,151599,-,Function unknown
yadL,151626,152231,-,Function unknown
yadM,152243,152812,-,Function unknown
htrE,152829,155426,-,Sequence homology with pilin protein PapC
ecpD,155461,156201,-,Possible pilin chaperone
yadN,156299,156883,-,Function unknown
folK,157253,157732,-,Dihydro-hydroxymethylpterin pyrophosphokinase
pcnB,157729,159147,-,Replication and cell division; poly(A) polymerase I; controls plasmid copy number
yadB,159186,160082,-,Function unknown
dksA,160149,160604,-,High copy suppresses muk and TS growth and filamentation of dnaK mutant
sfsA,160782,161486,-,Regulatory for maltose metabolism; overexpression increases amylomaltase
ligT,161501,162031,-,2'-5' RNA ligase
hrpB,162105,164534,+,RNA helicase-like; similarity to eukaryotic DEAH family and araC
mrcB,164730,167264,+,Peptidoglycan synthetase; penicillin-binding protein 1Bs
fhuA,167484,169727,+,"OMP receptor for ferrichrome, colicin M, and phages T1, T5, and phi80; energy-coupled transport of Fe3+ via ferrichrome; mutants albomycin resistant"
fhuC,169778,170575,+,"Hydroxamate-dependent iron uptake, cytoplasmic membrane component; mutants albomycin resistant"
fhuD,170575,171465,+,"Hydroxamate-dependent iron uptake, cytoplasmic membrane component; mutants albomycin resistant"
fhuB,171462,173444,+,"Hydroxamate-dependent iron uptake, cytoplasmic membrane component; mutants albomycin resistant"
hemL,173602,174882,-,Glutamate-1-semialdehyde aminotransferase
yadQ,175107,176528,+,Function unknown
yadR,176610,176954,+,Function unknown
yadS,177001,177624,-,Function unknown
yadT,177662,178462,-,Function unknown
dgt,179237,180754,+,Deoxyguanosine 5'-triphosphate triphosphohydrolase
pfs,178455,179153,-,5'-Methylthioadenosine/S-adenosylhomocysteine nucleosidase
degP,180884,182308,+,"DegP periplasmic serine endoprotease, protease Do, required for high-temperature growth; sigma E promoter"
yaeG,182463,183620,+,Function unknown
yaeH,183709,184095,-,Function unknown
yaeI,184257,185069,-,Function unknown
dapD,185123,185947,-,"2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase"
glnD,185978,188650,-,Uridylyltransferase
map,188712,189506,-,Methionine aminopeptidase
rpsB,189874,190599,+,30S ribosomal subunit protein S2
tsf,190857,191708,+,"EF-Ts, elongation factor for transcription, stable"
pyrH,191855,192580,+,UMP kinase
frr,192872,193429,+,Ribosome recycling factor; essential gene; dissociates ribosomes from mRNA after termination of translation
dxr,193521,194717,+,1-deoxy-D-xylulose 5-phosphate reductoisomerase forms  2-C-methyl-D-erythritol 4-phosphate; alternative nonmevalonate pathway for terpenoid biosynthesis
yaeS,194903,195664,+,Function unknown
cdsA,195677,196534,+,CDP-diglyceride synthase
yaeL,196546,197898,+,Function unknown
yaeT,197928,200360,+,Function unknown
hlpA,200482,200967,+,Histone-like protein HLP-I
lpxD,200971,201996,+,UDP-3-O-(R-3-hydroxymyristoyl)-glucosamine N-acyltransferase
fabZ,202101,202556,+,3R-hydroxymyristoyl acyl carrier protein dehydrase
lpxA,202560,203348,+,UDP-N-acetylglucosamine acetyltransferase
lpxB,203348,204496,+,Lipid A disaccharide synthase
rnhB,204493,205089,+,Degrades RNA of DNA-RNA hybrids; RNase HII
dnaE,205126,208608,+,"DNA polymerase III, alpha-subunit; suppressor of dnaG mutation"
accA,208621,209580,+,Acetyl-CoA carboxylase alpha-carboxyltransferase subunit
ldcC,209679,211820,+,Lysine decarboxylase
yaeR,211877,212266,+,Function unknown
yaeN,212331,213629,+,Function unknown
rof,213678,213938,-,"Inhibitor of Rho factor, pleiotropic effects including multicopy suppression of ftsZ(Ts) and minE(Ts)"
yaeP,213925,214125,-,Function unknown
yaeQ,214291,214836,+,Function unknown
yaeJ,214833,215255,+,Function unknown
cutF,215269,215979,+,Copper sensitivity
yaeF,216179,217003,-,Function unknown
proS,217057,218775,-,Prolyl-tRNA synthetase
yaeB,218887,219594,-,Function unknown
rcsF,219591,219995,-,"Overexpression confers mucoid phenotype, increases capsule synthesis; restores colony formation of ftsZ84 mutants on low salt"
yaeC,220113,220928,-,Function unknown
yaeE,220968,221621,-,Function unknown
abc,221614,222645,-,ABC protein family homolog
yaeD,222833,223408,+,Function unknown
rrsH,223771,225312,+,16S RNA of rrnH operon
ileV,225381,225457,+,"Isoleucine tRNA1, triplicate"
alaV,225500,225575,+,Alanine tRNA 1B; rrnH operon
rrlH,225759,228662,+,23S rRNA of rrnH operon
rrfH,228756,228875,+,5S rRNA of rrnH operon
aspU,228928,229004,+,"Aspartate tRNA1 triplicated gene, in rrnH operon"
yafB,229167,229970,+,Function unknown
yafC,229967,230881,-,Function unknown
yafD,231122,231922,+,Function unknown
yafE,231926,232549,+,Function unknown
mltD,232597,233955,-,Reduced amounts of hexaheme nitrite reductase; membrane transglycosylase
yafS,234816,235538,+,Function unknown
gloB,234027,234782,-,Putative glyoxalase II
rnhA,235535,236002,-,RNase HI; participates in DNA replication
dnaQ,236067,236798,+,"DNA polymerase III epsilon-subunit; streptomycin, azaserine resistant; 3' to 5' proofreading, lexA regulon"
aspV,236931,237007,+,Aspartate tRNA1 triplicated gene
yafT,237335,238120,+,Function unknown
yafF,239100,239378,+,Function unknown
yafU,238746,239084,-,Function unknown
yafV,239419,240189,-,Function unknown
ykfE,240343,240816,+,Function unknown
yafH,240859,243303,-,Function unknown
lpcA,243543,244121,+,"Phosphoheptose isomerase, T-phage resistance"
yafJ,244327,245094,+,Function unknown
yafK,245065,245805,-,Function unknown
yafQ,245961,246239,-,Function unknown
dinJ,246242,246502,-,Induced by DNA damage
yafL,246712,247461,+,Function unknown
yafM,247637,248134,+,Function unknown
mbhA,250072,250827,+,Truncated motB homolog
fhiA,248358,250070,-,Homolog of FHI proteins
dinP,250898,251953,+,Enhances mutatgenesis
yafN,252005,252298,+,Function unknown
yafO,252301,252699,+,Function unknown
yafP,252709,253161,+,Function unknown
ykfJ,253479,253685,+,Function unknown
prfH,253702,254202,+,Protein release factor defective homolog
pepD,254259,255716,-,"Peptidase D, a dipeptidase"
gpt,255977,256435,+,Guanine-xanthine phosphoribosyltransferase phosphotransferase
yafA,256527,257771,+,Function unknown
crl,257829,258230,+,Regulatory protein for curli (cryptic csgA)
phoE,258269,259324,-,Outer membrane porin protein E
proB,259612,260715,+,Gamma-glutamyl kinase
proA,260727,261980,+,Gamma-glutamyl phosphate reductase
thrW,262095,262170,+,Threonine tRNA2
ykfI,262552,262893,-,Function unknown
yafW,262914,263231,-,Function unknown
ykfH,263250,263471,-,Function unknown
ykfG,263480,263956,-,Function unknown
yafX,263972,264430,-,Function unknown
ykfF,264528,264767,-,Function unknown
ykfB,264844,265311,-,Function unknown
yafY,265334,265777,-,Function unknown
ykfL,265777,266010,-,Function unknown
ykfK,266027,266191,-,Function unknown
yafZ,266408,267229,-,Function unknown
ykfA,267321,268184,-,Function unknown
perR,268513,269406,-,Regulatory gene involved in peroxide resistance in stationary phase
ykfC,272086,273178,+,Function unknown
ykfD,274525,275952,+,Function unknown
yagD,275939,276871,+,Function unknown
afuC,276980,278026,-,"Remnant of an operon homologous to an iron-uptake system in Actinobacillus, putative hydrophilic peripheral cytoplasmic membrane protein component"
afuB,278038,278385,-,"Remnant of an operon homologous to an iron-uptake system in Actinobacillus, C-terminal fragment of a putative hydrophobic integral cytoplasmic membrane protein component"
yagB,279651,279959,-,Function unknown
yagA,280053,281207,-,Function unknown
yagE,281481,282410,+,Function unknown
yagF,282425,284392,+,Function unknown
yagG,284619,286001,+,Function unknown
yagH,286013,287623,+,Function unknown
yagI,287628,288386,-,Function unknown
argF,288525,289529,-,Ornithine transcarbamylase
yagJ,290724,291455,+,Function unknown
yagK,291546,292172,-,Function unknown
yagL,292444,293142,-,Function unknown
yagM,293169,294023,-,Function unknown
yagN,294363,294803,-,Function unknown
intF,294920,296320,-,Putative integrase gene
yagP,296605,297015,-,Function unknown
yagQ,296994,297950,-,Function unknown
yagR,297960,300158,-,Function unknown
yagS,300155,301111,-,Function unknown
yagT,301108,301797,-,Function unknown
yagU,302215,302829,+,Function unknown
ykgJ,303077,303406,-,Function unknown
yagV,303719,304429,-,Function unknown
yagW,304398,306041,-,Function unknown
yagX,306031,308556,-,Function unknown
yagY,308582,309250,-,Function unknown
yagZ,309308,309895,-,Function unknown
ykgK,309970,310560,-,Function unknown
ykgL,311336,311563,+,Function unknown
ykgM,311738,312001,-,Function unknown
eaeH,313581,314446,+,Homologous to attaching and effacing proteins; gene remnant
ykgA,315711,316393,-,Function unknown
ykgB,316950,317543,-,Function unknown
ykgI,317555,317791,-,Function unknown
ykgC,317900,319225,-,Function unknown
ykgD,319451,320305,+,Function unknown
ykgE,320832,321551,+,Function unknown
ykgF,321562,322989,+,Function unknown
ykgG,322982,323677,+,Function unknown
ykgH,323920,324588,-,Function unknown
betA,324801,326471,-,Choline dehydrogenase
betB,326485,327957,-,Betaine aldehyde dehydrogenase
betI,327971,328558,-,"Regulatory gene, perhaps repressor for choline regulation of bet genes"
betT,328687,330720,+,High-affinity choline transport
yahA,331595,332683,+,Function unknown
yahB,332725,333657,-,Function unknown
yahC,333749,334246,-,Function unknown
yahD,334504,335109,+,Function unknown
yahE,335149,336012,+,Function unknown
yahF,336002,337549,+,Function unknown
yahG,337549,338967,+,Function unknown
yahI,339389,340339,+,Function unknown
yahJ,340349,341731,+,Function unknown
yahK,342108,343157,+,Function unknown
yahL,343400,344215,+,Function unknown
yahM,344628,344873,+,Function unknown
yahN,344890,345561,-,Function unknown
yahO,345708,345983,+,Function unknown
prpR,346081,347667,-,"Regulator, propionate catabolism operon, Salmonella homology"
prpB,347906,348796,+,"Propionate catabolism operon, Salmonella homology and some expression information"
prpC,349236,350405,+,"Propionate catabolism operon, Salmonella homology and some expression information"
prpD,350439,351890,+,"Propionate catabolism operon, Salmonella homology and some expression information"
prpE,351930,353816,+,"Propionate catabolism operon, Salmonella homology and some expression information"
codB,354146,355405,+,Cytosine transport
codA,355395,356678,+,Cytosine deaminase
cynT,358023,358682,+,Carbonic anhydrase
cynR,357015,357950,-,Transcriptional activator of cyn operon
cynS,358713,359183,+,Cyanate aminohydrolase
cynX,359216,360370,+,"Apparent hydrophobic protein, member of cyn operon"
lacA,360473,361084,-,Thiogalactoside acetyltransferase
lacY,361150,362403,-,Galactoside permease (M protein)
lacZ,362455,365529,-,Beta-D-Galactosidase
lacI,365652,366734,-,Repressor protein of lac operon
mhpR,366811,367758,-,Regulatory gene for MHP utilization
mhpA,367835,369499,+,3-(3-Hydroxyphenyl)propionate 2-hydroxylase; utilizes MHP
mhpB,369501,370445,+,"3-(2,3-Dihydroxyphenyl)propionate dioxygenase; utilizes MHP"
mhpC,370448,371329,+,Dihydroxyphenylpropionate-ring-fission-product hydrolase; utilizes MHP
mhpD,371339,372148,+,2-keto-4-pentenoate hydratase; utilizes MHP
mhpF,372145,373095,+,"Acetaldehyde dehydrogenase, acylating; utilizes MHP"
mhpE,373092,374105,+,4-Hydroxy-2-oxovalerate aldolase; utilizes MHP
mhpT,374683,375894,+,Putative 3-hydroxyphenylpropionic acid transporter
yaiL,375996,376535,+,Function unknown
yaiM,376759,377592,-,Function unknown
adhC,377686,378795,-,Alcohol-acetaldehyde dehydrogenase; adhC has also been used for adhE control region
yaiN,378830,379105,-,Function unknown
yaiO,379293,380066,-,Function unknown
yaiX,380068,382096,-,Function unknown; interrupted by IS2A
yaiP,382392,383159,-,Function unknown
yaiS,383283,383840,-,Function unknown
tauA,384456,385418,+,Uptake of taurine (probable S source)
tauB,385431,386198,+,Taurine transport
tauC,386195,387022,+,Taurine transport
tauD,387019,387870,+,Taurine dioxygenase
hemB,387977,388951,-,5-aminolevulinate dehydratase
yaiT,389475,393642,+,Function unknown; interrupted by IS3B
yaiV,393685,394353,+,Function unknown
ampH,394354,395511,-,"Probable role in peptidoglycan, cell wall synthesis; cell morphology"
sbmA,395863,397083,+,Methylmalonyl-CoA mutase (mcm)
yaiW,397096,398190,+,Function unknown
yaiY,398249,398557,-,Function unknown
yaiZ,398817,399029,+,Function unknown
ddlA,399053,400147,-,"D-Alanine:D-alanine ligase, ADP-forming"
yaiB,400610,400870,+,Function unknown
phoA,400971,402386,+,Alkaline phosphatase
psiF,402505,402825,+,"pho regulon member, requiring PhoRB system"
yaiC,402927,404042,+,Function unknown
proC,404059,404868,-,Pyrroline-5-carboxylate reductase
yaiI,404988,405446,+,Function unknown
aroL,405629,406153,+,Shikimate kinase II
yaiA,406203,406394,+,Function unknown
aroM,406652,407329,+,Regulated by aroR; function unknown
yaiE,407401,407685,+,Function unknown
ykiA,407893,408174,+,Function unknown
yaiD,408332,409243,-,Function unknown
yajF,409368,410276,+,Function unknown
araJ,410521,411705,-,"Function unknown, arabinose inducible, not affecting Ara transport or utilization"
sbcC,411831,414977,-,Cosuppressor with sbcB of recB recC mutations
sbcD,414974,416176,-,Cosuppressor with sbcB of recB recC mutations
phoB,416366,417055,+,"Positive response regulator for pho regulon, two-component system"
phoR,417113,418408,+,Positive and negative regulatory gene for pho regulon; sensor of two-component system for pho regulon
brnQ,418815,420134,+,"Mutants are valine and o-methylthreonine resistant, glycylvaline sensitive; transport system I for Ile, Leu, and Val"
proY,420210,421583,+,Proline transportor
malZ,421739,423556,+,Maltodextrin glucosidase
yajB,423561,424142,-,Function unknown
queA,424235,425305,+,S-Adenosylmethionine:tRNA ribosyltransferase- isomerase
tgt,425361,426488,+,tRNA-guanine transglycosylase
yajC,426511,426843,+,Part of Sec translocon
secD,426871,428718,+,Membrane component of protein export complex
secF,428729,429700,+,Membrane protein with protein secretion function
yajD,429829,430176,+,Function unknown
tsx,430353,431237,-,"T6, colicin K resistance; nucleoside channel"
yajI,431536,432075,-,Function unknown
ybaD,432226,432675,+,Function unknown
ribD,432679,433782,+,Riboflavin biosynthese; a deaminase
ribE,433871,434341,+,Riboflavin synthase beta chain
nusB,434361,434780,+,Survives prophage induction; transcription termination L factor
thiL,434858,435835,+,Thiaminmonophosphate kinase
pgpA,435813,436331,+,"Phosphatidylglycerophosphate phosphatase, membrane bound, nonessential"
yajO,436385,437359,-,Function unknown
dxs,437539,439401,-,"DXP synthase; DXP is precursor to isoprenoids, thiamin, pyridoxol"
ispA,439426,440325,-,Farnesyl diphosphate synthase
xseB,440325,440567,-,"Exonuclease VII, small subunit"
thiI,440773,442221,+,Thiamin biosynthesis; also 4-thiouridine generation in tRNAs
yajL,442275,442865,-,Function unknown
apbA,442828,443739,-,Involved in thiamin biosynthesis
yajQ,443889,444398,+,Function unknown
yajR,444526,445896,-,Function unknown
cyoE,446039,446929,-,"Cytochrome o oxidase subunit, protoheme IX farnesyltransferase"
cyoD,446941,447270,-,Cytochrome o oxidase subunit IV
cyoC,447270,447884,-,Cytochrome o oxidase subunit III
cyoB,447874,449865,-,Cytochrome o oxidase subunit I
cyoA,449887,450834,-,Cytochrome o oxidase subunit II; cytochrome bo3 ubiquinol oxidase subunit II
ampG,451294,452769,-,Ampicillin resistance; membrane protein
yajG,452813,453391,-,Function unknown
bolA,453696,454013,+,Morphogene; overexpression produces osmotically stable spherical cells; FtsZ dependent
tig,454357,455655,+,Trigger factor; chaperone
clpP,455901,456524,+,ClpP ATP-dependent protease proteolytic subunit
clpX,456650,457924,+,"ClpX protease, which activates ClpP"
lon,458112,460466,+,"DNA-binding, ATP-dependent protease LA; lon mutants form long cells"
hupB,460675,460947,+,"Histone-like protein HU-alpha, HU-1"
ppiD,461139,463010,+,Peptidylprolyl-cis-trans-isomerase D
ybaV,463161,463532,+,Function unknown
ybaW,463626,464024,+,Function unknown
ybaX,464076,464771,-,Function unknown
ybaE,464836,466536,-,Function unknown
cof,466636,467454,+,Complements deletion mutant for growth on succinate
ybaO,467607,468065,+,Function unknown
mdlA,468095,469867,+,Multidrug resistance-like protein
mdlB,469860,471641,+,Multidrug resistance-like protein
glnK,471822,472160,+,Regulated through NRI/NRII two-component regulatory system
amtB,472190,473476,+,Putative ammonia transporter
tesB,473525,474385,-,Thioesterase II
ybaY,474603,475175,+,Function unknown
ybaZ,475206,475595,-,Function unknown
ffs,475648,475785,+,"4.5S rRNA; mammalian counterpart, SRP, includes 4.5S RNA; cotranslational integration of proteins into membrane"
ybaA,475896,476249,+,Function unknown
ylaB,476291,477847,-,Function unknown
ylaC,478005,478475,-,Function unknown
maa,478591,479142,-,Maltose transacetylase
hha,479314,479532,-,"Histone-like; downregulates gene expression, stimulates transposition events"
ybaJ,479558,479932,-,Function unknown
acrB,480478,483627,-,"AcrAB system has major role in Mar multiple resistance to NAL, TET, AMP, etc.;"
acrA,483650,484843,-,AcrAB efflux system effects Mar multiple resistance
acrR,484985,485632,+,Regulatory protein for acrA and acrB
aefA,485760,489122,+,Unspecified
ybaM,489334,489495,-,Function unknown
priC,489509,490036,-,"Primosomal protein n"""
ybaN,490106,490483,+,Function unknown
apt,490636,491187,+,"Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ad"
dnaX,491316,493247,+,Subunit of DNA polymerase III holoenzyme; DNA elongation factor III; tau and gamma subunits
ybaB,493300,493629,+,Function unknown
recR,493629,494234,+,Recombination and DNA repair
htpG,494344,496218,+,Heat shock protein C62.5; chaperone
adk,496399,497043,+,Adenylate kinase; pleiotropic effects on glycerol-3-phosphate acyltransferase activity
hemH,497279,498241,+,Ferrochelatase
aes,498238,499197,-,Esterase affecting maltose system expression
gsk,499349,500653,+,Guanosine kinase
ybaL,500786,502462,-,Function unknown
fsr,502700,503920,-,Amplification confers fosmidomycin resistance
ushA,504138,505790,+,UDP-glucose hydrolase (5'-nucleotidase)
ybaK,505827,506306,-,Function unknown
ybaP,506510,507304,-,Function unknown
ybaQ,507442,507783,+,Function unknown
ybaR,508099,510603,-,Function unknown
ybaS,510865,511797,+,Function unknown
ybaT,511800,513092,+,Function unknown
ybbI,513217,513624,+,Function unknown
ybbJ,513625,514080,-,Function unknown
ybbK,514080,514997,-,Function unknown
ybbL,515143,515820,+,Function unknown
ybbM,515807,516586,+,Function unknown
ybbN,516649,517539,-,Function unknown
ybbO,517564,518373,-,Function unknown
ybbA,518957,519643,+,Function unknown
tesA,518363,518989,-,Acyl-CoA thioesterase I; also protease I
ybbP,519640,522054,+,Function unknown
rhsD,522485,526765,+,Encoded within repeats that are hotspots for chromosomal duplication formation; Function of protein is unknown
ybbC,526805,527173,+,Function unknown
ylbH,527176,527883,+,Function unknown
ybbD,527864,528124,+,Function unknown
ylbI,528721,528816,+,Function unknown
ylbG,528819,529240,-,Function unknown
ybbB,529356,530450,-,Function unknown
ybbS,530519,531445,-,Function unknown
ybbT,531675,532157,+,Function unknown
ybbU,532235,533050,+,Function unknown
gcl,533140,534921,+,Glyoxylate carboligase
gip,534934,535710,+,"Induced by glyoxylate, downstream of gcl"
ybbQ,535810,536688,+,Function unknown
ybbW,536857,538311,+,Function unknown
ybbX,538371,539732,+,Function unknown
ybbY,539789,541090,+,Function unknown
ybbZ,541112,542257,+,Function unknown
ylbA,542485,543270,-,Function unknown
ylbB,543281,544516,-,Function unknown
ylbC,544538,545587,-,Function unknown
fdrA,545904,547571,+,"In multicopy, suppresses negative ftsH mutations"
ylbE,547581,548839,+,Function unknown
ylbF,548850,549665,+,Function unknown
ybcF,549662,550555,+,Function unknown
purK,550750,551817,-,Phosphoribosyl glucinamide formyltransferase
purE,551814,552323,-,"Phosphoribosylaminoimidazole carboxylase, catalytic subunit"
ybbF,552441,553163,-,Function unknown
ppiB,553166,553660,-,Rotamase; peptidylprolyl-cis-trans-isomerase B
cysS,553834,555219,+,Cysteinyl-tRNA synthetase
ybcI,555255,555776,-,Function unknown
ybcJ,555884,556096,-,Function unknown
folD,556098,556964,-,Methenyltetrahydrofolate dehydrogenase/cyclohydrolase
sfmA,557435,557977,+,Salmonella fimbriae gene homolog
sfmC,558197,558889,+,Salmonella fimbriae gene homolog
sfmD,558920,561523,+,Salmonella fimbriae gene homolog
