ID,K-12 gene namea,dN (average),dS (average),HTGb,H-NS bindingc,H-NS binding (excluded genes in which H-NS-bound regions were restricted at the 3' end and length is less than 10% of total gene length)d,Genes included in transcriptional units H-NS bounde,Transcription unit namef
75,pdhR,8.64E-05,0.029487104,x,FALSE,FALSE,FALSE, 
76,aceE,0.000420719,0.045179704,x,FALSE,FALSE,FALSE, 
77,lpd,4.09E-05,0.043572304,n,FALSE,FALSE,FALSE, 
78,yacH,0.022584884,0.164289429,N,FALSE,FALSE,FALSE, 
79,acnB,0.000741649,0.098518182,n,FALSE,FALSE,FALSE, 
80,yacL,0.007662262,0.142247569,x,FALSE,FALSE,FALSE, 
81,speD,0.000970085,0.054583615,x,FALSE,FALSE,FALSE, 
82,speE,0.001444503,0.068806448,n,FALSE,FALSE,FALSE, 
83,yacC,0.000168182,0.063481395,N,FALSE,FALSE,FALSE, 
84,cueO,0.004627907,0.102057505,n,FALSE,FALSE,FALSE, 
85,hpt,0.000281818,0.022633298,x,FALSE,FALSE,FALSE, 
86,can,0.002194503,0.039631184,x,FALSE,FALSE,FALSE, 
87,yadG,0.001165856,0.057688266,x,FALSE,FALSE,FALSE, 
88,yadH,0.000455074,0.074995243,x,FALSE,FALSE,FALSE, 
89,yadI,0.01259556,0.080680233,x,FALSE,FALSE,FALSE, 
90,yadE,0.008219662,0.084561205,x,FALSE,FALSE,FALSE, 
91,panD,0.000318182,0.046073362,n,FALSE,FALSE,FALSE, 
92,yadD,0.015501057,0.128186258,N,FALSE,FALSE,FALSE, 
93,panC,0.004449577,0.215520507,n,FALSE,FALSE,TRUE,panBC
94,panB,0.004546617,0.175246617,h/l/n,FALSE,FALSE,TRUE,panBC
95,folK,0.049696617,0.320024419,h/l/n,TRUE,TRUE,TRUE,pcnB-folK
96,yadB,0.009768605,0.130574207,x,FALSE,FALSE,FALSE, 
97,dksA,0.000131818,0.012506237,n,FALSE,FALSE,FALSE, 
98,sfsA,0.003046829,0.022810571,N,FALSE,FALSE,FALSE, 
99,hrpB,0.008478858,0.100756765,x,FALSE,FALSE,FALSE, 
100,mrcB,0.001149366,0.118432452,x,FALSE,FALSE,FALSE, 
101,fhuC,0.001372939,0.084336681,x,FALSE,FALSE,FALSE, 
102,fhuD,0.004710254,0.128034778,x,FALSE,FALSE,FALSE, 
103,fhuB,0.002726321,0.096104334,x,FALSE,FALSE,FALSE, 
104,hemL,0.002090803,0.061544186,x,FALSE,FALSE,FALSE, 
105,yadR,0,0.030717548,x,FALSE,FALSE,FALSE, 
106,yadS,0.000653488,0.030849577,x,FALSE,FALSE,FALSE, 
107,btuF,0.007015116,0.036331924,x,FALSE,FALSE,FALSE, 
108,pfs,0.000333404,0.030936786,x,FALSE,FALSE,FALSE, 
109,dgt,0.002770719,0.055251163,x,TRUE,TRUE,TRUE,dgt
110,degP,0.001962368,0.085831501,x,FALSE,FALSE,TRUE,degP
111,cdaR,0.001678647,0.057277907,x,FALSE,FALSE,FALSE, 
112,yaeH,0.000898309,0.041761099,x,FALSE,FALSE,FALSE, 
113,dapD,0.001507082,0.094290909,x,FALSE,FALSE,FALSE, 
114,map,0.00015444,0.04822093,x,FALSE,FALSE,FALSE, 
115,rpsB,0.000690698,0.006010994,x,FALSE,FALSE,FALSE, 
116,pyrH,0,0.013964165,x,FALSE,FALSE,FALSE, 
117,frr,0,0.010245983,x,FALSE,FALSE,FALSE, 
118,ispU,0.000150951,0.011389006,x,FALSE,FALSE,FALSE, 
119,cdsA,0.00285222,0.026152854,x,FALSE,FALSE,FALSE, 
120,yaeL,0.001413319,0.017516702,x,FALSE,FALSE,FALSE, 
121,yaeT,0.000386364,0.049271459,x,FALSE,FALSE,FALSE, 
122,hlpA,0.00015,0.022669239,x,FALSE,FALSE,FALSE, 
123,lpxD,0.001585835,0.028528013,x,FALSE,FALSE,FALSE, 
124,fabZ,0.000327378,0.019187949,x,FALSE,FALSE,FALSE, 
125,lpxA,0.000510042,0.027094609,x,FALSE,FALSE,FALSE, 
126,lpxB,0.003722199,0.094603383,x,FALSE,FALSE,FALSE, 
127,rnhB,0.004939746,0.060936047,x,FALSE,FALSE,FALSE, 
128,dnaE,0.000951586,0.065595032,x,FALSE,FALSE,FALSE, 
129,accA,0.002774841,0.061108562,x,FALSE,FALSE,FALSE, 
130,yaeR,0.003637421,0.035811839,x,FALSE,FALSE,FALSE, 
131,tilS,0.014788795,0.132688478,x,FALSE,FALSE,FALSE, 
132,rof,0.005917653,0.104966173,x,FALSE,FALSE,FALSE, 
133,yaeQ,0.004727273,0.077280867,n,FALSE,FALSE,FALSE, 
134,yaeJ,0.00577685,0.082811945,N,FALSE,FALSE,FALSE, 
135,nlpE,0.006831395,0.123714059,n,FALSE,FALSE,FALSE, 
136,proS,0.003592283,0.063545877,n,FALSE,FALSE,FALSE, 
137,yaeB,0.002564799,0.071407294,n,FALSE,FALSE,FALSE, 
138,rcsF,0.001261311,0.042166913,N,FALSE,FALSE,FALSE, 
139,metQ,0.001218182,0.043121247,n,FALSE,FALSE,FALSE, 
140,metI,0.002078118,0.055796617,x,FALSE,FALSE,FALSE, 
141,metN,0.000786047,0.045112685,x,FALSE,FALSE,FALSE, 
142,gmhB,0.004613636,0.045690381,x,FALSE,FALSE,FALSE, 
143,dkgB,0.008881712,0.048301586,n,FALSE,FALSE,FALSE, 
144,yafC,0.005569979,0.034934989,N,FALSE,FALSE,FALSE, 
145,yafD,7.73E-05,0.057322939,n,FALSE,FALSE,FALSE, 
146,yafE,0.02583129,0.061741543,N,FALSE,FALSE,FALSE, 
147,mltD,0.000613319,0.043048309,l/n,FALSE,FALSE,FALSE, 
148,gloB,0.004439006,0.038381501,L/N,TRUE,TRUE,TRUE,gloB
149,yafS,0.003123256,0.064476638,l/N,FALSE,FALSE,FALSE, 
150,rnhA,0.001334884,0.086401374,n,FALSE,FALSE,FALSE, 
151,dnaQ,0.00348203,0.058200529,l/n,FALSE,FALSE,FALSE, 
152,yafV,0.008955391,0.073572622,x,FALSE,FALSE,FALSE, 
153,ivy,0,0.063372939,x,FALSE,FALSE,FALSE, 
154,lpcA,0.000308774,0.105779493,x,FALSE,FALSE,FALSE, 
155,yafJ,0.00268055,0.08339334,x,FALSE,FALSE,TRUE,yafK
156,yafK,0.000228436,0.067220507,l/n,FALSE,FALSE,TRUE,yafK
157,yafL,0.008866808,0.252944186,l/N,FALSE,FALSE,FALSE, 
158,dinB,0.003200106,0.149774419,l/n,TRUE,FALSE,TRUE,yafNOP
159,gpt,0.002166596,0.032543129,x,FALSE,FALSE,FALSE, 
160,frsA,0.002408668,0.063256448,x,FALSE,FALSE,FALSE, 
161,crl,0.010430867,0.073696723,x,TRUE,TRUE,TRUE,crl
162,phoE,0.003097569,0.101469873,x,TRUE,TRUE,TRUE,phoE
163,proB,0,0.071555497,x,TRUE,TRUE,TRUE,proBA
164,proA,0.004408879,0.113363848,x,FALSE,FALSE,TRUE,proBA
165,yaiL,0.002991121,0.095008245,N,FALSE,FALSE,FALSE, 
166,tauD,0.014414271,0.149798097,x,FALSE,FALSE,TRUE,tauABCD
167,ampH,0.001635412,0.084195455,l/n,TRUE,TRUE,TRUE,ampH
168,sbmA,0.002346617,0.057010254,x,FALSE,FALSE,FALSE, 
169,ddlA,0.000864482,0.053014271,n,TRUE,TRUE,TRUE,ddlA
170,yaiB,0.003859937,0.034358457,x,TRUE,TRUE,TRUE,iraP
171,psiF,0.001242812,0.076412791,N,FALSE,FALSE,TRUE,phoA-psiF
172,yaiC,0.002730233,0.059437949,N,FALSE,FALSE,FALSE, 
173,proC,0.00330222,0.033797357,n,FALSE,FALSE,FALSE, 
174,aroL,0.000987104,0.044695772,l/n,FALSE,FALSE,FALSE, 
175,aroM,0.007415222,0.087897569,l/n,FALSE,FALSE,FALSE, 
176,rdgC,0.00152389,0.059348626,l,TRUE,FALSE,FALSE, 
177,mak,0.003655708,0.067892072,x,FALSE,FALSE,FALSE, 
178,sbcC,0.009051691,0.072461522,x,FALSE,FALSE,FALSE, 
179,sbcD,0.003745243,0.055080127,x,FALSE,FALSE,FALSE, 
180,phoB,0.00483351,0.070942812,x,FALSE,FALSE,FALSE, 
181,phoR,0.001935729,0.057115116,x,FALSE,FALSE,FALSE, 
182,brnQ,0.000627907,0.046118182,x,FALSE,FALSE,FALSE, 
183,proY,0.000134249,0.048793763,x,FALSE,FALSE,FALSE, 
184,queA,0.002455285,0.087934778,x,FALSE,FALSE,FALSE, 
185,tgt,0.000108985,0.043508668,x,FALSE,FALSE,FALSE, 
186,yajC,0,0.035433192,x,FALSE,FALSE,FALSE, 
187,secD,0.000333298,0.044385412,x,FALSE,FALSE,FALSE, 
188,secF,0,0.04130814,x,FALSE,FALSE,FALSE, 
189,yajD,0.002254863,0.066852114,x,FALSE,FALSE,FALSE, 
190,ybaD,0,0.025277061,n,FALSE,FALSE,FALSE, 
191,ribD,0.008065539,0.12832833,x,FALSE,FALSE,FALSE, 
192,ribE,0.00059778,0.013313425,x,FALSE,FALSE,FALSE, 
193,thiL,0.002157082,0.042857505,x,FALSE,FALSE,FALSE, 
194,pgpA,0.002001586,0.173275476,x,FALSE,FALSE,FALSE, 
195,yajO,0.00395074,0.13438351,x,FALSE,FALSE,FALSE, 
196,dxs,0.00115296,0.098687526,x,FALSE,FALSE,FALSE, 
197,ispA,0.002912791,0.066457717,x,FALSE,FALSE,FALSE, 
198,yajL,0.001264905,0.087530338,x,FALSE,FALSE,FALSE, 
199,panE,0.002811522,0.069923784,x,FALSE,FALSE,FALSE, 
200,yajQ,0.000236469,0.087982241,x,FALSE,FALSE,FALSE, 
201,yajR,0.004730444,0.067610359,x,FALSE,FALSE,FALSE, 
202,cyoE,0.000750951,0.066025687,x,FALSE,FALSE,TRUE,cyoABCDE
203,cyoC,0.000909725,0.042041332,x,FALSE,FALSE,TRUE,cyoABCDE
204,cyoB,9.38E-05,0.037019027,x,FALSE,FALSE,TRUE,cyoABCDE
205,cyoA,0.002817019,0.022244926,x,TRUE,TRUE,TRUE,cyoABCDE
206,ampG,0.001843869,0.054269873,n,TRUE,FALSE,FALSE, 
207,yajG,0.001057611,0.031968182,N,FALSE,FALSE,FALSE, 
208,bolA,0,0,N,FALSE,FALSE,FALSE, 
209,tig,0.000453488,0.029634989,n,FALSE,FALSE,FALSE, 
210,clpX,0.000347992,0.084451586,x,FALSE,FALSE,FALSE, 
211,ppiD,0.001237949,0.04424852,x,FALSE,FALSE,FALSE, 
212,ybaV,0.00803129,0.040740169,x,FALSE,FALSE,FALSE, 
213,ybaW,0.003534884,0.078580761,x,FALSE,FALSE,FALSE, 
214,ybaX,0.002623044,0.054204017,x,FALSE,FALSE,FALSE, 
215,cof,0.002547992,0.03094334,x,FALSE,FALSE,FALSE, 
216,mdlA,0.006185412,0.100559831,x,FALSE,FALSE,FALSE, 
217,mdlB,0.002466913,0.072198203,x,FALSE,FALSE,FALSE, 
218,glnK,0.000181818,0.029631501,x,FALSE,FALSE,FALSE, 
219,amtB,0.001743235,0.087385941,x,FALSE,FALSE,FALSE, 
220,tesB,0.001466173,0.051678541,x,FALSE,FALSE,FALSE, 
221,ybaY,0.002224419,0.045187209,n,FALSE,FALSE,FALSE, 
222,ybaZ,0.002074419,0.091375793,N,FALSE,FALSE,FALSE, 
223,ybaA,0.00087907,0.065372304,n,FALSE,FALSE,FALSE, 
224,ylaB,0.004083721,0.031152431,x,FALSE,FALSE,FALSE, 
225,ylaC,0.00037611,0.038253594,x,FALSE,FALSE,FALSE, 
226,acrA,7.27E-05,0.027504651,n,FALSE,FALSE,FALSE, 
227,acrR,0.00088351,0.025941966,N,TRUE,TRUE,TRUE,acrR
228,kefA,0.001593763,0.095598732,n,FALSE,FALSE,FALSE, 
229,ybaN,0.004826427,0.039386364,x,FALSE,FALSE,FALSE, 
230,apt,0.000578436,0.027348309,x,FALSE,FALSE,FALSE, 
231,dnaX,0.000904334,0.070292283,x,FALSE,FALSE,FALSE, 
232,recR,0.000300211,0.051183087,x,FALSE,FALSE,FALSE, 
233,htpG,0.000796934,0.048741121,x,FALSE,FALSE,FALSE, 
234,adk,0.001539323,0.070012579,x,FALSE,FALSE,FALSE, 
235,hemH,0.003078224,0.072831078,n,FALSE,FALSE,FALSE, 
236,aes,0.009412156,0.054357822,N,FALSE,FALSE,FALSE, 
237,cueR,0.006358774,0.195994186,L,FALSE,FALSE,FALSE, 
238,ybbJ,0.013985624,0.132489112,l,FALSE,FALSE,TRUE,qmcA-ybbJ
239,ybbK,0.001097674,0.102729915,x,TRUE,TRUE,TRUE,qmcA-ybbJ
240,ybbL,0.003658985,0.058832875,x,TRUE,TRUE,TRUE,ybbLM
241,glxK,0.008345666,0.09467093,n,TRUE,TRUE,TRUE,gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
242,ylbA,0.004589641,0.076761839,x,TRUE,TRUE,TRUE,allE
243,allD,0.004649789,0.054229915,x,TRUE,TRUE,TRUE,allDCE
244,ylbF,0.007081712,0.078519662,x,FALSE,FALSE,TRUE,fdrA-ylbE_1E_2F-ybcF
245,ybcF,0.005304334,0.077187421,x,FALSE,FALSE,TRUE,fdrA-ylbE_1E_2F-ybcF
246,purK,0.007558562,0.099456765,x,FALSE,FALSE,FALSE, 
247,purE,0.00119926,0.058698943,x,FALSE,FALSE,FALSE, 
248,lpxH,0.003313214,0.104594397,x,FALSE,FALSE,FALSE, 
249,cysS,0.00084334,0.098509514,n,FALSE,FALSE,FALSE, 
250,ybcI,0.014085624,0.076846829,N,FALSE,FALSE,FALSE, 
251,cusS,0.008815645,0.125232452,x,FALSE,FALSE,FALSE, 
252,cusF,0.006774207,0.087069979,x,TRUE,TRUE,TRUE,cusCFBA
253,cusB,0.002504863,0.063335624,x,TRUE,TRUE,TRUE,cusCFBA
254,pheP,0.002629493,0.075404334,x,FALSE,FALSE,FALSE, 
255,ybdG,0.001563002,0.049576956,x,TRUE,TRUE,TRUE,mscM
256,nfnB,0.004168288,0.056338372,n,FALSE,FALSE,FALSE, 
257,ybdF,0.004809514,0.069279493,N,FALSE,FALSE,FALSE, 
258,entD,0.032024841,0.164133404,l/N,FALSE,FALSE,FALSE, 
259,fes,0.013739218,0.065575476,x,FALSE,FALSE,FALSE, 
260,entF,0.010379281,0.113887315,n,TRUE,FALSE,FALSE, 
261,fepC,0.003103488,0.101610148,n,FALSE,FALSE,FALSE, 
262,fepG,0.01005296,0.119614588,x,FALSE,FALSE,FALSE, 
263,fepD,0.002644926,0.103768393,x,FALSE,FALSE,FALSE, 
264,ybdA,0.002229493,0.113737632,h,FALSE,FALSE,FALSE, 
265,entC,0.002286152,0.065299049,H,FALSE,FALSE,FALSE, 
266,entE,0.004288372,0.118301374,H,FALSE,FALSE,FALSE, 
267,entB,0.002197252,0.061970613,H,FALSE,FALSE,FALSE, 
268,entA,0.004209725,0.111033298,H,FALSE,FALSE,FALSE, 
269,ybdB,0.001249471,0.132745666,H,FALSE,FALSE,FALSE, 
270,dsbG,0.003468816,0.103185412,l/n,TRUE,TRUE,TRUE,dsbG
271,ahpC,0,0.009629598,x,FALSE,FALSE,FALSE, 
272,ahpF,0.000509937,0.060380867,x,FALSE,FALSE,FALSE, 
273,uspG,0.005966279,0.201108562,n,FALSE,FALSE,FALSE, 
274,rnk,0.003319239,0.015392495,n,FALSE,FALSE,FALSE, 
275,citG,0.008818499,0.063029915,h,FALSE,FALSE,TRUE,citCDEFXG
276,citF,0.001782347,0.059338266,h,FALSE,FALSE,TRUE,citCDEFXG
277,citA,0.003996195,0.068000951,x,TRUE,TRUE,TRUE,dpiBA
278,citB,0.000286469,0.043652008,x,FALSE,FALSE,TRUE,dpiBA
279,crcB,0.005973044,0.035447992,N,FALSE,FALSE,FALSE, 
280,lipB,0.000833932,0.041025687,N,TRUE,TRUE,TRUE,lipB
281,ybeD,0,0.003386786,n,FALSE,FALSE,FALSE, 
282,mrdB,0.000688795,0.04549482,x,FALSE,FALSE,FALSE, 
283,nadD,0.001685729,0.047040592,x,FALSE,FALSE,FALSE, 
284,holA,0.002969662,0.052258879,x,FALSE,FALSE,FALSE, 
285,rlpB,0.0126,0.102983721,x,FALSE,FALSE,FALSE, 
286,leuS,0.001501586,0.054998414,x,FALSE,FALSE,FALSE, 
287,ybeL,0.000608034,0.05595222,n,FALSE,FALSE,TRUE,ybeR-djlB
288,rihA,0.004725476,0.075567336,x,TRUE,TRUE,TRUE,rihA
289,gltI,0.003193869,0.088012368,l/n,FALSE,FALSE,FALSE, 
290,lnt,0.004212156,0.081925899,l/n,FALSE,FALSE,FALSE, 
291,ybeX,0,0.035041015,x,FALSE,FALSE,FALSE, 
292,ybeY,0.002926638,0.037513108,x,FALSE,FALSE,FALSE, 
293,ybeZ,0.000118182,0.066785201,x,FALSE,FALSE,FALSE, 
294,ubiF,0.00999704,0.137404651,x,FALSE,FALSE,FALSE, 
295,asnB,0.001413953,0.111892495,x,FALSE,FALSE,FALSE, 
296,nagD,0.000245137,0.113892706,x,FALSE,FALSE,FALSE, 
297,nagC,0.000115116,0.090375581,x,FALSE,FALSE,FALSE, 
298,nagA,0.001542706,0.048888372,x,FALSE,FALSE,FALSE, 
299,nagE,0.002570719,0.074953171,x,FALSE,FALSE,FALSE, 
300,glnS,0.001141226,0.069539535,x,TRUE,FALSE,FALSE, 
301,fur,0,0.036910677,N,FALSE,FALSE,FALSE, 
302,fldA,0,0.092150634,n,FALSE,FALSE,FALSE, 
303,ybfE,0.000408457,0.037666279,x,FALSE,FALSE,FALSE, 
304,ybfF,0.004929598,0.094935835,n,FALSE,FALSE,FALSE, 
305,seqA,0.002061839,0.01735222,N,FALSE,FALSE,TRUE,ybfP
306,pgm,0.001766279,0.081965539,h/l/n,FALSE,FALSE,TRUE,ybfP
307,kdpB,0.002988161,0.099553911,x,FALSE,FALSE,FALSE, 
308,ybgA,0.021687844,0.14595814,l/n,FALSE,FALSE,FALSE, 
309,phr,0.017557928,0.168216808,x,FALSE,FALSE,FALSE, 
310,ybgI,0.000631712,0.051726533,x,FALSE,FALSE,FALSE, 
311,ybgJ,0.017014693,0.077339006,x,FALSE,FALSE,FALSE, 
312,ybgK,0.004338689,0.080215962,x,FALSE,FALSE,FALSE, 
313,sdhC,0.002219873,0.012386047,N,FALSE,FALSE,FALSE, 
314,sdhD,0.001117865,0.031526533,n,FALSE,FALSE,FALSE, 
315,sdhA,0.000179175,0.099887315,x,FALSE,FALSE,FALSE, 
316,sdhB,0.000675476,0.023707717,x,FALSE,FALSE,FALSE, 
317,sucB,0.001009302,0.050991649,x,FALSE,FALSE,FALSE, 
318,sucC,0.000460571,0.042697569,x,FALSE,FALSE,FALSE, 
319,sucD,0.000217865,0.088374313,x,FALSE,FALSE,FALSE, 
320,ybgC,0.000209091,0.020884038,N,FALSE,FALSE,FALSE, 
321,tolQ,0.000932347,0.065585518,n,FALSE,FALSE,FALSE, 
322,tolR,0.000537209,0.012747463,x,FALSE,FALSE,FALSE, 
323,pal,0.001109937,0.023185624,n,FALSE,FALSE,FALSE, 
324,ybgF,0.00395592,0.013585201,N,FALSE,FALSE,FALSE, 
325,nadA,0.005636786,0.046931184,n,FALSE,FALSE,FALSE, 
326,pnuC,0.003048414,0.046858774,x,FALSE,FALSE,FALSE, 
327,ybgS,0.004241226,0.074508457,x,FALSE,FALSE,FALSE, 
328,aroG,0.003178013,0.093421247,x,FALSE,FALSE,FALSE, 
329,gpmA,0.000101268,0.069751797,x,FALSE,FALSE,FALSE, 
330,ybhB,0.003748414,0.078165751,x,FALSE,FALSE,FALSE, 
331,bioB,0.000883615,0.115438478,x,FALSE,FALSE,FALSE, 
332,bioF,0.013892706,0.107345455,x,FALSE,FALSE,FALSE, 
333,bioD,0.008676004,0.111075053,x,FALSE,FALSE,FALSE, 
334,uvrB,0.000288901,0.098322093,x,FALSE,FALSE,FALSE, 
335,moaA,0.001537526,0.085983721,x,FALSE,FALSE,FALSE, 
336,moaB,0.000898732,0.053785201,x,FALSE,FALSE,FALSE, 
337,moaC,0.000362685,0.039914482,x,FALSE,FALSE,FALSE, 
338,moaE,0.002727378,0.096740909,l,FALSE,FALSE,FALSE, 
339,ybhL,0.001799154,0.099216913,h/L/n,TRUE,TRUE,TRUE,ybhL
340,ybhO,0.001955708,0.081361734,x,FALSE,FALSE,FALSE, 
