block,start,end,rev_comp,inversion,strain,gene_name,gbk_start,gbk_midpoint,gbk_strand,gbk_end,norm_exp,block_length,log_exp
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0075,77259,77674,0,78089,122.27131768908701,23172,4.814387760961046
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0076,78086,78717,0,79348,260.36589373031,23172,5.565921317276969
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0077,79409,79984,0,80560,1112.16363928415,23172,7.014961365880902
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0078,80661,81119,0,81578,2375.93848131809,23172,7.773568586216736
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0079,81809,82065,0,82321,200.86611368095,23172,5.3076046740901655
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0080,82383,83735,0,85088,1508.63132782701,23172,7.319620746241642
Block18,62378,85550,0,0.0,K12DH,ECDH10B_0081,85148,85342,0,85537,38.00595314087121,23172,3.6637142791183623
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0082,85753,85851,1,85950,13.7291128749456,9917,2.6898260029274
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0083,85960,86331,1,86703,51.428941163794,9917,3.9594587511448482
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0084,86703,87013,1,87323,23.330194191795698,9917,3.1917181383417
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0085,87548,88069,0,88591,228.61724911986198,9917,5.4364137884521995
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0086,88626,89227,1,89828,5.886669154757482,9917,1.9295875363143362
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0087,89818,90510,1,91203,19.8207335476242,9917,3.035949295401137
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0088,91213,91433,1,91653,1.73166850345925,9917,1.0049125959347485
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0089,91856,92302,1,92749,214.706819288867,9917,5.373920167586462
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0090,92837,93112,0,93388,66.5873140503371,9917,4.2134203034609445
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0091,93385,93812,0,94239,88.14994458587498,9917,4.49031972272595
Block22,85748,95665,0,0.0,K12DH,ECDH10B_0092,94282,94968,1,95655,126.672183796125,9917,4.849465914692041
Block24,95847,101838,0,0.0,K12DH,ECDH10B_0093,96196,96578,0,96960,317.06182162449403,5991,5.762245771509659
Block24,95847,101838,0,0.0,K12DH,ECDH10B_0094,97121,98452,0,99784,9659.7232778249,5991,9.175823797884522
Block24,95847,101838,0,0.0,K12DH,ECDH10B_0095,99799,100745,0,101691,7399.192809219209,5991,8.90926133415272
Block26,101986,103466,0,0.0,K12DH,ECDH10B_0096,102016,102728,0,103440,5918.4965726129285,1480,8.686006685852103
Block29,104422,112777,0,0.0,K12DH,ECDH10B_0098,105719,107017,0,108316,4178.6727846009,8355,8.337988241258712
Block29,104422,112777,0,0.0,K12DH,ECDH10B_0099,108492,108673,0,108854,230.436718856053,8355,5.444306483485
Block29,104422,112777,0,0.0,K12DH,ECDH10B_0100,108892,109289,1,109686,322.99312107723,8355,5.780722284323826
Block29,104422,112777,0,0.0,K12DH,ECDH10B_0101,109702,110135,1,110568,282.531656995883,8355,5.647323781822223
Block29,104422,112777,0,0.0,K12DH,ECDH10B_0102,110674,110847,1,111021,59.892560647623704,8355,4.109111010400626
Block29,104422,112777,0,0.0,K12DH,ECDH10B_0103,111187,111962,0,112737,238.37547406369202,8355,5.478033340355684
Block31,112910,121822,0,0.0,K12DH,ECDH10B_0104,112939,114134,1,115329,89.4631658227264,8912,4.504942760372167
Block31,112910,121822,0,0.0,K12DH,ECDH10B_0105,115535,115803,0,116071,235.64995831445304,8912,5.466582080203723
Block31,112910,121822,0,0.0,K12DH,ECDH10B_0106,116112,116443,1,116774,409.76199537127997,8912,6.018013960072897
Block31,112910,121822,0,0.0,K12DH,ECDH10B_0107,116883,117346,0,117809,121.11079403744101,8912,4.804928780464366
Block31,112910,121822,0,0.0,K12DH,ECDH10B_0108,117806,118191,0,118576,75.54676263463641,8912,4.33790183034901
Block31,112910,121822,0,0.0,K12DH,ECDH10B_0109,118681,118901,0,119121,54.6806236140829,8912,4.019632215929015
Block31,112910,121822,0,0.0,K12DH,ECDH10B_0110,119185,119799,0,120414,36.8915531264774,8912,3.6347282145962687
Block31,112910,121822,0,0.0,K12DH,ECDH10B_0111,120418,120608,1,120798,378.813620459636,8912,5.939680659924821
Block35,122010,124885,0,0.0,K12DH,ECDH10B_0113,122048,122473,1,122899,376.92143982182,2875,5.934686342860493
Block35,122010,124885,0,0.0,K12DH,ECDH10B_0114,122911,123308,1,123705,360.161954794424,2875,5.889326485968722
Block36,125006,127781,0,0.0,K12DH,ECDH10B_0116,125107,125405,1,125703,0.283063033396367,2775,0.2492502141198689
Block36,125006,127781,0,0.0,K12DH,ECDH10B_0117,125730,126032,1,126335,0.566126066792735,2775,0.44860509675039056
Block36,125006,127781,0,0.0,K12DH,ECDH10B_0118,126347,126631,1,126916,0.350946064417148,2775,0.3008051354699138
Block38,129522,130343,0,0.0,K12DH,ECDH10B_0120,129565,129935,1,130305,0.486712126458708,821,0.396567055231809
Block41,131330,138635,0,0.0,K12DH,ECDH10B_0122,131357,131596,1,131836,14.0378425766859,7305,2.7105698625333
Block41,131330,138635,0,0.0,K12DH,ECDH10B_0123,131833,132542,1,133251,327.121152635326,7305,5.793382907975283
Block41,131330,138635,0,0.0,K12DH,ECDH10B_0124,133290,133753,1,134216,18.0903674690236,7305,2.9491838868464506
Block41,131330,138635,0,0.0,K12DH,ECDH10B_0125,134253,134480,1,134708,654.554369503723,7305,6.485481243324346
Block41,131330,138635,0,0.0,K12DH,ECDH10B_0126,134886,135238,1,135590,156.188468955992,7305,5.057445524607414
Block41,131330,138635,0,0.0,K12DH,ECDH10B_0127,135605,135870,1,136135,20.7621699223192,7305,3.08017313771078
Block42,138753,142614,0,0.0,K12DH,ECDH10B_0129,138834,140101,0,141368,362.1900924086969,3861,5.894926367744654
Block43,142731,147549,0,0.0,K12DH,ECDH10B_0131,143882,144280,0,144679,12.1678031614677,4818,2.5777746955747878
Block43,142731,147549,0,0.0,K12DH,ECDH10B_0132,144679,145124,0,145569,4.84536187081929,4818,1.765648504182856
Block43,142731,147549,0,0.0,K12DH,ECDH10B_0133,145566,146557,0,147548,20.6494656789042,4818,3.074980774185708
Block46,147704,157725,0,0.0,K12DH,ECDH10B_0134,147706,148346,1,148986,501.60046056044195,10021,6.219795541464905
Block46,147704,157725,0,0.0,K12DH,ECDH10B_0135,149211,149921,0,150632,55.43403999402,10021,4.033072522436644
Block46,147704,157725,0,0.0,K12DH,ECDH10B_0136,150714,150886,0,151058,147.34471129365602,10021,4.9995386959069155
Block46,147704,157725,0,0.0,K12DH,ECDH10B_0137,151105,151416,1,151728,25.799649976887608,10021,3.288388826867626
Block46,147704,157725,0,0.0,K12DH,ECDH10B_0138,151766,152166,1,152566,21.793248721802893,10021,3.1264643834187043
Block46,147704,157725,0,0.0,K12DH,ECDH10B_0139,152559,152908,1,153257,339.962576407567,10021,5.831772724655542
Block46,147704,157725,0,0.0,K12DH,ECDH10B_0140,153341,154099,0,154858,89.78043975523241,10021,4.5084438412028875
Block46,147704,157725,0,0.0,K12DH,ECDH10B_0141,154988,155700,0,156412,434.284667116898,10021,6.076000224222969
Block46,147704,157725,0,0.0,K12DH,ECDH10B_0142,156567,157145,0,157724,85.5795063810963,10021,4.461063140693543
Block47,157811,158348,0,0.0,K12DH,ECDH10B_0143,157813,158006,1,158199,209.458605273698,537,5.349288984253256
Block48,159191,164708,0,0.0,K12DH,ECDH10B_0145,159227,159639,1,160051,496.216132630447,5517,6.209024806074057
Block48,159191,164708,0,0.0,K12DH,ECDH10B_0146,160082,161418,1,162754,163.28159448523502,5517,5.101581994941153
Block48,159191,164708,0,0.0,K12DH,ECDH10B_0147,162816,163213,1,163610,575.190528033619,5517,6.356438383837108
Block48,159191,164708,0,0.0,K12DH,ECDH10B_0149,163978,164340,0,164703,4858.7851937531295,5517,8.488749517101514
Block49,164842,166733,0,0.0,K12DH,ECDH10B_0150,164961,165386,0,165812,3656.3976074980797,1891,8.20450713728657
Block49,164842,166733,0,0.0,K12DH,ECDH10B_0151,165959,166321,0,166684,345.446236479606,1891,5.847727644916121
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0152,166976,167254,0,167533,953.96860119324,23225,6.86167846160854
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0153,167625,168223,0,168821,122.029359507924,23225,4.812423022075628
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0154,169010,169389,0,169768,214.04250656652002,23225,5.370835713547171
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0155,169781,170209,0,170638,124.16311649807301,23225,4.8296178186031185
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0156,170650,171326,0,172002,324.634035645457,23225,5.78577416074593
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0157,172032,173248,0,174464,1673.3405320462,23225,7.423174654522941
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0158,174586,174828,0,175071,578.079385657394,23225,6.361439576391093
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0159,175075,175587,0,176100,651.398493749733,23225,6.4806555619608295
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0160,176205,176432,0,176660,222.03634544705503,23225,5.40733474224717
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0161,176664,177058,0,177452,334.547563024209,23225,5.815763713946998
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0162,177452,178026,0,178600,117.36979461097602,23225,4.7738135768200545
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0163,178597,178895,0,179193,52.750897545826206,23225,3.9843603653953523
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0164,179230,180971,0,182712,408.800102027676,23225,6.015669484774207
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0165,182725,183204,0,183684,767.7927980252721,23225,6.6448214897990825
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0166,183783,184853,0,185924,65.8753843514633,23225,4.202830952511255
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0167,185981,186175,0,186370,15.439021984637101,23225,2.799657897872857
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0168,186435,187084,0,187733,74.5478626277901,23225,4.32476639748851
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0169,187782,187912,1,188042,23.222508733400307,23225,3.187282313826046
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0170,188029,188129,1,188229,4.33428550087539,23225,1.6741549490509708
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0171,188395,188667,0,188940,32.2165500456394,23225,3.5030482470654962
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0172,188937,189148,0,189359,12.033339524284804,23225,2.5675106533321617
Block50,166879,190104,0,0.0,K12DH,ECDH10B_0173,189373,189728,0,190083,63.2751812893495,23225,4.1631735736746105
Block52,190278,191128,0,0.0,K12DH,ECDH10B_0174,190283,190695,1,191107,9.41788919269676,850,2.3435244431267503
Block53,191137,197721,0,0.0,K12DH,ECDH10B_0175,191161,192020,1,192879,1514.4923642894696,6584,7.323495658075049
Block53,191137,197721,0,0.0,K12DH,ECDH10B_0176,192991,193344,1,193698,53.0222387554943,6584,3.989395790591517
Block53,191137,197721,0,0.0,K12DH,ECDH10B_0177,193695,193897,1,194099,83.0432790754271,6584,4.431331893247828
Block53,191137,197721,0,0.0,K12DH,ECDH10B_0178,194217,194624,1,195032,402.545139480461,6584,6.000288351293092
Block53,191137,197721,0,0.0,K12DH,ECDH10B_0179,195072,195398,1,195725,73.37580806683009,6584,4.309130728570874
Block53,191137,197721,0,0.0,K12DH,ECDH10B_0180,195718,196233,1,196749,173.68053156558602,6584,5.162958771694857
Block53,191137,197721,0,0.0,K12DH,ECDH10B_0181,196937,197224,0,197512,162.564455086926,6584,5.097207133367881
Block60,202878,206069,0,0.0,K12DH,ECDH10B_0187,203032,203070,0,203108,0.13576606204156,3191,0.12730736779075397
Block60,202878,206069,0,0.0,K12DH,ECDH10B_0188,203271,203672,0,204074,32.963263386868,3191,3.5252794518459862
Block60,202878,206069,0,0.0,K12DH,ECDH10B_0189,204071,204528,1,204985,28.9427263727526,3191,3.3992864360598434
Block60,202878,206069,0,0.0,K12DH,ECDH10B_0190,205226,205626,0,206026,125.717723172843,3191,4.841961960518676
Block61,206084,211116,0,0.0,K12DH,ECDH10B_0192,206701,207380,1,208059,182.39951530799598,5032,5.211666917005328
Block61,206084,211116,0,0.0,K12DH,ECDH10B_0193,208131,208508,1,208886,34.4336282506987,5032,3.5676613198069247
Block61,206084,211116,0,0.0,K12DH,ECDH10B_0194,208920,209281,0,209642,39.759190123683204,5032,3.707681338767606
Block61,206084,211116,0,0.0,K12DH,ECDH10B_0195,209639,209872,1,210106,52.85448481523029,5032,3.986285683611407
Block61,206084,211116,0,0.0,K12DH,ECDH10B_0196,210171,210536,0,210902,115.09728488023701,5032,4.754428502385918
Block61,206084,211116,0,0.0,K12DH,ECDH10B_0197,211035,211073,0,211111,3.5658127658790097,5032,1.518596541108048
Block62,213551,220048,0,1.0,K12DH,ECDH10B_0202,214447,214683,0,214920,48.185802944270804,6497,3.8956050238141033
Block62,213551,220048,0,1.0,K12DH,ECDH10B_0203,214963,216185,1,217407,51.2342181303275,6497,3.955737799867452
Block62,213551,220048,0,1.0,K12DH,ECDH10B_0204,217647,217936,0,218225,334.226156926665,6497,5.814805399354217
Block62,213551,220048,0,1.0,K12DH,ECDH10B_0205,218431,218814,0,219198,123.75302254781602,6497,4.826335963178323
Block62,213551,220048,0,1.0,K12DH,ECDH10B_0206,219169,219539,1,219909,170.988844886626,6497,5.147429619399943
Block73,227790,232010,0,1.0,K12DH,ECDH10B_0219,228363,229091,1,229820,1261.85855601914,4220,7.141133125595431
Block73,227790,232010,0,1.0,K12DH,ECDH10B_0220,230081,230310,0,230539,174.69061462896198,4220,5.16872457674276
Block73,227790,232010,0,1.0,K12DH,ECDH10B_0221,230631,231253,0,231875,176.779168577887,4220,5.1805421541116665
Block101,315261,315875,0,1.0,K12DH,ECDH10B_0309,315327,315596,0,315866,49.521704170918596,614,3.9224030295126977
Block105,316089,318574,0,1.0,K12DH,ECDH10B_0310,316090,316506,1,316923,420.44656635869796,2485,6.043692999201139
Block105,316089,318574,0,1.0,K12DH,ECDH10B_0311,317017,317571,1,318126,1272.3241076817,2485,7.149386167630112
Block105,316089,318574,0,1.0,K12DH,ECDH10B_0312,318161,318298,1,318436,212.721852609347,2485,5.364675415446849
Block123,322476,327106,0,1.0,K12DH,ECDH10B_0320,322614,322892,1,323171,0.984955162230663,4630,0.685596325587139
Block123,322476,327106,0,1.0,K12DH,ECDH10B_0321,323787,324268,0,324749,1.34743213596106,4630,0.8533220226136345
Block123,322476,327106,0,1.0,K12DH,ECDH10B_0322,324762,325145,0,325529,0.339415155103901,4630,0.2922330672751797
Block123,322476,327106,0,1.0,K12DH,ECDH10B_0323,325526,325939,0,326353,0.622478188500269,4630,0.4839547263626166
Block129,332997,339832,0,1.0,K12DH,ECDH10B_0332,333061,333372,0,333684,2.47838184468783,6835,1.2465671984876607
Block129,332997,339832,0,1.0,K12DH,ECDH10B_0333,333685,334263,1,334842,58.0597188100626,6835,4.078549115215086
Block129,332997,339832,0,1.0,K12DH,ECDH10B_0334,335194,335804,0,336414,32.3740755014488,6835,3.50777941600563
Block129,332997,339832,0,1.0,K12DH,ECDH10B_0335,336427,336974,0,337521,31.805344584938602,6835,3.490591446778821
Block129,332997,339832,0,1.0,K12DH,ECDH10B_0336,337580,337734,1,337888,6.56419704010659,6835,2.0234262001801633
Block129,332997,339832,0,1.0,K12DH,ECDH10B_0337,338148,338254,0,338360,68.1768952818763,6835,4.236666923662335
Block129,332997,339832,0,1.0,K12DH,ECDH10B_0338,338384,338931,1,339478,218.010025990259,6835,5.389117509546032
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0340,340302,341009,0,341717,19.2994286932257,9662,3.0105927424608625
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0341,341836,341996,0,342156,6.6449134052993095,9662,2.0340405123449075
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0342,342258,342815,0,343373,4.56229883742292,9662,1.7160114827796222
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0343,343390,343794,1,344199,89.28349914431921,9662,4.5029547099966285
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0344,344319,344548,0,344777,43.13047077051071,9662,3.7871504910358107
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0345,344960,345222,0,345484,76.26409294736,9662,4.347229332114517
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0346,345534,345629,0,345725,17.895644435557102,9662,2.9389314423620636
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0347,345983,346321,0,346660,12.0320370994261,9662,2.5674107180902053
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0348,346732,346874,0,347016,121.38064190783501,9662,4.807136203222755
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0349,347164,347334,0,347505,7.820684326420372,9662,2.177099455038425
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0350,347663,348118,1,348574,170.67230063573402,9662,5.1455874306943725
Block130,340009,349671,0,1.0,K12DH,ECDH10B_0351,348699,349153,0,349607,91.20096462164908,9662,4.52397059278167
Block132,349880,363472,0,1.0,K12DH,ECDH10B_0353,351162,352735,1,354308,103.25736596456,13592,4.646862514917229
Block132,349880,363472,0,1.0,K12DH,ECDH10B_0354,354305,354906,1,355507,44.963312608071796,13592,3.8278435262768546
Block132,349880,363472,0,1.0,K12DH,ECDH10B_0355,355697,356041,0,356386,35.699041596608296,13592,3.6027506401857003
Block132,349880,363472,0,1.0,K12DH,ECDH10B_0356,356444,357091,0,357739,20.295914764769602,13592,3.0585152592391114
Block132,349880,363472,0,1.0,K12DH,ECDH10B_0357,358146,358805,0,359465,275.308356932864,13592,5.621517477338293
Block132,349880,363472,0,1.0,K12DH,ECDH10B_0358,359541,360227,0,360914,132.078652948717,13592,4.890940328982403
Block132,349880,363472,0,1.0,K12DH,ECDH10B_0359,361070,361978,0,362887,43.3328174387144,13592,3.791725202765209
Block133,363495,369157,0,1.0,K12DH,ECDH10B_0361,363566,364101,0,364636,105.929359332271,5662,4.672168423282095
Block133,363495,369157,0,1.0,K12DH,ECDH10B_0362,364692,365255,0,365819,849.258408607304,5662,6.745540313408887
Block133,363495,369157,0,1.0,K12DH,ECDH10B_0363,365842,366008,0,366174,199.598668228568,5662,5.301306236565458
Block133,363495,369157,0,1.0,K12DH,ECDH10B_0364,366202,367125,0,368049,1013.53487286249,5662,6.922185533108291
Block133,363495,369157,0,1.0,K12DH,ECDH10B_0365,368060,368545,0,369031,376.360175601678,5662,5.933200104318483
Block137,369708,376703,0,1.0,K12DH,ECDH10B_0368,370867,371136,1,371406,15.7297086527706,6995,2.817186100189032
Block137,369708,376703,0,1.0,K12DH,ECDH10B_0369,371557,371781,0,372006,69.3091474154618,6995,4.2529019100596335
Block137,369708,376703,0,1.0,K12DH,ECDH10B_0370,372010,372561,0,373113,224.33245576361801,6995,5.417576892827114
Block137,369708,376703,0,1.0,K12DH,ECDH10B_0371,373202,373437,0,373672,266.020260445114,6995,5.587324537338277
Block137,369708,376703,0,1.0,K12DH,ECDH10B_0372,373692,373901,0,374111,265.332694989725,6995,5.584746260310781
Block137,369708,376703,0,1.0,K12DH,ECDH10B_0373,374189,374677,0,375166,54.52459149754729,6995,4.016826012662879
Block137,369708,376703,0,1.0,K12DH,ECDH10B_0374,375144,375403,0,375662,103.45469384774401,6995,4.648753425697926
Block137,369708,376703,0,1.0,K12DH,ECDH10B_0375,375716,376203,1,376690,186.892246860709,6995,5.235868643517607
Block138,376830,383799,0,1.0,K12DH,ECDH10B_0376,376870,377801,1,378732,232.418160089828,6969,5.452831523551582
Block138,376830,383799,0,1.0,K12DH,ECDH10B_0377,378757,379206,1,379656,161.237861748704,6969,5.089063540759162
Block138,376830,383799,0,1.0,K12DH,ECDH10B_0378,379656,379777,1,379898,48.9684114382978,6969,3.911391034542562
Block138,376830,383799,0,1.0,K12DH,ECDH10B_0379,380104,380828,0,381552,246.96355359071097,6969,5.513281774037329
Block138,376830,383799,0,1.0,K12DH,ECDH10B_0380,381606,381901,1,382196,44.6532804814728,6969,3.8210754660466324
Block138,376830,383799,0,1.0,K12DH,ECDH10B_0381,382159,382614,1,383070,59.94109822017901,6969,4.109907794730576
Block138,376830,383799,0,1.0,K12DH,ECDH10B_0382,383238,383483,0,383729,362.891793623116,6969,5.896856553177011
Block140,383883,402934,0,1.0,K12DH,ECDH10B_0384,385370,385815,1,386260,1159.93960714467,19051,7.056984962381663
Block140,383883,402934,0,1.0,K12DH,ECDH10B_0385,386272,386436,1,386601,76.7214220453138,19051,4.353130921373681
