ATCC_names,BW_names,DH_names,MG_names,ATCC_GSE94978_1,ATCC_GSE94978_2,BW25113_GSE73673_6,BW25113_GSE73673_7,BW25113_GSE73673_8,BW25113_GSE85914,K12DH_GSE98890_1,K12DH_GSE98890_2,K12MG_GSE114917_LP1,K12MG_GSE114917_LP2,K12MG_GSE114917_LP3,K12MG_GSE114917_LP4,K12MG_GSE40313_1,K12MG_GSE40313_2,K12MG_GSE54199_DNA,K12MG_GSE54199_RNA,K12MG_GSE60522_1,K12MG_GSE60522_2,K12MG_GSE60522_3
DR76_RS03115,BW25113_RS19970,ECDH10B_RS20540,b3849,1981.0,2083.0,158.0,100.0,127.0,54.0,291.0,899.0,470.0,397.0,319.0,417.0,101.0,135.0,194670.5,96969.0,526.0,373.0,456.0
DR76_RS03110,BW25113_RS19975,ECDH10B_RS20545,b3850,767.0,1063.0,31.0,5.0,8.0,171.0,138.0,442.0,173.0,148.0,118.0,148.0,28.0,59.0,71511.0,28312.5,117.0,89.0,104.0
DR76_RS03080,BW25113_RS20010,ECDH10B_RS20580,b3857,606.0,657.0,7.0,0.0,9.0,71.0,87.0,294.0,73.0,68.0,70.0,42.0,22.0,30.0,96775.5,27317.0,17.0,37.0,47.0
DR76_RS03075,BW25113_RS20015,ECDH10B_RS20585,b3858,1931.0,7182.0,1.0,0.0,9.0,683.0,59.0,239.0,382.0,442.0,320.0,256.0,33.0,54.0,51531.0,157808.0,239.0,169.0,207.0
DR76_RS03065,BW25113_RS20025,ECDH10B_RS20595,b3860,4148.0,7414.0,26.0,7.0,8.0,111.0,752.0,2394.0,712.0,703.0,577.0,847.0,98.0,132.0,90357.5,156357.5,1146.0,1051.0,1068.0
DR76_RS03060,BW25113_RS20030,ECDH10B_RS20600,b3861,175.0,153.0,154.0,70.0,69.0,6.0,24.0,76.0,18.0,7.0,10.0,13.0,7.0,12.0,281005.0,42768.5,0.0,0.0,2.0
DR76_RS03055,BW25113_RS20035,ECDH10B_RS20605,b3862,293.0,134.0,61.0,30.0,33.0,7.0,41.0,72.0,55.0,33.0,20.0,70.0,21.0,22.0,175161.0,58801.0,40.0,19.0,49.0
DR76_RS03045,BW25113_RS20045,ECDH10B_RS20615,b3863,13035.0,18094.0,53.0,39.0,40.0,166.0,1510.0,6207.0,2637.0,2917.0,2228.0,1939.0,547.0,884.0,440332.0,272199.0,1906.0,1584.0,1853.0
DR76_RS03040,BW25113_RS20050,ECDH10B_RS20620,b3865,3399.0,4601.0,61.0,41.0,35.0,98.0,979.0,3016.0,706.0,777.0,593.0,819.0,146.0,178.0,109043.0,164390.0,905.0,947.0,773.0
DR76_RS03035,BW25113_RS20055,ECDH10B_RS20625,b3866,1310.0,1607.0,36.0,28.0,23.0,361.0,760.0,1420.0,222.0,194.0,188.0,247.0,46.0,66.0,83952.0,124900.5,396.0,442.0,384.0
DR76_RS03030,BW25113_RS20060,ECDH10B_RS20630,b3867,5119.0,8195.0,4901.0,2643.0,2776.0,402.0,638.0,2099.0,619.0,622.0,495.0,576.0,146.0,254.0,210345.5,147355.0,659.0,515.0,519.0
DR76_RS03020,BW25113_RS20070,ECDH10B_RS20640,b3868,2105.0,1852.0,88.0,39.0,37.0,376.0,148.0,629.0,296.0,332.0,281.0,303.0,64.0,108.0,170234.0,73750.5,905.0,1006.0,637.0
DR76_RS03015,BW25113_RS20075,ECDH10B_RS20645,b3869,1692.0,1161.0,70.0,43.0,33.0,101.0,76.0,328.0,250.0,255.0,220.0,345.0,44.0,56.0,131629.0,72645.5,157.0,196.0,187.0
DR76_RS02995,BW25113_RS20095,ECDH10B_RS20665,b3872,474.0,494.0,179.0,90.0,97.0,12.0,45.0,137.0,51.0,50.0,30.0,43.0,17.0,17.0,126771.5,15443.5,110.0,68.0,90.0
DR76_RS02990,BW25113_RS20100,ECDH10B_RS20670,b3873,352.0,432.0,237.0,127.0,145.0,4.0,35.0,162.0,71.0,61.0,43.0,43.0,7.0,6.0,204347.5,30067.0,38.0,30.0,38.0
DR76_RS02985,BW25113_RS20105,ECDH10B_RS20675,b3874,314.0,408.0,15.0,1.0,2.0,1.0,14.0,93.0,27.0,23.0,14.0,25.0,4.0,4.0,274436.0,49080.5,4.0,8.0,8.0
DR76_RS02940,BW25113_RS20160,ECDH10B_RS20735,b3885,1164.0,2077.0,2.0,0.0,1.0,62.0,103.0,641.0,609.0,759.0,542.0,346.0,84.0,138.0,106280.5,35244.5,195.0,155.0,233.0
DR76_RS02935,BW25113_RS20165,ECDH10B_RS20740,b3886,868.0,1012.0,15.0,5.0,4.0,176.0,70.0,364.0,333.0,323.0,253.0,240.0,102.0,153.0,147651.0,43957.5,97.0,80.0,103.0
DR76_RS02930,BW25113_RS20170,ECDH10B_RS20745,b3887,1009.0,1243.0,8.0,5.0,6.0,233.0,40.0,100.0,262.0,272.0,197.0,205.0,78.0,92.0,60933.0,25448.5,388.0,317.0,355.0
DR76_RS02890,BW25113_RS20195,ECDH10B_RS20770,b3891,6530.0,6199.0,9.0,4.0,9.0,31.0,602.0,1432.0,1816.0,1753.0,1329.0,1722.0,229.0,364.0,114950.5,141457.0,453.0,374.0,415.0
DR76_RS02885,BW25113_RS20200,ECDH10B_RS20775,b3892,9217.0,2851.0,4.0,1.0,0.0,25.0,179.0,295.0,2475.0,2938.0,2160.0,2105.0,364.0,582.0,97840.0,260583.0,209.0,122.0,185.0
DR76_RS02880,BW25113_RS20205,ECDH10B_RS20780,b3893,16759.0,5377.0,40.0,12.0,15.0,7.0,578.0,869.0,4460.0,4913.0,3867.0,4026.0,911.0,1274.0,112505.0,330632.0,964.0,567.0,695.0
DR76_RS02875,BW25113_RS20210,ECDH10B_RS20785,b3894,67021.0,26053.0,75.0,36.0,36.0,45.0,4049.0,9320.0,18035.0,19116.0,15441.0,15086.0,3973.0,6327.0,436944.5,856576.5,4531.0,3667.0,3353.0
DR76_RS02870,BW25113_RS20210,ECDH10B_RS20785,b3894,20409.0,12250.0,75.0,36.0,36.0,45.0,4049.0,9320.0,18035.0,19116.0,15441.0,15086.0,3973.0,6327.0,436944.5,856576.5,4531.0,3667.0,3353.0
DR76_RS02865,BW25113_RS20220,ECDH10B_RS20795,b3895,1028.0,831.0,9.0,6.0,6.0,23.0,137.0,264.0,230.0,227.0,210.0,176.0,46.0,98.0,110060.5,56519.5,103.0,85.0,121.0
DR76_RS24095,BW25113_RS01830,ECDH10B_RS01585,b0354,871.0,1168.0,4.0,2.0,4.0,20.0,109.0,384.0,193.0,212.0,143.0,201.0,50.0,70.0,61978.0,93246.0,161.0,138.0,126.0
DR76_RS02825,BW25113_RS20265,ECDH10B_RS20850,b3905,186.0,196.0,0.0,0.0,0.0,5.0,11.0,30.0,12.0,15.0,14.0,9.0,12.0,7.0,120152.0,19844.0,42.0,30.0,38.0
DR76_RS02820,BW25113_RS20270,ECDH10B_RS20855,b3906,279.0,400.0,0.0,0.0,0.0,0.0,19.0,166.0,40.0,35.0,27.0,9.0,19.0,21.0,139373.5,19927.5,0.0,3.0,5.0
DR76_RS02815,BW25113_RS20275,ECDH10B_RS20860,b3907,100.0,155.0,5.0,3.0,2.0,3.0,25.0,73.0,11.0,13.0,9.0,10.0,5.0,7.0,156751.5,30723.5,31.0,25.0,18.0
DR76_RS02810,BW25113_RS20280,ECDH10B_RS20865,b3908,1511.0,1083.0,4.0,3.0,3.0,4471.0,5046.0,16182.0,3014.0,3267.0,2720.0,4672.0,18.0,52.0,95234.5,67910.0,1689.0,1699.0,1765.0
DR76_RS02800,BW25113_RS20290,ECDH10B_RS20875,b3909,168.0,213.0,10.0,3.0,5.0,0.0,25.0,71.0,23.0,32.0,21.0,25.0,15.0,14.0,133645.0,31039.0,8.0,6.0,18.0
DR76_RS02795,BW25113_RS20295,ECDH10B_RS20880,b3910,1875.0,2820.0,75.0,28.0,55.0,49.0,115.0,412.0,276.0,289.0,218.0,180.0,70.0,89.0,93004.5,24662.0,101.0,57.0,98.0
DR76_RS02790,BW25113_RS20300,ECDH10B_RS20885,b3911,4753.0,5579.0,19.0,7.0,7.0,56.0,1002.0,1942.0,641.0,674.0,500.0,572.0,186.0,269.0,164468.5,78486.0,715.0,616.0,636.0
DR76_RS02785,BW25113_RS20305,ECDH10B_RS20890,b3912,4411.0,5366.0,28.0,19.0,12.0,186.0,497.0,2312.0,506.0,574.0,449.0,446.0,168.0,208.0,108232.5,56275.0,396.0,300.0,370.0
DR76_RS02780,BW25113_RS20310,ECDH10B_RS20895,b4484,17234.0,9832.0,36.0,8.0,14.0,56.0,2220.0,8183.0,486.0,404.0,318.0,297.0,299.0,276.0,95701.5,208240.0,20.0,13.0,4.0
DR76_RS02775,BW25113_RS20315,ECDH10B_RS20900,b3915,2243.0,2266.0,110.0,72.0,61.0,136.0,498.0,1350.0,418.0,324.0,259.0,302.0,79.0,92.0,110215.0,104927.5,765.0,612.0,770.0
DR76_RS02770,BW25113_RS20320,ECDH10B_RS20905,b3916,5051.0,8951.0,96.0,71.0,61.0,704.0,3831.0,24139.0,3796.0,4122.0,3256.0,2464.0,206.0,325.0,118719.5,155699.5,4533.0,3881.0,4704.0
DR76_RS02760,BW25113_RS20325,ECDH10B_RS20910,b3917,383.0,1714.0,284.0,131.0,143.0,8.0,105.0,415.0,36.0,17.0,12.0,26.0,15.0,20.0,177200.5,46340.5,911.0,1062.0,533.0
DR76_RS02755,BW25113_RS20330,ECDH10B_RS20915,b3918,234.0,238.0,360.0,196.0,198.0,11.0,36.0,112.0,84.0,30.0,34.0,64.0,19.0,22.0,115974.5,32130.5,72.0,57.0,59.0
DR76_RS02750,BW25113_RS20335,ECDH10B_RS20920,b3919,9844.0,38065.0,9.0,7.0,7.0,646.0,4672.0,24390.0,5309.0,5888.0,4758.0,3782.0,415.0,668.0,110136.5,277336.0,9745.0,8562.0,8135.0
DR76_RS02745,BW25113_RS20340,ECDH10B_RS20925,b3920,482.0,533.0,10.0,6.0,4.0,202.0,80.0,166.0,70.0,58.0,48.0,81.0,17.0,20.0,116574.0,49983.0,55.0,91.0,50.0
DR76_RS02740,BW25113_RS20345,ECDH10B_RS20930,b3921,250.0,187.0,15.0,11.0,8.0,5.0,36.0,79.0,41.0,27.0,11.0,32.0,15.0,15.0,62905.0,24815.5,47.0,35.0,58.0
DR76_RS02735,BW25113_RS20350,ECDH10B_RS20935,b3922,1243.0,1187.0,201.0,108.0,122.0,483.0,56.0,320.0,136.0,164.0,111.0,86.0,32.0,51.0,59274.5,50980.5,125.0,79.0,118.0
DR76_RS02730,BW25113_RS20355,ECDH10B_RS20940,b3923,3025.0,2497.0,100.0,58.0,52.0,234.0,27.0,299.0,175.0,223.0,149.0,116.0,108.0,154.0,87891.0,81080.5,598.0,436.0,685.0
DR76_RS02725,BW25113_RS20360,ECDH10B_RS20945,b3924,1621.0,1490.0,25.0,10.0,5.0,179.0,394.0,2441.0,285.0,278.0,263.0,404.0,66.0,100.0,99836.0,61381.0,246.0,168.0,233.0
DR76_RS02720,BW25113_RS20365,ECDH10B_RS20950,b3925,1752.0,4688.0,124.0,83.0,84.0,93.0,917.0,2597.0,1642.0,1421.0,1236.0,1156.0,66.0,84.0,125072.0,128232.5,581.0,572.0,566.0
DR76_RS02710,BW25113_RS20375,ECDH10B_RS20960,b3927,1292.0,1513.0,11.0,8.0,6.0,31.0,2079.0,6705.0,5248.0,5645.0,4460.0,2765.0,34.0,54.0,127240.5,1043017.5,1136.0,938.0,1167.0
DR76_RS02705,BW25113_RS20380,ECDH10B_RS20965,b3928,11307.0,7688.0,8.0,2.0,1.0,4495.0,2174.0,10375.0,1243.0,1395.0,1138.0,755.0,243.0,260.0,49160.5,182166.0,212.0,148.0,275.0
DR76_RS02700,BW25113_RS20385,ECDH10B_RS20970,b3929,9909.0,10753.0,14.0,7.0,9.0,397.0,745.0,2146.0,2377.0,2341.0,2070.0,1073.0,544.0,793.0,67996.5,72750.0,439.0,392.0,533.0
DR76_RS02695,BW25113_RS20390,ECDH10B_RS20975,b3930,666.0,1123.0,7.0,2.0,3.0,60.0,134.0,279.0,148.0,130.0,84.0,165.0,39.0,45.0,116703.0,38192.0,520.0,457.0,501.0
DR76_RS02690,BW25113_RS20395,ECDH10B_RS20980,b3931,3316.0,27111.0,331.0,153.0,163.0,461.0,1102.0,5154.0,922.0,906.0,652.0,912.0,123.0,183.0,197374.5,197949.0,3182.0,2065.0,2535.0
DR76_RS02685,BW25113_RS20400,ECDH10B_RS20985,b3932,1126.0,6427.0,10.0,2.0,4.0,333.0,467.0,1741.0,332.0,335.0,259.0,289.0,61.0,76.0,65329.0,107393.5,2191.0,1843.0,1946.0
DR76_RS02680,BW25113_RS20405,ECDH10B_RS20990,b3933,3166.0,4101.0,130.0,79.0,107.0,45.0,840.0,2823.0,397.0,313.0,261.0,378.0,141.0,162.0,129438.5,95092.5,200.0,224.0,262.0
DR76_RS02675,BW25113_RS20410,ECDH10B_RS20995,b3934,2523.0,5117.0,250.0,93.0,120.0,62.0,405.0,1337.0,281.0,287.0,166.0,229.0,119.0,167.0,145431.0,109467.0,350.0,311.0,314.0
DR76_RS02670,BW25113_RS20415,ECDH10B_RS21000,b3935,1312.0,1403.0,86.0,28.0,39.0,20.0,275.0,623.0,192.0,176.0,141.0,255.0,47.0,85.0,268089.5,65126.0,214.0,186.0,176.0
DR76_RS02665,BW25113_RS20420,ECDH10B_RS21005,b3936,11147.0,8838.0,2.0,2.0,0.0,445.0,1635.0,7360.0,2864.0,2561.0,2318.0,2497.0,295.0,444.0,30355.0,107389.0,464.0,377.0,363.0
DR76_RS02655,BW25113_RS20430,ECDH10B_RS21015,b3938,1226.0,1110.0,1.0,1.0,6.0,37.0,445.0,1829.0,323.0,262.0,248.0,359.0,168.0,243.0,46515.0,98499.5,474.0,382.0,451.0
DR76_RS02650,BW25113_RS20435,ECDH10B_RS21020,b3939,654.0,1056.0,229.0,147.0,152.0,18.0,217.0,751.0,90.0,80.0,61.0,101.0,34.0,51.0,148386.0,78143.5,11501.0,7951.0,11973.0
DR76_RS02615,BW25113_RS20450,ECDH10B_RS21035,b3941,3336.0,1829.0,20.0,16.0,16.0,34.0,124.0,802.0,36.0,17.0,15.0,26.0,27.0,31.0,132057.0,26385.0,5790.0,4380.0,4936.0
DR76_RS02610,BW25113_RS20455,ECDH10B_RS21040,b3942,21060.0,86798.0,101.0,59.0,54.0,88.0,1430.0,7623.0,9121.0,10708.0,8403.0,5937.0,1727.0,2852.0,268348.5,573463.5,8871.0,6364.0,8120.0
DR76_RS02605,BW25113_RS20460,ECDH10B_RS21045,b3943,914.0,987.0,36.0,20.0,25.0,21.0,90.0,229.0,101.0,109.0,71.0,71.0,22.0,34.0,116242.0,54115.0,45.0,56.0,45.0
DR76_RS02600,BW25113_RS20465,ECDH10B_RS21050,b3944,206.0,180.0,30.0,13.0,17.0,2.0,8.0,43.0,9.0,4.0,2.0,6.0,2.0,3.0,80028.5,15740.0,1.0,3.0,2.0
DR76_RS02590,BW25113_RS20475,ECDH10B_RS21060,b3945,25857.0,41543.0,16.0,9.0,9.0,19.0,128.0,1764.0,3183.0,3673.0,3155.0,1722.0,372.0,570.0,143927.0,50389.5,120.0,48.0,74.0
DR76_RS02575,BW25113_RS20490,ECDH10B_RS21075,b3949,58.0,188.0,4.0,2.0,1.0,0.0,8.0,39.0,14.0,22.0,12.0,4.0,4.0,6.0,134965.5,48917.5,7.0,6.0,5.0
DR76_RS02570,BW25113_RS20495,ECDH10B_RS21080,b3950,45.0,113.0,0.0,0.0,0.0,4.0,1.0,5.0,5.0,7.0,9.0,5.0,1.0,2.0,65191.0,16775.0,2.0,4.0,2.0
DR76_RS02565,BW25113_RS20500,ECDH10B_RS21085,b3951,451.0,842.0,5.0,4.0,1.0,6.0,18.0,169.0,76.0,58.0,56.0,34.0,14.0,16.0,293411.0,31583.0,41.0,35.0,46.0
DR76_RS02560,BW25113_RS20505,ECDH10B_RS21090,b3952,129.0,238.0,4.0,1.0,3.0,2.0,6.0,32.0,11.0,15.0,14.0,5.0,8.0,2.0,100122.0,22607.0,12.0,5.0,4.0
DR76_RS02555,BW25113_RS20510,ECDH10B_RS21095,b3953,51.0,80.0,3.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,1.0,6.0,1.0,37580.0,8893.0,5.0,0.0,4.0
DR76_RS02550,BW25113_RS20515,ECDH10B_RS21100,b3954,711.0,752.0,3.0,2.0,1.0,63.0,96.0,283.0,87.0,87.0,66.0,68.0,24.0,35.0,107082.0,25359.0,41.0,42.0,47.0
DR76_RS02545,BW25113_RS20520,ECDH10B_RS21105,b3955,2815.0,4160.0,18.0,2.0,8.0,128.0,513.0,1066.0,244.0,228.0,175.0,445.0,56.0,77.0,262345.5,127612.0,825.0,1012.0,750.0
DR76_RS02540,BW25113_RS20525,ECDH10B_RS21110,b3956,7961.0,20954.0,270.0,135.0,178.0,1635.0,2624.0,9689.0,2800.0,2861.0,2279.0,2152.0,393.0,633.0,334856.5,200637.0,20312.0,16210.0,15012.0
DR76_RS02530,BW25113_RS20540,ECDH10B_RS21125,b3958,684.0,424.0,78.0,48.0,40.0,66.0,43.0,135.0,29.0,30.0,22.0,54.0,39.0,20.0,129978.5,20580.5,1516.0,1792.0,903.0
DR76_RS02525,BW25113_RS20545,ECDH10B_RS21130,b3959,225.0,173.0,68.0,39.0,55.0,22.0,48.0,137.0,37.0,49.0,24.0,68.0,21.0,14.0,106874.5,26029.0,3013.0,3980.0,1925.0
DR76_RS02505,BW25113_RS20555,ECDH10B_RS21140,b3961,7804.0,18479.0,82.0,62.0,58.0,173.0,895.0,3688.0,1530.0,1580.0,1266.0,998.0,251.0,364.0,114328.5,70695.0,439.0,394.0,414.0
DR76_RS02500,BW25113_RS20560,ECDH10B_RS21145,b3962,19923.0,11158.0,68.0,42.0,32.0,449.0,1291.0,2812.0,2284.0,2402.0,1736.0,2030.0,582.0,1013.0,211199.0,319226.0,1028.0,1051.0,916.0
DR76_RS02485,BW25113_RS20565,ECDH10B_RS21150,b3963,5443.0,6328.0,21.0,6.0,11.0,270.0,457.0,1441.0,677.0,724.0,646.0,546.0,186.0,247.0,81932.5,93623.0,647.0,598.0,675.0
DR76_RS02480,BW25113_RS20570,ECDH10B_RS21155,b3964,2620.0,3565.0,2.0,1.0,4.0,171.0,314.0,1113.0,800.0,905.0,575.0,552.0,136.0,128.0,69085.0,91548.5,104.0,145.0,124.0
DR76_RS02475,BW25113_RS20575,ECDH10B_RS21160,b3965,1753.0,1598.0,17.0,11.0,13.0,76.0,398.0,954.0,466.0,390.0,271.0,577.0,134.0,215.0,153788.0,157053.5,381.0,397.0,330.0
DR76_RS02470,BW25113_RS20580,ECDH10B_RS21165,b3966,6930.0,19638.0,94.0,52.0,52.0,46.0,1157.0,4141.0,786.0,853.0,635.0,924.0,146.0,171.0,259548.0,224314.0,1486.0,1408.0,1321.0
DR76_RS02465,BW25113_RS20585,ECDH10B_RS21170,b3967,2443.0,2601.0,35.0,7.0,18.0,51.0,368.0,871.0,564.0,532.0,392.0,426.0,123.0,158.0,97534.0,50735.0,102.0,137.0,108.0
DR76_RS10435,BW25113_RS20610,ECDH10B_RS21195,b3972,3420.0,3770.0,37.0,19.0,101.0,52.0,377.0,1137.0,305.0,271.0,192.0,338.0,153.0,208.0,169675.0,123706.0,332.0,332.0,300.0
DR76_RS10440,BW25113_RS20615,ECDH10B_RS21200,b3973,2012.0,2645.0,137726.0,69667.0,78747.0,7.0,279.0,462.0,157.0,147.0,97.0,175.0,50.0,97.0,127783.0,94408.0,456.0,432.0,428.0
DR76_RS10445,BW25113_RS20620,ECDH10B_RS21205,b3974,1917.0,2465.0,64.0,32.0,36.0,30.0,247.0,629.0,308.0,293.0,188.0,362.0,50.0,85.0,160620.0,181425.5,521.0,365.0,423.0
DR76_RS10480,BW25113_RS20655,ECDH10B_RS21240,b3981,6005.0,6470.0,99.0,72.0,64.0,287.0,880.0,1881.0,1182.0,907.0,717.0,1543.0,203.0,232.0,46848.5,234150.5,5964.0,4862.0,5055.0
DR76_RS10485,BW25113_RS20660,ECDH10B_RS21245,b3982,6183.0,8329.0,272.0,177.0,171.0,3073.0,1237.0,3443.0,1134.0,1022.0,852.0,1849.0,161.0,251.0,74851.5,378660.0,1339.0,1292.0,1247.0
DR76_RS10490,BW25113_RS20665,ECDH10B_RS21250,b3983,16670.0,17007.0,33.0,28.0,24.0,380.0,4739.0,13523.0,4764.0,4294.0,3126.0,9083.0,892.0,1362.0,62101.0,1499263.5,2454.0,2425.0,1924.0
DR76_RS10495,BW25113_RS20670,ECDH10B_RS21255,b3984,25050.0,26872.0,199.0,83.0,95.0,207.0,12905.0,42910.0,10798.0,10515.0,7871.0,20405.0,1329.0,2046.0,94303.0,2071369.0,22910.0,23188.0,16318.0
DR76_RS10500,BW25113_RS20675,ECDH10B_RS21260,b3985,26372.0,32235.0,196.0,111.0,120.0,2390.0,11719.0,36118.0,16240.0,15869.0,11397.0,28089.0,1138.0,1834.0,69931.5,2528892.0,14707.0,15849.0,11886.0
DR76_RS10505,BW25113_RS20680,ECDH10B_RS21265,b3986,19360.0,26366.0,448.0,301.0,297.0,2335.0,11885.0,36973.0,10664.0,10448.0,7393.0,17220.0,815.0,1233.0,72771.0,1898937.0,73895.0,61069.0,55761.0
DR76_RS10510,BW25113_RS20685,ECDH10B_RS21270,b3987,44292.0,98495.0,4453.0,2539.0,2564.0,588.0,25477.0,72322.0,8348.0,8308.0,6333.0,17463.0,1576.0,2426.0,521866.5,1830654.5,32459.0,27203.0,27804.0
DR76_RS10515,BW25113_RS20690,ECDH10B_RS21275,b3988,28004.0,83687.0,2528.0,1388.0,1484.0,366.0,28268.0,90419.0,13748.0,14031.0,11093.0,20628.0,2527.0,3647.0,548142.0,1516942.0,50877.0,42111.0,38867.0
DR76_RS10520,BW25113_RS20700,ECDH10B_RS21285,b3990,1058.0,1561.0,361.0,171.0,186.0,406.0,14.0,67.0,20.0,27.0,19.0,26.0,3.0,8.0,156781.0,26524.0,2819.0,1872.0,2851.0
DR76_RS10525,BW25113_RS20705,ECDH10B_RS21290,b3991,633.0,1005.0,54.0,25.0,24.0,457.0,7.0,32.0,11.0,18.0,14.0,16.0,6.0,6.0,87702.5,14833.0,1542.0,897.0,1429.0
DR76_RS10530,BW25113_RS20710,ECDH10B_RS21295,b4407,69.0,127.0,66.0,25.0,19.0,416.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,23665.5,4032.0,563.0,369.0,594.0
