"start"	"end"
"99"	2174597	2175049
"301"	2187380	2188414
"302"	2191680	2192222
"303"	2204596	2205684
"177"	2232878	2233597
"305"	2233600	2233839
"134"	2239350	2240348
"172"	2254245	2255186
"304"	2255355	2256014
"71"	2303905	2304393
"144"	2311646	2312749
"306"	2340417	2344169
"105"	2349935	2351011
"307"	2363733	2364275
"8"	2365018	2365620
"73"	2381082	2381543
"308"	2386934	2387437
"126"	2405703	2406641
"309"	2455083	2455646
"181"	2456327	2456812
"78"	2461306	2462646
"310"	2465301	2466233
"74"	2482176	2483339
"76"	2483755	2484369
"77"	2484374	2487967
"153"	2490256	2491950
"89"	2492004	2493254
"311"	2495050	2495292
"75"	2574978	2575457
"312"	2591247	2591603
"313"	2626695	2628938
"314"	2629792	2630310
"188"	2652494	2653339
"315"	2699663	2699923
"317"	2741875	2742393
"316"	2742383	2743609
"387"	2796870	2797028
"320"	2797211	2797510
"319"	2797520	2798044
"189"	2798091	2798495
"318"	2799650	2799994
"143"	2803502	2804461
"163"	2804815	2806017
"160"	2859760	2860416
"59"	2887578	2888312
"323"	2897964	2899418
"324"	2899488	2900273
"388"	2900592	2901869
"321"	2901896	2903374
"322"	2905711	2906583
"22"	2915057	2917813
"90"	2933041	2933688
"91"	2934235	2935551
"15"	2980764	2982182
"120"	2983288	2984124
"390"	2984411	2985592
"391"	2985847	2987076
"325"	3004008	3005786
"326"	3006262	3007452
"389"	3014287	3015057
"327"	3016060	3019158
"41"	3078887	3079330
"328"	3098558	3099565
"109"	3136663	3138522
"329"	3146450	3146737
"166"	3170484	3171833
"129"	3172530	3173111
"170"	3183813	3184466
"392"	3184840	3185130
"103"	3191739	3191939
"393"	3192208	3192837
"201"	3206463	3207374
"70"	3225722	3226171
"330"	3226234	3227667
"331"	3227801	3228871
"332"	3252304	3252669
"192"	3263686	3265017
"191"	3265039	3266028
"190"	3266127	3267065
"98"	3273573	3274907
"97"	3275282	3276853
"119"	3283143	3284003
"5"	3284170	3284646
"6"	3284685	3285488
"333"	3411653	3412537
"334"	3412621	3412800
"1"	3413864	3415021
"335"	3418390	3418611
"139"	3438024	3438434
"27"	3466249	3466725
"26"	3466797	3466991
"58"	3497828	3499201
"336"	3499448	3499615
"81"	3540163	3540390
"82"	3540407	3542728
"337"	3581138	3581626
"124"	3596451	3597560
"339"	3634841	3635893
"182"	3653961	3654527
"338"	3655255	3655902
"112"	3655966	3656292
"111"	3656408	3656740
"113"	3656995	3657567
"93"	3658366	3658893
"130"	3659232	3660389
"94"	3663890	3664618
"95"	3664986	3665810
"340"	3667791	3669188
"200"	3669592	3671241
"341"	3671292	3671894
"342"	3672414	3673313
"343"	3695997	3696185
"23"	3696458	3698029
"345"	3719478	3719768
"344"	3727407	3727748
"214"	3731131	3732123
"215"	3732201	3733742
"346"	3756676	3757827
"179"	3758017	3759861
"347"	3761347	3761955
"348"	3770243	3771379
"349"	3788101	3789060
"193"	3790320	3791345
"350"	3838248	3839171
"141"	3839175	3839993
"351"	3840215	3840508
"352"	3860283	3861176
"197"	3888730	3890145
"158"	3906853	3907578
"21"	3922060	3922440
"167"	4003288	4004178
"67"	4043418	4044044
"353"	4044199	4045629
"354"	4045670	4046602
"355"	4077449	4078438
"356"	4079297	4079509
"79"	4086016	4086849
"357"	4112315	4112755
"358"	4112967	4113266
"133"	4132616	4133506
"29"	4173082	4174047
"42"	4174076	4175026
"359"	4231359	4231631
"127"	4231884	4233233
"202"	4267114	4268307
"14"	4269414	4270127
"360"	4275471	4277057
"185"	4277060	4277383
"3"	4335694	4337031
"4"	4337168	4337929
"61"	4347404	4348744
"62"	4349315	4350034
"361"	4351843	4352073
"362"	4352085	4352357
"30"	4360396	4361934
"92"	4368664	4369140
"363"	4383839	4385341
"173"	4409275	4410006
"364"	4410133	4410534
"365"	4410553	4411251
"366"	4411302	4411961
"367"	4411979	4412377
"368"	4412387	4413025
"205"	4419980	4421377
"394"	4428079	4428717
"135"	4467625	4470321
"17"	4477307	4478311
"369"	4479034	4479537
"208"	4554576	4555349
"370"	4562743	4563603
"371"	4602088	4602858
"372"	4603477	4604202
"28"	4604160	4604837
