"block"	"start"	"end"	"midpoint"	"gbk_start"	"gbk_end"	"gbk_midpoint"	"block_t_stat"	"block_t_confinf1"	"block_t_confinf2"	"block_avg_exp_invert"	"block_avg_exp_noninvert"	"block_avg_len_invert"	"block_avg_len_noninvert"	"inversion"	"rev_comp"	"strain"	"gbk_strand"	"test"	"pvalue"	"allSig"	"pvalueOld"	"non_bidir_midpoint"	"sig"	"G_HNS_binding"
"15"	"Block9"	20761	25674	1228240.5	22391	25207	1228822	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	23799	0	0
"16"	"Block10"	25677	28193	1231958	25826	26275	1231073	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	26050.5	0	0
"17"	"Block10"	25677	28193	1231958	26277	27227	1231775	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	26752	0	0
"18"	"Block11"	28244	34713	1236501.5	28374	29195	1233807	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	28784.5	0	0
"19"	"Block11"	28244	34713	1236501.5	29651	30799	1235248	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	30225	0	0
"20"	"Block11"	28244	34713	1236501.5	30817	34038	1237450	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	32427.5	0	0
"21"	"Block11"	28244	34713	1236501.5	34300	34695	1239520	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	34497.5	0	0
"22"	"Block12"	34768	44143	1244478.5	34781	35371	1240099	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	35076	0	0
"23"	"Block12"	34768	44143	1244478.5	35377	36162	1240792	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	35769.5	0	0
"24"	"Block12"	34768	44143	1244478.5	36271	37824	1242070	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	37047.5	0	0
"25"	"Block12"	34768	44143	1244478.5	37898	39115	1243529	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	38506.5	0	0
"26"	"Block12"	34768	44143	1244478.5	39244	40386	1244838	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	39815	0	0
"27"	"Block12"	34768	44143	1244478.5	40417	41931	1246197	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	41174	0	0
"28"	"Block12"	34768	44143	1244478.5	42403	43173	1247811	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	42788	0	0
"29"	"Block12"	34768	44143	1244478.5	43188	44129	1248681	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	43658.5	0	0
"30"	"Block13"	44172	45802	1250010	44180	45466	1249846	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	44823	0	0
"31"	"Block13"	44172	45802	1250010	45463	45750	1250629	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	45606.5	0	0
"32"	"Block14"	45804	50310	1253080	45807	47138	1251495	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	46472.5	0	0
"33"	"Block14"	45804	50310	1253080	47246	47776	1252534	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	47511	0	0
"34"	"Block14"	45804	50310	1253080	47769	49631	1253723	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	48700	0	0
"35"	"Block14"	45804	50310	1253080	49823	50302	1255085	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	50062.5	0	0
"36"	"Block15"	50407	58176	1259314.5	51229	51606	1256440	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	51417.5	0	0
"37"	"Block15"	50407	58176	1259314.5	51609	52430	1257042	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	52019.5	0	0
"38"	"Block15"	50407	58176	1259314.5	52427	53416	1257944	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	52921.5	0	0
"39"	"Block15"	50407	58176	1259314.5	53416	54702	1259082	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	54059	0	0
"40"	"Block15"	50407	58176	1259314.5	54755	57109	1260955	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	55932	0	0
"41"	"Block18"	88274	111446	1304883	89634	90092	1294886	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	89863	0	0
"42"	"Block18"	88274	111446	1304883	90094	91035	1295587	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	90564.5	0	0
"43"	"Block18"	88274	111446	1304883	91032	91397	1296237	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	91214.5	0	0
"44"	"Block18"	88274	111446	1304883	91413	93179	1297319	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	92296	0	0
"45"	"Block18"	88274	111446	1304883	93166	94653	1298932	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	93909.5	0	0
"46"	"Block18"	88274	111446	1304883	94650	96008	1300352	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	95329	0	0
"47"	"Block18"	88274	111446	1304883	96002	97084	1301566	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	96543	0	0
"48"	"Block18"	88274	111446	1304883	97087	98403	1302768	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	97745	0	0
"49"	"Block18"	88274	111446	1304883	98403	99647	1304048	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	99025	0	0
"50"	"Block18"	88274	111446	1304883	99644	100711	1305200	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	100177.5	0	0
"51"	"Block18"	88274	111446	1304883	100765	102240	1306525	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	101502.5	0	0
"52"	"Block18"	88274	111446	1304883	102233	103153	1307716	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	102693	0	0
"53"	"Block18"	88274	111446	1304883	103155	103985	1308593	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	103570	0	0
"54"	"Block18"	88274	111446	1304883	103982	105244	1309636	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	104613	0	0
"55"	"Block18"	88274	111446	1304883	105305	106456	1310903	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	105880.5	0	0
"56"	"Block18"	88274	111446	1304883	106557	107474	1312038	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	107015.5	0	0
"57"	"Block18"	88274	111446	1304883	107705	108217	1312984	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	107961	0	0
"58"	"Block18"	88274	111446	1304883	108279	110984	1314654	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	109631.5	0	0
"59"	"Block18"	88274	111446	1304883	111044	111433	1316261	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	111238.5	0	0
"60"	"Block22"	111644	121561	1321625.5	111649	111846	1316770	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	111747.5	0	0
"61"	"Block22"	111644	121561	1321625.5	111856	112599	1317250	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	112227.5	0	0
"62"	"Block22"	111644	121561	1321625.5	112599	113219	1317932	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	112909	0	0
"63"	"Block22"	111644	121561	1321625.5	113444	114487	1318988	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	113965.5	0	0
"64"	"Block22"	111644	121561	1321625.5	114522	115724	1320146	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	115123	0	0
"65"	"Block22"	111644	121561	1321625.5	117109	117549	1322352	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	117329	0	0
"66"	"Block22"	111644	121561	1321625.5	117752	118645	1323221	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	118198.5	0	0
"67"	"Block22"	111644	121561	1321625.5	118733	119284	1324031	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	119008.5	0	0
"68"	"Block22"	111644	121561	1321625.5	119281	120135	1324731	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	119708	0	0
"69"	"Block22"	111644	121561	1321625.5	120178	121551	1325887	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	120864.5	0	0
"70"	"Block24"	121743	127734	1329761.5	122092	122856	1327497	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	122474	0	0
"71"	"Block24"	121743	127734	1329761.5	123017	125680	1329371	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	124348.5	0	0
"72"	"Block24"	121743	127734	1329761.5	125695	127587	1331664	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	126641	0	0
"73"	"Block26"	127882	129362	1333645	127912	129336	1333647	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	128624	0	0
"74"	"Block29"	130318	138673	1339518.5	131615	134212	1337936	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	132913.5	0	0
"75"	"Block29"	130318	138673	1339518.5	134388	134750	1339592	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	134569	0	0
"76"	"Block29"	130318	138673	1339518.5	134788	135582	1340208	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	135185	0	0
"77"	"Block29"	130318	138673	1339518.5	135598	136464	1341054	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	136031	0	0
"78"	"Block29"	130318	138673	1339518.5	136570	136917	1341766	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	136743.5	0	0
"79"	"Block29"	130318	138673	1339518.5	137083	138633	1342881	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	137858	0	0
"80"	"Block31"	138806	147718	1348285	138835	141225	1345053	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	140030	0	0
"81"	"Block31"	138806	147718	1348285	141431	141967	1346722	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	141699	0	0
"82"	"Block31"	138806	147718	1348285	142008	142670	1347362	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	142339	0	0
"83"	"Block31"	138806	147718	1348285	142779	143705	1348265	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	143242	0	0
"84"	"Block31"	138806	147718	1348285	143702	144472	1349110	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	144087	0	0
"85"	"Block31"	138806	147718	1348285	144577	145017	1349820	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	144797	0	0
"86"	"Block31"	138806	147718	1348285	145081	146310	1350718	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	145695.5	0	0
"87"	"Block31"	138806	147718	1348285	146314	146694	1351527	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	146504	0	0
"88"	"Block35"	147906	150781	1354366.5	147944	148795	1353392	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	148369.5	0	0
"89"	"Block35"	147906	150781	1354366.5	148807	149601	1354227	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	149204	0	0
"90"	"Block36"	150902	153677	1357312.5	151003	151599	1356324	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	151301	0	0
"91"	"Block36"	150902	153677	1357312.5	151626	152231	1356951	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	151928.5	0	0
"92"	"Block36"	150902	153677	1357312.5	152243	152812	1357550	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	152527.5	0	0
"93"	"Block38"	155418	156239	1360851.5	155461	156201	1360854	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	155831	0	0
"94"	"Block41"	157226	164531	1365901.5	157253	157732	1362515	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	157492.5	0	0
"95"	"Block41"	157226	164531	1365901.5	157729	159126	1363450	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	158427.5	0	0
"96"	"Block41"	157226	164531	1365901.5	160149	160604	1365399	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	160376.5	0	0
"97"	"Block41"	157226	164531	1365901.5	160782	161486	1366157	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	161134	0	0
"98"	"Block41"	157226	164531	1365901.5	161501	162031	1366789	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	161766	0	0
"99"	"Block42"	164649	168510	1371602.5	164730	167264	1371020	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	165997	0	0
"100"	"Block43"	168627	173445	1376059	169778	170575	1375199	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	170176.5	0	0
"101"	"Block43"	168627	173445	1376059	170575	171465	1376043	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	171020	0	0
"102"	"Block43"	168627	173445	1376059	171462	173444	1377476	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	172453	0	0
"103"	"Block46"	173600	183621	1383633.5	173602	174882	1379265	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	174242	0	0
"104"	"Block46"	173600	183621	1383633.5	175107	176528	1380840	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	175817.5	0	0
"105"	"Block46"	173600	183621	1383633.5	176610	176954	1381805	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	176782	0	0
"106"	"Block46"	173600	183621	1383633.5	177001	177624	1382335	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	177312.5	0	0
"107"	"Block46"	173600	183621	1383633.5	177662	178462	1383085	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	178062	0	0
"108"	"Block46"	173600	183621	1383633.5	178455	179153	1383827	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	178804	0	0
"109"	"Block46"	173600	183621	1383633.5	179237	180754	1385018	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	179995.5	0	0
"110"	"Block46"	173600	183621	1383633.5	180884	182308	1386619	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	181596	0	0
"111"	"Block46"	173600	183621	1383633.5	182463	183620	1388064	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	183041.5	0	0
"112"	"Block47"	183707	184244	1388998.5	183709	184095	1388925	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	183902	0	0
"113"	"Block48"	185087	190604	1392868.5	185123	185947	1390558	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	185535	0	0
"114"	"Block48"	185087	190604	1392868.5	185978	188650	1392337	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	187314	0	0
"115"	"Block48"	185087	190604	1392868.5	188712	189506	1394132	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	1	"block_w_pvalue"	1	"no"	1	189109	0	0
"116"	"Block48"	185087	190604	1392868.5	189874	190599	1395259	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	190236.5	0	0
"117"	"Block49"	190738	192629	1396706.5	190857	191708	1396305	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	191282.5	0	0
"118"	"Block49"	190738	192629	1396706.5	191855	192580	1397240	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	192217.5	0	0
"119"	"Block50"	192775	216000	1409410.5	192872	193429	1398173	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	193150.5	0	0
"120"	"Block50"	192775	216000	1409410.5	193521	194717	1399142	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	194119	0	0
"121"	"Block50"	192775	216000	1409410.5	194903	195664	1400306	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	195283.5	0	0
"122"	"Block50"	192775	216000	1409410.5	195677	196534	1401128	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	196105.5	0	0
"123"	"Block50"	192775	216000	1409410.5	196546	197898	1402245	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	197222	0	0
"124"	"Block50"	192775	216000	1409410.5	197928	200360	1404167	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	199144	0	0
"125"	"Block50"	192775	216000	1409410.5	200482	200967	1405747	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	200724.5	0	0
"126"	"Block50"	192775	216000	1409410.5	200971	201996	1406506	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	201483.5	0	0
"127"	"Block50"	192775	216000	1409410.5	202101	202556	1407351	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	"K12MG"	0	"block_w_pvalue"	1	"no"	1	202328.5	0	0
