locus_tag,gene_id,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_locus_tag,gbk_strand,norm_exp,block,taxa,start,end,rev_comp,inversion,strain,gbk_old_locus_tag
,DR76_RS00230,52115,52513,52314,,,0,28.554332419075397,Block619,CP009072,50938,58116,0,0,ATCC,DR76_45
,DR76_RS00235,52510,53205,52857,,,0,28.5699137989172,Block619,CP009072,50938,58116,0,0,ATCC,DR76_46
,DR76_RS00240,53335,54219,53777,,,0,77.08239656642509,Block619,CP009072,50938,58116,0,0,ATCC,DR76_47
,DR76_RS00245,54369,55088,54728,,,0,18.1246015207813,Block619,CP009072,50938,58116,0,0,ATCC,DR76_48
,DR76_RS00250,55091,55330,55210,,,0,13.8626820696957,Block619,CP009072,50938,58116,0,0,ATCC,DR76_49
,DR76_RS00255,55524,56762,56143,,,0,414.40907149261693,Block619,CP009072,50938,58116,0,0,ATCC,DR76_50
,DR76_RS00260,56756,57991,57373,,,0,403.276317431328,Block619,CP009072,50938,58116,0,0,ATCC,DR76_51
,DR76_RS00265,58234,59244,58739,,,1,31.2426590431359,Block621,CP009072,58182,59897,0,0,ATCC,DR76_52
,DR76_RS00275,60841,61839,61340,,,1,182.618882302715,Block622,CP009072,59925,68356,0,0,ATCC,DR76_54
,DR76_RS00280,62119,63159,62639,,,1,56.032059258738,Block622,CP009072,59925,68356,0,0,ATCC,DR76_55
,DR76_RS00285,63149,63352,63250,,,0,0.35427432237446005,Block622,CP009072,59925,68356,0,0,ATCC,
,DR76_RS00290,63301,64458,63879,,,1,44.901338387987394,Block622,CP009072,59925,68356,0,0,ATCC,DR76_56
,DR76_RS00295,64475,65143,64809,,,1,260.692995372271,Block622,CP009072,59925,68356,0,0,ATCC,DR76_57
,DR76_RS00300,65297,65473,65385,,,0,0.27439641681739,Block622,CP009072,59925,68356,0,0,ATCC,
,DR76_RS00305,65401,66237,65819,,,0,148.01457953688802,Block622,CP009072,59925,68356,0,0,ATCC,DR76_58
,DR76_RS00310,66269,68260,67264,,,1,17.134415923948698,Block622,CP009072,59925,68356,0,0,ATCC,DR76_59
,DR76_RS00320,68552,70021,69286,,,1,93.6967306556839,Block623,CP009072,68358,73185,0,0,ATCC,DR76_60
,DR76_RS00325,70226,71107,70666,,,1,180.99054415846402,Block623,CP009072,68358,73185,0,0,ATCC,DR76_61
,DR76_RS00330,71206,72255,71730,,,0,34.4823618460243,Block623,CP009072,68358,73185,0,0,ATCC,DR76_62
,DR76_RS00340,73190,74278,73734,,,0,60.441815265749,Block624,CP009072,73188,74300,0,0,ATCC,DR76_64
,DR76_RS00345,74546,75487,75016,rihB,,1,40.4128884987687,Block627,CP009072,74379,98581,0,0,ATCC,DR76_65
,DR76_RS00350,75617,76315,75966,,,0,12.4543705355386,Block627,CP009072,74379,98581,0,0,ATCC,DR76_66
,DR76_RS00355,76382,77632,77007,,,1,18.0981796652107,Block627,CP009072,74379,98581,0,0,ATCC,DR76_67
,DR76_RS00360,77726,78664,78195,,,1,25.9035192684345,Block627,CP009072,74379,98581,0,0,ATCC,DR76_68
,DR76_RS00365,78652,79593,79122,,,1,10.7893823988341,Block627,CP009072,74379,98581,0,0,ATCC,DR76_69
,DR76_RS00370,80049,81740,80894,,,1,50.9962995717684,Block627,CP009072,74379,98581,0,0,ATCC,DR76_70
,DR76_RS00375,81757,82695,82226,,,1,32.0275287126782,Block627,CP009072,74379,98581,0,0,ATCC,DR76_71
,DR76_RS00380,82695,83825,83260,,,1,56.7179964761578,Block627,CP009072,74379,98581,0,0,ATCC,DR76_72
,DR76_RS00385,84192,85373,84782,,,0,20.3831795595053,Block627,CP009072,74379,98581,0,0,ATCC,DR76_74
,DR76_RS00390,85370,85624,85497,,,1,16.351938236312403,Block627,CP009072,74379,98581,0,0,ATCC,DR76_73
,DR76_RS00395,85779,86351,86065,,,0,65.9633198735359,Block627,CP009072,74379,98581,0,0,ATCC,DR76_75
,DR76_RS00400,86574,88040,87307,,,0,450.97404993914495,Block627,CP009072,74379,98581,0,0,ATCC,DR76_76
,DR76_RS00405,88158,89144,88651,,,0,30.702546720952306,Block627,CP009072,74379,98581,0,0,ATCC,DR76_77
,DR76_RS00410,89183,89896,89539,,,0,15.7580517271161,Block627,CP009072,74379,98581,0,0,ATCC,DR76_78
,DR76_RS00415,90308,90874,90591,,,0,393.073286804605,Block627,CP009072,74379,98581,0,0,ATCC,DR76_79
,DR76_RS00420,91055,92611,91833,,,0,109.865371177682,Block627,CP009072,74379,98581,0,0,ATCC,DR76_80
,DR76_RS00425,92693,94507,93600,,,0,71.6718297853472,Block627,CP009072,74379,98581,0,0,ATCC,DR76_81
,DR76_RS00430,94508,95602,95055,,,0,30.5742933363975,Block627,CP009072,74379,98581,0,0,ATCC,DR76_82
,DR76_RS00435,95602,96627,96114,,,0,41.1860518062591,Block627,CP009072,74379,98581,0,0,ATCC,DR76_83
,DR76_RS00440,96629,98218,97423,,,0,101.375742415644,Block627,CP009072,74379,98581,0,0,ATCC,DR76_84
,DR76_RS00445,98222,98566,98394,,,1,239.973938233054,Block627,CP009072,74379,98581,0,0,ATCC,DR76_85
,DR76_RS00450,98900,100090,99495,,,1,87.3470184106468,Block628,CP009072,98590,106619,0,0,ATCC,DR76_86
,DR76_RS00455,100118,100813,100465,,,1,132.800663453334,Block628,CP009072,98590,106619,0,0,ATCC,DR76_87
,DR76_RS00460,100963,102723,101843,,,0,66.6252942121972,Block628,CP009072,98590,106619,0,0,ATCC,DR76_88
,DR76_RS00465,102848,103132,102990,,,0,194.176139355629,Block628,CP009072,98590,106619,0,0,ATCC,DR76_89
,DR76_RS00470,103271,104278,103774,,,1,164.175278660019,Block628,CP009072,98590,106619,0,0,ATCC,DR76_90
,DR76_RS00475,104460,104687,104573,,,0,50.972229043762596,Block628,CP009072,98590,106619,0,0,ATCC,DR76_91
,DR76_RS00485,106542,106618,106580,,,0,12.9252540646066,Block628,CP009072,98590,106619,0,0,ATCC,DR76_93
,DR76_RS00615,119175,119432,119303,,,1,0.3571112150455989,Block633,CP009072,119077,120124,0,0,ATCC,
,DR76_RS00620,119464,120111,119787,,,0,34.685792886364304,Block633,CP009072,119077,120124,0,0,ATCC,DR76_115
,DR76_RS00625,120146,121198,120672,,,1,65.4672631017951,Block636,CP009072,120125,133185,0,0,ATCC,DR76_116
,DR76_RS00630,121195,121752,121473,,,1,32.7635779924576,Block636,CP009072,120125,133185,0,0,ATCC,DR76_117
,DR76_RS00635,121749,123692,122720,,,1,95.7760940803043,Block636,CP009072,120125,133185,0,0,ATCC,DR76_118
,DR76_RS00640,123689,124168,123928,,,1,28.0702164323727,Block636,CP009072,120125,133185,0,0,ATCC,DR76_119
,DR76_RS00645,124165,124374,124269,,,1,5.66015355730528,Block636,CP009072,120125,133185,0,0,ATCC,DR76_120
,DR76_RS00650,124371,125108,124739,,,1,45.261518513332604,Block636,CP009072,120125,133185,0,0,ATCC,DR76_121
,DR76_RS00655,125150,125812,125481,,,1,30.9101063265601,Block636,CP009072,120125,133185,0,0,ATCC,DR76_122
,DR76_RS00660,125809,126432,126120,,,1,40.5138110817309,Block636,CP009072,120125,133185,0,0,ATCC,DR76_123
,DR76_RS00665,126445,127047,126746,,,1,56.548481374132614,Block636,CP009072,120125,133185,0,0,ATCC,DR76_124
,DR76_RS00670,127057,127506,127281,napB,,1,18.1201548184873,Block636,CP009072,120125,133185,0,0,ATCC,DR76_125
,DR76_RS00675,127503,128366,127934,,,1,19.8996137274573,Block636,CP009072,120125,133185,0,0,ATCC,DR76_126
,DR76_RS00680,128353,129048,128700,,,1,26.2629172214965,Block636,CP009072,120125,133185,0,0,ATCC,DR76_127
,DR76_RS00685,129055,131541,130298,,,1,199.80188419344003,Block636,CP009072,120125,133185,0,0,ATCC,DR76_128
,DR76_RS00690,131538,131801,131669,,,1,6.36700867839129,Block636,CP009072,120125,133185,0,0,ATCC,DR76_129
,DR76_RS00695,131791,132285,132038,,,1,32.387223272917,Block636,CP009072,120125,133185,0,0,ATCC,DR76_130
,DR76_RS00700,132385,132558,132471,,,0,0.321925133983694,Block636,CP009072,120125,133185,0,0,ATCC,DR76_131
,DR76_RS00705,132693,133181,132937,,,0,324.21200204580504,Block636,CP009072,120125,133185,0,0,ATCC,DR76_132
,DR76_RS00710,133331,134977,134154,,,1,62.492305074060106,Block637,CP009072,133236,140045,0,0,ATCC,DR76_133
,DR76_RS00715,135195,136838,136016,,,1,15.3823524061198,Block637,CP009072,133236,140045,0,0,ATCC,DR76_134
,DR76_RS00720,136914,137564,137239,,,1,4.74021334885759,Block637,CP009072,133236,140045,0,0,ATCC,DR76_135
,DR76_RS00725,137564,138628,138096,,,1,19.6492471843045,Block637,CP009072,133236,140045,0,0,ATCC,DR76_136
,DR76_RS00730,138702,139757,139229,,,1,16.774467816232,Block637,CP009072,133236,140045,0,0,ATCC,DR76_137
,DR76_RS00745,141735,144407,143071,,,0,493.6716751633,Block641,CP009072,140481,145164,0,0,ATCC,DR76_139
,DR76_RS00750,144424,145074,144749,,,0,535.040089397287,Block641,CP009072,140481,145164,0,0,ATCC,DR76_140
,DR76_RS00760,148176,150002,149089,,,0,89.3475444601866,Block643,CP009072,145166,168434,0,0,ATCC,DR76_142
,DR76_RS00765,149999,151384,150691,,,0,107.546603648661,Block643,CP009072,145166,168434,0,0,ATCC,DR76_143
,DR76_RS00770,151580,152242,151911,,,0,5.94888274106675,Block643,CP009072,145166,168434,0,0,ATCC,DR76_144
,DR76_RS00775,152242,152892,152567,,,0,1.31012059997656,Block643,CP009072,145166,168434,0,0,ATCC,DR76_145
,DR76_RS00780,152889,154211,153550,,,0,4.10203686623248,Block643,CP009072,145166,168434,0,0,ATCC,DR76_146
,DR76_RS00785,154242,155426,154834,,,0,5.55332517137238,Block643,CP009072,145166,168434,0,0,ATCC,DR76_147
,DR76_RS00790,155500,156276,155888,,,1,4.62174078506336,Block643,CP009072,145166,168434,0,0,ATCC,DR76_148
,DR76_RS00795,156281,157930,157105,,,1,7.72976009637231,Block643,CP009072,145166,168434,0,0,ATCC,DR76_149
,DR76_RS00800,157931,162550,160240,,,1,17.2477648570554,Block643,CP009072,145166,168434,0,0,ATCC,DR76_150
,DR76_RS00805,162469,163092,162780,,,1,1.60778384266718,Block643,CP009072,145166,168434,0,0,ATCC,DR76_151
,DR76_RS00810,163089,164777,163933,,,1,12.4423029767616,Block643,CP009072,145166,168434,0,0,ATCC,DR76_152
,DR76_RS00815,164926,167553,166239,,,1,946.607132561288,Block643,CP009072,145166,168434,0,0,ATCC,DR76_153
,DR76_RS00820,167700,168422,168061,,,0,60.5914936489258,Block643,CP009072,145166,168434,0,0,ATCC,DR76_154
,DR76_RS00825,168562,172320,170441,,,1,36.2419409764469,Block644,CP009072,168457,172345,0,0,ATCC,DR76_155
,DR76_RS00835,173003,175288,174145,,,0,977.3855074074839,Block646,CP009072,172983,175310,0,0,ATCC,DR76_156
,DR76_RS00840,175478,176608,176043,,,0,537.771041098666,Block647,CP009072,175452,177580,0,0,ATCC,DR76_157
,DR76_RS00845,176608,176862,176735,,,0,52.3619715964606,Block647,CP009072,175452,177580,0,0,ATCC,DR76_158
,DR76_RS00850,176916,177566,177241,,,1,36.9330448842533,Block647,CP009072,175452,177580,0,0,ATCC,DR76_159
,DR76_RS00855,177769,178845,178307,,,1,49.8641210377905,Block649,CP009072,177751,185497,0,0,ATCC,DR76_160
,DR76_RS00860,178850,180208,179529,,,1,24.672494401731896,Block649,CP009072,177751,185497,0,0,ATCC,DR76_161
,DR76_RS00865,180481,182109,181295,,,0,7.42358617566828,Block649,CP009072,177751,185497,0,0,ATCC,DR76_162
,DR76_RS00870,182099,183358,182728,,,0,3.9597257920609,Block649,CP009072,177751,185497,0,0,ATCC,DR76_163
,DR76_RS00875,183355,184545,183950,,,0,6.09856112424351,Block649,CP009072,177751,185497,0,0,ATCC,DR76_164
,DR76_RS00890,186526,187815,187170,,,1,3.38908457888846,Block652,CP009072,185596,210169,0,0,ATCC,DR76_167
,DR76_RS00895,187872,189077,188474,,,1,26.2800031670717,Block652,CP009072,185596,210169,0,0,ATCC,DR76_168
,DR76_RS00900,189092,189874,189483,,,1,5.63320307692945,Block652,CP009072,185596,210169,0,0,ATCC,DR76_169
,DR76_RS00905,190094,191296,190695,,,1,261.927868916198,Block652,CP009072,185596,210169,0,0,ATCC,DR76_170
,DR76_RS00910,191396,191938,191667,,,1,9.470200966189411,Block652,CP009072,185596,210169,0,0,ATCC,DR76_171
,DR76_RS00915,192217,192642,192429,,,0,93.8538576565481,Block652,CP009072,185596,210169,0,0,ATCC,DR76_172
,DR76_RS00920,192681,193283,192982,,,1,52.315524064112,Block652,CP009072,185596,210169,0,0,ATCC,DR76_173
,DR76_RS00925,193591,194730,194160,,,0,318.004031595793,Block652,CP009072,185596,210169,0,0,ATCC,DR76_174
,DR76_RS00930,194734,195702,195218,,,0,139.490929592646,Block652,CP009072,185596,210169,0,0,ATCC,DR76_175
,DR76_RS00935,195702,197684,196693,,,0,325.717102786941,Block652,CP009072,185596,210169,0,0,ATCC,DR76_176
,DR76_RS00940,197681,198571,198126,,,0,72.0873915019702,Block652,CP009072,185596,210169,0,0,ATCC,DR76_177
,DR76_RS00945,198571,200223,199397,,,0,74.7232140817651,Block652,CP009072,185596,210169,0,0,ATCC,DR76_178
,DR76_RS00950,200220,200555,200387,,,0,10.3131001617512,Block652,CP009072,185596,210169,0,0,ATCC,DR76_179
,DR76_RS00955,200555,200941,200748,,,0,12.3062373724364,Block652,CP009072,185596,210169,0,0,ATCC,DR76_181
,DR76_RS00960,200935,201201,201068,,,1,19.144426187072398,Block652,CP009072,185596,210169,0,0,ATCC,DR76_180
,DR76_RS00965,201311,202666,201988,,,1,57.8693132707412,Block652,CP009072,185596,210169,0,0,ATCC,DR76_182
,DR76_RS00970,202663,203625,203144,,,1,88.7815986860706,Block652,CP009072,185596,210169,0,0,ATCC,DR76_183
,DR76_RS00975,203625,204482,204053,,,1,127.33595407244499,Block652,CP009072,185596,210169,0,0,ATCC,DR76_184
,DR76_RS00980,204497,205255,204876,,,1,15.8405966919065,Block652,CP009072,185596,210169,0,0,ATCC,DR76_185
,DR76_RS00985,205252,206922,206087,,,1,106.75281904468099,Block652,CP009072,185596,210169,0,0,ATCC,DR76_186
,DR76_RS00990,207011,208306,207658,,,1,80.3832217408397,Block652,CP009072,185596,210169,0,0,ATCC,DR76_187
,DR76_RS00995,208385,208690,208537,,,1,24.8379024683389,Block652,CP009072,185596,210169,0,0,ATCC,DR76_188
,DR76_RS01000,208745,209206,208975,,,1,25.906547524392906,Block652,CP009072,185596,210169,0,0,ATCC,DR76_189
,DR76_RS01025,213834,215291,214562,,,1,160.553437297642,Block656,CP009072,213798,246405,0,0,ATCC,DR76_194
,DR76_RS01030,215298,216827,216062,,,1,184.12902296049802,Block656,CP009072,213798,246405,0,0,ATCC,DR76_195
,DR76_RS01035,216991,218832,217911,,,1,265.848043233586,Block656,CP009072,213798,246405,0,0,ATCC,DR76_196
,DR76_RS01040,218829,219131,218980,,,1,18.1698219700817,Block656,CP009072,213798,246405,0,0,ATCC,DR76_197
,DR76_RS01045,219128,219682,219405,,,1,72.67575252941249,Block656,CP009072,213798,246405,0,0,ATCC,DR76_198
,DR76_RS01050,219694,220236,219965,,,1,71.72572834074109,Block656,CP009072,213798,246405,0,0,ATCC,DR76_199
,DR76_RS01055,220251,221228,220739,,,1,114.13158421675699,Block656,CP009072,213798,246405,0,0,ATCC,DR76_200
,DR76_RS01060,221225,223951,222588,,,1,422.904110871087,Block656,CP009072,213798,246405,0,0,ATCC,DR76_201
,DR76_RS01065,224004,225341,224672,,,1,365.276275549627,Block656,CP009072,213798,246405,0,0,ATCC,DR76_202
,DR76_RS01070,225338,225838,225588,,,1,168.775446142872,Block656,CP009072,213798,246405,0,0,ATCC,DR76_203
,DR76_RS01075,225841,227631,226736,,,1,736.056701900211,Block656,CP009072,213798,246405,0,0,ATCC,DR76_204
,DR76_RS01080,227737,228399,228068,,,1,374.255909382203,Block656,CP009072,213798,246405,0,0,ATCC,DR76_205
,DR76_RS01085,228415,228858,228636,,,1,274.920347329305,Block656,CP009072,213798,246405,0,0,ATCC,DR76_206
,DR76_RS01090,229488,230426,229957,,,1,88.4576451722638,Block656,CP009072,213798,246405,0,0,ATCC,DR76_208
,DR76_RS01095,231346,232563,231954,,,0,240.84971283645402,Block656,CP009072,213798,246405,0,0,ATCC,DR76_209
,DR76_RS01100,232647,233246,232946,,,0,87.87929698321051,Block656,CP009072,213798,246405,0,0,ATCC,DR76_210
,DR76_RS01105,233305,235137,234221,,,1,305.608456039423,Block656,CP009072,213798,246405,0,0,ATCC,DR76_211
,DR76_RS01110,235224,235874,235549,,,1,201.277922360337,Block656,CP009072,213798,246405,0,0,ATCC,DR76_212
,DR76_RS01115,235885,236379,236132,,,1,228.85381860433102,Block656,CP009072,213798,246405,0,0,ATCC,DR76_213
,DR76_RS01120,236461,236916,236688,,,1,155.175583307038,Block656,CP009072,213798,246405,0,0,ATCC,DR76_214
,DR76_RS01130,237254,238456,237855,,,0,1639.25460816469,Block656,CP009072,213798,246405,0,0,ATCC,DR76_215
,DR76_RS01135,238531,240675,239603,,,0,2179.11290850342,Block656,CP009072,213798,246405,0,0,ATCC,DR76_216
,DR76_RS01140,240865,242385,241625,,,0,20.3449867523344,Block656,CP009072,213798,246405,0,0,ATCC,DR76_217
,DR76_RS01145,242418,242960,242689,,,1,126.457237332484,Block656,CP009072,213798,246405,0,0,ATCC,DR76_218
,DR76_RS01150,243018,243572,243295,,,1,103.997083924907,Block656,CP009072,213798,246405,0,0,ATCC,DR76_219
,DR76_RS01155,243625,244269,243947,,,1,97.93883251241259,Block656,CP009072,213798,246405,0,0,ATCC,DR76_220
,DR76_RS01160,244405,245052,244728,,,0,2.33392552794705,Block656,CP009072,213798,246405,0,0,ATCC,DR76_221
,DR76_RS01165,245109,245471,245290,,,0,56.4939034849873,Block656,CP009072,213798,246405,0,0,ATCC,DR76_222
,DR76_RS01170,245492,246385,245938,,,0,140.401873557974,Block656,CP009072,213798,246405,0,0,ATCC,DR76_223
,DR76_RS01175,246544,247317,246930,,,1,31.1003910286632,Block657,CP009072,246438,253744,0,0,ATCC,DR76_224
,DR76_RS01180,247325,248041,247683,,,1,15.8716972673996,Block657,CP009072,246438,253744,0,0,ATCC,DR76_225
,DR76_RS01185,248038,248724,248381,,,1,24.1738136304567,Block657,CP009072,246438,253744,0,0,ATCC,DR76_226
,DR76_RS01190,248814,249596,249205,,,1,95.70170100216,Block657,CP009072,246438,253744,0,0,ATCC,DR76_227
,DR76_RS01195,249817,250599,250208,,,1,18.934177992381894,Block657,CP009072,246438,253744,0,0,ATCC,
,DR76_RS01200,250865,251434,251149,,,1,37.5312297921551,Block657,CP009072,246438,253744,0,0,ATCC,DR76_230
,DR76_RS01205,251529,253046,252287,,,1,163.167815754324,Block657,CP009072,246438,253744,0,0,ATCC,DR76_231
,DR76_RS01210,253083,253571,253327,,,1,101.92392050507601,Block657,CP009072,246438,253744,0,0,ATCC,DR76_232
,DR76_RS01215,254103,254765,254434,,,1,143.000582110058,Block660,CP009072,254077,266856,0,0,ATCC,DR76_233
,DR76_RS01220,254755,256023,255389,,,1,132.202964110538,Block660,CP009072,254077,266856,0,0,ATCC,DR76_234
,DR76_RS01225,256093,257007,256550,,,1,424.008391729684,Block660,CP009072,254077,266856,0,0,ATCC,DR76_235
,DR76_RS01230,257163,257822,257492,,,1,36.29260319346111,Block660,CP009072,254077,266856,0,0,ATCC,DR76_236
,DR76_RS01235,257905,258717,258311,,,1,32.918401536171395,Block660,CP009072,254077,266856,0,0,ATCC,DR76_237
,DR76_RS01240,258717,259730,259223,,,1,128.714270151134,Block660,CP009072,254077,266856,0,0,ATCC,DR76_238
,DR76_RS01245,259796,260932,260364,,,1,222.36493119032798,Block660,CP009072,254077,266856,0,0,ATCC,DR76_239
,DR76_RS01250,261031,262026,261528,flk,,0,60.5719535372541,Block660,CP009072,254077,266856,0,0,ATCC,DR76_241
,DR76_RS01255,262023,263201,262612,,,1,31.817407291726603,Block660,CP009072,254077,266856,0,0,ATCC,DR76_240
,DR76_RS01260,263466,264686,264076,,,1,1595.07592145775,Block660,CP009072,254077,266856,0,0,ATCC,DR76_242
,DR76_RS01265,264845,266851,265848,,,0,131.360296932605,Block660,CP009072,254077,266856,0,0,ATCC,DR76_243
,DR76_RS01270,266972,267250,267111,,,1,39.8144715732385,Block663,CP009072,266931,272237,0,0,ATCC,DR76_244
,DR76_RS01275,267284,267832,267558,,,1,51.0150575111571,Block663,CP009072,266931,272237,0,0,ATCC,DR76_245
,DR76_RS01280,267832,268641,268236,,,1,34.8382029183228,Block663,CP009072,266931,272237,0,0,ATCC,DR76_246
,DR76_RS01285,268641,269465,269053,,,1,59.6893163144469,Block663,CP009072,266931,272237,0,0,ATCC,DR76_247
,DR76_RS01290,269469,270554,270011,,,1,123.40686722597799,Block663,CP009072,266931,272237,0,0,ATCC,DR76_248
,DR76_RS01295,270589,271521,271055,,,1,111.359571664256,Block663,CP009072,266931,272237,0,0,ATCC,DR76_249
,DR76_RS01320,273941,274420,274180,,,1,1.6458068164002202,Block666,CP009072,273939,278360,0,0,ATCC,DR76_253
,DR76_RS01325,274417,274920,274668,,,1,1.94446512451068,Block666,CP009072,273939,278360,0,0,ATCC,DR76_254
,DR76_RS01330,274937,275689,275313,,,1,4.67678511482324,Block666,CP009072,273939,278360,0,0,ATCC,DR76_255
,DR76_RS01335,275709,278357,277033,,,1,11.0931643376321,Block666,CP009072,273939,278360,0,0,ATCC,DR76_256
,DR76_RS01340,278438,279004,278721,,,1,3.5555092407647204,Block667,CP009072,278362,279038,0,0,ATCC,DR76_257
,DR76_RS01350,280259,282403,281331,,,1,349.224270574887,Block668,CP009072,279577,285092,0,0,ATCC,DR76_259
,DR76_RS01355,282403,283713,283058,,,1,231.425880499289,Block668,CP009072,279577,285092,0,0,ATCC,DR76_260
,DR76_RS01360,283893,284177,284035,,,1,456.90257924497706,Block668,CP009072,279577,285092,0,0,ATCC,DR76_261
,DR76_RS01370,285951,286706,286328,,,1,182.690971923709,Block671,CP009072,285909,288082,0,0,ATCC,DR76_263
,DR76_RS01375,287000,287932,287466,,,0,7.637116173795119,Block671,CP009072,285909,288082,0,0,ATCC,DR76_264
,DR76_RS01415,301516,302853,302184,,,0,18.3416883996718,Block674,CP009072,300376,304296,0,0,ATCC,DR76_272
,DR76_RS01420,302871,304199,303535,,,0,52.390491232118215,Block674,CP009072,300376,304296,0,0,ATCC,DR76_273
,DR76_RS01425,304307,305845,305076,emrB,,1,5.57758706266546,Block675,CP009072,304304,317937,0,0,ATCC,DR76_274
,DR76_RS01430,305845,307008,306426,,,1,3.54458505099589,Block675,CP009072,304304,317937,0,0,ATCC,DR76_275
,DR76_RS01435,307424,308038,307731,,,0,368.966374574906,Block675,CP009072,304304,317937,0,0,ATCC,DR76_276
,DR76_RS01440,308043,311636,309839,,,0,336.221379877684,Block675,CP009072,304304,317937,0,0,ATCC,DR76_277
