ATCC_names,DH_names,BW_names,MG_names
DR76_RS13975,ECDH10B_RS00770,BW25113_RS00865,b0173
DR76_RS24195,ECDH10B_RS01570,BW25113_RS01650,b0320
DR76_RS23380,ECDH10B_RS02350,BW25113_RS02590,b0503
DR76_RS22165,ECDH10B_RS04355,BW25113_RS04050,b0780
DR76_RS20075,ECDH10B_RS06030,BW25113_RS05710,b1097
DR76_RS19995,ECDH10B_RS06110,BW25113_RS05790,b1113
DR76_RS18485,ECDH10B_RS07080,BW25113_RS06580,b1262
DR76_RS18450,ECDH10B_RS07115,BW25113_RS06615,b1270
DR76_RS18180,ECDH10B_RS07390,BW25113_RS06900,b1317
DR76_RS17765,ECDH10B_RS08100,BW25113_RS07605,b1448
DR76_RS17645,ECDH10B_RS08180,BW25113_RS07685,b1465
DR76_RS17635,ECDH10B_RS08190,BW25113_RS07695,b1467
DR76_RS16940,ECDH10B_RS08820,BW25113_RS08315,b1589
DR76_RS16820,ECDH10B_RS08940,BW25113_RS08435,b1612
DR76_RS16750,ECDH10B_RS09005,BW25113_RS08505,b1625
DR76_RS16330,ECDH10B_RS09425,BW25113_RS08925,b1705
DR76_RS15715,ECDH10B_RS10045,BW25113_RS09545,b1823
DR76_RS15615,ECDH10B_RS10145,BW25113_RS09645,b1840
DR76_RS15225,ECDH10B_RS10540,BW25113_RS10035,b1917
DR76_RS08150,ECDH10B_RS10950,BW25113_RS10445,b2000
DR76_RS01510,ECDH10B_RS12945,BW25113_RS12435,b2383
DR76_RS01830,ECDH10B_RS13330,BW25113_RS12815,b2458
DR76_RS01970,ECDH10B_RS13530,BW25113_RS13015,b2495
DR76_RS09880,ECDH10B_RS14725,BW25113_RS14215,b2731
DR76_RS09135,ECDH10B_RS15455,BW25113_RS14930,b2871
DR76_RS09125,ECDH10B_RS15465,BW25113_RS14940,b2873
DR76_RS09120,ECDH10B_RS15470,BW25113_RS14945,b2874
DR76_RS07815,ECDH10B_RS16090,BW25113_RS15535,b2991
DR76_RS06025,ECDH10B_RS17860,BW25113_RS17305,b3339
DR76_RS10475,ECDH10B_RS17860,BW25113_RS17305,b3339
DR76_RS05915,ECDH10B_RS17970,BW25113_RS17415,b3359
DR76_RS05870,ECDH10B_RS18015,BW25113_RS17460,b3368
DR76_RS05470,ECDH10B_RS18370,BW25113_RS17815,b3441
DR76_RS04685,ECDH10B_RS19145,BW25113_RS18590,b3581
DR76_RS04675,ECDH10B_RS19155,BW25113_RS18600,b3583
DR76_RS02580,ECDH10B_RS21070,BW25113_RS20485,b3947
DR76_RS11400,ECDH10B_RS22055,BW25113_RS21455,b4129
DR76_RS24375,ECDH10B_RS01440,BW25113_RS01520,b4506
DR76_RS28570,ECDH10B_RS25465,BW25113_RS25060,b4528
DR76_RS06025,ECDH10B_RS21235,BW25113_RS20650,b3980
DR76_RS10475,ECDH10B_RS21235,BW25113_RS20650,b3980
DR76_RS15630,ECDH10B_RS10130,BW25113_RS09630,b1838
DR76_RS17550,ECDH10B_RS08310,BW25113_RS07815,b1491
DR76_RS20925,ECDH10B_RS16795,BW25113_RS16240,b3132
