block	taxa	start	end	rev_comp	inversion
Block1065	NC_010473	4367025	4376086	0	0
Block1065	U00096	4269306	4278367	0	0
Block1066	NZ_CP009072	2273117	2276376	0	0
Block1066	NZ_CP009273	4268296	4271556	0	0
Block1066	NC_010473	4376087	4379347	0	0
Block1066	U00096	4278368	4281628	0	0
Block1067	NZ_CP009072	2278511	2280595	0	0
Block1067	NZ_CP009273	4273160	4275244	0	0
Block1067	NC_010473	4380951	4383035	0	0
Block1067	U00096	4283232	4285316	0	0
Block1068	NZ_CP009072	2280687	2280710	0	0
Block1068	NZ_CP009273	4275245	4275268	0	0
Block1068	NC_010473	4383036	4383059	0	0
Block1068	U00096	4285317	4285340	0	0
Block1069	NZ_CP009072	2280814	2280841	0	0
Block1069	NZ_CP009273	4275281	4275308	0	0
Block1069	NC_010473	4383072	4383099	0	0
Block1069	U00096	4285353	4285380	0	0
Block1070	NZ_CP009072	2280873	2284900	0	0
Block1070	NZ_CP009273	4275328	4279356	0	0
Block1070	NC_010473	4383119	4387147	0	0
Block1070	U00096	4285400	4289428	0	0
Block1071	NZ_CP009072	2284919	2291305	0	0
Block1071	NZ_CP009273	4279375	4285758	0	0
Block1071	NC_010473	4387943	4394326	0	0
Block1071	U00096	4289447	4295830	0	0
Block1072	NZ_CP009072	2291628	2291672	0	0
Block1072	NZ_CP009273	4285777	4285821	0	0
Block1072	NC_010473	4394345	4394389	0	0
Block1072	U00096	4295849	4295893	0	0
Block1073	NZ_CP009072	2291447	2291479	0	0
Block1073	NZ_CP009273	4285823	4285855	0	0
Block1073	NC_010473	4394391	4394423	0	0
Block1073	U00096	4295895	4295927	0	0
Block1074	NZ_CP009072	2291609	2291785	0	0
Block1074	NZ_CP009273	4285871	4286047	0	0
Block1074	NC_010473	4394439	4394615	0	0
Block1074	U00096	4295943	4296119	0	0
Block1075	NZ_CP009072	2291823	2291852	0	0
Block1075	NZ_CP009273	4286197	4286226	0	0
Block1075	NC_010473	4394765	4394794	0	0
Block1075	U00096	4296380	4296409	0	0
Block1076	NZ_CP009072	2291878	2292566	0	0
Block1076	NZ_CP009273	4286262	4286950	0	0
Block1076	NC_010473	4394830	4395518	0	0
Block1076	U00096	4296445	4297133	0	0
Block1077	NZ_CP009072	2298108	2315087	0	0
Block1077	NZ_CP009273	4287030	4304009	0	0
Block1077	NC_010473	4395598	4412577	0	0
Block1077	U00096	4297213	4314192	0	0
Block1078	NZ_CP009072	2315123	2323592	0	0
Block1078	NZ_CP009273	4304164	4312633	0	0
Block1078	NC_010473	4412732	4421201	0	0
Block1078	U00096	4314347	4322816	0	0
Block1079	NZ_CP009072	2323593	2326570	0	0
Block1079	NZ_CP009273	4312642	4315619	0	0
Block1079	NC_010473	4421210	4424187	0	0
Block1079	U00096	4322825	4325802	0	0
Block107	NZ_CP009072	2962052	2962305	0	0
Block107	NZ_CP009273	375699	375952	0	0
Block107	NC_010473	318798	319051	0	0
Block107	U00096	380243	380496	0	0
Block1081	NZ_CP009072	2326616	2327225	0	0
Block1081	NZ_CP009273	4316163	4316772	0	0
Block1081	NC_010473	4424731	4425340	0	0
Block1081	U00096	4326346	4326955	0	0
Block1082	NZ_CP009072	2327234	2338367	0	0
Block1082	NZ_CP009273	4316780	4327912	0	0
Block1082	NC_010473	4425348	4436480	0	0
Block1082	U00096	4326963	4338095	0	0
Block1083	NZ_CP009072	2338379	2343548	0	0
Block1083	NZ_CP009273	4327913	4333082	0	0
Block1083	NC_010473	4436481	4441650	0	0
Block1083	U00096	4338096	4343265	0	0
Block1084	NZ_CP009072	2343579	2343811	0	0
Block1084	NZ_CP009273	4334758	4334990	0	0
Block1084	NC_010473	4443326	4443558	0	0
Block1084	U00096	4344941	4345173	0	0
Block1085	NZ_CP009072	2343839	2351130	0	0
Block1085	NZ_CP009273	4335026	4342316	0	0
Block1085	NC_010473	4443594	4450884	0	0
Block1085	U00096	4345209	4352499	0	0
Block1086	NZ_CP009072	2351133	2371813	0	0
Block1086	NZ_CP009273	4342317	4362995	0	0
Block1086	NC_010473	4450885	4471563	0	0
Block1086	U00096	4352500	4373178	0	0
Block1088	NZ_CP009072	2371844	2372938	0	0
Block1088	NZ_CP009273	4363179	4364273	0	0
Block1088	NC_010473	4471747	4472841	0	0
Block1088	U00096	4373362	4374456	0	0
Block1089	NZ_CP009072	4462466	4462494	0	0
Block1089	NZ_CP009273	4364324	4364352	0	0
Block1089	NC_010473	4472892	4472920	0	0
Block1089	U00096	4374507	4374535	0	0
Block1090	NZ_CP009072	2372939	2383762	0	0
Block1090	NZ_CP009273	4364434	4375249	0	0
Block1090	NC_010473	4473002	4483817	0	0
Block1090	U00096	4374617	4385432	0	0
Block1091	NZ_CP009072	2383813	2390315	0	0
Block1091	NZ_CP009273	4375863	4382365	0	0
Block1091	NC_010473	4484431	4490933	0	0
Block1091	U00096	4386046	4392548	0	0
Block1092	NZ_CP009072	2390316	2394120	0	0
Block1092	NZ_CP009273	4382477	4386281	0	0
Block1092	NC_010473	4491045	4494849	0	0
Block1092	U00096	4392660	4396464	0	0
Block1093	NZ_CP009072	2394126	2406757	0	0
Block1093	NZ_CP009273	4386293	4398924	0	0
Block1093	NC_010473	4494861	4507492	0	0
Block1093	U00096	4396476	4409107	0	0
Block1094	NZ_CP009072	2406783	2422388	0	0
Block1094	NZ_CP009273	4399039	4414646	0	0
Block1094	NC_010473	4507607	4523214	0	0
Block1094	U00096	4409222	4424829	0	0
Block1095	NZ_CP009072	2422394	2424169	0	0
Block1095	NZ_CP009273	4414651	4416426	0	0
Block1095	NC_010473	4523219	4524994	0	0
Block1095	U00096	4424834	4426609	0	0
Block1096	NZ_CP009072	2433665	2433750	0	0
Block1096	NZ_CP009273	4417415	4417500	0	0
Block1096	NC_010473	4525983	4526068	0	0
Block1096	U00096	4427598	4427683	0	0
Block1097	NZ_CP009072	2434308	2444100	0	0
Block1097	NZ_CP009273	4417516	4427307	0	0
Block1097	NC_010473	4526084	4535875	0	0
Block1097	U00096	4427699	4437490	0	0
Block1098	NZ_CP009072	2444113	2445259	0	0
Block1098	NZ_CP009273	4428540	4429686	0	0
Block1098	NC_010473	4537108	4538254	0	0
Block1098	U00096	4438723	4439869	0	0
Block1099	NZ_CP009072	2445264	2453659	0	0
Block1099	NZ_CP009273	4429692	4438087	0	0
Block1099	NC_010473	4538260	4546655	0	0
Block1099	U00096	4439875	4448270	0	0
Block109	NZ_CP009072	2962335	2962401	0	0
Block109	NZ_CP009273	375982	376048	0	0
Block109	NC_010473	319081	319147	0	0
Block109	U00096	380526	380592	0	0
Block10	NZ_CP009072	2701786	2704302	0	0
Block10	NZ_CP009273	25677	28193	0	0
Block10	NC_010473	25677	28193	0	0
Block10	U00096	25677	28193	0	0
Block1100	NZ_CP009072	2455316	2455441	0	0
Block1100	NZ_CP009273	4438088	4438213	0	0
Block1100	NC_010473	4546656	4546781	0	0
Block1100	U00096	4448271	4448396	0	0
Block1101	NZ_CP009072	2455485	2455553	0	0
Block1101	NZ_CP009273	4438561	4438629	0	0
Block1101	NC_010473	4547129	4547197	0	0
Block1101	U00096	4448744	4448812	0	0
Block1102	NZ_CP009072	2455585	2459236	0	0
Block1102	NZ_CP009273	4438864	4442515	0	0
Block1102	NC_010473	4547432	4551083	0	0
Block1102	U00096	4449047	4452698	0	0
Block1103	NZ_CP009072	2459238	2466026	0	0
Block1103	NZ_CP009273	4442517	4449303	0	0
Block1103	NC_010473	4552531	4559317	0	0
Block1103	U00096	4452700	4459486	0	0
Block1104	NZ_CP009072	2466053	2476933	0	0
Block1104	NZ_CP009273	4449304	4460184	0	0
Block1104	NC_010473	4559318	4570198	0	0
Block1104	U00096	4459487	4470367	0	0
Block1106	NZ_CP009072	2476963	2479186	0	0
Block1106	NZ_CP009273	4460214	4462437	0	0
Block1106	NC_010473	4570228	4572451	0	0
Block1106	U00096	4470397	4472620	0	0
Block1107	NZ_CP009072	2481194	2481305	0	0
Block1107	NZ_CP009273	4467069	4467176	0	0
Block1107	NC_010473	4577083	4577190	0	0
Block1107	U00096	4477252	4477359	0	0
Block1108	NZ_CP009072	2485886	2487187	0	0
Block1108	NZ_CP009273	4467391	4468692	0	0
Block1108	NC_010473	4577405	4578706	0	0
Block1108	U00096	4477574	4478875	0	0
Block1109	NZ_CP009072	2487247	2487357	0	0
Block1109	NZ_CP009273	4468720	4468830	0	0
Block1109	NC_010473	4578734	4578844	0	0
Block1109	U00096	4478903	4479013	0	0
Block1110	NZ_CP009072	2487365	2487758	0	0
Block1110	NZ_CP009273	4468837	4469230	0	0
Block1110	NC_010473	4578851	4579244	0	0
Block1110	U00096	4479020	4479413	0	0
Block1111	NZ_CP009072	2487795	2488222	0	0
Block1111	NZ_CP009273	4469348	4469775	0	0
Block1111	NC_010473	4579362	4579789	0	0
Block1111	U00096	4479531	4479958	0	0
Block1112	NZ_CP009072	2488929	2489217	0	0
Block1112	NZ_CP009273	4470491	4470783	0	0
Block1112	NC_010473	4580505	4580797	0	0
Block1112	U00096	4480674	4480966	0	0
Block1113	NZ_CP009072	2489226	2492629	0	0
Block1113	NZ_CP009273	4470797	4474200	0	0
Block1113	NC_010473	4580811	4584214	0	0
Block1113	U00096	4480980	4484383	0	0
Block1114	NZ_CP009072	2492858	2496841	0	0
Block1114	NZ_CP009273	4474235	4478218	0	0
Block1114	NC_010473	4584249	4588232	0	0
Block1114	U00096	4484418	4488401	0	0
Block1115	NZ_CP009072	2496950	2498499	0	0
Block1115	NZ_CP009273	4478369	4479918	0	0
Block1115	NC_010473	4588383	4589932	0	0
Block1115	U00096	4488552	4490101	0	0
Block1116	NZ_CP009072	2498597	2499890	0	0
Block1116	NZ_CP009273	4485013	4486306	0	0
Block1116	NC_010473	4595027	4596320	0	0
Block1116	U00096	4495196	4496489	0	0
Block111	NZ_CP009072	2962847	2962912	0	0
Block111	NZ_CP009273	376494	376559	0	0
Block111	NC_010473	319593	319658	0	0
Block111	U00096	381038	381103	0	0
Block1123	NZ_CP009072	2509222	2510754	0	0
Block1123	NZ_CP009273	4496952	4498483	0	0
Block1123	NC_010473	4606966	4608497	0	0
Block1123	U00096	4507135	4508666	0	0
Block1127	NZ_CP009072	2511196	2521120	0	0
Block1127	NZ_CP009273	4499132	4509055	0	0
Block1127	NC_010473	4609146	4619069	0	0
Block1127	U00096	4509315	4519238	0	0
Block1128	NZ_CP009072	2557887	2571914	0	0
Block1128	NZ_CP009273	4509056	4523082	0	0
Block1128	NC_010473	4619070	4633096	0	0
Block1128	U00096	4519239	4533265	0	0
Block1129	NZ_CP009072	2571927	2573240	0	0
Block1129	NZ_CP009273	4523093	4524406	0	0
Block1129	NC_010473	4633107	4634420	0	0
Block1129	U00096	4533276	4534589	0	0
Block1130	NZ_CP009072	4962151	4962179	0	0
Block1130	NZ_CP009273	4524545	4524573	0	0
Block1130	NC_010473	4634559	4634587	0	0
Block1130	U00096	4534728	4534756	0	0
Block1131	NZ_CP009072	2574503	2579964	0	0
Block1131	NZ_CP009273	4524756	4530219	0	0
Block1131	NC_010473	4634770	4640233	0	0
Block1131	U00096	4534939	4540402	0	0
Block1132	NZ_CP009072	2579971	2580318	0	0
Block1132	NZ_CP009273	4530227	4530573	0	0
Block1132	NC_010473	4640241	4640587	0	0
Block1132	U00096	4540410	4540756	0	0
Block1133	NZ_CP009072	2631715	2637351	0	0
Block1133	NZ_CP009273	4587249	4592885	0	0
Block1133	NC_010473	4641917	4647553	0	0
Block1133	U00096	4597432	4603068	0	0
Block1134	NZ_CP009072	2637354	2637451	0	0
Block1134	NZ_CP009273	4592887	4592984	0	0
Block1134	NC_010473	4647555	4647652	0	0
Block1134	U00096	4603070	4603167	0	0
Block1135	NZ_CP009072	2637455	2640803	0	0
Block1135	NZ_CP009273	4592987	4596335	0	0
Block1135	NC_010473	4647655	4651003	0	0
Block1135	U00096	4603170	4606518	0	0
Block1137	NZ_CP009072	2640813	2640866	0	0
Block1137	NZ_CP009273	4596423	4596476	0	0
Block1137	NC_010473	4651091	4651144	0	0
Block1137	U00096	4606606	4606659	0	0
Block1138	NZ_CP009072	2640978	2648556	0	0
Block1138	NZ_CP009273	4596487	4604065	0	0
Block1138	NC_010473	4651155	4658733	0	0
Block1138	U00096	4606670	4614248	0	0
Block1139	NZ_CP009072	4016828	4016915	0	0
Block1139	NZ_CP009273	4604118	4604205	0	0
Block1139	NC_010473	4658786	4658873	0	0
Block1139	U00096	4614301	4614388	0	0
Block113	NZ_CP009072	1733529	1733882	0	0
Block113	NZ_CP009273	376715	377068	0	0
Block113	NC_010473	319814	320167	0	0
Block113	U00096	381259	381612	0	0
Block1140	NZ_CP009072	2648608	2648671	0	0
Block1140	NZ_CP009273	4604219	4604282	0	0
Block1140	NC_010473	4658887	4658950	0	0
Block1140	U00096	4614402	4614465	0	0
Block1141	NZ_CP009072	2648672	2655770	0	0
Block1141	NZ_CP009273	4604485	4611583	0	0
Block1141	NC_010473	4659153	4666251	0	0
Block1141	U00096	4614668	4621766	0	0
Block1142	NZ_CP009072	2656092	2661636	0	0
Block1142	NZ_CP009273	4612948	4618493	0	0
Block1142	NC_010473	4667616	4673161	0	0
Block1142	U00096	4623131	4628676	0	0
Block1143	NZ_CP009072	1137704	1137727	0	0
Block1143	NZ_CP009273	4618524	4618547	0	0
Block1143	NC_010473	4673192	4673215	0	0
Block1143	U00096	4628707	4628730	0	0
Block1144	NZ_CP009072	2661691	2661736	0	0
Block1144	NZ_CP009273	4618548	4618593	0	0
Block1144	NC_010473	4673216	4673261	0	0
Block1144	U00096	4628731	4628776	0	0
Block1146	NZ_CP009072	2661791	2666043	0	0
Block1146	NZ_CP009273	4618648	4622900	0	0
Block1146	NC_010473	4673316	4677568	0	0
Block1146	U00096	4628831	4633083	0	0
Block1147	NZ_CP009072	2666076	2666135	0	0
Block1147	NZ_CP009273	4622927	4622986	0	0
Block1147	NC_010473	4677595	4677654	0	0
Block1147	U00096	4633110	4633169	0	0
Block1148	NZ_CP009072	2666142	2674551	0	0
Block1148	NZ_CP009273	4623052	4631461	0	0
Block1148	NC_010473	4677720	4686129	0	0
Block1148	U00096	4633235	4641644	0	0
Block114	NZ_CP009072	1733886	1734858	0	0
Block114	NZ_CP009273	377073	378045	0	0
Block114	NC_010473	320172	321144	0	0
Block114	U00096	381617	382589	0	0
Block116	NZ_CP009072	2963223	2963393	0	0
Block116	NZ_CP009273	378206	378376	0	0
Block116	NC_010473	321305	321475	0	0
Block116	U00096	382750	382920	0	0
Block118	NZ_CP009072	2963739	2963864	0	0
Block118	NZ_CP009273	378722	378847	0	0
Block118	NC_010473	321821	321946	0	0
Block118	U00096	383266	383391	0	0
Block11	NZ_CP009072	2704735	2711203	0	0
Block11	NZ_CP009273	28244	34713	0	0
Block11	NC_010473	28244	34713	0	0
Block11	U00096	28244	34713	0	0
Block120	NZ_CP009072	2963992	2964026	0	0
Block120	NZ_CP009273	378975	379009	0	0
Block120	NC_010473	322074	322108	0	0
Block120	U00096	383519	383553	0	0
Block122	NZ_CP009072	2964330	2964379	0	0
Block122	NZ_CP009273	379313	379362	0	0
Block122	NC_010473	322412	322461	0	0
Block122	U00096	383857	383906	0	0
Block124	NZ_CP009072	2496916	2496941	0	0
Block124	NZ_CP009273	384130	384155	0	0
Block124	NC_010473	327229	327254	0	0
Block124	U00096	388674	388699	0	0
Block12	NZ_CP009072	2711291	2720665	0	0
Block12	NZ_CP009273	34768	44143	0	0
Block12	NC_010473	34768	44143	0	0
Block12	U00096	34768	44143	0	0
Block131	NZ_CP009072	5067942	5067983	0	0
Block131	NZ_CP009273	406579	406620	0	0
Block131	NC_010473	349678	349719	0	0
Block131	U00096	411123	411164	0	0
Block13	NZ_CP009072	2720666	2722297	0	0
Block13	NZ_CP009273	44172	45802	0	0
Block13	NC_010473	44172	45802	0	0
Block13	U00096	44172	45802	0	0
Block146	NZ_CP009072	360818	360849	0	0
Block146	NZ_CP009273	504184	504215	0	0
Block146	NC_010473	447283	447314	0	0
Block146	U00096	508728	508759	0	0
Block14	NZ_CP009072	2722300	2726806	0	0
Block14	NZ_CP009273	45804	50310	0	0
Block14	NC_010473	45804	50310	0	0
Block14	U00096	45804	50310	0	0
Block152	NZ_CP009072	605854	605886	0	0
Block152	NZ_CP009273	538606	538638	0	0
Block152	NC_010473	481705	481737	0	0
Block152	U00096	543150	543182	0	0
Block15	NZ_CP009072	2727464	2735233	0	0
Block15	NZ_CP009273	50407	58176	0	0
Block15	NC_010473	50407	58176	0	0
Block15	U00096	50407	58176	0	0
Block162	NZ_CP009072	3128016	3128410	0	0
Block162	NZ_CP009273	563710	564104	0	0
Block162	NC_010473	506809	507203	0	0
Block162	U00096	568254	568648	0	0
Block163	NZ_CP009072	3128503	3130103	0	0
Block163	NZ_CP009273	566274	567875	0	0
Block163	NC_010473	509373	510974	0	0
Block163	U00096	570818	572419	0	0
Block165	NZ_CP009072	3130381	3130404	0	0
Block165	NZ_CP009273	569927	569950	0	0
Block165	NC_010473	513026	513049	0	0
Block165	U00096	574471	574494	0	0
Block167	NZ_CP009072	3130432	3130453	0	0
Block167	NZ_CP009273	569979	570000	0	0
Block167	NC_010473	513078	513099	0	0
Block167	U00096	574523	574544	0	0
Block16	NZ_CP009072	2735370	2738044	0	0
Block16	NZ_CP009273	59703	62377	0	0
Block16	NC_010473	59703	62377	0	0
Block16	U00096	59703	62377	0	0
Block176	NZ_CP009072	854657	854699	0	0
Block176	NZ_CP009273	703352	703394	0	0
Block176	NC_010473	759711	759753	0	0
Block176	U00096	707896	707938	0	0
Block180	NZ_CP009072	2684463	2684504	0	0
Block180	NZ_CP009273	710776	710817	0	0
Block180	NC_010473	767135	767176	0	0
Block180	U00096	715320	715361	0	0
Block18	NZ_CP009072	2764543	2787715	0	0
Block18	NZ_CP009273	84761	107933	0	0
Block18	NC_010473	62378	85550	0	0
Block18	U00096	88274	111446	0	0
Block199	NZ_CP009072	343646	343682	0	0
Block199	NZ_CP009273	777111	777147	0	0
Block199	NC_010473	833470	833506	0	0
Block199	U00096	781655	781691	0	0
Block1	NZ_CP009072	2674559	2680026	0	0
Block1	NZ_CP009273	0	5468	0	0
Block1	NC_010473	0	5468	0	0
Block1	U00096	0	5468	0	0
Block203	NZ_CP009072	2131626	2131648	0	0
Block203	NZ_CP009273	781355	781377	0	0
Block203	NC_010473	837714	837736	0	0
Block203	U00096	785899	785921	0	0
Block209	NZ_CP009072	553707	553744	0	0
Block209	NZ_CP009273	801351	801388	0	0
Block209	NC_010473	859046	859083	0	0
Block209	U00096	805895	805932	0	0
Block20	NZ_CP009072	2291567	2291608	0	0
Block20	NZ_CP009273	108026	108067	0	0
Block20	NC_010473	85643	85684	0	0
Block20	U00096	111539	111580	0	0
Block212	NZ_CP009072	2611305	2611330	0	0
Block212	NZ_CP009273	811038	811063	0	0
Block212	NC_010473	868733	868758	0	0
Block212	U00096	815582	815607	0	0
Block213	NZ_CP009072	3591883	3591924	0	0
Block213	NZ_CP009273	811097	811138	0	0
Block213	NC_010473	868792	868833	0	0
Block213	U00096	815641	815682	0	0
Block219	NZ_CP009072	2666044	2666069	0	0
Block219	NZ_CP009273	833034	833059	0	0
Block219	NC_010473	890729	890754	0	0
Block219	U00096	837578	837603	0	0
Block21	NZ_CP009072	2291613	2291650	0	0
Block21	NZ_CP009273	108079	108116	0	0
Block21	NC_010473	85696	85733	0	0
Block21	U00096	111592	111629	0	0
Block222	NZ_CP009072	1799917	1799939	0	0
Block222	NZ_CP009273	841080	841102	0	0
Block222	NC_010473	898775	898797	0	0
Block222	U00096	845624	845646	0	0
Block223	NZ_CP009072	2072577	2072610	0	0
Block223	NZ_CP009273	841152	841185	0	0
Block223	NC_010473	898847	898880	0	0
Block223	U00096	845696	845729	0	0
Block226	NZ_CP009072	4418367	4418395	0	0
Block226	NZ_CP009273	844627	844655	0	0
Block226	NC_010473	902322	902350	0	0
Block226	U00096	849171	849199	0	0
Block229	NZ_CP009072	569216	569247	0	0
Block229	NZ_CP009273	853071	853102	0	0
Block229	NC_010473	910766	910797	0	0
Block229	U00096	857615	857646	0	0
Block22	NZ_CP009072	2789225	2799143	0	0
Block22	NZ_CP009273	108131	118048	0	0
Block22	NC_010473	85748	95665	0	0
Block22	U00096	111644	121561	0	0
Block234	NZ_CP009072	1809142	1809188	0	0
Block234	NZ_CP009273	895118	895164	0	0
Block234	NC_010473	952813	952859	0	0
Block234	U00096	899662	899708	0	0
Block235	NZ_CP009072	655065	655090	0	0
Block235	NZ_CP009273	895165	895190	0	0
Block235	NC_010473	952860	952885	0	0
Block235	U00096	899709	899734	0	0
Block236	NZ_CP009072	1006357	1006394	0	0
Block236	NZ_CP009273	895217	895254	0	0
Block236	NC_010473	952912	952949	0	0
Block236	U00096	899761	899798	0	0
Block239	NZ_CP009072	4429945	4429973	0	0
Block239	NZ_CP009273	896210	896238	0	0
Block239	NC_010473	953905	953933	0	0
Block239	U00096	900754	900782	0	0
Block23	NZ_CP009072	2799148	2799207	0	0
Block23	NZ_CP009273	118054	118113	0	0
Block23	NC_010473	95671	95730	0	0
Block23	U00096	121567	121626	0	0
Block240	NZ_CP009072	4429982	4430019	0	0
Block240	NZ_CP009273	896257	896294	0	0
Block240	NC_010473	953952	953989	0	0
Block240	U00096	900801	900838	0	0
Block243	NZ_CP009072	50816	50842	0	0
Block243	NZ_CP009273	910684	910710	0	0
Block243	NC_010473	968379	968405	0	0
