qseqid	sseqid	A_gene	B_gene	A_start	B_start	A_end	B_end	A_alt_name	B_alt_name
sp|P00561|AK1H_ECOLI	tr|A0A0H2V3Y0|A0A0H2V3Y0_ECOL6	thrA	thrA	336.0	1047.0	2799.0	3510.0	b0002	c0003
sp|P00562|AK2H_ECOLI	tr|A0A0H2VD51|A0A0H2VD51_ECOL6	metL	metL	4129834.0	4649404.0	4132267.0	4651837.0	b3940	c4893
sp|P00634|PPB_ECOLI	tr|A0A0H2V6T6|A0A0H2V6T6_ECOL6	phoA	phoA	401746.0	475791.0	403162.0	477207.0	b0383	c0490
sp|P00722|BGAL_ECOLI	sp|Q8FKG6|BGAL_ECOL6	lacZ	lacZ	363230.0	448923.0	366305.0	451998.0	b0344	c0459
sp|P00803|LEP_ECOLI	tr|A0A0H2VC21|A0A0H2VC21_ECOL6	lepB	lepB	2704334.0	2967201.0	2705309.0	2968176.0	b2568	c3092
sp|P00804|LSPA_ECOLI	sp|Q8FLB6|LSPA_ECOL6	lspA	lspA	25206.0	27468.0	25701.0	27963.0	b0027	c0031
sp|P00805|ASPG2_ECOLI	tr|A0A0H2VAM1|A0A0H2VAM1_ECOL6	ansB	ansB	3099681.0	3395540.0	3100728.0	3396587.0	b2957	c3543
sp|P00811|AMPC_ECOLI	tr|A0A0H2VDE7|A0A0H2VDE7_ECOL6	ampC	ampC	4377810.0		4378944.0		b4150	c5238
sp|P00861|DCDA_ECOLI	tr|A0A0H2VA67|A0A0H2VA67_ECOL6	lysA	lysA	2977636.0	3285669.0	2978899.0	3286932.0	b2838	c3435
sp|P00864|CAPP_ECOLI	sp|Q8FB98|CAPP_ECOL6	ppc	ppc	4150446.0	4677471.0	4153098.0	4680123.0	b3956	c4915
sp|P00887|AROH_ECOLI	sp|Q8FH32|AROH_ECOL6	aroH	aroH	1788434.0	1944402.0	1789481.0	1945449.0	b1704	c2100
sp|P00893|ILVI_ECOLI	tr|A0A0H2V4K0|A0A0H2V4K0_ECOL6	ilvI	ilvI	85629.0	89456.0	87354.0	91181.0	b0077	c0095
sp|P00895|TRPE_ECOLI	tr|A0A0H2V9B0|A0A0H2V9B0_ECOL6	trpE	trpE	1321383.0	1564987.0	1322946.0	1566550.0	b1264	c1730
sp|P00903|PABA_ECOLI	tr|A0A0H2VE29|A0A0H2VE29_ECOL6	pabA	pabA	3490265.0	3921653.0	3490829.0	3922217.0	b3360	c4135
sp|P00904|TRPGD_ECOLI	tr|A0A0H2V787|A0A0H2V787_ECOL6	trpGD	trpD		1563392.0		1564988.0	b126	c1729
sp|P00914|PHR_ECOLI	tr|A0A0H2V5B5|A0A0H2V5B5_ECOL6	phrB	phrB		770681.0		772100.0	b0708	c0787
sp|P00926|SDHD_ECOLI	sp|Q8FFF4|SDHD_ECOL6	dsdA	dsdA	2479201.0	2761589.0	2480530.0	2762918.0	b2366	c2901
sp|P00934|THRC_ECOLI	tr|A0A0H2V5R3|A0A0H2V5R3_ECOL6	thrC	thrC	3733.0	4444.0	5020.0	5731.0	b0004	c0005
sp|P00936|CYAA_ECOLI	sp|Q8FBP0|CYAA_ECOL6	cyaA	cyaA	3991152.0	4491352.0	3993699.0	4493899.0	b3806	c4725
sp|P00944|XYLA_ECOLI	sp|Q8FCE3|XYLA_ECOL6	xylA	xylA	3729442.0	4167075.0	3730765.0	4168398.0	b3565	c4385
sp|P00946|MANA_ECOLI	tr|A0A0H2V7R4|A0A0H2V7R4_ECOL6	manA	manA	1688575.0	1849270.0	1689751.0	1850446.0	b1613	c2005
sp|P00954|SYW_ECOLI	sp|P67588|SYW_ECOL6	trpS	trpS	3512633.0	3938686.0	3513638.0	3939691.0	b3384	c4154
sp|P00956|SYI_ECOLI	sp|Q8FLB7|SYI_ECOL6	ileS	ileS	22390.0	24652.0	25207.0	27469.0	b0026	c0030
sp|P00959|SYM_ECOLI	sp|Q8FFX8|SYM_ECOL6	metG	metG	2194299.0	2485685.0	2196333.0	2487719.0	b2114	c2642
sp|P00960|SYGA_ECOLI	sp|P67025|SYGA_ECOL6	glyQ	glyQ	3724406.0	4162039.0	3725318.0	4162951.0	b3560	c4379
sp|P00961|SYGB_ECOLI	sp|P67030|SYGB_ECOL6	glyS	glyS	3722327.0	4159960.0	3724397.0	4162030.0	b3559	c4378
sp|P00962|SYQ_ECOLI	sp|Q8FJW4|SYQ_ECOL6	glnS	glnS	706092.0	747911.0	707757.0	749576.0	b0680	c0766
sp|P00963|ASNA_ECOLI	sp|P63623|ASNA_ECOL6	asnA	asnA	3927154.0	4428187.0	3928147.0	4429180.0	b3744	c4672
sp|P00968|CARB_ECOLI	sp|Q8FLB0|CARB_ECOL6	carB	carB	30816.0	33443.0	34038.0	36665.0	b0033	c0041
sp|P02358|RS6_ECOLI	sp|P0A4D0|RS6_ECOL6	rpsF	rpsF	4425117.0	5033185.0	4425513.0	5033581.0	b4200	c5291
sp|P02413|RL15_ECOLI	sp|P66071|RL15_ECOL6	rplO	rplO	3444104.0	3875480.0	3444539.0	3875915.0	b3301	c4062
sp|P02916|MALF_ECOLI	sp|Q8FB38|MALF_ECOL6	malF	malF	4243530.0	4777424.0	4245075.0	4778969.0	b4033	c5003
sp|P02918|PBPA_ECOLI	tr|A0A0H2VBJ1|A0A0H2VBJ1_ECOL6	mrcA	mrcA	3522870.0	3948923.0	3525423.0	3951476.0	b3396	c4166
sp|P02919|PBPB_ECOLI	tr|A0A0H2V629|A0A0H2V629_ECOL6	mrcB	mrcB	164729.0	175176.0	167264.0	177711.0	b0149	c0183
sp|P02920|LACY_ECOLI	tr|A0A0H2V4Q5|A0A0H2V4Q5_ECOL6	lacY	lacY	361925.0	447618.0	363179.0	448872.0	b0343	c0458
sp|P02924|ARAF_ECOLI	tr|A0A0H2V9F0|A0A0H2V9F0_ECOL6	araF	araF	1985138.0	2133814.0	1986128.0	2134804.0	b1901	c2314
sp|P02925|RBSB_ECOLI	tr|A0A0H2VE59|A0A0H2VE59_ECOL6	rbsB	rbsB	3936277.0	4437310.0	3937168.0	4438201.0	b3751	c4679
sp|P02930|TOLC_ECOLI	tr|A0A0H2VDL3|A0A0H2VDL3_ECOL6	tolC	tolC	3178114.0	3614905.0	3179596.0	3616387.0	b3035	c3781
sp|P02931|OMPF_ECOLI	tr|A0A0H2V5Q9|A0A0H2V5Q9_ECOL6	ompF	ompF	985893.0	1036681.0	986982.0	1037770.0	b0929	c1071
sp|P02932|PHOE_ECOLI	tr|A0A0H2V6J4|A0A0H2V6J4_ECOL6	phoE	phoE	259044.0	366396.0	260100.0	367452.0	b0241	c0388
sp|P02942|MCP1_ECOLI	tr|A0A0H2VDS4|A0A0H2VDS4_ECOL6	tsr	tsr	4591656.0	5176931.0	4593312.0	5178596.0	b4355	c5430
sp|P02943|LAMB_ECOLI	sp|Q8CVI4|LAMB_ECOL6	lamB	lamB	4247970.0	4781864.0	4249311.0	4783205.0	b4036	c5006
sp|P03007|DPO3E_ECOLI	tr|A0A0H2V657|A0A0H2V657_ECOL6	dnaQ	dnaQ	236066.0	247689.0	236798.0	248421.0	b0215	c0252
sp|P03018|UVRD_ECOLI	tr|A0A0H2VE91|A0A0H2VE91_ECOL6	uvrD	uvrD	3997982.0	4500741.0	4000145.0	4502904.0	b3813	c4734
sp|P03024|GALR_ECOLI	tr|A0A0H2VBS6|A0A0H2VBS6_ECOL6	galR	galR	2976598.0	3284631.0	2977630.0	3285663.0	b2837	c3434
sp|P03030|LYSR_ECOLI	tr|A0A0H2VAF9|A0A0H2VAF9_ECOL6	lysR	lysR	2979020.0	3287053.0	2979956.0	3287989.0	b2839	c3436
sp|P03061|LPIV_ECOLI	tr|A0A0H2VCG6|A0A0H2VCG6_ECOL6	ivbL	ivbL	3852889.0	4359074.0	3852988.0	4359173.0	b3672	c5498
sp|P03813|YGEA_ECOLI	tr|A0A0H2VCN5|A0A0H2VCN5_ECOL6	ygeA	ygeA	2979942.0	3287975.0	2980635.0	3288668.0	b2840	c3437
sp|P03817|MIOC_ECOLI	tr|A0A0H2VCJ6|A0A0H2VCJ6_ECOL6	mioC	mioC	3926011.0	4427044.0	3926455.0	4427488.0	b3742	c4670
sp|P03819|KEFC_ECOLI	sp|Q8FLA1|KEFC_ECOL6	kefC	kefC	47768.0	50399.0	49631.0	52262.0	b0047	c0057
sp|P03825|GSPB_ECOLI	tr|A0A0H2VBA7|A0A0H2VBA7_ECOL6	gspB	pinO	3453507.0		3453927.0		b3322	c4093
sp|P03835|INSG_ECOLI	tr|A0A0H2VCC3|A0A0H2VCC3_ECOL6	insG	c3703	4502102.0		4503431.0		b4278	
sp|P03841|MALM_ECOLI	tr|A0A0H2VDD0|A0A0H2VDD0_ECOL6	malM	malM	4249553.0	4783436.0	4250474.0	4784357.0	b4037	c5007
sp|P03959|KDPA_ECOLI	sp|Q8FJV3|KDPA_ECOL6	kdpA	kdpA	727058.0	767793.0	728732.0	769467.0	b0698	c0783
sp|P03960|KDPB_ECOLI	sp|Q8FJV4|KDPB_ECOL6	kdpB	kdpB	724987.0	765722.0	727036.0	767771.0	b0697	c0782
sp|P03961|KDPC_ECOLI	sp|Q8FJV5|KDPC_ECOL6	kdpC	kdpC	724406.0	765141.0	724979.0	765714.0	b0696	c0781
sp|P04036|DAPB_ECOLI	sp|Q8FLB4|DAPB_ECOL6	dapB	dapB	28373.0	31000.0	29195.0	31822.0	b0031	c0037
sp|P04079|GUAA_ECOLI	sp|P64294|GUAA_ECOL6	guaA	guaA	2630957.0	2887922.0	2632535.0	2889500.0	b2507	c3026
sp|P04152|UMUC_ECOLI	tr|A0A0H2V735|A0A0H2V735_ECOL6	umuC	umuC	1231185.0	1468501.0	1232454.0	1469770.0	b1184	c1632
sp|P04335|FRSA_ECOLI	sp|Q8FKM5|FRSA_ECOL6	frsA	frsA	256526.0	364654.0	257771.0	365899.0	b0239	c0386
sp|P04391|OTC1_ECOLI	sp|Q8FAD6|OTC_ECOL6	argI	argI	4477306.0		4478311.0		b4254	c5353
sp|P04395|3MG2_ECOLI	tr|A0A0H2VA63|A0A0H2VA63_ECOL6	alkA	alkA	2146691.0	2434019.0	2147540.0	2434868.0	b2068	c2595
sp|P04425|GSHB_ECOLI	sp|Q8FE30|GSHB_ECOL6	gshB	gshB	3091877.0	3387832.0	3092828.0	3388783.0	b2947	c3533
sp|P04693|TYRB_ECOLI	tr|A0A0H2VDE6|A0A0H2VDE6_ECOL6	tyrB	tyrB	4267113.0	4806927.0	4268307.0	4808121.0	b4054	c5031
sp|P04805|SYE_ECOLI	sp|Q8FFC9|SYE_ECOL6	gltX	gltX	2519256.0	2800290.0	2520672.0	2801706.0	b2400	c2936
sp|P04816|LIVK_ECOLI	tr|A0A0H2VBP1|A0A0H2VBP1_ECOL6	livK	livK	3596450.0	4034943.0	3597560.0	4036053.0	b3458	c4248
sp|P04825|AMPN_ECOLI	tr|A0A0H2V7W8|A0A0H2V7W8_ECOL6	pepN	pepN	990621.0	1041409.0	993234.0	1044022.0	b0932	c1075
sp|P04846|NLPA_ECOLI	tr|A0A0H2VCC9|A0A0H2VCC9_ECOL6	nlpA	nlpA	3839174.0	4343968.0	3839993.0	4344787.0	b3661	c4583
sp|P04949|FLIC_ECOLI	tr|A0A0H2VAE3|A0A0H2VAE3_ECOL6	fliC	fliC	2002109.0		2003606.0		b1923	c2338
sp|P04951|KDSB_ECOLI	sp|Q8FJA9|KDSB_ECOL6	kdsB	kdsB	970851.0	3516004.0	971598.0	3516745.0	b0918	c1059, c3689
sp|P04968|ILVA_ECOLI	tr|A0A0H2VF90|A0A0H2VF90_ECOL6	ilvA	ilvA	3955330.0	4456370.0	3956875.0	4457915.0	b3772	c4694
sp|P04982|RBSD_ECOLI	sp|Q8FBS4|RBSD_ECOL6	rbsD	rbsD	3933350.0	4434383.0	3933770.0	4434803.0	b3748	c4676
sp|P04983|RBSA_ECOLI	sp|Q8FBS3|RBSA_ECOL6	rbsA	rbsA	3933777.0	4434810.0	3935283.0	4436316.0	b3749	c4677
sp|P04993|RECD_ECOLI	tr|A0A0H2VCM0|A0A0H2VCM0_ECOL6	recD	recD	2950634.0	3257954.0	2952461.0	3259781.0	b2819	c3413
sp|P04994|EX7L_ECOLI	sp|Q8FF64|EX7L_ECOL6	xseA	xseA	2634231.0	2891196.0	2635602.0	2892573.0	b2509	c3028
sp|P04995|EX1_ECOLI	tr|A0A0H2VAY0|A0A0H2VAY0_ECOL6	sbcB	sbcB	2082755.0	2372259.0	2084183.0	2373687.0	b2011	c2539
sp|P05020|PYRC_ECOLI	sp|Q8FIR2|PYRC_ECOL6	pyrC	pyrC	1121560.0	1265060.0	1122607.0	1266107.0	b1062	c1329
sp|P05041|PABB_ECOLI	tr|A0A0H2V992|A0A0H2V992_ECOL6	pabB	pabB	1894804.0	2046476.0	1896166.0	2047838.0	b1812	c2217
sp|P05042|FUMC_ECOLI	sp|Q8FHA7|FUMC_ECOL6	fumC	fumC	1685184.0	1845879.0	1686588.0	1847283.0	b1611	c2003
sp|P05050|ALKB_ECOLI	tr|A0A0H2V956|A0A0H2V956_ECOL6	alkB	alkB	2308690.0	2595633.0	2309341.0	2596284.0	b2212	c2753
sp|P05055|PNP_ECOLI	sp|Q8FD87|PNP_ECOL6	pnp	pnp	3309032.0	3742665.0	3311168.0	3744801.0	b3164	c3920
sp|P05194|AROD_ECOLI	sp|Q8FH42|AROD_ECOL6	aroD	aroD	1774685.0	1930651.0	1775444.0	1931410.0	b1693	c2088
sp|P05458|PTRA_ECOLI	sp|Q8CVS2|PTRA_ECOL6	ptrA	ptrA	2955995.0	3263315.0	2958884.0	3266204.0	b2821	c3415
sp|P05459|PDXB_ECOLI	sp|Q8FFH2|PDXB_ECOL6	pdxB	pdxB	2436714.0	2718514.0	2437851.0	2719651.0	b2320	c2865
sp|P05523|FPG_ECOLI	sp|Q8FC87|FPG_ECOL6	mutM	mutM	3810342.0	4241340.0	3811152.0	4242150.0	b3635	c4459
sp|P05637|APAH_ECOLI	sp|Q8FL98|APAH_ECOL6	apaH	apaH	50379.0	53565.0	51222.0	54414.0	b0049	c0061
sp|P05706|PTHA_ECOLI	tr|A0A0H2VBF8|A0A0H2VBF8_ECOL6	srlB	srlB	2827361.0	3109830.0	2827733.0	3110202.0	b2704	c3258
sp|P05707|SRLD_ECOLI	tr|A0A0H2V9V1|A0A0H2V9V1_ECOL6	srlD	srlD	2827736.0	3110205.0	2828516.0	3110985.0	b2705	c3259
sp|P05791|ILVD_ECOLI	sp|Q8FBR5|ILVD_ECOL6	ilvD	ilvD	3953477.0	4454517.0	3955328.0	4456368.0	b3771	c4693
sp|P05793|ILVC_ECOLI	sp|Q8FBR2|ILVC_ECOL6	ilvC	ilvC	3957969.0	4458951.0	3959445.0	4460427.0	b3774	c4696
sp|P05804|BGLR_ECOLI	tr|A0A0H2V7H8|A0A0H2V7H8_ECOL6	uidA	uidA	1694259.0	1854773.0	1696071.0	1856585.0	b1617	c2009
sp|P05824|RECN_ECOLI	tr|A0A0H2VB60|A0A0H2VB60_ECOL6	recN	recN	2751794.0	3014380.0	2753456.0	3016042.0	b2616	c3138
sp|P05825|FEPA_ECOLI	tr|A0A0H2V524|A0A0H2V524_ECOL6	fepA	fepA	610253.0	652481.0	612494.0	654722.0	b0584	c0669
sp|P05847|TTDA_ECOLI	sp|Q8FDG8|TTDA_ECOL6	ttdA	ttdA	3206462.0	3647056.0	3207374.0	3647968.0	b3061	c3812
sp|P05852|TSAD_ECOLI	sp|Q8FDG6|TSAD_ECOL6	tsaD	tsaD	3209529.0	3650123.0	3210543.0	3651137.0	b3064	c3815
sp|P06129|BTUB_ECOLI	sp|Q8CVJ0|BTUB_ECOL6	btuB	btuB	4163638.0	4696042.0	4165483.0	4697887.0	b3966	c4929
sp|P06134|ADA_ECOLI	tr|A0A0H2VBB9|A0A0H2VBB9_ECOL6	ada	ada	2309340.0	2596283.0	2310405.0	2597348.0	b2213	c2754
sp|P06136|FTSQ_ECOLI	tr|A0A0H2V4K8|A0A0H2V4K8_ECOL6	ftsQ	ftsQ	103154.0	106981.0	103985.0	107812.0	b0093	c0111
sp|P06149|DLD_ECOLI	tr|A0A0H2V912|A0A0H2V912_ECOL6	dld	dld	2222184.0	2513870.0	2223900.0	2515586.0	b2133	c2664
sp|P06282|CDH_ECOLI	sp|Q8FBC8|CDH_ECOL6	cdh	cdh	4109929.0	4629587.0	4110685.0	4630343.0	b3918	c4870
sp|P06609|BTUC_ECOLI	sp|Q8FH26|BTUC_ECOL6	btuC	btuC	1794171.0	1950138.0	1795152.0	1951119.0	b1711	c2107
sp|P06610|BTUE_ECOLI	tr|A0A0H2V7R3|A0A0H2V7R3_ECOL6	btuE	btuE	1793557.0	1949525.0	1794109.0	1950077.0	b1710	c2106
sp|P06611|BTUD_ECOLI	sp|Q8FH28|BTUD_ECOL6	btuD	btuD	1792808.0	1948776.0	1793558.0	1949526.0	b1709	c2105
sp|P06612|TOP1_ECOLI	tr|A0A0H2V865|A0A0H2V865_ECOL6	topA	topA	1331047.0	1575358.0	1333645.0	1577956.0	b1274	c1741
sp|P06616|ERA_ECOLI	sp|Q8FF17|ERA_ECOL6	era	era	2702480.0	2965347.0	2703386.0	2966253.0	b2566	c3090
sp|P06709|BIRA_ECOLI	tr|A0A0H2VFK0|A0A0H2VFK0_ECOL6	birA	birA	4173081.0	4705329.0	4174047.0	4706295.0	b3973	c4932
sp|P06710|DPO3X_ECOLI	tr|A0A0H2V702|A0A0H2V702_ECOL6	dnaX	dnaX	492091.0	566741.0	494023.0	568673.0	b0470	c0589
sp|P06715|GSHR_ECOLI	tr|A0A0H2VDB8|A0A0H2VDB8_ECOL6	gor	gor	3646298.0		3647651.0		b3500	c4299
sp|P06720|AGAL_ECOLI	tr|A0A0H2VD73|A0A0H2VD73_ECOL6	melA	melA	4341910.0	4900457.0	4343266.0	4901813.0	b4119	c5124
sp|P06722|MUTH_ECOLI	sp|Q8FEA9|MUTH_ECOL6	mutH	mutH	2969661.0	3276982.0	2970351.0	3277672.0	b2831	c3426
sp|P06846|EBGR_ECOLI	tr|A0A0H2VCL7|A0A0H2VCL7_ECOL6	ebgR	ebgR	3221465.0	3662060.0	3222449.0	3663044.0	b3075	c3832
sp|P06961|CCA_ECOLI	sp|Q8CXX6|CCA_ECOL6	cca	cca	3201890.0	3642584.0	3203129.0	3643823.0	b3056	c3806
sp|P06968|DUT_ECOLI	sp|P64006|DUT_ECOL6	dut	dut	3813931.0	4244926.0	3814387.0	4245385.0	b3640	c4464
sp|P06971|FHUA_ECOLI	tr|A0A0H2V4T4|A0A0H2V4T4_ECOL6	fhuA	fhuA	167483.0	177930.0	169727.0	180189.0	b0150	c0185
sp|P06972|FHUB_ECOLI	tr|A0A0H2V634|A0A0H2V634_ECOL6	fhuB	fhuB	171461.0	181923.0	173444.0	183906.0	b0153	c0188
sp|P06974|FLIM_ECOLI	tr|A0A0H2V8E2|A0A0H2V8E2_ECOL6	fliM	fliM	2020086.0	2171854.0	2021091.0	2172859.0	b1945	c2362
sp|P06983|HEM3_ECOLI	sp|Q8FBP1|HEM3_ECOL6	hemC	hemC	3989824.0	4490024.0	3990766.0	4490966.0	b3805	c4724
sp|P06986|HIS8_ECOLI	sp|Q8FG51|HIS8_ECOL6	hisC	hisC	2092397.0	2380454.0	2093468.0	2381525.0	b2021	c2548
sp|P06987|HIS7_ECOLI	sp|Q8FG50|HIS7_ECOL6	hisB	hisB	2093467.0	2381524.0	2094535.0	2382592.0	b2022	c2549
sp|P06988|HISX_ECOLI	sp|Q8FG52|HISX_ECOL6	hisD	hisD	2091096.0	2379153.0	2092401.0	2380458.0	b2020	c2547
sp|P06989|HIS2_ECOLI	sp|Q8FG47|HIS2_ECOL6	hisI	hisI	2096613.0		2097225.0		b2026	c2553
sp|P06992|RSMA_ECOLI	sp|Q8FL96|RSMA_ECOL6	rsmA	rsmA	51608.0	54800.0	52430.0	55622.0	b0051	c0064
sp|P06993|MALT_ECOLI	sp|Q8CXX5|MALT_ECOL6	malT	malT	3553084.0	3979708.0	3555790.0	3982414.0	b3418	c4196
sp|P06996|OMPC_ECOLI	sp|Q8CVW1|OMPC_ECOL6	ompC	ompC	2311645.0	2598588.0	2312749.0	2599716.0	b2215	c2758
sp|P06999|PFKB_ECOLI	tr|A0A0H2V7Q1|A0A0H2V7Q1_ECOL6	pfkB	pfkB	1806369.0	1961465.0	1807299.0	1962395.0	b1723	c2121
sp|P07000|PLDB_ECOLI	sp|P59588|PLDB_ECOL6	pldB	pldB	4009169.0	4513588.0	4010192.0	4514611.0	b3825	c4747
sp|P07001|PNTA_ECOLI	tr|A0A0H2V7Q9|A0A0H2V7Q9_ECOL6	pntA	pntA	1676370.0	1837065.0	1677903.0	1838598.0	b1603	c1995
sp|P07003|POXB_ECOLI	tr|A0A0H2V5N4|A0A0H2V5N4_ECOL6	poxB	poxB	909330.0	963459.0	911049.0	965178.0	b0871	c1004
sp|P07004|PROA_ECOLI	sp|Q8FKM3|PROA_ECOL6	proA	proA	261502.0	368855.0	262756.0	370109.0	b0243	c0390
sp|P07012|RF2_ECOLI	sp|P66023|RF2_ECOL6	prfB	prfB	3035183.0	3332156.0	3036282.0	3333255.0	b2891	c5622
sp|P07014|SDHB_ECOLI	tr|A0A0H2V5A1|A0A0H2V5A1_ECOL6	sdhB	sdhB	757688.0	784013.0	758405.0	784730.0	b0724	c0802
sp|P07017|MCP2_ECOLI	tr|A0A0H2VAC1|A0A0H2VAC1_ECOL6	tar	tar	1971029.0	2120482.0	1972691.0	2122144.0	b1886	c2301
sp|P07021|YFIB_ECOLI	tr|A0A0H2V9L1|A0A0H2V9L1_ECOL6	yfiB	yfiB	2743624.0		2744107.0		b2605	c3126
sp|P07023|TYRA_ECOLI	tr|A0A0H2V9K7|A0A0H2V9K7_ECOL6	tyrA	tyrA	2738947.0	3001647.0	2740069.0	3002769.0	b2600	c3121
sp|P07024|USHA_ECOLI	tr|A0A0H2V4Z8|A0A0H2V4Z8_ECOL6	ushA	ushA	504913.0	579456.0	506566.0	581109.0	b0480	c0600
sp|P07026|SDIA_ECOLI	tr|A0A0H2V844|A0A0H2V844_ECOL6	sdiA	sdiA	1996109.0	2144785.0	1996832.0	2145508.0	b1916	c2330
sp|P07102|PPA_ECOLI	tr|A0A0H2V7Z6|A0A0H2V7Z6_ECOL6	appA	appA	1040616.0	1084405.0	1041915.0	1085716.0	b0980	c1121
sp|P07109|HISP_ECOLI	tr|A0A0H2V9B3|A0A0H2V9B3_ECOL6	hisP	hisP	2423735.0	2705262.0	2424509.0	2706036.0	b2306	c2848
sp|P07117|PUTP_ECOLI	tr|A0A0H2V5Y5|A0A0H2V5Y5_ECOL6	putP	putP	1079304.0	1112799.0	1080813.0	1114308.0	b1015	c1154
sp|P07118|SYV_ECOLI	sp|Q8FAD1|SYV_ECOL6	valS	valS	4480981.0	5099817.0	4483837.0	5102673.0	b4258	c5358
sp|P07330|CHEB_ECOLI	sp|Q8FGP5|CHEB_ECOL6	cheB	cheB	1967451.0	2118279.0	1968501.0	2119329.0	b1883	c2298
sp|P07363|CHEA_ECOLI	tr|A0A0H2V832|A0A0H2V832_ECOL6	cheA	cheA	1973359.0	2122812.0	1975324.0	2124777.0	b1888	c2303
sp|P07364|CHER_ECOLI	tr|A0A0H2V812|A0A0H2V812_ECOL6	cheR	cheR	1968503.0	2119331.0	1969364.0	2120192.0	b1884	c2299
sp|P07395|SYFB_ECOLI	sp|P59664|SYFB_ECOL6	pheT	pheT	1795556.0	1951523.0	1797944.0	1953912.0	b1713	c2110/c2111
sp|P07604|TYRR_ECOLI	tr|A0A0H2V8A7|A0A0H2V8A7_ECOL6	tyrR	tyrR	1386719.0	1629340.0	1388261.0	1630882.0	b1323	c1795
sp|P07623|METAS_ECOLI	sp|Q8FB64|METAS_ECOL6	metAS	metAS					b401	c4970
sp|P07639|AROB_ECOLI	sp|Q8FCV7|AROB_ECOL6	aroB	aroB	3517397.0	3943450.0	3518486.0	3944539.0	b3389	c4159
sp|P07648|RECC_ECOLI	tr|A0A0H2VBR6|A0A0H2VBR6_ECOL6	recC	recC	2959059.0	3266379.0	2962428.0	3269748.0	b2822	c3416
sp|P07649|TRUA_ECOLI	sp|P65844|TRUA_ECOL6	truA	truA	2434823.0	2716623.0	2435636.0	2717436.0	b2318	c2863
sp|P07650|TYPH_ECOLI	sp|Q8FA52|TYPH_ECOL6	deoA	deoA	4618228.0	5206897.0	4619551.0	5208220.0	b4382	c5466
