qseqid	sseqid	A_gene	B_gene	A_start	B_start	A_end	B_end
sp|P06986|HIS8_ECOLI	sp|P06986|HIS8_ECOLI	hisC	hisC	2092397.0	2094534.0	2093468.0	2095605.0
sp|P06987|HIS7_ECOLI	sp|P06987|HIS7_ECOLI	hisB	hisB	2093467.0	2095604.0	2094535.0	2096672.0
sp|P06988|HISX_ECOLI	sp|P06988|HISX_ECOLI	hisD	hisD	2091096.0	2093233.0	2092401.0	2094538.0
sp|P06989|HIS2_ECOLI	sp|P06989|HIS2_ECOLI	hisI	hisI	2096613.0		2097225.0	
sp|P06992|RSMA_ECOLI	sp|P06992|RSMA_ECOLI	rsmA	rsmA	51608.0	51608.0	52430.0	52430.0
sp|P06993|MALT_ECOLI	sp|P06993|MALT_ECOLI	malT	malT	3553084.0	4084625.0	3555790.0	4087331.0
sp|P06996|OMPC_ECOLI	sp|P06996|OMPC_ECOLI	ompC	ompC	2311645.0	2314979.0	2312749.0	2316083.0
sp|P06999|PFKB_ECOLI	sp|P06999|PFKB_ECOLI	pfkB	pfkB	1806369.0	1808083.0	1807299.0	1809013.0
sp|P07000|PLDB_ECOLI	sp|P07000|PLDB_ECOLI	pldB	pldB	4009169.0	3626488.0	4010192.0	3627511.0
sp|P07001|PNTA_ECOLI	sp|P07001|PNTA_ECOLI	pntA	pntA	1676370.0	1678084.0	1677903.0	1679617.0
sp|P07004|PROA_ECOLI	sp|P07004|PROA_ECOLI	proA	proA	261502.0	260726.0	262756.0	261980.0
sp|P07010|REM_ECOLI	sp|P07010|REM_ECOLI	rem	rem	1644650.0		1644902.0	
sp|P07012|RF2_ECOLI	sp|P07012|RF2_ECOLI	prfB	prfB	3035183.0	3033839.0	3036282.0	3034938.0
sp|P07013|PRIB_ECOLI	sp|P07013|PRIB_ECOLI	priB	priB	4425519.0	4430199.0	4425834.0	4430514.0
sp|P07014|SDHB_ECOLI	sp|P07014|SDHB_ECOLI	sdhB	sdhB	757688.0	758110.0	758405.0	758827.0
sp|P07017|MCP2_ECOLI	sp|P02942|MCP1_ECOLI	tar	tsr	1971029.0	4596336.0	1972691.0	4597992.0
sp|P07021|YFIB_ECOLI	sp|P07021|YFIB_ECOLI	yfiB	yfiB	2743624.0		2744107.0	
sp|P07023|TYRA_ECOLI	sp|P07023|TYRA_ECOLI	tyrA	tyrA	2738947.0	2737603.0	2740069.0	2738725.0
sp|P07024|USHA_ECOLI	sp|P07024|USHA_ECOLI	ushA	ushA	504913.0	504137.0	506566.0	505790.0
sp|P07026|SDIA_ECOLI	sp|P07026|SDIA_ECOLI	sdiA	sdiA	1996109.0	1998246.0	1996832.0	1998969.0
sp|P07102|PPA_ECOLI	sp|P07102|PPA_ECOLI	appA	appA	1040616.0	1041038.0	1041915.0	1042337.0
sp|P07109|HISP_ECOLI	sp|P07109|HISP_ECOLI	hisP	hisP	2423735.0	2429181.0	2424509.0	2429955.0
sp|P07117|PUTP_ECOLI	sp|P07117|PUTP_ECOLI	putP	putP	1079304.0	1079726.0	1080813.0	1081235.0
sp|P07118|SYV_ECOLI	sp|P07118|SYV_ECOLI	valS	valS	4480981.0	4485661.0	4483837.0	4488517.0
sp|P07330|CHEB_ECOLI	sp|P07330|CHEB_ECOLI	cheB	cheB	1967451.0	1969165.0	1968501.0	1970215.0
sp|P07363|CHEA_ECOLI	sp|P07363|CHEA_ECOLI	cheA	cheA	1973359.0	1975073.0	1975324.0	1977038.0
sp|P07364|CHER_ECOLI	sp|P07364|CHER_ECOLI	cheR	cheR	1968503.0	1970217.0	1969364.0	1971078.0
sp|P07395|SYFB_ECOLI	sp|P07395|SYFB_ECOLI	pheT	pheT	1795556.0	1797270.0	1797944.0	1799658.0
sp|P07464|THGA_ECOLI	sp|P07464|THGA_ECOLI	lacA	lacA	361248.0	360472.0	361860.0	361084.0
sp|P07604|TYRR_ECOLI	sp|P07604|TYRR_ECOLI	tyrR	tyrR	1386719.0	1388433.0	1388261.0	1389975.0
sp|P07623|METAS_ECOLI	sp|P07623|METAS_ECOLI	metAS	metAS				
sp|P07639|AROB_ECOLI	sp|P07639|AROB_ECOLI	aroB	aroB	3517397.0	4121929.0	3518486.0	4123018.0
sp|P07648|RECC_ECOLI	sp|P07648|RECC_ECOLI	recC	recC	2959059.0	2957715.0	2962428.0	2961084.0
