acpH b0404
trpS b3384
talB b0008
trpB b1261
torA b0997
torT b0994
tsgA b3364
ubiA b4040
tusB b3343
uidR b1618
ubiG b2232
uhpC b3667
ugpA b3452
xylH b3568
wbbL b4571
xapR b2405
yegP b2080
yaaA b0006
ydgK b1626
ydgV b4777
ydeT b1505
ydfI b1542
yehE b2112
ydhJ b1644
ydhC b1660
yabP b4659
yegR b2085
ydhV b1673
yacC b0122
yeiE b2157
ybeF b0629
ybaV b0442
ybaY b0453
ybaE b0445
ypeB b4546
yhaM b4470
yjaA b4011
yhcE b4569
yjbD b4023
ygfT b2887
ygjQ b3086
yibX b4795
ygeW b2870
ygeG b2851
yicU b4797
yghQ b2983
yiaV b3586
ynbD b1411
ytjA b4568
yhiD b3508
yraK b3145
ytfA b4205
ubiV b3159
ugpC b3450
wbbJ b2033
xanP b3654
xapA b2407
yafV b0219
yagM b0279
yagP b4695
yafZ b0252
yccS b0960
yahG b0321
yeaO b1792
yaiI b0387
yaiL b0354
yaiX b4579
yecH b1906
yeaQ b1795
ycdY b1035
ydiP b1696
ydiK b1688
ydjK b1775
ydjZ b1752
ydcV b1443
ydcD b1457
yejO b2190
yeeL b4497
yeeW b2006
yacM b4727
ydfR b1555
ydhB b1659
ycgX b1161
yabQ b0057
ybeH b4581
ydhW b1672
ybeU b0648
ygaZ b2682
ymfL b1147
yjbH b4029
ygiB b3037
ymdE b1028
ymfN b1149
ygfS b2886
yjgX b4575
yggM b2956
yncD b1451
yfeR b2409
ymiC b4741
yodC b1957
yiaN b3578
yfbK b2270
yibF b3592
yhfL b3369
yidX b3696
yqeC b2876
yiiF b3890
yhhM b3467
yfdQ b2360
yobB b1843
yfdL b2355
yqgH b4785
yqiB b3033
yqjH b3070
yehB b2109
yehD b2111
hisD b2020
hypD b2729
holA b0640
hybD b2993
hmp b2552 
insE5 b208
insH6 b199
insA5 b189
insE1 b029
insA6 b344
infC b1718
lpxT b2174
lolB b1209
livJ b3460
marB b1532
hyaA b0972
msrP b1971
murC b0091
napB b2203
pqiA b0950
pstC b3727
putP b1015
queF b2794
qseC b3026
rluE b1135
yciV b1266
mutL b4170
yejK b2186
nanC b4311
nagD b0675
pnp b3164 
ppiB b0525
ppdD b0108
potG b0855
prmB b2330
psuK b2166
psiF b0384
fryB b2387
rbsB b3751
recG b3652
ratA b2619
rihC b0030
rhsB b3482
rpsH b3306
ruvA b1861
rutR b1013
rutG b1006
rsxG b1631
yeiG b2154
secE b3981
sdiA b1916
sdhB b0724
yihT b3881
speFL b480
soxR b4063
sseB b2522
murD b0088
ndk b2518 
narP b2193
nohA b1548
paaY b1400
rhmA b2245
rihA b0651
rhaS b3905
rplV b3315
rplW b3318
rpmJ b3299
rpmD b3302
rpnB b2305
mrdB b0634
rpsM b3298
rsd b3995 
rseA b2572
rspR b1540
sgcE b4301
scpA b2917
scpB b2919
slmA b3641
pheS b1714
napC b2202
narK b1223
narH b1225
nhaA b0019
nikC b3478
pdeH b3525
pabC b1096
php b3379 
pepD b0237
potI b0857
pppA b2972
ppdA b2826
malX b1621
purL b2557
chbA b1736
pspB b1305
pyrD b0945
rclC b0301
rcsA b1951
rcsB b2217
rhaR b3906
rhaA b3903
rhlB b3780
rluF b4022
rnpA b3704
rsmE b2946
rusA b0550
sapA b1294
rsmI b3146
sbmC b2009
sieB b1353
mhpC b0349
mnmG b3741
mokC b0018
metJ b3938
narX b1222
nikA b3476
nlpI b3163
nikB b3477
glnG b3868
pdeK b3529
pdeB b0457
phnD b4105
phnF b4102
phnC b4106
proB b0242
psiE b4030
qorA b4051
radA b4389
pyrE b3642
recE b1350
rhmR b2248
rimP b3170
rimJ b1066
prfB b2891
rfaI b3627
rhaB b3904
rlmI b0967
rpoD b3067
rsuA b2183
cvrA b1191
nlpE b0192
nemR b1649
nudE b3397
nuoM b2277
yceF b1087
paaC b1390
pldB b3825
ppnP b0391
ppiD b0441
pxpB b0711
purA b4177
recD b2819
rclB b0303
rhsE b1456
rfaG b3631
rpmF b1089
rlmE b3179
rutE b1008
shiA b1981
sgcR b4300
sdaC b2796
yihV b3883
sodA b3908
nlpA b3661
nikD b3479
nudC b3996
nsrR b4178
oppF b1247
panF b3258
pgaC b1022
pqiC b0952
proP b4111
manY b1818
purH b4006
purM b2499
relB b1564
rcbA b1347
rdgC b0393
recT b1349
rihB b2162
rplR b3304
rlmJ b3499
rplL b3986
rpiB b4090
selB b3590
sra b1480 
panD b0131
pabA b3360
paaD b1391
phnP b4092
pqqL b1494
preT b2146
pncA b1768
tpr b1229 
psuG b2165
gatB b2093
ptrA b2821
nagE b0679
srlA b2702
quuD b0551
rimL b1427
nrdF b2676
rfaH b3842
ribD b0414
rffG b3788
rmuC b3832
rpnC b0132
yfaD b2244
rpoH b3461
rpoE b2573
rseP b0176
ruvC b1863
satP b0010
secB b3609
sfmH b0533
sgcX b4305
mobB b3856
murF b0086
murQ b2428
otsB b1897
pdeL b0315
pdhR b0113
pdxA b0052
paaK b1398
phnI b4099
parC b3019
pheP b0576
ycjU b1317
plsB b4041
yfiH b2593
purT b1849
ptsO b3206
pspE b1308
recB b2820
recX b2698
rimO b0835
rplN b3310
rplX b3309
ykgM b0296
rplD b3319
rplE b3308
rluD b2594
rpsD b3296
rsxE b1632
mntR b0817
mdoD b1424
obgE b3183
pdxB b2320
ybeZ b0660
potD b1123
psd b4160 
agaD b3140
pspA b1304
pyrC b1062
radD b2184
recQ b3822
recO b2565
rbsD b3748
rarA b0892
rfc b2035 
rplO b3301
rplY b2185
ykgO b4506
rlmD b2785
rpoN b3202
rph b3643 
rpiA b2914
rodZ b2516
rseC b2570
aldA b1415
argR b3237
apt b0469 
artI b0863
bipA b3871
tap b1885 
metF b3941
mntP b1821
mtlD b3600
narL b1221
narQ b2469
narI b1227
pdxK b2418
mrcB b0149
pdeI b0833
pgk b2926 
appA b0980
pphC b2072
frvB b3899
pth b1204 
pstA b3726
pspD b1307
rayT b0228
rbfA b3167
rhtC b3823
ybiA b0798
rhaT b3907
rfaQ b3632
rplJ b3985
rlmM b2806
rffH b3789
yccX b0968
idlP b4722
insC5 b304
insC6 b427
insH5 b137
insB4 b098
intE b1140
insK b3558
insD6 b427
ibsA b4667
lacY b0343
lacI b0345
lapB b1280
lptA b3200
trpL b1265
lpxA b0181
livH b3457
matP b0956
tar b1886 
menH b2263
msrC b1832
mutY b2961
narZ b1468
nrdD b4238
nlpD b2742
ompA b0957
orn b4162 
pdxH b1638
panB b0134
paaE b1392
pptA b1461
pxpA b0713
puuC b1300
purR b1658
pstS b3728
fryA b2383
manX b1817
treB b4240
glvC b3683
agaV b3133
pta b2297 
renD b0542
rcsD b2216
recR b0472
nrdE b2675
rfaB b3628
rpmE b3936
adhE b1241
baeS b2078
bamB b2512
dapF b3809
ibsD b4664
kch b1250 
mdtP b4080
mdtM b4337
mdtO b4081
mpl b4233 
pdxI b1406
pabB b1812
paaI b1396
phnN b4094
prpC b0333
murP b2429
agaW b3134
pspF b1303
queA b0405
queD b2765
relE b1563
recF b3700
rbsC b3750
rbsA b3749
rarD b3819
prfC b4375
rhaM b3901
ribF b0025
araJ b0396
atpD b3732
betT b0314
ftsA b0094
glnK b0450
glpC b2243
hisJ b2309
hinT b1103
infA b0884
mocA b2877
mqsA b3021
mqsR b3022
motA b1890
napD b2207
nadC b0109
nuoK b2279
ompF b0929
nusB b0416
panE b0425
pgpA b0418
pqiB b0951
pntA b1603
puuB b1301
ptrB b1845
rem b1561 
rcsC b2218
rhmT b2246
rfaP b3630
rhaD b3902
argH b3960
astE b1744
hemB b0369
hyaD b0975
hypF b2712
hycH b2718
hrpA b1413
hspQ b0966
mbiA b0012
mdtQ b2139
maeA b1479
mntH b2392
mtnN b0159
nadR b4390
ydbK b1378
nuoA b2288
nupC b2393
phoU b3724
paaJ b1397
perR b0254
phoA b0383
prc b1830 
prpD b0334
proX b2679
puuR b1299
gatA b2094
pyrF b1281
aspA b4139
hemF b2436
insI3 b140
iscA b2528
lhr b1653 
ivbL b3672
lsrD b1515
lpxB b0182
mepH b1655
mreB b3251
mtr b3161 
mutH b2831
murE b0085
napH b2204
narG b1224
nanE b3223
pinH b2648
malP b3417
pgsA b1912
potA b1126
glvB b3682
bglF b3722
agaC b3139
qmcA b0489
racR b1356
queC b0444
relA b2784
recN b2616
recJ b2892
tynA b1386
ade b3665 
ahpF b0606
hofP b3392
hokB b4428
hyfE b2485
insH11 b35
guaB b2508
maeB b2463
minE b1174
mltG b1097
mliC b1639
metN b0199
mscL b3291
modE b0761
moaC b0783
mukB b0924
nimT b1791
nudB b1865
nuoG b2283
osmY b4376
pflB b0903
phnK b4097
pgpB b1278
plsC b3018
frwC b3949
fruB b2169
rlmG b3084
rnk b0610 
atpA b3734
csrA b2696
cpdB b4213
cysC b2750
glnE b3053
gspJ b3331
hisC b2021
manC b2049
malK b4035
mgtS b4599
modA b0763
nudJ b1134
ompR b3405
osmB b1283
argI b4254
pdeC b4061
pdeA b2395
pgaD b1021
pncB b0931
chbB b1738
mhpF b0351
comR b1111
dapB b0031
ftsB b2748
hipB b1508
hprS b1968
hofM b3395
holB b1099
hyfB b2482
insA3 b027
insQ b1432
iap b2753 
ispB b3187
iprA b0375
kdsB b0918
kptA b4331
iscR b2531
kdgT b3909
leuA b0074
lepB b2568
mdtE b3513
aceA b4015
adhP b1478
arcA b4401
dgcE b2067
dgcT b1025
dnaT b4362
efeB b1019
dtpC b4130
dtpD b0709
flgA b1072
flgB b1073
fimD b4317
gcvP b2903
hexR b1853
hycE b2721
hycG b2719
htrC b3989
hybF b2991
icd b1136 
acpS b2563
ibsC b4665
insN2 b428
trg b1421 
mltC b2963
minD b1175
mlaD b3193
modC b0765
mprA b2684
nhoA b1463
nuoC b2286
nuoF b2284
pitB b2987
phoH b1020
potC b1124
srlB b2704
fruA b2167
quuQ b1559
pphB b2734
manZ b1819
purD b4005
rapZ b3205
recA b2699
rclA b0304
rbbA b3486
rhsA b3593
nrdA b2234
rfaC b3621
rluC b1086
rnhB b0183
rpsR b4202
sfmD b0532
ybiV b0822
thiH b3990
udk b2066 
udp b3831 
ubiD b3843
uhpT b3666
prpR b0330
proQ b1831
proW b2678
putA b1014
ptsA b3947
purC b2476
frwB b3950
pyrH b0171
rhlE b0797
rhmD b2247
rnc b2567 
rpsA b0911
rpsB b0169
rsmA b0051
rsmH b0082
rsxB b1628
dsdA b2366
speB b2937
stfP b1154
surE b2744
thiQ b0066
truD b2745
tusC b3344
uacT b2888
uxuB b4323
pliG b1178
rhtB b3824
rplB b3317
rlmN b2517
rmf b0953 
rseB b2571
setA b0070
secD b0408
umuC b1184
ugpE b3451
wecG b3794
xdhC b2868
ybgP b0717
ybfC b0704
ybfO b0703
yafS b0213
ybfP b0689
yafF b4503
ycbJ b0919
yebC b1864
yebB b1862
ybhN b0788
ybhS b0793
yccA b0970
ybjL b0847
yecU b4752
yahL b0326
yaiO b0358
ycdZ b1036
ydaE b4526
ydiV b1707
ychF b1203
ydbA b4492
ychJ b1233
ychT b4771
yeiI b2160
ydcA b1419
yeiR b2173
yciB b1254
ydcI b1422
yejB b2178
yejE b2179
yeeN b1983
ydeE b1534
yddG b1473
yeeP b1999
ydfA b1571
yegD b2069
ydeM b1497
ycgI b4521
yeeX b2007
yaaI b0013
yciT b1284
ybbA b0495
ybaM b0466
ybdM b0601
ypdC b2382
ygjJ b3079
ygaP b2668
ymdB b1045
ygaC b2671
ygeN b2858
ynaN b4773
purB b1131
frwD b3953
rcnA b2106
rbn b2268 
ribB b3041
sulA b0958
sbp b3917 
thiF b3992
thiE b3993
truC b2791
ttcA b1344
ubiT b3157
ubiE b3833
xylR b3569
wecF b4481
wza b2062 
wbbK b2032
xdhB b2867
ybjT b0869
yeaC b1777
ycaN b0900
yafC b0208
ycbK b0926
ybhM b0787
ycaR b0917
yaiP b0363
yccM b0992
yagA b0267
ybjH b0843
yahH b0322
ybjD b0876
yebV b1836
ycdX b1034
ydbL b1383
yadC b0135
yegS b2086
yehA b2108
prlF b3129
purN b2500
chbC b1737
qorB b4211
racC b1351
ravA b3746
ribE b0415
ridA b4243
rfaF b3620
rfaZ b3624
rplK b3983
rpmA b3185
rfbA b2039
rutF b1007
rutC b1010
rzoQ b4689
sdaA b1814
slyA b1642
sotB b1528
sufE b1679
upp b2498 
uhpA b3669
wcaI b2050
yicI b3656
wzxE b3792
nrfD b4073
ortT b1445
pdeF b2503
paaH b1395
phnH b4100
glgP b3428
pgm b0688 
pspG b4050
qseB b3025
pyrB b4245
sapB b1293
sanA b2144
frmB b0355
smpB b2620
tmcA b2474
tnaB b3709
tfaE b1156
torY b1873
tyrB b4054
ubiH b2907
uspG b0607
pdeD b1815
ptsG b1101
queG b4166
rcnB b2107
rcsF b0196
rep b3778 
nrdB b2235
rfaL b3622
rplP b3313
rplC b3320
rnb b1286 
sapC b1292
serA b2913
scpC b2920
tfaX b0563
treR b4241
trmJ b2532
tsaB b1807
uxuA b4322
wecC b3787
xanQ b2882
wzyE b3793
nagA b0677
nuoJ b2280
sucB b0727
pldA b3821
pdeG b1168
pinR b1374
phnM b4095
rsmC b4371
rsxD b1630
rspA b1581
sthA b3962
stfQ b1547
glyS b3559
tktA b2935
thpR b0147
tyrP b1907
ubiB b3835
trpR b4393
bglA b2901
bamE b2617
bcr b2182 
caiA b0039
hybC b2994
mdtL b3710
mlaA b2346
mhpB b0348
murI b3967
napF b2208
pdxY b1636
pepE b4021
potF b0854
pnuC b0751
pntB b1602
proA b0243
rfbC b2038
rsmD b3465
rsxA b1627
sgbU b3582
sfsA b0146
ychQ b1213
sgrR b0069
srlD b2705
slp b3506 
ytjB b4387
ileS b0026
tauB b0366
tapT b2583
ompL b3875
oppD b1246
pbpC b2519
pdxJ b2564
paaB b1389
phrB b0708
phoB b0399
pmbA b4235
proV b2677
ralR b1348
rcdA b0846
rcnR b2105
rclR b0305
ratB b2618
rimM b2608
rimK b0852
rfbX b2037
rplM b3231
rpmB b3637
rnlB b2631
rnhA b0214
rpoA b3295
rpoB b3987
rof b0189 
sbcC b0397
sgbE b3583
sprT b2944
glyQ b3560
narV b1465
nuoI b2281
nupX b2161
glnL b3869
ompN b1377
paoA b0286
pmrD b2259
pmrR b4703
potH b0856
pphA b1838
ptsH b2415
rbsK b3752
prfA b1211
recC b2822
rimI b4373
rlmF b0807
rutA b1012
rzpQ b1553
ffh b2610 
ssnA b2879
slyD b3349
tcdA b2812
tfaQ b1546
tisB b4618
trpGD b126
tomB b0461
plsY b3059
ascF b2715
ppsR b1703
ribC b1662
rnt b1652 
rpsI b3230
rtcB b3421
shoB b4687
sdhE b2897
speE b0121
sufB b1683
ssuA b0936
tgt b0406 
nfrB b0569
oppA b1243
poxB b0871
prpE b0335
mtlA b3599
rplF b3305
rna b0611 
rpiR b4089
rppH b2830
rpsT b0023
rpsG b3341
rstA b1608
sad b1525 
sbmA b0377
sgcB b4565
secA b0098
selA b3591
sppA b1766
ssuE b0937
aspS b1866
tatD b4483
napG b2205
pbpG b2134
pdeN b2176
paaG b1394
phnE b4103
pyrG b2780
rbsR b3753
ribA b1277
rfaY b3625
rfaJ b3626
rplQ b3294
rlpA b0633
rpsL b3342
rpsF b4200
rstB b1609
rsxC b1629
sapF b1290
sfmC b0531
proS b0194
nohD b0560
nfi b3998 
nepI b3662
ybiY b0824
priC b0467
fryC b2386
prfH b0236
rhsC b0700
rfaS b3629
rfbB b2041
rlmB b4180
rlhA b1435
rnlA b2630
rpnA b3411
rob b4396 
rpsJ b3321
rsmF b1835
rutD b1009
rzpR b1362
rzoR b4528
sspB b3228
gltX b2400
tdcB b3117
ompC b2215
proC b0386
mdoH b1049
oxyR b3961
paoC b0284
paoD b0283
peaD b4508
paaF b1393
phoE b0241
hyuA b2873
priA b3935
ppdB b2825
yggS b2951
rplS b2606
rpmC b3312
rplT b1716
rpmG b3636
rplI b4203
rlmL b0948
rluA b0058
rfbD b2040
rlmA b1822
ruvB b1860
secY b3300
yihQ b3878
spoT b3650
nadA b0750
nrdG b4237
nhaR b0020
mdoB b4359
ompT b0565
otnC b2738
paaX b1399
ppdC b2823
rsmB b3289
rtcA b4475
rzoD b4510
sfsB b3188
speA b2938
ssuC b0934
symE b4347
smrA b1340
tcyJ b1920
tfaR b1373
araE b2841
bglG b3723
bglX b2132
bhsA b1112
chbF b1734
citX b0614
dapD b0166
gltD b3213
gsiD b0832
gspC b3324
gyrB b3699
hda b2496 
hemH b0475
htrL b3618
hyfG b2487
hyfD b2484
gcl b0507 
adk b0474 
pykA b1854
kdpE b0694
ligB b3647
ltnD b2736
lyx b3580 
lolE b1118
nnr b4167 
nlpC b1708
nuoE b2285
nuoN b2276
pfkB b1723
pgaA b1024
phoP b1130
phnO b4093
perM b2493
pncC b2700
pgrR b1328
ppiA b3363
cmtA b2933
pssA b2585
pssL b4782
pspC b1306
pyrI b4244
argT b2310
atl b0454 
astD b1746
fruK b2168
kduD b2842
gloA b1651
leuD b0071
lplT b2835
rrrD b0555
lpoA b3147
lpxH b0524
lomR b4570
mdtF b3514
manA b1613
mcrA b1159
mazF b2782
mglA b2149
mtfA b1976
nadK b2615
nac b1988 
nadD b0639
norW b2711
nfuA b3414
nfsB b0578
nudI b2251
nudK b2467
ompW b1256
otsA b1896
ompX b0814
pcnB b0143
panC b0133
paaA b1388
pflC b3952
puuE b1302
ptsI b2416
gatC b2092
pxpC b0712
pstB b3725
lysC b4024
allB b0512
argA b2818
argG b3172
eptA b4114
flhC b1891
fliI b1941
fucU b2804
fucO b2799
galE b0759
frlR b3375
lipB b0630
ldrB b4421
ilvL b3766
lsrR b1512
aceB b4014
glcB b2976
mgtT b4775
msyB b1051
mukE b0923
mutT b0099
narW b1466
nagC b0676
nfrA b0568
nudG b1759
osmC b1482
mrcA b3396
paaZ b1387
pcm b2743 
phnJ b4098
pepQ b3847
yghJ b4466
ampG b0433
actP b4067
aroL b0388
btuF b0158
bioP b3827
glnA b3870
gltI b0655
gspD b3325
gutM b2706
hisH b2023
lapA b1279
lsrA b1513
livG b3455
mdtK b1663
wrbA b1004
nirD b3366
nagB b0678
nrfG b4076
sucA b0726
pdeR b1285
pepT b1127
ppk b2501 
lysA b2838
intF b0281
insC3 b199
insF2 b037
insO2 b428
ispF b2746
kilR b1352
lhgD b2660
rhoL b3782
lpoB b1105
lptF b4261
lsrB b1516
mdaB b3028
manB b2048
malE b4034
menI b1686
mglC b2148
miaA b4171
metAS b401
metB b3939
mscK b0465
nemA b1650
mdoG b1048
prlC b3498
otnI b2739
oxc b2373 
parE b3030
pitA b3493
pgaB b1023
phoQ b1129
ppiC b3775
aphA b4055
ascG b2714
azuC b4663
eutD b2458
essQ b1556
eutL b2439
essD b0554
fadA b3845
eutB b2441
flgN b1070
folD b0529
flxA b1566
fhuD b0152
fimE b4313
garP b3127
galM b0756
fumD b1675
glmS b3729
gph b3385 
gsiB b0830
hemA b1210
melB b4120
mdtB b2075
malT b3418
menF b2265
macA b0878
mipA b1782
mhpA b0347
mhpT b0353
msrB b1778
mog b0009 
solA b1059
mzrA b3096
cobB b1120
plsX b1090
betA b0311
eutN b2456
fcl b2052 
frc b2374 
kbp b2665 
lfhA b0229
fruL b0079
uof b4637
lpxD b0179
lolA b0891
mdtG b1053
mmuM b0261
mscM b4159
murG b0090
aceE b0114
osmE b1739
paoB b0285
patA b3073
pinQ b1545
phnG b4101
pgpC b2560
ppsA b1702
preA b2147
priB b4201
prmA b3259
prmC b1212
acrE b3265
arnC b2254
tufB b3980
eutH b2452
feaB b1385
exoD b0539
fetA b0490
fliF b1938
fliQ b1949
feoB b3409
frlA b3370
minC b1176
mnmA b1133
mioC b3742
metE b3829
modF b0760
mreD b3249
moeB b0826
murA b3189
nirB b3365
nfsA b0851
nudL b1813
nusA b3169
nrfA b4070
aceF b0115
ogrK b2082
panZ b3459
pal b0741 
argB b3959
acrD b2470
hisM b2307
hldE b3052
hyi b0508 
ilvC b3774
idnO b4266
insB1 b002
insD2 b140
insH9 b298
insC1 b036
insB9 b471
insO1 b025
iscX b2524
katG b3942
prs b1207 
kdpC b0696
kdpF b4513
kbl b3617 
lepA b2569
mgrB b1826
mltA b2813
metH b4019
mscS b2924
ninE b0548
pagP b0622
pinE b1158
phnE1 b410
phnL b4096
aroA b0908
bfd b3337 
elaA b2267
fadJ b2341
eutT b2459
fecA b4291
focA b0904
fixX b0044
flgM b1071
fliN b1946
fieF b3915
glcG b2977
hisQ b2308
hemG b3850
hfq b4172 
jayE b1152
ispG b2515
kdpB b0697
lgoT b4356
lptE b0641
lsrK b1511
arcB b3210
ascB b2716
hlyE b1182
hipA b1507
hemX b3803
hns b1237 
hofC b0106
hycA b2725
hokA b4455
hypA b2726
hycD b2722
insH3 b065
insF1 b029
insE2 b037
intB b4271
idnT b4265
leuB b0073
ldcA b1192
lpxC b0096
mdtD b2077
malF b4033
malG b4032
mlc b1594 
metQ b0197
modB b0764
moaB b0782
msbA b0914
mobA b3857
yedP b1955
nanK b3222
narY b1467
nikE b3480
nrfE b4074
pckA b3403
dadX b1190
argC b3958
degS b3235
gldA b3945
folE b2153
gntU b4476
gspL b3333
higB b3083
insB6 b344
insI4 b428
iroK b4706
leuE b1798
gspO b3335
hisL b2018
mltB b2701
mutS b2733
mtlR b3601
nanT b3224
norV b2710
yhdE b3248
nusG b3982
aas b2836 
aceK b4016
cydD b0887
cysA b2422
cysH b2762
cvpA b2313
dctR b3507
hcaC b2540
hicB b1438
hha b0460 
ispH b0029
mraZ b0081
mrr b4351 
norR b2709
nmpC b0553
nuoL b2278
nuoH b2282
ogt b1335 
caiF b0034
ygbF b2754
cedA b1731
clsB b0789
clcA b0155
cspA b3556
csiE b2535
lgt b2828 
hyaB b0973
mfd b1114 
mug b3068 
nanA b3225
nrdR b0413
nimR b1790
nuoB b2287
nupG b2964
mdoC b1047
oppC b1245
oppB b1244
otnK b2737
citD b0617
cspE b0623
csgB b1041
hybG b2990
hyfR b2491
insC2 b140
ldrA b4419
lafU b0230
lysP b2156
lysO b0874
ycbZ b0955
livK b3458
mazG b2781
mpaA b1326
napA b2206
nanM b4310
nhaB b1186
abgB b1337
abgT b1336
atpG b3733
bioC b0777
dbpA b1343
dcuB b4123
ftsX b3462
gspF b3327
gshB b2947
bcsZ b3531
helD b0962
hypC b2728
leuO b0076
lamB b4036
pheL b2598
malZ b0403
mlaC b3192
mmuP b0260
mngB b0732
msrA b4219
mokB b1420
atoD b2221
baeR b2079
ccmA b2201
yceJ b1057
cheB b1883
dapA b2478
kefF b0046
rrrQ b1554
pyrL b4246
lpp b1677 
tnaC b3707
lplA b4386
lolD b1117
lldD b3605
menD b2264
mcbA b0806
mdtJ b1600
mlrA b2127
mppA b1329
murB b3972
yjjX b4394
nagZ b1107
nagK b1119
allE b0515
argO b2923
adiY b4116
citT b0612
cysJ b2764
hycI b2717
idnR b4264
insD5 b304
prkB b3355
lpxL b1054
lnt b0657 
menE b2260
mcrC b4345
tsr b4355 
mhpR b0346
mhpD b0350
mntS b4705
nadE b1740
nrdH b2673
argL b4766
atpC b3731
dsbD b4136
elfG b0941
envZ b3404
eptC b3955
fdnH b1475
fhlA b2731
folM b1606
flgE b1076
fimC b4316
galT b0758
fre b3844 
ftsE b3463
hisG b2019
iaaA b0828
tdk b1238 
pykF b1676
lpxM b1855
lptB b3201
lptD b0054
lrp b0889 
mdtC b2076
mdtI b1599
mcbR b1450
mdh b3236 
mepA b2328
mazE b2783
metC b3008
nikR b3481
nirC b3367
argD b3359
xseB b0422
fadM b0443
eutM b2457
fetB b0491
fldA b0684
galK b0757
ftnB b1902
ybgI b0710
glgA b3429
grxB b1064
grpE b2614
glpA b2241
glxR b0509
garK b3124
gntX b3413
glpK b3926
gor b3500 
hcaR b2537
gstA b1635
lsrF b1517
lon b0439 
mdtH b1065
mdtN b4082
mnaT b1448
metR b3828
metI b0198
fbaB b2097
ais b2252 
ansA b1767
glpR b3423
ghrA b1033
gluQ b0144
gntP b4321
gntK b3437
gloC b0927
gltK b0653
hcaT b2536
dgkA b4042
kdpD b0695
kbaY b3137
kefG b3351
lipA b0628
ldhA b1380
lpxP b2378
loiP b2936
patZ b2584
lpxK b0915
lspA b0027
menB b2262
malI b1620
mepS b2175
macB b0879
map b0168 
mlaE b3194
mraY b0087
ackA b2296
aidB b4187
araC b0064
asr b1597 
fdhE b3891
fdhF b4079
