qseqid	sseqid	A_gene	B_gene
sp|P00864|CAPP_ECOLI	sp|P00864|CAPP_ECOLI	ppc	ppc
sp|P00887|AROH_ECOLI	sp|P00887|AROH_ECOLI	aroH	aroH
sp|P00888|AROF_ECOLI	sp|P00888|AROF_ECOLI	aroF	aroF
sp|P00893|ILVI_ECOLI	sp|P00893|ILVI_ECOLI	ilvI	ilvI
sp|P00894|ILVH_ECOLI	sp|P00894|ILVH_ECOLI	ilvH	ilvH
sp|P00895|TRPE_ECOLI	sp|P00895|TRPE_ECOLI	trpE	trpE
sp|P00903|PABA_ECOLI	sp|P00903|PABA_ECOLI	pabA	pabA
sp|P00904|TRPGD_ECOLI	sp|P00904|TRPGD_ECOLI	trpGD	trpGD
sp|P00909|TRPC_ECOLI	sp|P00909|TRPC_ECOLI	trpC	trpC
sp|P00914|PHR_ECOLI	sp|P00914|PHR_ECOLI	phrB	phrB
sp|P00926|SDHD_ECOLI	sp|P00926|SDHD_ECOLI	dsdA	dsdA
sp|P00934|THRC_ECOLI	sp|P00934|THRC_ECOLI	thrC	thrC
sp|P00935|METB_ECOLI	sp|P00935|METB_ECOLI	metB	metB
sp|P00936|CYAA_ECOLI	sp|P00936|CYAA_ECOLI	cyaA	cyaA
sp|P00944|XYLA_ECOLI	sp|P00944|XYLA_ECOLI	xylA	xylA
sp|P00946|MANA_ECOLI	sp|P00946|MANA_ECOLI	manA	manA
sp|P00954|SYW_ECOLI	sp|P00954|SYW_ECOLI	trpS	trpS
sp|P00956|SYI_ECOLI	sp|P00956|SYI_ECOLI	ileS	ileS
sp|P00957|SYA_ECOLI	sp|P00957|SYA_ECOLI	alaS	alaS
sp|P00959|SYM_ECOLI	sp|P00959|SYM_ECOLI	metG	metG
sp|P00960|SYGA_ECOLI	sp|P00960|SYGA_ECOLI	glyQ	glyQ
sp|P00961|SYGB_ECOLI	sp|P00961|SYGB_ECOLI	glyS	glyS
sp|P00962|SYQ_ECOLI	sp|P00962|SYQ_ECOLI	glnS	glnS
sp|P00963|ASNA_ECOLI	sp|P00963|ASNA_ECOLI	asnA	asnA
sp|P00968|CARB_ECOLI	sp|P00968|CARB_ECOLI	carB	carB
sp|P02338|PRTL_ECOLI	sp|P02338|PRTL_ECOLI	tpr	tpr
sp|P02358|RS6_ECOLI	sp|P02358|RS6_ECOLI	rpsF	rpsF
sp|P02359|RS7_ECOLI	sp|P02359|RS7_ECOLI	rpsG	rpsG
sp|P02413|RL15_ECOLI	sp|P02413|RL15_ECOLI	rplO	rplO
sp|P02916|MALF_ECOLI	sp|P02916|MALF_ECOLI	malF	malF
sp|P02918|PBPA_ECOLI	sp|P02918|PBPA_ECOLI	mrcA	mrcA
sp|P02919|PBPB_ECOLI	sp|P02919|PBPB_ECOLI	mrcB	mrcB
sp|P02920|LACY_ECOLI	sp|P02920|LACY_ECOLI	lacY	lacY
sp|P02921|MELB_ECOLI	sp|P02921|MELB_ECOLI	melB	melB
sp|P02924|ARAF_ECOLI	sp|P02924|ARAF_ECOLI	araF	araF
sp|P02925|RBSB_ECOLI	sp|P02925|RBSB_ECOLI	rbsB	rbsB
sp|P02929|TONB_ECOLI	sp|P02929|TONB_ECOLI	tonB	tonB
sp|P02930|TOLC_ECOLI	sp|P02930|TOLC_ECOLI	tolC	tolC
sp|P02931|OMPF_ECOLI	sp|P02931|OMPF_ECOLI	ompF	ompF
sp|P02932|PHOE_ECOLI	sp|P02932|PHOE_ECOLI	phoE	phoE
sp|P02942|MCP1_ECOLI	sp|P02942|MCP1_ECOLI	tsr	tsr
sp|P02943|LAMB_ECOLI	sp|P02943|LAMB_ECOLI	lamB	lamB
sp|P03004|DNAA_ECOLI	sp|P03004|DNAA_ECOLI	dnaA	dnaA
sp|P03007|DPO3E_ECOLI	sp|P03007|DPO3E_ECOLI	dnaQ	dnaQ
sp|P03014|PINE_ECOLI	sp|P03014|PINE_ECOLI	pinE	pinE
sp|P03018|UVRD_ECOLI	sp|P03018|UVRD_ECOLI	uvrD	uvrD
sp|P03023|LACI_ECOLI	sp|P03023|LACI_ECOLI	lacI	lacI
sp|P03024|GALR_ECOLI	sp|P03024|GALR_ECOLI	galR	galR
sp|P03030|LYSR_ECOLI	sp|P03030|LYSR_ECOLI	lysR	lysR
sp|P03061|LPIV_ECOLI	sp|P03061|LPIV_ECOLI	ivbL	ivbL
sp|P03813|YGEA_ECOLI	sp|P03813|YGEA_ECOLI	ygeA	ygeA
sp|P03817|MIOC_ECOLI	sp|P03817|MIOC_ECOLI	mioC	mioC
sp|P03819|KEFC_ECOLI	sp|P03819|KEFC_ECOLI	kefC	kefC
sp|P03825|GSPB_ECOLI	sp|P03825|GSPB_ECOLI	gspB	gspB
sp|P03835|INSG_ECOLI	sp|P03835|INSG_ECOLI	insG	insG
sp|P03841|MALM_ECOLI	sp|P03841|MALM_ECOLI	malM	malM
sp|P03959|KDPA_ECOLI	sp|P03959|KDPA_ECOLI	kdpA	kdpA
sp|P03960|KDPB_ECOLI	sp|P03960|KDPB_ECOLI	kdpB	kdpB
sp|P03961|KDPC_ECOLI	sp|P03961|KDPC_ECOLI	kdpC	kdpC
sp|P04036|DAPB_ECOLI	sp|P04036|DAPB_ECOLI	dapB	dapB
sp|P04079|GUAA_ECOLI	sp|P04079|GUAA_ECOLI	guaA	guaA
sp|P04128|FIMA1_ECOLI	sp|P04128|FIMA1_ECOLI	fimA	fimA
sp|P04152|UMUC_ECOLI	sp|P04152|UMUC_ECOLI	umuC	umuC
sp|P04335|FRSA_ECOLI	sp|P04335|FRSA_ECOLI	frsA	frsA
sp|P04391|OTC1_ECOLI	sp|P04391|OTC1_ECOLI	argI	argI
sp|P04395|3MG2_ECOLI	sp|P04395|3MG2_ECOLI	alkA	alkA
sp|P04425|GSHB_ECOLI	sp|P04425|GSHB_ECOLI	gshB	gshB
sp|P04693|TYRB_ECOLI	sp|P04693|TYRB_ECOLI	tyrB	tyrB
sp|P04805|SYE_ECOLI	sp|P04805|SYE_ECOLI	gltX	gltX
sp|P04816|LIVK_ECOLI	sp|P04816|LIVK_ECOLI	livK	livK
sp|P04825|AMPN_ECOLI	sp|P04825|AMPN_ECOLI	pepN	pepN
sp|P04846|NLPA_ECOLI	sp|P04846|NLPA_ECOLI	nlpA	nlpA
sp|P04949|FLIC_ECOLI	sp|P04949|FLIC_ECOLI	fliC	fliC
sp|P04951|KDSB_ECOLI	sp|P04951|KDSB_ECOLI	kdsB	kdsB
sp|P04968|ILVA_ECOLI	sp|P04968|ILVA_ECOLI	ilvA	ilvA
sp|P04982|RBSD_ECOLI	sp|P04982|RBSD_ECOLI	rbsD	rbsD
sp|P04983|RBSA_ECOLI	sp|P04983|RBSA_ECOLI	rbsA	rbsA
sp|P04993|RECD_ECOLI	sp|P04993|RECD_ECOLI	recD	recD
sp|P04994|EX7L_ECOLI	sp|P04994|EX7L_ECOLI	xseA	xseA
sp|P04995|EX1_ECOLI	sp|P04995|EX1_ECOLI	sbcB	sbcB
sp|P05020|PYRC_ECOLI	sp|P05020|PYRC_ECOLI	pyrC	pyrC
sp|P05041|PABB_ECOLI	sp|P05041|PABB_ECOLI	pabB	pabB
sp|P05042|FUMC_ECOLI	sp|P05042|FUMC_ECOLI	fumC	fumC
sp|P05050|ALKB_ECOLI	sp|P05050|ALKB_ECOLI	alkB	alkB
sp|P05052|APPY_ECOLI	sp|P05052|APPY_ECOLI	appY	appY
sp|P05055|PNP_ECOLI	sp|P05055|PNP_ECOLI	pnp	pnp
sp|P05100|3MG1_ECOLI	sp|P05100|3MG1_ECOLI	tag	tag
sp|P05194|AROD_ECOLI	sp|P05194|AROD_ECOLI	aroD	aroD
sp|P05458|PTRA_ECOLI	sp|P05458|PTRA_ECOLI	ptrA	ptrA
sp|P05459|PDXB_ECOLI	sp|P05459|PDXB_ECOLI	pdxB	pdxB
sp|P05523|FPG_ECOLI	sp|P05523|FPG_ECOLI	mutM	mutM
sp|P05637|APAH_ECOLI	sp|P05637|APAH_ECOLI	apaH	apaH
sp|P05704|MCP3_ECOLI	sp|P05704|MCP3_ECOLI	trg	trg
sp|P05706|PTHA_ECOLI	sp|P05706|PTHA_ECOLI	srlB	srlB
sp|P05707|SRLD_ECOLI	sp|P05707|SRLD_ECOLI	srlD	srlD
sp|P05719|T1SK_ECOLI	sp|P05719|T1SK_ECOLI	hsdS	hsdS
sp|P05791|ILVD_ECOLI	sp|P05791|ILVD_ECOLI	ilvD	ilvD
sp|P05793|ILVC_ECOLI	sp|P05793|ILVC_ECOLI	ilvC	ilvC
sp|P05804|BGLR_ECOLI	sp|P05804|BGLR_ECOLI	uidA	uidA
sp|P05824|RECN_ECOLI	sp|P05824|RECN_ECOLI	recN	recN
sp|P05825|FEPA_ECOLI	sp|P05825|FEPA_ECOLI	fepA	fepA
sp|P05827|ILVY_ECOLI	sp|P05827|ILVY_ECOLI	ilvY	ilvY
sp|P05847|TTDA_ECOLI	sp|P05847|TTDA_ECOLI	ttdA	ttdA
sp|P05852|TSAD_ECOLI	sp|P05852|TSAD_ECOLI	tsaD	tsaD
sp|P06129|BTUB_ECOLI	sp|P06129|BTUB_ECOLI	btuB	btuB
sp|P06134|ADA_ECOLI	sp|P06134|ADA_ECOLI	ada	ada
sp|P06136|FTSQ_ECOLI	sp|P06136|FTSQ_ECOLI	ftsQ	ftsQ
sp|P06149|DLD_ECOLI	sp|P06149|DLD_ECOLI	dld	dld
sp|P06282|CDH_ECOLI	sp|P06282|CDH_ECOLI	cdh	cdh
sp|P06609|BTUC_ECOLI	sp|P06609|BTUC_ECOLI	btuC	btuC
sp|P06610|BTUE_ECOLI	sp|P06610|BTUE_ECOLI	btuE	btuE
sp|P06611|BTUD_ECOLI	sp|P06611|BTUD_ECOLI	btuD	btuD
sp|P06612|TOP1_ECOLI	sp|P06612|TOP1_ECOLI	topA	topA
sp|P06616|ERA_ECOLI	sp|P06616|ERA_ECOLI	era	era
sp|P06709|BIRA_ECOLI	sp|P06709|BIRA_ECOLI	birA	birA
sp|P06710|DPO3X_ECOLI	sp|P06710|DPO3X_ECOLI	dnaX	dnaX
sp|P06715|GSHR_ECOLI	sp|P06715|GSHR_ECOLI	gor	gor
sp|P06720|AGAL_ECOLI	sp|P06720|AGAL_ECOLI	melA	melA
sp|P06721|METC_ECOLI	sp|P06721|METC_ECOLI	metC	metC
sp|P06722|MUTH_ECOLI	sp|P06722|MUTH_ECOLI	mutH	mutH
sp|P06846|EBGR_ECOLI	sp|P06846|EBGR_ECOLI	ebgR	ebgR
sp|P06864|BGA2_ECOLI	sp|P06864|BGA2_ECOLI	ebgA	ebgA
sp|P06959|ODP2_ECOLI	sp|P06959|ODP2_ECOLI	aceF	aceF
sp|P06960|OTC2_ECOLI	sp|P06960|OTC2_ECOLI	argF	argF
sp|P06961|CCA_ECOLI	sp|P06961|CCA_ECOLI	cca	cca
sp|P06965|DICC_ECOLI	sp|P06965|DICC_ECOLI	dicC	dicC
sp|P06966|DICA_ECOLI	sp|P06966|DICA_ECOLI	dicA	dicA
sp|P06968|DUT_ECOLI	sp|P06968|DUT_ECOLI	dut	dut
sp|P06971|FHUA_ECOLI	sp|P06971|FHUA_ECOLI	fhuA	fhuA
sp|P06972|FHUB_ECOLI	sp|P06972|FHUB_ECOLI	fhuB	fhuB
sp|P06974|FLIM_ECOLI	sp|P06974|FLIM_ECOLI	fliM	fliM
sp|P06983|HEM3_ECOLI	sp|P06983|HEM3_ECOLI	hemC	hemC
sp|P06986|HIS8_ECOLI	sp|P06986|HIS8_ECOLI	hisC	hisC
sp|P06987|HIS7_ECOLI	sp|P06987|HIS7_ECOLI	hisB	hisB
sp|P06988|HISX_ECOLI	sp|P06988|HISX_ECOLI	hisD	hisD
sp|P06989|HIS2_ECOLI	sp|P06989|HIS2_ECOLI	hisI	hisI
sp|P06992|RSMA_ECOLI	sp|P06992|RSMA_ECOLI	rsmA	rsmA
sp|P06993|MALT_ECOLI	sp|P06993|MALT_ECOLI	malT	malT
sp|P06996|OMPC_ECOLI	sp|P06996|OMPC_ECOLI	ompC	ompC
sp|P06999|PFKB_ECOLI	sp|P06999|PFKB_ECOLI	pfkB	pfkB
sp|P07000|PLDB_ECOLI	sp|P07000|PLDB_ECOLI	pldB	pldB
sp|P07001|PNTA_ECOLI	sp|P07001|PNTA_ECOLI	pntA	pntA
sp|P07003|POXB_ECOLI	sp|P07003|POXB_ECOLI	poxB	poxB
sp|P07004|PROA_ECOLI	sp|P07004|PROA_ECOLI	proA	proA
sp|P07010|REM_ECOLI	sp|P07010|REM_ECOLI	rem	rem
sp|P07012|RF2_ECOLI	sp|P07012|RF2_ECOLI	prfB	prfB
sp|P07013|PRIB_ECOLI	sp|P07013|PRIB_ECOLI	priB	priB
sp|P07014|SDHB_ECOLI	sp|P07014|SDHB_ECOLI	sdhB	sdhB
sp|P07017|MCP2_ECOLI	sp|P07017|MCP2_ECOLI	tar	tar
sp|P07018|MCP4_ECOLI	sp|P07018|MCP4_ECOLI	tap	tap
sp|P07021|YFIB_ECOLI	sp|P07021|YFIB_ECOLI	yfiB	yfiB
sp|P07023|TYRA_ECOLI	sp|P07023|TYRA_ECOLI	tyrA	tyrA
sp|P07024|USHA_ECOLI	sp|P07024|USHA_ECOLI	ushA	ushA
sp|P07026|SDIA_ECOLI	sp|P07026|SDIA_ECOLI	sdiA	sdiA
sp|P07102|PPA_ECOLI	sp|P07102|PPA_ECOLI	appA	appA
sp|P07109|HISP_ECOLI	sp|P07109|HISP_ECOLI	hisP	hisP
sp|P07117|PUTP_ECOLI	sp|P07117|PUTP_ECOLI	putP	putP
sp|P07118|SYV_ECOLI	sp|P07118|SYV_ECOLI	valS	valS
sp|P07330|CHEB_ECOLI	sp|P07330|CHEB_ECOLI	cheB	cheB
sp|P07363|CHEA_ECOLI	sp|P07363|CHEA_ECOLI	cheA	cheA
sp|P07364|CHER_ECOLI	sp|P07364|CHER_ECOLI	cheR	cheR
sp|P07395|SYFB_ECOLI	sp|P07395|SYFB_ECOLI	pheT	pheT
sp|P07464|THGA_ECOLI	sp|P07464|THGA_ECOLI	lacA	lacA
sp|P07604|TYRR_ECOLI	sp|P07604|TYRR_ECOLI	tyrR	tyrR
sp|P07623|METAS_ECOLI	sp|P07623|METAS_ECOLI	metAS	metAS
sp|P07639|AROB_ECOLI	sp|P07639|AROB_ECOLI	aroB	aroB
sp|P07648|RECC_ECOLI	sp|P07648|RECC_ECOLI	recC	recC
sp|P07649|TRUA_ECOLI	sp|P07649|TRUA_ECOLI	truA	truA
sp|P07650|TYPH_ECOLI	sp|P07650|TYPH_ECOLI	deoA	deoA
sp|P07654|PSTA_ECOLI	sp|P07654|PSTA_ECOLI	pstA	pstA
sp|P07658|FDHF_ECOLI	sp|P07658|FDHF_ECOLI	fdhF	fdhF
sp|P07762|GLGB_ECOLI	sp|P07762|GLGB_ECOLI	glgB	glgB
sp|P07813|SYL_ECOLI	sp|P07813|SYL_ECOLI	leuS	leuS
sp|P07821|FHUC_ECOLI	sp|P07821|FHUC_ECOLI	fhuC	fhuC
sp|P07822|FHUD_ECOLI	sp|P07822|FHUD_ECOLI	fhuD	fhuD
sp|P07862|DDLB_ECOLI	sp|P07862|DDLB_ECOLI	ddlB	ddlB
sp|P07913|TDH_ECOLI	sp|P07913|TDH_ECOLI	tdh	tdh
sp|P08142|ILVB_ECOLI	sp|P08142|ILVB_ECOLI	ilvB	ilvB
sp|P08178|PUR5_ECOLI	sp|P08178|PUR5_ECOLI	purM	purM
sp|P08179|PUR3_ECOLI	sp|P08179|PUR3_ECOLI	purN	purN
sp|P08189|FIMF_ECOLI	sp|P08189|FIMF_ECOLI	fimF	fimF
sp|P08190|FIMG_ECOLI	sp|P08190|FIMG_ECOLI	fimG	fimG
sp|P08191|FIMH_ECOLI	sp|P08191|FIMH_ECOLI	fimH	fimH
sp|P08192|FOLC_ECOLI	sp|P08192|FOLC_ECOLI	folC	folC
sp|P08194|GLPT_ECOLI	sp|P08194|GLPT_ECOLI	glpT	glpT
sp|P08200|IDH_ECOLI	sp|P08200|IDH_ECOLI	icd	icd
sp|P08201|NIRB_ECOLI	sp|P08201|NIRB_ECOLI	nirB	nirB
sp|P08202|ARAA_ECOLI	sp|P08202|ARAA_ECOLI	araA	araA
sp|P08203|ARAD_ECOLI	sp|P08203|ARAD_ECOLI	araD	araD
sp|P08204|ARAB_ECOLI	sp|P08204|ARAB_ECOLI	araB	araB
sp|P08244|PYRF_ECOLI	sp|P08244|PYRF_ECOLI	pyrF	pyrF
sp|P08245|YCIH_ECOLI	sp|P08245|YCIH_ECOLI	yciH	yciH
sp|P08312|SYFA_ECOLI	sp|P08312|SYFA_ECOLI	pheS	pheS
sp|P08331|CPDB_ECOLI	sp|P08331|CPDB_ECOLI	cpdB	cpdB
sp|P08337|MUTT_ECOLI	sp|P08337|MUTT_ECOLI	mutT	mutT
sp|P08365|CHPS_ECOLI	sp|P08365|CHPS_ECOLI	chpS	chpS
sp|P08368|CREB_ECOLI	sp|P08368|CREB_ECOLI	creB	creB
sp|P08369|CRED_ECOLI	sp|P08369|CRED_ECOLI	creD	creD
sp|P08370|YGDB_ECOLI	sp|P08370|YGDB_ECOLI	ygdB	ygdB
sp|P08371|PPDB_ECOLI	sp|P08371|PPDB_ECOLI	ppdB	ppdB
sp|P08372|PPDC_ECOLI	sp|P08372|PPDC_ECOLI	ppdC	ppdC
sp|P08373|MURB_ECOLI	sp|P08373|MURB_ECOLI	murB	murB
sp|P08390|USG_ECOLI	sp|P08390|USG_ECOLI	usg	usg
sp|P08394|RECB_ECOLI	sp|P08394|RECB_ECOLI	recB	recB
sp|P08395|SPPA_ECOLI	sp|P08395|SPPA_ECOLI	sppA	sppA
sp|P08400|PHOR_ECOLI	sp|P08400|PHOR_ECOLI	phoR	phoR
sp|P08401|CREC_ECOLI	sp|P08401|CREC_ECOLI	creC	creC
sp|P08506|DACC_ECOLI	sp|P08506|DACC_ECOLI	dacC	dacC
sp|P08550|CVPA_ECOLI	sp|P08550|CVPA_ECOLI	cvpA	cvpA
sp|P08555|DSDX_ECOLI	sp|P08555|DSDX_ECOLI	dsdX	dsdX
sp|P08622|DNAJ_ECOLI	sp|P08622|DNAJ_ECOLI	dnaJ	dnaJ
sp|P08660|AK3_ECOLI	sp|P08660|AK3_ECOLI	lysC	lysC
sp|P08722|PTV3B_ECOLI	sp|P08722|PTV3B_ECOLI	bglF	bglF
sp|P08839|PT1_ECOLI	sp|P08839|PT1_ECOLI	ptsI	ptsI
sp|P08956|T1RK_ECOLI	sp|P08956|T1RK_ECOLI	hsdR	hsdR
sp|P08957|T1MK_ECOLI	sp|P08957|T1MK_ECOLI	hsdM	hsdM
sp|P08997|MASY_ECOLI	sp|P08997|MASY_ECOLI	aceB	aceB
sp|P09029|PURK_ECOLI	sp|P09029|PURK_ECOLI	purK	purK
sp|P09030|EX3_ECOLI	sp|P09030|EX3_ECOLI	xthA	xthA
sp|P09053|AVTA_ECOLI	sp|P09053|AVTA_ECOLI	avtA	avtA
sp|P09099|XYLB_ECOLI	sp|P09099|XYLB_ECOLI	xylB	xylB
sp|P09126|HEM4_ECOLI	sp|P09126|HEM4_ECOLI	hemD	hemD
sp|P09127|HEMX_ECOLI	sp|P09127|HEMX_ECOLI	hemX	hemX
sp|P09147|GALE_ECOLI	sp|P09147|GALE_ECOLI	galE	galE
sp|P09148|GAL7_ECOLI	sp|P09148|GAL7_ECOLI	galT	galT
sp|P09151|LEU1_ECOLI	sp|P09151|LEU1_ECOLI	leuA	leuA
sp|P09152|NARG_ECOLI	sp|P09152|NARG_ECOLI	narG	narG
sp|P09153|TFAE_ECOLI	sp|P09153|TFAE_ECOLI	tfaE	tfaE
sp|P09154|YMFS_ECOLI	sp|P09154|YMFS_ECOLI	ymfS	ymfS
sp|P09155|RND_ECOLI	sp|P09155|RND_ECOLI	rnd	rnd
sp|P09158|SPEE_ECOLI	sp|P09158|SPEE_ECOLI	speE	speE
sp|P09162|YJAA_ECOLI	sp|P09162|YJAA_ECOLI	yjaA	yjaA
sp|P09163|YJAB_ECOLI	sp|P09163|YJAB_ECOLI	yjaB	yjaB
sp|P09169|OMPT_ECOLI	sp|P09169|OMPT_ECOLI	ompT	ompT
sp|P09184|VSR_ECOLI	sp|P09184|VSR_ECOLI	vsr	vsr
sp|P09323|PTW3C_ECOLI	sp|P09323|PTW3C_ECOLI	nagE	nagE
sp|P09348|MOTA_ECOLI	sp|P09348|MOTA_ECOLI	motA	motA
sp|P09372|GRPE_ECOLI	sp|P09372|GRPE_ECOLI	grpE	grpE
sp|P09373|PFLB_ECOLI	sp|P09373|PFLB_ECOLI	pflB	pflB
sp|P09377|RHAS_ECOLI	sp|P09377|RHAS_ECOLI	rhaS	rhaS
sp|P09378|RHAR_ECOLI	sp|P09378|RHAR_ECOLI	rhaR	rhaR
sp|P09391|GLPG_ECOLI	sp|P09391|GLPG_ECOLI	glpG	glpG
sp|P09394|GLPQ_ECOLI	sp|P09394|GLPQ_ECOLI	glpQ	glpQ
sp|P09424|MTLD_ECOLI	sp|P09424|MTLD_ECOLI	mtlD	mtlD
sp|P09546|PUTA_ECOLI	sp|P09546|PUTA_ECOLI	putA	putA
sp|P09549|DEDD_ECOLI	sp|P09549|DEDD_ECOLI	dedD	dedD
sp|P09551|ARGT_ECOLI	sp|P09551|ARGT_ECOLI	argT	argT
sp|P09557|DICB_ECOLI	sp|P09557|DICB_ECOLI	dicB	dicB
sp|P09831|GLTB_ECOLI	sp|P09831|GLTB_ECOLI	gltB	gltB
sp|P09832|GLTD_ECOLI	sp|P09832|GLTD_ECOLI	gltD	gltD
sp|P09833|MODC_ECOLI	sp|P09833|MODC_ECOLI	modC	modC
sp|P09835|UHPB_ECOLI	sp|P09835|UHPB_ECOLI	uhpB	uhpB
sp|P09836|UHPC_ECOLI	sp|P09836|UHPC_ECOLI	uhpC	uhpC
sp|P09980|REP_ECOLI	sp|P09980|REP_ECOLI	rep	rep
sp|P09996|YIDB_ECOLI	sp|P09996|YIDB_ECOLI	yidB	yidB
sp|P0A698|UVRA_ECOLI	sp|P0A698|UVRA_ECOLI	uvrA	uvrA
