Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Annotation	Gene names  (primary )	Gene names  (ordered locus )
A0A0H2VDZ6	A0A0H2VDZ6_ECOL6	unreviewed	EamA domain-containing protein	ytfF c5309	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	324	1 out of 5	ytfF	c5309
Q8FAH0	YTFE_ECOL6	reviewed	Iron-sulfur cluster repair protein YtfE	ytfE c5308	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	220	2 out of 5	ytfE	c5308
A0A0H2VDN3	A0A0H2VDN3_ECOL6	unreviewed	Uncharacterized protein	ytfB c5305	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	224	1 out of 5	ytfB	c5305
Q8FAX0	YTCA_ECOL6	reviewed	Uncharacterized protein YtcA	ytcA c5088	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	91	2 out of 5	ytcA	c5088
Q8FCE8	YSAB_ECOL6	reviewed	Uncharacterized lipoprotein YsaB	ysaB c4380	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	99	1 out of 5	ysaB	c4380
A0A0H2VD80	A0A0H2VD80_ECOL6	unreviewed	Imm35 domain-containing protein	yrhB c4235	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	94	1 out of 5	yrhB	c4235
A0A0H2VBM8	A0A0H2VBM8_ECOL6	unreviewed	Uncharacterized protein	yrhA c4234	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	164	1 out of 5	yrhA	c4234
A0A0H2VE54	A0A0H2VE54_ECOL6	unreviewed	Uncharacterized protein	yrfG c4170	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	237	1 out of 5	yrfG	c4170
A0A0H2VBU0	A0A0H2VBU0_ECOL6	unreviewed	Putative membrane protein igaA homolog	yrfF c4169	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	711	1 out of 5	yrfF	c4169
A0A0H2VD43	A0A0H2VD43_ECOL6	unreviewed	ADP compounds hydrolase nudE (EC 3.6.1.-)	yrfE c4167	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	186	1 out of 5	yrfE	c4167
A0A0H2VE49	A0A0H2VE49_ECOL6	unreviewed	Uncharacterized protein	yrfD c4165	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	268	1 out of 5	yrfD	c4165
A0A0H2VBT5	A0A0H2VBT5_ECOL6	unreviewed	Uncharacterized protein	yrfC c4164	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	179	1 out of 5	yrfC	c4164
A0A0H2VBE5	A0A0H2VBE5_ECOL6	unreviewed	Uncharacterized protein	yrfB c4163	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	146	1 out of 5	yrfB	c4163
A0A0H2VD39	A0A0H2VD39_ECOL6	unreviewed	Uncharacterized protein	yrfA c4162	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	147	1 out of 5	yrfA	c4162
A0A0H2VCY8	A0A0H2VCY8_ECOL6	unreviewed	Uncharacterized protein	yrdD c4044	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	180	1 out of 5	yrdD	c4044
A0A0H2VBE3	A0A0H2VBE3_ECOL6	unreviewed	Uncharacterized protein	yrdB c4041	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	85	1 out of 5	yrdB	c4041
A0A0H2VDZ5	A0A0H2VDZ5_ECOL6	unreviewed	Protein yrdA	yrdA c4040	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	282	1 out of 5	yrdA	c4040
A0A0H2VCU5	A0A0H2VCU5_ECOL6	unreviewed	Uncharacterized protein	yrbL c3967	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	210	1 out of 5	yrbL	c3967
A0A0H2VBI4	A0A0H2VBI4_ECOL6	unreviewed	Uncharacterized protein	yrbG c3956	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	325	1 out of 5	yrbG	c3956
A0A0H2VB44	A0A0H2VB44_ECOL6	unreviewed	MlaD domain-containing protein	yrbD c3953	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	188	1 out of 5	yrbD	c3953
A0A0H2VCU1	A0A0H2VCU1_ECOL6	unreviewed	Protein yrbC	yrbC c3952	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	211	1 out of 5	yrbC	c3952
A0A0H2VDV3	A0A0H2VDV3_ECOL6	unreviewed	STAS domain-containing protein	yrbB c3950	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	129	1 out of 5	yrbB	c3950
A0A0H2VB29	A0A0H2VB29_ECOL6	unreviewed	Semialdhyde_dh domain-containing protein	yraR c3906	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	211	1 out of 5	yraR	c3906
A0A0H2VCS2	A0A0H2VCS2_ECOL6	unreviewed	Uncharacterized protein	yraQ c3905	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	346	1 out of 5	yraQ	c3905
P64597	YRAP_ECOL6	reviewed	Uncharacterized protein YraP	yraP c3904	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	191	1 out of 5	yraP	c3904
Q8FDA0	YRAN_ECOL6	reviewed	UPF0102 protein YraN	yraN c3901	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	131	1 out of 5	yraN	c3901
A0A0H2VDT7	A0A0H2VDT7_ECOL6	unreviewed	Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI)	yraL rsmI c3899	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	287	2 out of 5	yraL	c3899
A0A0H2VDS1	A0A0H2VDS1_ECOL6	unreviewed	Uncharacterized protein	yqjK c3858	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	99	1 out of 5	yqjK	c3858
A0A0H2VDN1	A0A0H2VDN1_ECOL6	unreviewed	PadR domain-containing protein	yqjI c3824	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	207	1 out of 5	yqjI	c3824
A0A0H2VBA1	A0A0H2VBA1_ECOL6	unreviewed	FAD-binding FR-type domain-containing protein	yqjH c3823	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	259	1 out of 5	yqjH	c3823
A0A0H2VB58	A0A0H2VB58_ECOL6	unreviewed	Uncharacterized protein	yqjF c3859	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	134	1 out of 5	yqjF	c3859
A0A0H2VBC9	A0A0H2VBC9_ECOL6	unreviewed	Uncharacterized protein	yqjE c3857	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	134	1 out of 5	yqjE	c3857
P64582	YQJD_ECOL6	reviewed	Uncharacterized protein YqjD	yqjD c3856	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	101	2 out of 5	yqjD	c3856
A0A0H2VB06	A0A0H2VB06_ECOL6	unreviewed	Protein yqjC	yqjC c3855	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	127	1 out of 5	yqjC	c3855
A0A0H2VCP3	A0A0H2VCP3_ECOL6	unreviewed	Modulator protein MzrA	yqjB mzrA c3854	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	127	2 out of 5	yqjB	c3854
P0AA64	YQJA_ECOL6	reviewed	Inner membrane protein YqjA	yqjA c3853	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	220	2 out of 5	yqjA	c3853
A0A0H2VDM1	A0A0H2VDM1_ECOL6	unreviewed	PHB domain-containing protein	yqiK c3799	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	553	1 out of 5	yqiK	c3799
A0A0H2VB91	A0A0H2VB91_ECOL6	unreviewed	Uncharacterized protein	yqiJ c3798	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	209	1 out of 5	yqiJ	c3798
A0A0H2VB28	A0A0H2VB28_ECOL6	unreviewed	Hypothetical fimbrial chaperone yqiH	yqiH c3793	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	249	1 out of 5	yqiH	c3793
A0A0H2VDL7	A0A0H2VDL7_ECOL6	unreviewed	Hypothetical outer membrane usher protein yqiG	yqiG c3792	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	840	1 out of 5	yqiG	c3792
A0A0H2VAY6	A0A0H2VAY6_ECOL6	unreviewed	Uncharacterized protein	yqiC c3796	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	119	1 out of 5	yqiC	c3796
P0ADU8	YQIB_ECOL6	reviewed	Uncharacterized protein YqiB	yqiB c3779	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	140	1 out of 5	yqiB	c3779
P0A8Z8	YQIA_ECOL6	reviewed	Esterase YqiA (EC 3.1.-.-)	yqiA c3777	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	193	1 out of 5	yqiA	c3777
A0A0H2VCE8	A0A0H2VCE8_ECOL6	unreviewed	Hypothetical lipoprotein yqhH	yqhH c3748	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	85	1 out of 5	yqhH	c3748
A0A0H2VAW6	A0A0H2VAW6_ECOL6	unreviewed	Uncharacterized protein	yqhG c3747	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	217	1 out of 5	yqhG	c3747
A0A0H2VB27	A0A0H2VB27_ECOL6	unreviewed	Hypothetical oxidoreductase yqhD (EC 1.1.-.-)	yqhD c3745	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	387	1 out of 5	yqhD	c3745
A0A0H2VAU2	A0A0H2VAU2_ECOL6	unreviewed	Hypothetical transcriptional regulator yqhC	yqhC c3744	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	375	1 out of 5	yqhC	c3744
Q8FDL6	YQHA_ECOL6	reviewed	UPF0114 protein YqhA	yqhA c3738	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	164	2 out of 5	yqhA	c3738
P0A8I2	YQGF_ECOL6	reviewed	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	yqgF c3535	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	138	2 out of 5	yqgF	c3535
P0A8W6	YQGE_ECOL6	reviewed	UPF0301 protein YqgE	yqgE c3534	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	187	1 out of 5	yqgE	c3534
A0A0H2VAL6	A0A0H2VAL6_ECOL6	unreviewed	Uncharacterized protein	yqgD c3527	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	88	1 out of 5	yqgD	c3527
P64568	YQGB_ECOL6	reviewed	Uncharacterized protein YqgB	yqgB c3525	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	43	1 out of 5	yqgB	c3525
A0A0H2VBZ9	A0A0H2VBZ9_ECOL6	unreviewed	Uncharacterized protein	yqgA c3555	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	235	1 out of 5	yqgA	c3555
P64563	YQFE_ECOL6	reviewed	Uncharacterized protein YqfE	yqfE c3496	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	76	1 out of 5	yqfE	c3496
Q8FE69	AC4CH_ECOL6	reviewed	N(4)-acetylcytidine amidohydrolase (ac4C amidohydrolase) (EC 3.5.3.-)	yqfB c3481	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	103	2 out of 5	yqfB	c3481
P67154	YQFA_ECOL6	reviewed	UPF0073 inner membrane protein YqfA	yqfA c3480	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	219	2 out of 5	yqfA	c3480
P63341	YQEG_ECOL6	reviewed	Inner membrane transport protein YqeG	yqeG c3442	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	409	2 out of 5	yqeG	c3442
A0A0H2VA72	A0A0H2VA72_ECOL6	unreviewed	Probable acetyl-CoA acetyltransferase (EC 2.3.1.9)	yqeF c3441	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	394	1 out of 5	yqeF	c3441
A0A0H2VAA2	A0A0H2VAA2_ECOL6	unreviewed	Uncharacterized protein	yqeC c3454	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	256	1 out of 5	yqeC	c3454
A0A0H2VCP8	A0A0H2VCP8_ECOL6	unreviewed	Uncharacterized protein	yqeB c3453	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	541	1 out of 5	yqeB	c3453
A0A0H2VAG5	A0A0H2VAG5_ECOL6	unreviewed	Carbamate kinase	yqeA c3452	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	310	1 out of 5	yqeA	c3452
A0A0H2VBL1	A0A0H2VBL1_ECOL6	unreviewed	MFS domain-containing protein	yqcE c3333	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	425	1 out of 5	yqcE	c3333
A0A0H2VCH8	A0A0H2VCH8_ECOL6	unreviewed	DUF446 domain-containing protein	yqcC c3358	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	109	1 out of 5	yqcC	c3358
A0A0H2VAA9	A0A0H2VAA9_ECOL6	unreviewed	Flavodoxin-like domain-containing protein	yqcA c3356	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	149	1 out of 5	yqcA	c3356
P0AE43	YQAE_ECOL6	reviewed	UPF0057 membrane protein YqaE	yqaE c3215	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	52	2 out of 5	yqaE	c3215
A0A0H2V9X9	A0A0H2V9X9_ECOL6	unreviewed	Uncharacterized protein	yqaB c3247	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	188	1 out of 5	yqaB	c3247
A0A0H2VCB3	A0A0H2VCB3_ECOL6	unreviewed	Uncharacterized protein	yqaA c3246	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	142	1 out of 5	yqaA	c3246
P64433	YPJD_ECOL6	reviewed	Inner membrane protein YpjD	ypjD c3132	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	263	2 out of 5	ypjD	c3132
A0A0H2VB31	A0A0H2VB31_ECOL6	unreviewed	Uncharacterized protein	yphH c3072	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	399	1 out of 5	yphH	c3072
A0A0H2V9L6	A0A0H2V9L6_ECOL6	unreviewed	Uncharacterized protein	yphG c3071	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	1124	1 out of 5	yphG	c3071
A0A0H2VC11	A0A0H2VC11_ECOL6	unreviewed	ABC transporter Periplasmic binding protein yphF	yphF c3070	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	327	1 out of 5	yphF	c3070
A0A0H2V9R7	A0A0H2V9R7_ECOL6	unreviewed	Hypothetical ABC transporter ATP-binding protein yphE	yphE c3069	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	503	1 out of 5	yphE	c3069
A0A0H2V9I4	A0A0H2V9I4_ECOL6	unreviewed	Hypothetical ABC transporter permease protein yphD	yphD c3068	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	332	1 out of 5	yphD	c3068
A0A0H2VB26	A0A0H2VB26_ECOL6	unreviewed	Hypothetical zinc-type alcohol dehydrogenase-like protein yphC	yphC c3067	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	364	1 out of 5	yphC	c3067
A0A0H2V9L2	A0A0H2V9L2_ECOL6	unreviewed	Uncharacterized protein	yphB c3066	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	290	1 out of 5	yphB	c3066
A0A0H2VC07	A0A0H2VC07_ECOL6	unreviewed	Uncharacterized protein	yphA c3065	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	142	1 out of 5	yphA	c3065
Q8FF81	YPFN_ECOL6	reviewed	UPF0370 protein YpfN	ypfN c3000	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	66	2 out of 5	ypfN	c3000
P64430	YPFJ_ECOL6	reviewed	Uncharacterized protein YpfJ	ypfJ c3003	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	287	1 out of 5	ypfJ	c3003
A0A0H2V9K2	A0A0H2V9K2_ECOL6	unreviewed	tRNA(Met) cytidine acetyltransferase TmcA (EC 2.3.1.193)	ypfI tmcA c3002	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	671	3 out of 5	ypfI	c3002
A0A0H2V9C6	A0A0H2V9C6_ECOL6	unreviewed	Abhydrolase_2 domain-containing protein	ypfH c3001	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	240	1 out of 5	ypfH	c3001
A0A0H2V9F2	A0A0H2V9F2_ECOL6	unreviewed	Uncharacterized protein	ypfG c2991	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	347	1 out of 5	ypfG	c2991
A0A0H2V9B1	A0A0H2V9B1_ECOL6	unreviewed	Uncharacterized protein	ypeC c2929	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	108	1 out of 5	ypeC	c2929
P63420	YPEA_ECOL6	reviewed	Acetyltransferase YpeA (EC 2.3.1.-)	ypeA c2968	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	141	2 out of 5	ypeA	c2968
A0A0H2VBN1	A0A0H2VBN1_ECOL6	unreviewed	Hypothetical lipoprotein ypdI	ypdI c2912	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	91	1 out of 5	ypdI	c2912
A0A0H2V9G3	A0A0H2V9G3_ECOL6	unreviewed	Uncharacterized protein	ypdE c2923	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	345	1 out of 5	ypdE	c2923
A0A0H2V981	A0A0H2V981_ECOL6	unreviewed	Hypothetical transcriptional regulator ypdC	ypdC c2921	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	285	1 out of 5	ypdC	c2921
Q8FFE0	YPDB_ECOL6	reviewed	Transcriptional regulatory protein YpdB	ypdB c2920	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	245	2 out of 5	ypdB	c2920
A0A0H2VAR4	A0A0H2VAR4_ECOL6	unreviewed	HATPase_c domain-containing protein	ypdA c2919	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	565	1 out of 5	ypdA	c2919
Q8FFQ7	YOJO_ECOL6	reviewed	Uncharacterized protein YojO	yojO c2748	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	54	1 out of 5	yojO	c2748
A0A0H2V962	A0A0H2V962_ECOL6	unreviewed	Phosphotransferase RcsD (EC 2.7.2.-) (Phosphotransfer intermediate RcsD)	yojN rcsD c2759	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	890	3 out of 5	yojN	c2759
A0A0H2VAF7	A0A0H2VAF7_ECOL6	unreviewed	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	yojL c2756	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	351	3 out of 5	yojL	c2756
A0A0H2V8X9	A0A0H2V8X9_ECOL6	unreviewed	Hypothetical ABC transporter ATP-binding protein yojI	yojI c2752	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	547	2 out of 5	yojI	c2752
P0C1Y7	YOHO_ECOL6	reviewed	UPF0387 membrane protein YohO	yohO c2657.1	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	35	2 out of 5	yohO	c2657.1
A0A0H2VB68	A0A0H2VB68_ECOL6	unreviewed	Uncharacterized protein	yohK c2674	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	231	1 out of 5	yohK	c2674
P60633	YOHJ_ECOL6	reviewed	UPF0299 membrane protein YohJ	yohJ c2673	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	132	2 out of 5	yohJ	c2673
A0A0H2VAB1	A0A0H2VAB1_ECOL6	unreviewed	Uncharacterized protein	yohD c2668	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	204	1 out of 5	yohD	c2668
P0AD18	YOHC_ECOL6	reviewed	Inner membrane protein YohC	yohC c2667	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	195	2 out of 5	yohC	c2667
Q8FG53	YOEB_ECOL6	reviewed	Toxin YoeB (EC 3.1.-.-) (Putative endoribonuclease YoeB) (Putative mRNA interferase Yoeb)	yoeB c2544	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	84	3 out of 5	yoeB	c2544
P64520	YODD_ECOL6	reviewed	Uncharacterized protein YodD	yodD c2372	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	75	1 out of 5	yodD	c2372
A0A0H2V876	A0A0H2V876_ECOL6	unreviewed	Uncharacterized protein	yodC c2376	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	60	1 out of 5	yodC	c2376
A0A0H2V8G2	A0A0H2V8G2_ECOL6	unreviewed	ZinT domain-containing protein	yodA c2391	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	210	1 out of 5	yodA	c2391
Q8FGT6	YOBH_ECOL6	reviewed	Uncharacterized protein YobH	yobH c2235	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	79	1 out of 5	yobH	c2235
P64509	YOBF_ECOL6	reviewed	Protein YobF	yobF c2232	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	47	1 out of 5	yobF	c2232
P67602	YOBD_ECOL6	reviewed	UPF0266 membrane protein YobD	yobD c2227	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	152	2 out of 5	yobD	c2227
A0A0H2VA95	A0A0H2VA95_ECOL6	unreviewed	CN hydrolase domain-containing protein	yobB c2253	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	218	1 out of 5	yobB	c2253
P0AA58	YOBA_ECOL6	reviewed	Protein YobA	yobA c2251	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	124	2 out of 5	yobA	c2251
Q8FGW2	YOAI_ECOL6	reviewed	Uncharacterized protein YoaI	yoaI c2193	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	34	1 out of 5	yoaI	c2193
