gene_id,Locus_tag,gbk_start,gbk_end,gbk_midpoint,gbk_gene_id,gbk_locus_tag,norm_exp
thiB,b0068,70984,71967,71475,,BW25113_RS00335,22.4992609142183
sgrR,b0069,72131,73786,72958,,BW25113_RS00340,43.3552412966693
setA,b0070,74108,75286,74697,,BW25113_RS00350,2.38788124869214
leuD,b0071,75335,75940,75637,,BW25113_RS00355,487.947167415332
leuC,b0072,75951,77351,76651,,BW25113_RS00360,1030.84188545921
leuB,b0073,77354,78445,77899,,BW25113_RS00365,771.424543393751
leuA,b0074,78445,80016,79230,,BW25113_RS00370,1524.83899468799
leuL,b0075,80109,80195,80152,,BW25113_RS00375,87.6184796402347
leuO,b0076,80855,81799,81327,,BW25113_RS00380,13.6862789996814
ilvI,b0077,82117,83841,82979,,BW25113_RS00385,50.3721496765635
ilvH,b0078,83844,84335,84089,,BW25113_RS00390,14.1787620488315
cra,b0080,84515,85519,85017,,BW25113_RS00400,21.0095077568499
mraZ,b0081,86121,86579,86350,,BW25113_RS00405,171.538143814549
rsmH,b0082,86581,87522,87051,,BW25113_RS00410,154.938210056663
ftsL,b0083,87519,87884,87701,,BW25113_RS00415,249.984044645725
ftsI,b0084,87900,89666,88783,,BW25113_RS00420,41.7213611838549
murE,b0085,89653,91140,90396,,BW25113_RS00425,75.9857678568934
murF,b0086,91137,92495,91816,,BW25113_RS00430,80.4849856465246
mraY,b0087,92489,93571,93030,,BW25113_RS00435,14.2741387834034
murD,b0088,93574,94890,94232,,BW25113_RS00440,22.4448583212943
ftsW,b0089,94890,96134,95512,,BW25113_RS00445,15.3370986762859
murG,b0090,96131,97198,96664,,BW25113_RS00450,43.8712987684928
murC,b0091,97252,98727,97989,,BW25113_RS00455,44.3128101011237
ddlB,b0092,98720,99640,99180,ddl,BW25113_RS00460,168.97252769484
ftsQ,b0093,99642,100472,100057,,BW25113_RS00465,38.0391684869037
ftsA,b0094,100469,101731,101100,,BW25113_RS00470,26.5944767860787
ftsZ,b0095,101792,102943,102367,,BW25113_RS00475,370.92498827274
lpxC,b0096,103044,103961,103502,,BW25113_RS00480,520.697327422573
secM,b0097,104192,104704,104448,,BW25113_RS00485,616.336986993653
secA,b0098,104766,107471,106118,,BW25113_RS00490,63.2006422755864
mutT,b0099,107531,107920,107725,,BW25113_RS00495,18.958288123673
yacG,b0101,108136,108333,108234,,BW25113_RS00505,37.9778498710852
zapD,b0102,108343,109086,108714,,BW25113_RS00510,50.7702626558701
coaE,b0103,109086,109706,109396,,BW25113_RS00515,110.197966097509
guaC,b0104,109931,110974,110452,,BW25113_RS00520,74.9511336436385
hofC,b0106,111009,112211,111610,,BW25113_RS00525,2.1632112949815
hofB,b0107,112201,113586,112893,,BW25113_RS00530,14.8094921567865
ppdD,b0108,113596,114036,113816,,BW25113_RS00535,0.525484417810559
nadC,b0109,114239,115132,114685,,BW25113_RS00545,77.2243494053183
ampD,b0110,115220,115771,115495,,BW25113_RS00550,104.955112976664
ampE,b0111,115768,116622,116195,,BW25113_RS00555,9.95035286830546
aroP,b0112,116665,118038,117351,,BW25113_RS00560,55.3130985810584
pdhR,b0113,118579,119343,118961,,BW25113_RS00565,600.409573258354
aceE,b0114,119504,122167,120835,,BW25113_RS00570,492.241463702258
aceF,b0115,122182,124074,123128,aceF,BW25113_RS00575,151.435883760652
lpd,b0116,124399,125823,125111,,BW25113_RS00580,233.09165818967
yacH,b0117,125894,127747,126820,,BW25113_RS00585,10.1271757271256
acnB,b0118,128102,130699,129400,,BW25113_RS00590,159.611858734029
yacL,b0119,130875,131237,131056,,BW25113_RS00595,90.2050526467947
speD,b0120,131275,132069,131672,,BW25113_RS00600,458.846255877393
speE,b0121,132085,132951,132518,,BW25113_RS00605,631.949745636181
yacC,b0122,133057,133404,133230,,BW25113_RS00610,95.3968892629937
cueO,b0123,133570,135120,134345,,BW25113_RS00615,11.9803441959796
gcd,b0124,135322,137712,136517,,BW25113_RS00620,71.9158794177667
hpt,b0125,137918,138454,138186,,BW25113_RS00625,46.2073333394327
can,b0126,138495,139157,138826,,BW25113_RS00630,3437.03419050396
yadG,b0127,139266,140192,139729,,BW25113_RS00635,80.103855115512
yadH,b0128,140189,140959,140574,,BW25113_RS00640,8.27033255084039
yadI,b0129,141064,141504,141284,,BW25113_RS00645,4.36727167245584
yadE,b0130,141568,142797,142182,,BW25113_RS00650,15.3820199052312
panD,b0131,142801,143181,142991,,BW25113_RS00655,834.719903632721
yadD,b0132,143455,144357,143906,,BW25113_RS00660,2.80728794797306
panC,b0133,144431,145282,144856,,BW25113_RS00665,61.1009543318889
panB,b0134,145294,146088,145691,,BW25113_RS00670,443.383313307303
yadC,b0135,146202,147440,146821,,BW25113_RS00675,4.27492775230511
yadK,b0136,147490,148086,147788,,BW25113_RS00680,3.70207506128079
yadL,b0137,148113,148718,148415,,BW25113_RS00685,1.09181791811396
yadM,b0138,148730,149299,149014,,BW25113_RS00690,1.05096883562112
htrE,b0139,149316,151913,150614,,BW25113_RS00695,0.586758041549823
yadV,b0140,151948,152688,152318,,BW25113_RS00700,0.0473682732137578
yadN,b0141,152786,153370,153078,,BW25113_RS00705,0.0119910572613514
folK,b0142,153740,154219,153979,,BW25113_RS00710,9.54041768557574
pcnB,b0143,154216,155634,154925,,BW25113_RS00715,135.077721695214
gluQ,b0144,155673,156599,156136,,BW25113_RS00720,10.641589986086
dksA,b0145,156636,157091,156863,,BW25113_RS00725,118.124344146229
sfsA,b0146,157269,157973,157621,,BW25113_RS00730,39.1419390081978
ligT,b0147,157988,158518,158253,,BW25113_RS00735,70.0528238987757
hrpB,b0148,158592,161021,159806,,BW25113_RS00740,5.23298416527179
mrcB,b0149,161217,163751,162484,,BW25113_RS00750,51.9912283948391
fhuA,b0150,163971,166214,165092,,BW25113_RS00755,392.853738515768
fhuC,b0151,166265,167062,166663,,BW25113_RS00760,11.1811875628469
fhuD,b0152,167062,167952,167507,,BW25113_RS00765,19.9402903277351
fhuB,b0153,167949,169931,168940,,BW25113_RS00770,3.5366203392266
hemL,b0154,170089,171369,170729,,BW25113_RS00775,100.60330106472
clcA,b0155,171594,173015,172304,,BW25113_RS00780,28.3817122163666
erpA,b0156,173097,173441,173269,,BW25113_RS00785,33.7431664586057
yadS,b0157,173488,174111,173799,,BW25113_RS00790,1.70835488330654
btuF,b0158,174149,174949,174549,,BW25113_RS00795,12.7300467104878
mtn,b0159,174942,175640,175291,,BW25113_RS00800,146.524690826703
dgt,b0160,175724,177241,176482,,BW25113_RS00805,12.9668880765566
degP,b0161,177371,178795,178083,,BW25113_RS00810,39.4261486474803
cdaR,b0162,178950,180107,179528,,BW25113_RS00815,0.643905100844953
yaeH,b0163,180196,180582,180389,,BW25113_RS00820,111.781445627467
yaeI,b0164,180744,181556,181150,,BW25113_RS00825,5.88245130214825
dapD,b0166,181610,182434,182022,,BW25113_RS00830,205.371418466571
glnD,b0167,182465,185137,183801,,BW25113_RS00835,155.253680517018
map,b0168,185199,185993,185596,,BW25113_RS00840,1078.95871797634
rpsB,b0169,186361,187086,186723,,BW25113_RS00845,324.695073468564
tsf,b0170,187344,188195,187769,,BW25113_RS00850,99.4054588363262
pyrH,b0171,188342,189067,188704,,BW25113_RS00855,20.2718682402314
frr,b0172,189359,189916,189637,,BW25113_RS00860,45.7397459152245
dxr,b0173,190008,191204,190606,,BW25113_RS00865,43.1158264766774
ispU,b0174,191390,192151,191770,,BW25113_RS00870,23.8647599338684
cdsA,b0175,192164,193021,192592,,BW25113_RS00875,16.1908469932406
rseP,b0176,193033,194385,193709,,BW25113_RS00880,28.9559735136928
bamA,b0177,194415,196847,195631,,BW25113_RS00885,202.924527883138
skp,b0178,196969,197454,197211,,BW25113_RS00890,389.281867300589
lpxD,b0179,197458,198483,197970,lpxD,BW25113_RS00895,282.898017807577
fabZ,b0180,198588,199043,198815,,BW25113_RS00900,61.4400789598567
lpxA,b0181,199047,199835,199441,,BW25113_RS00905,44.5787354625623
lpxB,b0182,199835,200983,200409,,BW25113_RS00910,18.7901515332273
rnhB,b0183,200980,201576,201278,,BW25113_RS00915,29.1858526188633
dnaE,b0184,201613,205095,203354,,BW25113_RS00920,17.609033250876
accA,b0185,205108,206067,205587,,BW25113_RS00925,87.6853069185704
ldcC,b0186,206166,208307,207236,,BW25113_RS00930,57.8348178096007
yaeR,b0187,208364,208753,208558,,BW25113_RS00935,221.408805757165
tilS,b0188,208818,210116,209467,,BW25113_RS00940,7.69253145266566
rof,b0189,210165,210419,210292,,BW25113_RS00945,85.5074218710206
yaeQ,b0190,210778,211323,211050,,BW25113_RS00955,15.9075043230417
arfB,b0191,211320,211742,211531,,BW25113_RS00960,30.6823416454766
nlpE,b0192,211756,212466,212111,,BW25113_RS00965,39.8430093972006
yaeF,b0193,212666,213490,213078,,BW25113_RS00970,5.82117767840899
proS,b0194,213544,215262,214403,,BW25113_RS00975,47.1226741180645
tsaA,b0195,215374,216081,215727,,BW25113_RS00980,6.99469376150864
rcsF,b0196,216078,216482,216280,,BW25113_RS00985,145.843393372807
metQ,b0197,216600,217415,217007,metQ,BW25113_RS00990,142.792690973452
metI,b0198,217455,218108,217781,,BW25113_RS00995,130.38675461438
metN,b0199,218101,219132,218616,,BW25113_RS01000,16.8823286482735
gmhB,b0200,219320,219895,219607,,BW25113_RS01005,28.9682619769421
dkgB,b0207,225654,226457,226055,,BW25113_RS01040,13.382204940221
yafC,b0208,226454,227368,226911,,BW25113_RS01045,28.158567919849
yafD,b0209,227609,228409,228009,,BW25113_RS01050,131.137649612479
yafE,b0210,228413,229036,228724,,BW25113_RS01055,44.3205569550072
mltD,b0211,229084,230442,229763,,BW25113_RS01060,56.6426672623938
gloB,b0212,230514,231269,230891,,BW25113_RS01065,29.3753257117183
yafS,b0213,231303,232025,231664,,BW25113_RS01070,10.2684135776832
rnhA,b0214,232022,232489,232255,,BW25113_RS01075,39.077703834163
dnaQ,b0215,232554,233285,232919,,BW25113_RS01080,169.148149350382
yafT,b0217,233822,234607,234214,,BW25113_RS01090,2.14930594445599
yafV,b0219,235906,236676,236291,,BW25113_RS01110,17.6407622192822
ivy,b0220,236830,237303,237066,,BW25113_RS01115,39.9664503769793
fadE,b0221,237346,239790,238568,fadE,BW25113_RS01120,61.6375606282329
gmhA,b0222,240030,240608,240319,,BW25113_RS01125,73.9660154033359
yafJ,b0223,240814,241581,241197,,BW25113_RS01130,269.351482282436
yafK,b0224,241552,242292,241922,,BW25113_RS01135,140.820506741176
yafQ,b0225,242448,242726,242587,,BW25113_RS01140,368.165885127334
dinJ,b0226,242729,242989,242859,,BW25113_RS01145,852.23655572984
yafL,b0227,243199,243948,243573,,BW25113_RS01150,2.13791084302629
rayT,b0228,244124,244621,244372,,BW25113_RS01155,13.7225501493813
dinB,b0231,247385,248440,247912,,BW25113_RS01170,15.3469676318584
yafN,b0232,248492,248785,248638,,BW25113_RS01175,34.2586098639184
yafO,b0233,248788,249186,248987,,BW25113_RS01180,24.7817050379257
yafP,b0234,249196,249648,249422,,BW25113_RS01185,10.550537438704
pepD,b0237,250746,252203,251474,,BW25113_RS01200,119.635567158137
gpt,b0238,252464,252922,252693,,BW25113_RS01205,63.2828000909777
frsA,b0239,253014,254258,253636,frsA,BW25113_RS01210,55.3578518307178
phoE,b0241,254756,255811,255283,,BW25113_RS01220,1.19307365526239
proB,b0242,256099,257202,256650,,BW25113_RS01225,78.0984864959054
proA,b0243,257214,258467,257840,,BW25113_RS01230,165.008473497582
ykfI,b0245,259039,259380,259209,,BW25113_RS01240,0.995248866478254
yafW,b0246,259401,259718,259559,,BW25113_RS01245,0.585439704117316
ykfG,b0247,259967,260443,260205,,BW25113_RS01250,1.074652972228
yafX,b0248,260459,260917,260688,,BW25113_RS01255,0.0479642290454056
ykfF,b0249,261015,261254,261134,,BW25113_RS01260,1.57645325343168
ykfB,b0250,261331,261798,261564,,BW25113_RS01265,535.550319913945
yafZ,b0252,262895,263716,263305,,BW25113_RS01280,0.0236841366068789
ykfA,b0253,263808,264671,264239,,BW25113_RS01285,11.6790778748667
perR,b0254,265000,265893,265446,,BW25113_RS01290,6.4242336967611
insI1,b0256,266314,267465,266889,,BW25113_RS01300,8.9332351027795
insH1,b0259,269812,270828,270320,,BW25113_RS01325,98.3677088368066
mmuP,b0260,271036,272439,271737,,BW25113_RS01330,2.66827117154564
mmuM,b0261,272426,273358,272892,,BW25113_RS01335,11.0831370030671
afuC,b0262,273467,274513,273990,fbpC,BW25113_RS01340,3.26082602221551
insB1,b0264,274889,275586,275237,,BW25113_RS01350,1.5968777946781
yagA,b0267,276540,277694,277117,,BW25113_RS01370,0.215839030704325
yagE,b0268,277989,278897,278443,,BW25113_RS01375,2.65110622565967
yagF,b0269,278912,280879,279895,,BW25113_RS01380,2.14990190028764
yagG,b0270,281106,282488,281797,,BW25113_RS01385,4.25183957152987
yagH,b0271,282500,284110,283305,,BW25113_RS01390,2.22035835427663
yagI,b0272,284115,284873,284494,,BW25113_RS01395,14.2600256244532
argF,b0273,285012,286016,285514,,BW25113_RS01400,14.1787620488315
insB1,b0274,286360,287057,286708,,BW25113_RS01405,2.51598215076707
yagK,b0277,288033,288659,288346,,BW25113_RS01415,1.13490623645058
yagL,b0278,288931,289629,289280,,BW25113_RS01420,0.059955286306757
yagM,b0279,289656,290510,290083,,BW25113_RS01425,0.0719463435681084
yagN,b0280,290850,291290,291070,,BW25113_RS01435,149.786743212616
intF,b0281,291407,292807,292107,,BW25113_RS01440,58.3343240315684
paoD,b0283,293481,294437,293959,,BW25113_RS01455,5.87625705400696
paoC,b0284,294447,296645,295546,,BW25113_RS01460,15.4788692617332
paoB,b0285,296642,297598,297120,,BW25113_RS01465,18.9884914510007
paoA,b0286,297595,298284,297939,,BW25113_RS01470,13.2081628550846
yagU,b0287,298702,299316,299009,,BW25113_RS01475,73.1142804192358
ykgJ,b0288,299564,299893,299728,,BW25113_RS01480,3.38498079820683
ecpE,b0289,300206,300916,300561,,BW25113_RS01485,4.28557350747016
ecpD,b0290,300885,302528,301706,,BW25113_RS01490,12.7137487336855
ecpC,b0291,302518,305043,303780,,BW25113_RS01495,2.74996933653132
ecpB,b0292,305069,305737,305403,,BW25113_RS01500,1.06295989288247
ecpA,b0293,305795,306382,306088,,BW25113_RS01505,6.83129743153726
ecpR,b0294,306457,307047,306752,,BW25113_RS01510,0.0473682732137578
ykgL,b0295,307823,308050,307936,,BW25113_RS01515,0.525484417810559
ykgM,b0296,308225,308488,308356,,BW25113_RS01525,2.64784663029922
insF1,b0299,311002,312164,311583,,BW25113_RS01545,3.67839092467391
rclC,b0301,313437,314030,313733,,BW25113_RS01555,0.0236841366068789
rclB,b0303,314042,314278,314160,,BW25113_RS01560,1.05096883562112
rclA,b0304,314387,315712,315049,,BW25113_RS01565,9.67455855129438
rclR,b0305,315938,316792,316365,,BW25113_RS01570,1.18287046549598
ykgE,b0306,317319,318038,317678,,BW25113_RS01575,2.62742208905279
ykgF,b0307,318049,319476,318762,,BW25113_RS01580,1.67857595966378
ykgG,b0308,319469,320164,319816,,BW25113_RS01585,0.597430761378667
ykgH,b0310,320407,321075,320741,,BW25113_RS01595,0.0719463435681084
betA,b0311,321288,322958,322123,,BW25113_RS01600,16.887447713506
betB,b0312,322972,324444,323708,,BW25113_RS01605,103.234767036097
betI,b0313,324458,325045,324751,,BW25113_RS01610,98.8150526629077
betT,b0314,325174,327207,326190,,BW25113_RS01615,18.0085750252003
yahA,b0315,328082,329170,328626,,BW25113_RS01625,2.14930594445599
yahB,b0316,329212,330144,329678,,BW25113_RS01630,22.1422918916116
yahC,b0317,330236,330733,330484,,BW25113_RS01635,0.0479642290454056
yahD,b0318,330991,331596,331293,,BW25113_RS01640,2.10193767124223
yahE,b0319,331636,332499,332067,,BW25113_RS01645,0.596536827631195
yahF,b0320,332489,334036,333262,,BW25113_RS01650,1.074652972228
yahG,b0321,334036,335454,334745,,BW25113_RS01655,0.572852691024317
yahI,b0323,335876,336826,336351,,BW25113_RS01665,0.54590895905698
yahJ,b0324,336836,338218,337527,,BW25113_RS01670,12.194061124995
yahK,b0325,338595,339644,339119,,BW25113_RS01675,75.8757262398523
yahL,b0326,339887,340702,340294,,BW25113_RS01680,2.44405357962678
yahM,b0327,341115,341360,341237,,BW25113_RS01685,4.72935976029503
yahN,b0328,341377,342048,341712,,BW25113_RS01690,0.561457589594613
yahO,b0329,342195,342470,342332,,BW25113_RS01695,5446.66641514769
prpR,b0330,342568,344154,343361,,BW25113_RS01700,5.80996321929301
prpB,b0331,344393,345283,344838,,BW25113_RS01705,0.525484417810559
prpC,b0333,345723,346892,346307,,BW25113_RS01710,0.0479642290454056
prpD,b0334,346926,348377,347651,,BW25113_RS01715,0.572852691024317
prpE,b0335,348417,350303,349360,,BW25113_RS01720,0.0473682732137578
codB,b0336,350633,351892,351262,,BW25113_RS01725,9.62659432224897
codA,b0337,351882,353165,352523,,BW25113_RS01730,86.1986952450793
cynR,b0338,353502,354401,353951,,BW25113_RS01735,8.69369426241884
cynT,b0339,354510,355169,354839,,BW25113_RS01740,5.27852831471247
cynS,b0340,355200,355670,355435,,BW25113_RS01745,3.17333104810977
cynX,b0341,355676,356857,356266,cynX,BW25113_RS01750,0.627607124042666
lacA,b0342,356960,357571,357265,,BW25113_RS01755,2.65110622565967
lacY,b0343,357637,358890,358263,lacY,BW25113_RS01760,0.833378193699985
lacI,b0345,360661,361743,361202,lacI,BW25113_RS01775,37.6172874404391
mhpR,b0346,361820,362767,362293,,BW25113_RS01780,7.21501126390051
mhpA,b0347,362844,364508,363676,mhpA,BW25113_RS01785,1.09181791811396
mhpB,b0348,364510,365454,364982,mhpB,BW25113_RS01790,0.525484417810559
mhpD,b0350,367571,368380,367975,,BW25113_RS01810,12.188264315875
mhpF,b0351,368377,369327,368852,,BW25113_RS01815,31.2282506045336
mhpE,b0352,369324,370337,369830,,BW25113_RS01820,39.6360012895025
mhpT,b0353,370915,372126,371520,,BW25113_RS01825,1.71855807307295
yaiL,b0354,372228,372767,372497,,BW25113_RS01830,10.5576525852566
frmB,b0355,372991,373824,373407,,BW25113_RS01835,9.45428610813083
frmA,b0356,373918,375027,374472,,BW25113_RS01840,61.2217115022283
frmR,b0357,375062,375337,375199,,BW25113_RS01845,28.9975714376715
yaiO,b0358,375525,376298,375911,,BW25113_RS01850,13.8259911930459
insD1,b0361,376762,378035,377398,,BW25113_RS01870,2.62742208905279
yaiP,b0363,378195,379391,378793,,BW25113_RS01875,3.17659064347023
yaiS,b0364,379515,380072,379793,,BW25113_RS01880,0
tauA,b0365,380688,381650,381169,,BW25113_RS01885,0.0119910572613514
tauB,b0366,381663,382430,382046,tauB,BW25113_RS01890,2.12591978576494
tauC,b0367,382427,383254,382840,,BW25113_RS01895,1.62382152664543
tauD,b0368,383251,384102,383676,,BW25113_RS01900,10.0454775621399
hemB,b0369,384209,385183,384696,,BW25113_RS01905,229.804565384873
insF1,b0372,387195,388357,387776,,BW25113_RS01920,5.25484417810559
yaiV,b0375,389962,390585,390273,,BW25113_RS01935,0.0473682732137578
ampH,b0376,390586,391743,391164,,BW25113_RS01940,13.2570210178775
sbmA,b0377,392095,393315,392705,,BW25113_RS01950,28.6399618215199
yaiW,b0378,393328,394422,393875,,BW25113_RS01955,12.7555187145896
yaiY,b0379,394481,394789,394635,,BW25113_RS01960,2.19667421766975
ddlA,b0381,395285,396379,395832,,BW25113_RS01970,61.9310167912567
iraP,b0382,396842,397102,396972,,BW25113_RS01980,61.7185182499042
phoA,b0383,397203,398618,397910,,BW25113_RS01985,24.1982614151285
psiF,b0384,398737,399057,398897,,BW25113_RS01990,105.646052116529
yaiC,b0385,399159,400274,399716,adrA,BW25113_RS01995,1.00512670826461
proC,b0386,400291,401100,400695,,BW25113_RS02000,67.3330578895722
yaiI,b0387,401220,401678,401449,,BW25113_RS02005,40.1046905552614
aroL,b0388,401861,402385,402123,,BW25113_RS02010,92.5465311583976
yaiA,b0389,402435,402626,402530,,BW25113_RS02015,214.286202528422
aroM,b0390,402884,403561,403222,,BW25113_RS02025,16.5801770781799
yaiE,b0391,403633,403917,403775,,BW25113_RS02030,144.105277727572
rdgC,b0393,404564,405475,405019,,BW25113_RS02040,37.2755425944545
mak,b0394,405600,406508,406054,,BW25113_RS02045,4.98117196278341
araJ,b0396,406753,407937,407345,,BW25113_RS02050,11.8124693943207
sbcC,b0397,408063,411209,409636,,BW25113_RS02055,13.1563611694116
sbcD,b0398,411206,412408,411807,,BW25113_RS02060,14.3514756108565
phoB,b0399,412598,413287,412942,,BW25113_RS02065,4.83727927564719
phoR,b0400,413345,414640,413992,phoR,BW25113_RS02070,5.52036321430907
brnQ,b0401,415047,416366,415706,,BW25113_RS02075,52.074913754931
proY,b0402,416442,417815,417128,,BW25113_RS02080,16.5934773155575
malZ,b0403,417974,419788,418881,,BW25113_RS02085,16.1525988179988
acpH,b0404,419793,420374,420083,,BW25113_RS02090,18.4940773296017
queA,b0405,420467,421537,421002,,BW25113_RS02095,11.7264461480804
tgt,b0406,421593,422720,422156,,BW25113_RS02100,51.8691957205366
yajC,b0407,422743,423075,422909,,BW25113_RS02105,208.139197726195
secD,b0408,423103,424950,424026,,BW25113_RS02110,33.6218753371754
secF,b0409,424961,425932,425446,,BW25113_RS02115,75.2575017623348
yajD,b0410,426061,426408,426234,,BW25113_RS02120,135.499493972844
tsx,b0411,426585,427469,427027,,BW25113_RS02130,30.6157676401945
yajI,b0412,427768,428307,428037,,BW25113_RS02135,59.4418166005888
nrdR,b0413,428458,428907,428682,,BW25113_RS02140,195.516176597312
ribD,b0414,428911,430014,429462,,BW25113_RS02145,110.713581559747
ribE,b0415,430103,430573,430338,,BW25113_RS02150,120.146196864125
nusB,b0416,430593,431012,430802,nusB,BW25113_RS02155,6.69387929740871
thiL,b0417,431090,432067,431578,,BW25113_RS02160,16.9177961330954
pgpA,b0418,432045,432563,432304,,BW25113_RS02165,17.5328427039301
yajO,b0419,432617,433591,433104,,BW25113_RS02170,197.881168047741
dxs,b0420,433771,435633,434702,,BW25113_RS02175,95.4975762961912
ispA,b0421,435658,436557,436107,,BW25113_RS02180,157.350064533664
xseB,b0422,436557,436799,436678,,BW25113_RS02185,183.441430089099
thiI,b0423,437005,438453,437729,,BW25113_RS02190,67.455984497622
yajL,b0424,438507,439097,438802,,BW25113_RS02195,27.5146628190041
panE,b0425,439060,439971,439515,,BW25113_RS02200,100.410458662571
yajQ,b0426,440139,440630,440384,,BW25113_RS02205,49.7552669920331
yajR,b0427,440758,442122,441440,,BW25113_RS02210,5.61162330151954
cyoE,b0428,442271,443161,442716,,BW25113_RS02215,33.7020551496964
cyoD,b0429,443173,443502,443337,,BW25113_RS02220,19.5246216239764
cyoC,b0430,443502,444116,443809,,BW25113_RS02225,135.099581708048
cyoB,b0431,444106,446097,445101,,BW25113_RS02230,103.654084865351
cyoA,b0432,446119,447066,446592,,BW25113_RS02235,333.060551840259
ampG,b0433,447526,449001,448263,,BW25113_RS02240,6.56633851640237
yajG,b0434,449045,449722,449383,,BW25113_RS02245,129.317131010443
bolA,b0435,449928,450245,450086,,BW25113_RS02250,101.663587132395
tig,b0436,450589,451887,451238,,BW25113_RS02260,272.078256755622
clpP,b0437,452133,452756,452444,,BW25113_RS02265,134.854135810626
clpX,b0438,452882,454156,453519,,BW25113_RS02270,315.868054600292
